Taxa	reSRR9320187	reSRR9320188	reSRR9320191	reSRR9320192	reSRR9320193	reSRR9320194	reSRR9320195	reSRR9320196	reSRR9320197	reSRR9320198	reSRR9320199
k__archaea	0.415399009103574	0.40405120726172	0.289296728218223	0.40969715778397	0.288852102949453	0.292930148123999	0.31394241077027	0.337841161655387	0.390023986848063	0.392670597172421	0.400508363696652
k__archaea|p__candidatus_korarchaeota	0.000148801865975399	0.000205212431986413	0.000101023185270011	0.000170593420129901	6.9946327559876e-05	0.000206163009518134	0.000198052311430602	0.000208260217838752	0.000279653910263908	0.000270631977333178	0.000384968469799095
k__archaea|p__candidatus_korarchaeota|g__candidatus_korarchaeum	0.000148801865975399	0.000205212431986413	0.000101023185270011	0.000170593420129901	6.9946327559876e-05	0.000206163009518134	0.000198052311430602	0.000208260217838752	0.000279653910263908	0.000270631977333178	0.000384968469799095
k__archaea|p__candidatus_korarchaeota|g__candidatus_korarchaeum|s__candidatus_korarchaeum_cryptofilum	0.000148801865975399	0.000205212431986413	0.000101023185270011	0.000170593420129901	6.9946327559876e-05	0.000206163009518134	0.000198052311430602	0.000208260217838752	0.000279653910263908	0.000270631977333178	0.000384968469799095
k__archaea|p__candidatus_lokiarchaeota	0.000310003887448749	0.000313854307743927	0.000224495967266692	0.000334363103454605	0.000139892655119752	0.000178674608249049	0.000408746259761029	0.000459608756609659	0.000609024071241399	0.000467455233575489	0.000468378304922233
k__archaea|p__candidatus_lokiarchaeota|g__candidatus_prometheoarchaeum	0.000310003887448749	0.000313854307743927	0.000224495967266692	0.000334363103454605	0.000139892655119752	0.000178674608249049	0.000408746259761029	0.000459608756609659	0.000609024071241399	0.000467455233575489	0.000468378304922233
k__archaea|p__candidatus_lokiarchaeota|g__candidatus_prometheoarchaeum|s__candidatus_prometheoarchaeum_syntrophicum	0.000310003887448749	0.000313854307743927	0.000224495967266692	0.000334363103454605	0.000139892655119752	0.000178674608249049	0.000408746259761029	0.000459608756609659	0.000609024071241399	0.000467455233575489	0.000468378304922233
k__archaea|p__candidatus_micrarchaeota	0.000434005442428248	0.000452674482322971	0.000325519152536703	0.000491309049974114	0.000358474928744365	0.000329860815229014	0.00860895472878126	0.0181976342070137	0.0345155070579054	0.0328120770093953	0.0432062945937851
k__archaea|p__candidatus_micrarchaeota|c__candidatus_micrarchaeia	0.000260403265456949	0.000271604689393783	0.000123472781996681	0.000293420682623429	0.000157379237009721	0.000151186206979965	0.00467740565293549	0.00990313242757374	0.018743026519021	0.0174844659295253	0.0237782191512574
k__archaea|p__candidatus_micrarchaeota|c__candidatus_micrarchaeia|o__candidatus_micrarchaeales	0.000260403265456949	0.000271604689393783	0.000123472781996681	0.000293420682623429	0.000157379237009721	0.000151186206979965	0.00467740565293549	0.00990313242757374	0.018743026519021	0.0174844659295253	0.0237782191512574
k__archaea|p__candidatus_micrarchaeota|c__candidatus_micrarchaeia|o__candidatus_micrarchaeales|f__candidatus_micrarchaeaceae	0.000260403265456949	0.000271604689393783	0.000123472781996681	0.000293420682623429	0.000157379237009721	0.000151186206979965	0.00467740565293549	0.00990313242757374	0.018743026519021	0.0174844659295253	0.0237782191512574
k__archaea|p__candidatus_micrarchaeota|c__candidatus_micrarchaeia|o__candidatus_micrarchaeales|f__candidatus_micrarchaeaceae|g__candidatus_micrarchaeum	0.000260403265456949	0.000271604689393783	0.000123472781996681	0.000293420682623429	0.000157379237009721	0.000151186206979965	0.00467740565293549	0.00990313242757374	0.018743026519021	0.0174844659295253	0.0237782191512574
k__archaea|p__candidatus_micrarchaeota|c__candidatus_micrarchaeia|o__candidatus_micrarchaeales|f__candidatus_micrarchaeaceae|g__candidatus_micrarchaeum|s__candidatus_micrarchaeum_sp.	0.000260403265456949	0.000271604689393783	0.000123472781996681	0.000293420682623429	0.000157379237009721	0.000151186206979965	0.00467740565293549	0.00990313242757374	0.018743026519021	0.0174844659295253	0.0237782191512574
k__archaea|p__candidatus_micrarchaeota|g__candidatus_mancarchaeum	0.000142601788226424	0.000126748855050432	0.000179596773813354	0.000136474736103921	0.000148635946064737	0.000151186206979965	0.00322783128842215	0.00698748937783122	0.0133053115972228	0.0126951000276291	0.0160596013317856
k__archaea|p__candidatus_micrarchaeota|g__candidatus_mancarchaeum|s__candidatus_mancarchaeum_acidiphilum	0.000142601788226424	0.000126748855050432	0.000179596773813354	0.000136474736103921	0.000148635946064737	0.000151186206979965	0.00322783128842215	0.00698748937783122	0.0133053115972228	0.0126951000276291	0.0160596013317856
k__archaea|p__candidatus_nanohaloarchaeota	8.68010884856496e-05	0.000132784514814738	3.36743950900038e-05	0.000129650999298725	4.37164547249225e-05	6.87210031727113e-05	0.000155913521764516	0.000236985765126855	0.000316941098299095	0.000205024225252407	0.000282310211186003
k__archaea|p__candidatus_nanohaloarchaeota|c__candidatus_nanohalobia	8.68010884856496e-05	0.000132784514814738	3.36743950900038e-05	0.000129650999298725	4.37164547249225e-05	6.87210031727113e-05	0.000155913521764516	0.000236985765126855	0.000316941098299095	0.000205024225252407	0.000282310211186003
k__archaea|p__candidatus_nanohaloarchaeota|c__candidatus_nanohalobia|o__candidatus_nanohalobiales	8.68010884856496e-05	0.000132784514814738	3.36743950900038e-05	0.000129650999298725	4.37164547249225e-05	6.87210031727113e-05	0.000155913521764516	0.000236985765126855	0.000316941098299095	0.000205024225252407	0.000282310211186003
k__archaea|p__candidatus_nanohaloarchaeota|c__candidatus_nanohalobia|o__candidatus_nanohalobiales|f__candidatus_nanohalobiaceae	8.68010884856496e-05	0.000132784514814738	3.36743950900038e-05	0.000129650999298725	4.37164547249225e-05	6.87210031727113e-05	0.000155913521764516	0.000236985765126855	0.000316941098299095	0.000205024225252407	0.000282310211186003
k__archaea|p__candidatus_nanohaloarchaeota|c__candidatus_nanohalobia|o__candidatus_nanohalobiales|f__candidatus_nanohalobiaceae|g__candidatus_nanohalobium	8.68010884856496e-05	0.000132784514814738	3.36743950900038e-05	0.000129650999298725	4.37164547249225e-05	6.87210031727113e-05	0.000155913521764516	0.000236985765126855	0.000316941098299095	0.000205024225252407	0.000282310211186003
k__archaea|p__candidatus_nanohaloarchaeota|c__candidatus_nanohalobia|o__candidatus_nanohalobiales|f__candidatus_nanohalobiaceae|g__candidatus_nanohalobium|s__candidatus_nanohalobium_constans	8.68010884856496e-05	0.000132784514814738	3.36743950900038e-05	0.000129650999298725	4.37164547249225e-05	6.87210031727113e-05	0.000155913521764516	0.000236985765126855	0.000316941098299095	0.000205024225252407	0.000282310211186003
k__archaea|p__candidatus_thermoplasmatota	0.00424085318029888	0.00357311058046932	0.00245823084157028	0.00401918097826046	0.00243937817365068	0.00284504953135025	0.00520414052376156	0.00707366601969553	0.00893028153442745	0.0090702717251665	0.00968837315661056
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata	0.00355884462791163	0.00309629345908912	0.00220006047921358	0.00338457345537723	0.00215959286341117	0.00248770031485215	0.00452149213117097	0.00614726711965418	0.00780545136203262	0.00790573412573283	0.00852063546488664
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__methanomassiliicoccales	0.00226302837837586	0.00194348244410662	0.00115615423142346	0.00220406698807832	0.00116285769568294	0.00126446645837789	0.00206480069363819	0.00314544742804735	0.0033185597351317	0.00335419632512938	0.00350321307517177
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__methanomassiliicoccales|f__candidatus_methanomethylophilaceae	0.000880411040354446	0.000657886914309384	0.000516340724713392	0.000682373680519603	0.000498367583864117	0.000481047022208979	0.000741642698123105	0.00098384999461755	0.00087624891882691	0.000959513374181267	0.0010907439977641
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__methanomassiliicoccales|f__candidatus_methanomethylophilaceae|g__candidatus_methanomethylophilus	0.000880411040354446	0.000657886914309384	0.000516340724713392	0.000682373680519603	0.000498367583864117	0.000481047022208979	0.000741642698123105	0.00098384999461755	0.00087624891882691	0.000959513374181267	0.0010907439977641
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__methanomassiliicoccales|f__candidatus_methanomethylophilaceae|g__candidatus_methanomethylophilus|s__candidatus_methanomethylophilus_alvus	0.000880411040354446	0.000657886914309384	0.000516340724713392	0.000682373680519603	0.000498367583864117	0.000481047022208979	0.000741642698123105	0.00098384999461755	0.00087624891882691	0.000959513374181267	0.0010907439977641
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__methanomassiliicoccales|f__methanomassiliicoccaceae	0.00115941453905832	0.00111056139663236	0.000538790321440061	0.00131015746659764	0.000489624292919132	0.000645977429823486	0.00115881671581735	0.00173071422410825	0.00209429706130971	0.00196823256242311	0.00197617147830202
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__methanomassiliicoccales|f__methanomassiliicoccaceae|g__candidatus_methanoplasma	0.000452605675675173	0.000440603162794358	0.00026939516072003	0.000491309049974114	0.000244812146459566	0.000247395611421761	0.000370821349061552	0.000588873719406125	0.000832747199452525	0.000639675582787511	0.000776353080761509
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__methanomassiliicoccales|f__methanomassiliicoccaceae|g__candidatus_methanoplasma|s__candidatus_methanoplasma_termitum	0.000452605675675173	0.000440603162794358	0.00026939516072003	0.000491309049974114	0.000244812146459566	0.000247395611421761	0.000370821349061552	0.000588873719406125	0.000832747199452525	0.000639675582787511	0.000776353080761509
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__methanomassiliicoccales|f__methanomassiliicoccaceae|g__methanomassiliicoccus	0.000669608396889297	0.000627708615487853	0.000258170362356696	0.000798377206207935	0.000236068855514582	0.000398581818401725	0.000712145545356845	0.00102693831554971	0.0011994045484652	0.00122194438250435	0.00111640856241738
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__methanomassiliicoccales|f__methanomassiliicoccaceae|g__methanomassiliicoccus|s__candidatus_methanomassiliicoccus_intestinalis	0.000669608396889297	0.000627708615487853	0.000258170362356696	0.000798377206207935	0.000236068855514582	0.000398581818401725	0.000712145545356845	0.00102693831554971	0.0011994045484652	0.00122194438250435	0.00111640856241738
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__thermoplasmatales	0.00125861578304192	0.00112866837592527	0.00102145665106345	0.00111226909924695	0.000987991876783249	0.00120948965583972	0.00238926937406705	0.00292282443656455	0.00436881553145616	0.00446952811050248	0.00494042869575506
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__thermoplasmatales|f__cuniculiplasmataceae	0.000303803809699774	0.000271604689393783	0.000168371975450019	0.000211535840961077	0.000209838982679628	0.000274884012690845	0.000674220634657368	0.000840222258177032	0.00116833189176921	0.00113993469240339	0.00125114752684706
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__thermoplasmatales|f__cuniculiplasmataceae|g__cuniculiplasma	0.000303803809699774	0.000271604689393783	0.000168371975450019	0.000211535840961077	0.000209838982679628	0.000274884012690845	0.000674220634657368	0.000840222258177032	0.00116833189176921	0.00113993469240339	0.00125114752684706
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__thermoplasmatales|f__cuniculiplasmataceae|g__cuniculiplasma|s__cuniculiplasma_divulgatum	0.000303803809699774	0.000271604689393783	0.000168371975450019	0.000211535840961077	0.000209838982679628	0.000274884012690845	0.000674220634657368	0.000840222258177032	0.00116833189176921	0.00113993469240339	0.00125114752684706
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__thermoplasmatales|f__ferroplasmaceae	0.000260403265456949	0.000265569029629476	0.000437767136170049	0.000184240893740293	0.000279785310239504	0.000371093417132641	0.000564659781525546	0.000689413134914488	0.000932179700879692	0.00121374341349425	0.00107149557427415
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__thermoplasmatales|f__ferroplasmaceae|g__ferroplasma	0.000260403265456949	0.000265569029629476	0.000437767136170049	0.000184240893740293	0.000279785310239504	0.000371093417132641	0.000564659781525546	0.000689413134914488	0.000932179700879692	0.00121374341349425	0.00107149557427415
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__thermoplasmatales|f__ferroplasmaceae|g__ferroplasma|s__ferroplasma_acidarmanus	1.86002332469249e-05	2.41426390572251e-05	0.000101023185270011	1.36474736103921e-05	0.000113662782284799	5.4976802538169e-05	0.000130630247964865	0.0001938974441947	0.000217508596871928	0.000262431008323081	0.000333639340492549
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__thermoplasmatales|f__ferroplasmaceae|g__ferroplasma|s__ferroplasma_acidiphilum	6.82008552387247e-05	7.84635769359816e-05	0.000123472781996681	5.45898944415682e-05	1.7486581889969e-05	9.62094044417958e-05	9.69192162319966e-05	0.000136446349618492	0.000142934220801553	0.000328038760403852	0.000211732658389502
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__thermoplasmatales|f__picrophilaceae	0.000210802643465149	0.000156927153871963	6.73487901800076e-05	0.000184240893740293	0.000166122527954706	0.000151186206979965	0.000316040922495641	0.000344706567457244	0.000621453133919794	0.000541263954666355	0.000705775527965008
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__thermoplasmatales|f__picrophilaceae|g__picrophilus	0.000210802643465149	0.000156927153871963	6.73487901800076e-05	0.000184240893740293	0.000166122527954706	0.000151186206979965	0.000316040922495641	0.000344706567457244	0.000621453133919794	0.000541263954666355	0.000705775527965008
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__thermoplasmatales|f__picrophilaceae|g__picrophilus|s__picrophilus_torridus	0.000210802643465149	0.000156927153871963	6.73487901800076e-05	0.000184240893740293	0.000166122527954706	0.000151186206979965	0.000316040922495641	0.000344706567457244	0.000621453133919794	0.000541263954666355	0.000705775527965008
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__thermoplasmatales|f__thermoplasmataceae	0.000452605675675173	0.000404389204208521	0.000325519152536703	0.000477661576363722	0.000323501764964427	0.000398581818401725	0.000691076150523802	0.000926398900041343	0.00146041486471152	0.00136956182468608	0.00179010338456579
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__thermoplasmatales|f__thermoplasmataceae|g__thermoplasma	0.000452605675675173	0.000404389204208521	0.000325519152536703	0.000477661576363722	0.000323501764964427	0.000398581818401725	0.000691076150523802	0.000926398900041343	0.00146041486471152	0.00136956182468608	0.00179010338456579
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__thermoplasmatales|f__thermoplasmataceae|g__thermoplasma|s__thermoplasma_acidophilum	0.000291403654201824	0.000265569029629476	0.000202046370540023	0.000266125735402645	0.000166122527954706	0.000247395611421761	0.000307613164562424	0.000524241238007892	0.000857605324809316	0.000697082365858185	0.000911092045191192
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__thermoplasmatales|f__thermoplasmataceae|g__thermoplasma|s__thermoplasma_volcanium	0.000148801865975399	0.000132784514814738	0.000112247983633346	0.000204712104155881	0.000122406073229783	0.000151186206979965	0.000358179712161727	0.000380613501567374	0.000522020632492627	0.000615072675757222	0.000866179057047964
k__archaea|p__candidatus_thermoplasmatota|g__aciduliprofundum	0.000613807697148522	0.000464745801851583	0.000246945563993361	0.000586841365246859	0.000279785310239504	0.00030237241395993	0.000598370813258414	0.000789952550422851	0.00103161220230686	0.00102512112626204	0.00104583100962088
k__archaea|p__candidatus_thermoplasmatota|g__aciduliprofundum|s__aciduliprofundum_boonei	0.000613807697148522	0.000464745801851583	0.000246945563993361	0.000586841365246859	0.000279785310239504	0.00030237241395993	0.000598370813258414	0.000789952550422851	0.00103161220230686	0.00102512112626204	0.00104583100962088
k__archaea|p__crenarchaeota	0.0119475498222748	0.0113047907385457	0.00864309473976764	0.0115730576216125	0.00853345196230487	0.00834272978516715	0.0118494276541032	0.013314291168036	0.0177735596301061	0.0161313060428594	0.0178112078693715
k__archaea|p__crenarchaeota|c__thermoprotei	0.0119475498222748	0.0113047907385457	0.00864309473976764	0.0115730576216125	0.00853345196230487	0.00834272978516715	0.0118494276541032	0.013314291168036	0.0177735596301061	0.0161313060428594	0.0178112078693715
k__archaea|p__crenarchaeota|c__thermoprotei|o__acidilobales	0.000799810029617771	0.000718243511952447	0.000516340724713392	0.000696021154129995	0.00052459745669907	0.000453558620939894	0.000636295723957891	0.000847403644999058	0.00127397892453558	0.000918508529130785	0.00125114752684706
k__archaea|p__crenarchaeota|c__thermoprotei|o__acidilobales|f__acidilobaceae	0.000589007386152622	0.000537173719023259	0.000437767136170049	0.000559546418026074	0.000410934674414272	0.000357349216498099	0.000501451597026417	0.00066786897444841	0.000932179700879692	0.000705283334868281	0.00091750818635451
k__archaea|p__crenarchaeota|c__thermoprotei|o__acidilobales|f__acidilobaceae|g__acidilobus	0.000589007386152622	0.000537173719023259	0.000437767136170049	0.000559546418026074	0.000410934674414272	0.000357349216498099	0.000501451597026417	0.00066786897444841	0.000932179700879692	0.000705283334868281	0.00091750818635451
k__archaea|p__crenarchaeota|c__thermoprotei|o__acidilobales|f__acidilobaceae|g__acidilobus|s__acidilobus_saccharovorans	0.000297603731950799	0.000295747328451008	0.000224495967266692	0.000286596945818233	0.000166122527954706	0.000137442006345423	0.000294971527662598	0.000359069341101296	0.000416373599726262	0.000336239729413948	0.000506875151902142
k__archaea|p__crenarchaeota|c__thermoprotei|o__acidilobales|f__acidilobaceae|g__acidilobus|s__acidilobus_sp._7a	0.000285203576452849	0.000223319411279332	0.000202046370540023	0.000266125735402645	0.000227325564569597	0.000192418808883592	0.000189624553497385	0.000272892699236985	0.00048473344445744	0.000344440698424044	0.000372136187472459
k__archaea|p__crenarchaeota|c__thermoprotei|o__acidilobales|f__caldisphaeraceae	0.000210802643465149	0.000181069792929188	7.85735885433422e-05	0.000129650999298725	0.000113662782284799	8.24652038072535e-05	0.000134844126931474	0.000179534670550648	0.000329370160977491	0.000213225194262504	0.000327223199329231
k__archaea|p__crenarchaeota|c__thermoprotei|o__acidilobales|f__caldisphaeraceae|g__caldisphaera	0.000210802643465149	0.000181069792929188	7.85735885433422e-05	0.000129650999298725	0.000113662782284799	8.24652038072535e-05	0.000134844126931474	0.000179534670550648	0.000329370160977491	0.000213225194262504	0.000327223199329231
k__archaea|p__crenarchaeota|c__thermoprotei|o__acidilobales|f__caldisphaeraceae|g__caldisphaera|s__caldisphaera_lagunensis	0.000210802643465149	0.000181069792929188	7.85735885433422e-05	0.000129650999298725	0.000113662782284799	8.24652038072535e-05	0.000134844126931474	0.000179534670550648	0.000329370160977491	0.000213225194262504	0.000327223199329231
k__archaea|p__crenarchaeota|c__thermoprotei|o__desulfurococcales	0.00256063211032666	0.00248065616312988	0.00193066531849355	0.0025793725123641	0.0019759837535665	0.00160807147424144	0.00222914197333592	0.00234113210398045	0.00375357692887556	0.00350181376731112	0.0035866229102949
k__archaea|p__crenarchaeota|c__thermoprotei|o__desulfurococcales|f__desulfurococcaceae	0.00192822417993122	0.0018227692488205	0.00157147177086684	0.00184240893740293	0.00149510275159235	0.00111328025139792	0.00173611813424272	0.0018025280923285	0.00292082972942303	0.00272272171135197	0.00273327613557358
k__archaea|p__crenarchaeota|c__thermoprotei|o__desulfurococcales|f__desulfurococcaceae|g__aeropyrum	0.000613807697148522	0.000585458997137709	0.000426542337806715	0.000477661576363722	0.000437164547249225	0.000288628213325387	0.000341324196295292	0.00031598102016914	0.000720885635346962	0.000516661047636067	0.000558204281208688
k__archaea|p__crenarchaeota|c__thermoprotei|o__desulfurococcales|f__desulfurococcaceae|g__aeropyrum|s__aeropyrum_camini	0.000285203576452849	0.000247462050336557	0.000179596773813354	0.000197888367350685	0.000227325564569597	0.000192418808883592	0.000160127400731125	0.000186716057372674	0.000416373599726262	0.000295234884363467	0.000314390917002594
k__archaea|p__crenarchaeota|c__thermoprotei|o__desulfurococcales|f__desulfurococcaceae|g__aeropyrum|s__aeropyrum_pernix	0.000316203965197724	0.000319889967508233	0.000235720765630027	0.000266125735402645	0.000183609109844675	9.62094044417958e-05	0.000176982916597559	0.000129264962796466	0.000292082972942303	0.000196823256242311	0.000224564940716139
k__archaea|p__crenarchaeota|c__thermoprotei|o__desulfurococcales|f__desulfurococcaceae|g__desulfurococcus	0.000322404042946699	0.000386282224915602	0.0002918447574467	0.000402600471506566	0.000218582273624613	0.000206163009518134	0.000257046616963121	0.000287255472881037	0.000522020632492627	0.000360842636444237	0.000461962163758914
k__archaea|p__crenarchaeota|c__thermoprotei|o__desulfurococcales|f__desulfurococcaceae|g__desulfurococcus|s__desulfurococcus_amylolyticus	0.000117801477230524	0.000132784514814738	0.000123472781996681	0.000191064630545489	6.12030366148915e-05	8.24652038072535e-05	9.69192162319966e-05	0.000114902189152415	0.000229937659550324	9.02106591110592e-05	0.000230981081879457
