#mpa_v30_CHOCOPhlAn_201901
clade_name	NCBI_tax_id	reSRR9320199_taxonomic_profile	reSRR9320198_taxonomic_profile	reSRR9320197_taxonomic_profile	reSRR9320196_taxonomic_profile	reSRR9320195_taxonomic_profile	reSRR9320194_taxonomic_profile	reSRR9320193_taxonomic_profile	reSRR9320192_taxonomic_profile	reSRR9320191_taxonomic_profile	reSRR9320188_taxonomic_profile	reSRR9320187_taxonomic_profile
UNKNOWN	-1	99.13835	98.89475	99.14375	98.40897	97.6665	99.32755	99.36242	99.50487	99.31019	99.47406	99.54276
k__Archaea	2157	0.0036448809370540993	0	0.006863516644440806	0.0032584310826521182	0	0	0	0	0	0.018144817816385644	0.005437811784429358
k__Archaea|p__Euryarchaeota	2157|28890	0.0036448809370540993	0	0.006559976554811042	0.0032584310826521182	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Thermoplasmata	2157|28890|183967	0.0036448809370540993	0	0.006559976554811042	0.0032584310826521182	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Thermoplasmata|o__Thermoplasmatales	2157|28890|183967|2301	0.0036448809370540993	0	0.006559976554811042	0.0032584310826521182	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Thermoplasmata|o__Thermoplasmatales|f__Thermoplasmatales_unclassified	2157|28890|183967|2301|	0.0036448809370540993	0	0.006559976554811042	0.0032584310826521182	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Thermoplasmata|o__Thermoplasmatales|f__Thermoplasmatales_unclassified|g__Thermoplasmatales_unclassified	2157|28890|183967|2301||	0.0036448809370540993	0	0.006559976554811042	0.0032584310826521182	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Thermoplasmata|o__Thermoplasmatales|f__Thermoplasmatales_unclassified|g__Thermoplasmatales_unclassified|s__Thermoplasmatales_archaeon_B_DKE	2157|28890|183967|2301|||1961136	0.0036448809370540993	0	0.006559976554811042	0.0032584310826521182	0	0	0	0	0	0	0
k__Archaea|p__Thaumarchaeota	2157|651137	0	0	0.0003035400896297645	0	0	0	0	0	0	0.018144817816385644	0.005437811784429358
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified	2157|651137|	0	0	0.0003035400896297645	0	0	0	0	0	0	0.018144817816385644	0.005437811784429358
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified|o__Thaumarchaeota_unclassified	2157|651137||	0	0	0.0003035400896297645	0	0	0	0	0	0	0.018144817816385644	0.005437811784429358
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified|o__Thaumarchaeota_unclassified|f__Thaumarchaeota_unclassified	2157|651137|||	0	0	0.0003035400896297645	0	0	0	0	0	0	0.018144817816385644	0.005437811784429358
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified|o__Thaumarchaeota_unclassified|f__Thaumarchaeota_unclassified|g__Candidatus_Nitrosotalea	2157|651137||||1078904	0	0	0.0003035400896297645	0	0	0	0	0	0	0.018144817816385644	0.005437811784429358
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified|o__Thaumarchaeota_unclassified|f__Thaumarchaeota_unclassified|g__Candidatus_Nitrosotalea|s__Nitrosotalea_sp_CS	2157|651137||||1078904|1903276	0	0	0.0003035400896297645	0	0	0	0	0	0	0.018144817816385644	0.005437811784429358
k__Bacteria	2	0.7722657509591263	1.0257518254717584	0.7787429314885566	1.5487349983369154	2.31000973560616	0.6724483236515081	0.473253132102231	0.4951317882367618	0.6898062491866334	0.5077949794110083	0.4162246028625574
k__Bacteria|p__Actinobacteria	2|201174	0	0	0	0	0.007681642930047186	0	0	0	0	0	0.0012743613971800641
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	0	0	0	0	0.007681642930047186	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales	2|201174|1760|85009	0	0	0	0	0.007681642930047186	0	0	0	0	0	0
