clade_name	reSRR9320187_taxonomic_profile	reSRR9320188_taxonomic_profile	reSRR9320191_taxonomic_profile	reSRR9320192_taxonomic_profile	reSRR9320193_taxonomic_profile	reSRR9320194_taxonomic_profile	reSRR9320195_taxonomic_profile	reSRR9320196_taxonomic_profile	reSRR9320197_taxonomic_profile	reSRR9320198_taxonomic_profile	reSRR9320199_taxonomic_profile
k__Archaea	3.21904162734613	2.89159197609902	1.10016044006418	3.09836443215849	1.27388535031847	1.61194029850746	2.73611546909319	6.24420115049174	12.6511725733516	9.82049797336422	13.9506548888212
k__Archaea|p__Crenarchaeota	0.157282164202579	0.149381135296628	0	0.103662750518314	0	0	0.0125509883903357	0.0278344776396363	0.0630981175728257	0.0115807759119861	0.0406132602294649
k__Archaea|p__Crenarchaeota|c__Thermoprotei	0.157282164202579	0.149381135296628	0	0.103662750518314	0	0	0.0125509883903357	0.0278344776396363	0.0630981175728257	0.0115807759119861	0.0406132602294649
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Acidilobales	0	0	0	0	0	0	0.00627549419516787	0	0	0	0
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Acidilobales|f__Caldisphaeraceae	0	0	0	0	0	0	0.00627549419516787	0	0	0	0
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Acidilobales|f__Caldisphaeraceae|g__Unclassified_Caldisphaeraceae	0	0	0	0	0	0	0.00627549419516787	0	0	0	0
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Acidilobales|f__Caldisphaeraceae|g__Unclassified_Caldisphaeraceae|s__	0	0	0	0	0	0	0.00627549419516787	0	0	0	0
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Acidilobales|f__Caldisphaeraceae|g__Unclassified_Caldisphaeraceae|s__|t__	0	0	0	0	0	0	0.00627549419516787	0	0	0	0
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales	0.0838838209080424	0.0426803243704652	0	0.046072333563695	0	0	0.00627549419516787	0.0185563184264242	0.0210327058576086	0	0.0101533150573662
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae	0.0838838209080424	0.0320102432778489	0	0.046072333563695	0	0	0.00627549419516787	0.0092781592132121	0.0210327058576086	0	0.0101533150573662
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Ignisphaera	0.0104854776135053	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Ignisphaera|s__Unclassified_Ignisphaera	0.0104854776135053	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Ignisphaera|s__Unclassified_Ignisphaera|t__	0.0104854776135053	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Staphylothermus	0.0209709552270106	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Staphylothermus|s__Unclassified_Staphylothermus	0.0209709552270106	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Staphylothermus|s__Unclassified_Staphylothermus|t__	0.0209709552270106	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Thermosphaera	0	0	0	0.0115180833909238	0	0	0	0	0	0	0
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Thermosphaera|s__Unclassified_Thermosphaera	0	0	0	0.0115180833909238	0	0	0	0	0	0	0
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Thermosphaera|s__Unclassified_Thermosphaera|t__	0	0	0	0.0115180833909238	0	0	0	0	0	0	0
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Unclassified_Desulfurococcaceae	0.0524273880675265	0.0320102432778489	0	0.0345542501727713	0	0	0.00627549419516787	0.0092781592132121	0.0210327058576086	0	0.0101533150573662
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Unclassified_Desulfurococcaceae|s__	0.0524273880675265	0.0320102432778489	0	0.0345542501727713	0	0	0.00627549419516787	0.0092781592132121	0.0210327058576086	0	0.0101533150573662
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Unclassified_Desulfurococcaceae|s__|t__	0.0524273880675265	0.0320102432778489	0	0.0345542501727713	0	0	0.00627549419516787	0.0092781592132121	0.0210327058576086	0	0.0101533150573662
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Unclassified_Desulfurococcales	0	0.0106700810926163	0	0	0	0	0	0.0092781592132121	0	0	0
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Unclassified_Desulfurococcales|g__	0	0.0106700810926163	0	0	0	0	0	0.0092781592132121	0	0	0
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Unclassified_Desulfurococcales|g__|s__	0	0.0106700810926163	0	0	0	0	0	0.0092781592132121	0	0	0
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Unclassified_Desulfurococcales|g__|s__|t__	0	0.0106700810926163	0	0	0	0	0	0.0092781592132121	0	0	0
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales	0.0104854776135053	0.0213401621852326	0	0	0	0	0	0.0092781592132121	0.0210327058576086	0	0
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae	0.0104854776135053	0.0213401621852326	0	0	0	0	0	0.0092781592132121	0.0210327058576086	0	0
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Sulfolobus	0	0.0106700810926163	0	0	0	0	0	0	0.0210327058576086	0	0
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Sulfolobus|s__Unclassified_Sulfolobus	0	0.0106700810926163	0	0	0	0	0	0	0.0210327058576086	0	0
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Sulfolobus|s__Unclassified_Sulfolobus|t__	0	0.0106700810926163	0	0	0	0	0	0	0.0210327058576086	0	0
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Unclassified_Sulfolobaceae	0.0104854776135053	0.0106700810926163	0	0	0	0	0	0.0092781592132121	0	0	0
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Unclassified_Sulfolobaceae|s__	0.0104854776135053	0.0106700810926163	0	0	0	0	0	0.0092781592132121	0	0	0
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__Unclassified_Sulfolobaceae|s__|t__	0.0104854776135053	0.0106700810926163	0	0	0	0	0	0.0092781592132121	0	0	0
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales	0.0209709552270106	0.0426803243704652	0	0.0230361667818475	0	0	0	0	0.0105163529288043	0.0115807759119861	0.0203066301147325
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales|f__Thermoproteaceae	0.0209709552270106	0.0426803243704652	0	0.0230361667818475	0	0	0	0	0.0105163529288043	0	0.0101533150573662
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales|f__Thermoproteaceae|g__Unclassified_Thermoproteaceae	0	0	0	0	0	0	0	0	0.0105163529288043	0	0.0101533150573662
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales|f__Thermoproteaceae|g__Unclassified_Thermoproteaceae|s__	0	0	0	0	0	0	0	0	0.0105163529288043	0	0.0101533150573662
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales|f__Thermoproteaceae|g__Unclassified_Thermoproteaceae|s__|t__	0	0	0	0	0	0	0	0	0.0105163529288043	0	0.0101533150573662
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales|f__Thermoproteaceae|g__Vulcanisaeta	0.0209709552270106	0.0426803243704652	0	0.0230361667818475	0	0	0	0	0	0	0
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales|f__Thermoproteaceae|g__Vulcanisaeta|s__Unclassified_Vulcanisaeta	0.0209709552270106	0.0426803243704652	0	0.0230361667818475	0	0	0	0	0	0	0
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales|f__Thermoproteaceae|g__Vulcanisaeta|s__Unclassified_Vulcanisaeta|t__	0.0209709552270106	0.0426803243704652	0	0.0230361667818475	0	0	0	0	0	0	0
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales|f__Unclassified_Thermoproteales	0	0	0	0	0	0	0	0	0	0.0115807759119861	0.0101533150573662
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales|f__Unclassified_Thermoproteales|g__	0	0	0	0	0	0	0	0	0	0.0115807759119861	0.0101533150573662
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales|f__Unclassified_Thermoproteales|g__|s__	0	0	0	0	0	0	0	0	0	0.0115807759119861	0.0101533150573662
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Thermoproteales|f__Unclassified_Thermoproteales|g__|s__|t__	0	0	0	0	0	0	0	0	0	0.0115807759119861	0.0101533150573662
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Unclassified_Thermoprotei	0.0419419104540212	0.0426803243704652	0	0.0345542501727713	0	0	0	0	0.0105163529288043	0	0.0101533150573662
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Unclassified_Thermoprotei|f__	0.0419419104540212	0.0426803243704652	0	0.0345542501727713	0	0	0	0	0.0105163529288043	0	0.0101533150573662
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Unclassified_Thermoprotei|f__|g__	0.0419419104540212	0.0426803243704652	0	0.0345542501727713	0	0	0	0	0.0105163529288043	0	0.0101533150573662
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Unclassified_Thermoprotei|f__|g__|s__	0.0419419104540212	0.0426803243704652	0	0.0345542501727713	0	0	0	0	0.0105163529288043	0	0.0101533150573662
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Unclassified_Thermoprotei|f__|g__|s__|t__	0.0419419104540212	0.0426803243704652	0	0.0345542501727713	0	0	0	0	0.0105163529288043	0	0.0101533150573662
k__Archaea|p__Euryarchaeota	1.62524903009332	1.32309005548442	0.573000229200092	1.6010135913384	0.800727934485896	0.895522388059702	1.76341386884217	3.97105214325478	7.26679987380376	5.9177764910249	8.64047111381866
k__Archaea|p__Euryarchaeota|c__Archaeoglobi	0.0209709552270106	0	0	0	0	0	0	0.0278344776396363	0.0105163529288043	0	0
k__Archaea|p__Euryarchaeota|c__Archaeoglobi|o__Archaeoglobales	0.0209709552270106	0	0	0	0	0	0	0.0278344776396363	0.0105163529288043	0	0
