Taxonomy	reSRR9320187	reSRR9320188	reSRR9320191	reSRR9320192	reSRR9320193	reSRR9320194	reSRR9320195	reSRR9320196	reSRR9320197	reSRR9320198	reSRR9320199
k__Archaea	0.836172763607247	1.20955751359485	0.110534715668507	0.978517366053907	0.0851242393401316	0.107076548566258	0.550961413437391	0.64811389122873	0.731016332498803	0.856771162946299	0.855814316316302
k__Archaea|p__Candidatus_Micrarchaeota	0	0	0	0	0	0	0.00526097202263338	0.0166418134156475	0.0225841848755228	0.0318014228123945	0.0297905151010085
k__Archaea|p__Candidatus_Micrarchaeota|c__CFGB76	0	0	0	0	0	0	0.00526097202263338	0.0166418134156475	0.0225841848755228	0.0318014228123945	0.0297905151010085
k__Archaea|p__Candidatus_Micrarchaeota|c__CFGB76|o__OFGB76	0	0	0	0	0	0	0.00526097202263338	0.0166418134156475	0.0225841848755228	0.0318014228123945	0.0297905151010085
k__Archaea|p__Candidatus_Micrarchaeota|c__CFGB76|o__OFGB76|f__FGB76	0	0	0	0	0	0	0.00526097202263338	0.0166418134156475	0.0225841848755228	0.0318014228123945	0.0297905151010085
k__Archaea|p__Euryarchaeota	0.373125700538536	0.327282232182594	0.051887027938753	0.443519072643273	0.0419068847669368	0.050087906155941	0.106193810374939	0.231842639954706	0.240758466396644	0.260108763752712	0.238658886680896
k__Archaea|p__Euryarchaeota|c__CFGB9272	0.373125700538536	0.327282232182594	0.051887027938753	0.443519072643273	0.0419068847669368	0.050087906155941	0.106193810374939	0.231842639954706	0.240758466396644	0.260108763752712	0.238658886680896
k__Archaea|p__Euryarchaeota|c__CFGB9272|o__OFGB9272	0.373125700538536	0.327282232182594	0.051887027938753	0.443519072643273	0.0419068847669368	0.050087906155941	0.106193810374939	0.231842639954706	0.240758466396644	0.260108763752712	0.238658886680896
k__Archaea|p__Euryarchaeota|c__CFGB9272|o__OFGB9272|f__FGB9272	0.373125700538536	0.327282232182594	0.051887027938753	0.443519072643273	0.0419068847669368	0.050087906155941	0.106193810374939	0.231842639954706	0.240758466396644	0.260108763752712	0.238658886680896
k__Archaea|p__Thaumarchaeota	0.463047063068711	0.882275281412261	0.0586476877297536	0.534998293410634	0.0432173545731949	0.056988642410317	0.439506631039819	0.399629437858377	0.467673681226636	0.564860976381192	0.587364914534398
k__Archaea|p__Thaumarchaeota|c__CFGB16997	0.0119621252891762	0.0109299172690895	0.0277915254700292	0.0167547333845639	0.0196237184787761	0.0244962889173165	0.220522327125453	0.257958983266336	0.323442271960769	0.368120563365407	0.403133895971102
k__Archaea|p__Thaumarchaeota|c__CFGB16997|o__OFGB16997	0.0119621252891762	0.0109299172690895	0.0277915254700292	0.0167547333845639	0.0196237184787761	0.0244962889173165	0.220522327125453	0.257958983266336	0.323442271960769	0.368120563365407	0.403133895971102
k__Archaea|p__Thaumarchaeota|c__CFGB16997|o__OFGB16997|f__FGB16997	0.0119621252891762	0.0109299172690895	0.0277915254700292	0.0167547333845639	0.0196237184787761	0.0244962889173165	0.220522327125453	0.257958983266336	0.323442271960769	0.368120563365407	0.403133895971102
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified	0.451084937779535	0.871345364143171	0.0308561622597244	0.51824356002607	0.0235936360944187	0.0324923534930005	0.218984303914365	0.141670454592041	0.144231409265867	0.196740413015785	0.184231018563296
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified|o__Thaumarchaeota_unclassified	0.451084937779535	0.871345364143171	0.0308561622597244	0.51824356002607	0.0235936360944187	0.0324923534930005	0.218984303914365	0.141670454592041	0.144231409265867	0.196740413015785	0.184231018563296
