Taxonomy	reSRR9320187	reSRR9320188	reSRR9320191	reSRR9320192	reSRR9320193	reSRR9320194	reSRR9320195	reSRR9320196	reSRR9320197	reSRR9320198	reSRR9320199
k__Archaea	0	1.50625202728703	0	0.684860805450185	0	0	2.17743800474942	1.63932200033296	5.78033638171466	1.80648229165102	2.82241393270593
k__Archaea|p__Candidatus_Micrarchaeota	0	0	0	0	0	0	0	0	2.2397427558773	0	0
k__Archaea|p__Candidatus_Micrarchaeota|c__CFGB76	0	0	0	0	0	0	0	0	2.2397427558773	0	0
k__Archaea|p__Candidatus_Micrarchaeota|c__CFGB76|o__OFGB76	0	0	0	0	0	0	0	0	2.2397427558773	0	0
k__Archaea|p__Candidatus_Micrarchaeota|c__CFGB76|o__OFGB76|f__FGB76	0	0	0	0	0	0	0	0	2.2397427558773	0	0
k__Archaea|p__Euryarchaeota	0	0.630285130072505	0	0.684860805450185	0	0	1.71938524870152	1.63932200033296	2.79255203270773	1.80648229165102	2.14465607463843
k__Archaea|p__Euryarchaeota|c__CFGB9272	0	0.630285130072505	0	0.684860805450185	0	0	1.71938524870152	1.63932200033296	2.79255203270773	1.80648229165102	2.14465607463843
k__Archaea|p__Euryarchaeota|c__CFGB9272|o__OFGB9272	0	0.630285130072505	0	0.684860805450185	0	0	1.71938524870152	1.63932200033296	2.79255203270773	1.80648229165102	2.14465607463843
k__Archaea|p__Euryarchaeota|c__CFGB9272|o__OFGB9272|f__FGB9272	0	0.630285130072505	0	0.684860805450185	0	0	1.71938524870152	1.63932200033296	2.79255203270773	1.80648229165102	2.14465607463843
k__Archaea|p__Thaumarchaeota	0	0.875966897214529	0	0	0	0	0.458052756047902	0	0.748041593129637	0	0.677757858067503
k__Archaea|p__Thaumarchaeota|c__CFGB16997	0	0	0	0	0	0	0	0	0.748041593129637	0	0.677757858067503
k__Archaea|p__Thaumarchaeota|c__CFGB16997|o__OFGB16997	0	0	0	0	0	0	0	0	0.748041593129637	0	0.677757858067503
k__Archaea|p__Thaumarchaeota|c__CFGB16997|o__OFGB16997|f__FGB16997	0	0	0	0	0	0	0	0	0.748041593129637	0	0.677757858067503
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified	0	0.875966897214529	0	0	0	0	0.458052756047902	0	0	0	0
