Taxa	reERR5005154	reERR5005155	reERR5005156	reERR5005157	reERR5005158	reERR5005159	reERR5005160	reERR5005161	reERR5005162	reERR5005163	reERR5005164	reERR5005165	reERR5005166	reERR5005167	reERR5005168	reERR5005169	reERR5005170	reERR5005171	reERR5005283	reERR5005284	reERR5005285	reERR5005286	reERR5005287	reERR5005288	reERR5005289	reERR5005290	reERR5005291	reERR5005292	reERR5005293	reERR5005301	reERR5005302	reERR5005303	reERR5005304	reERR5005305	reERR5005306	reERR5005307	reERR5005308	reERR5005309	reERR5005310	reERR5005311	reERR5005312	reERR5005313	reERR5005314	reERR5005315	reERR5005316	reERR5005317	reERR5005318	reERR5005319	reERR5005320	reERR5005321	reERR5005322	reERR5005323	reERR5005324	reERR5005325	reERR5005326	reERR5005327	reERR5005328	reERR5005329	reERR5005330	reERR5005331	reERR5005334	reERR5005335
k__archaea	0.255496786598818	0.241336378492993	0.224527513747064	0.252631630161241	0.255893822185457	0.694521034765879	0.261515184914281	0.236433679045288	0.314944110727432	0.295998531021076	0.702212882354232	0.290185452417225	0.154875636271737	0.697897846287955	0.209110526241659	0.149378875518182	0.389262284556901	0.0665583011098081	0.128234095645592	0.340001466594208	0.190050760152839	0.122123998379261	0.300983371666625	0.0183193931223915	0.352424106088712	0.0873081907605838	0.198650176208524	0.314045115026525	0.0814925294873326	0.125681893036889	0.321487252780936	0.470477302747744	0.143301919352095	0.309923686056982	0.1942653556661	0.188963652993328	0.562811722566093	0.170033199127684	0.145394725650851	0.113398523400899	0.167308739857942	0.136799789992655	0.0972392679797782	0.112263619135725	0.0998858158313614	0.781503452801616	0.00599892997346886	0.47104658424105	0.914297220885454	0.0505734564922948	0.127163470482668	0.176527963084354	0.224981416206399	0.189121532026328	0.0947168514308084	0.0113972571029909	0.0219560119805738	0.255620804984814	0.184849045150544	0.0692842146266756	1.29948894886504	0.623636879958245
k__archaea|p__candidatus_korarchaeota	0.000162235632980168	0.000144686078233209	0.000273178039068433	0.000243265893270333	0.000191173594784466	0.000102120428579015	0.000350690860996162	0.000262485350036401	6.82414652105498e-05	0.000288884744195267	0.000511959121283116	0.000156367974051852	0.000122761284299094	7.75146757428231e-05	4.85682327817115e-05	0	0.000182724950610276	0.000107808546037349	4.32019188564279e-05	0.000191771347187322	0.000167337485459767	0.00019777165729435	6.92692089794022e-05	8.79471585328444e-06	0.00014575828805919	2.20086187952064e-05	0.000221645942771018	5.44191455883176e-05	3.64131052222219e-05	0.000144015002906943	0.000156475327187736	0.000127817322022596	8.85573658917441e-05	0.000117284270977098	9.68614657290089e-05	9.49884314644746e-05	0.000312260582637738	0	7.80307656581606e-05	0.000121381704751888	8.05013984881837e-05	0.000182108346635589	2.89661209352929e-05	7.10529235036232e-05	4.50341820700457e-05	9.6841667483218e-05	0	0	0.000145766129074241	3.87536065075056e-05	4.75804349632075e-05	6.71975497085474e-05	0.000207988736439308	3.08517996780306e-05	3.582783435789e-05	0	0	0.000249873709662575	8.43905428919576e-05	7.58105107713387e-05	7.98778362895031e-05	0.000257335266072555
k__archaea|p__candidatus_korarchaeota|g__candidatus_korarchaeum	0.000162235632980168	0.000144686078233209	0.000273178039068433	0.000243265893270333	0.000191173594784466	0.000102120428579015	0.000350690860996162	0.000262485350036401	6.82414652105498e-05	0.000288884744195267	0.000511959121283116	0.000156367974051852	0.000122761284299094	7.75146757428231e-05	4.85682327817115e-05	0	0.000182724950610276	0.000107808546037349	4.32019188564279e-05	0.000191771347187322	0.000167337485459767	0.00019777165729435	6.92692089794022e-05	8.79471585328444e-06	0.00014575828805919	2.20086187952064e-05	0.000221645942771018	5.44191455883176e-05	3.64131052222219e-05	0.000144015002906943	0.000156475327187736	0.000127817322022596	8.85573658917441e-05	0.000117284270977098	9.68614657290089e-05	9.49884314644746e-05	0.000312260582637738	0	7.80307656581606e-05	0.000121381704751888	8.05013984881837e-05	0.000182108346635589	2.89661209352929e-05	7.10529235036232e-05	4.50341820700457e-05	9.6841667483218e-05	0	0	0.000145766129074241	3.87536065075056e-05	4.75804349632075e-05	6.71975497085474e-05	0.000207988736439308	3.08517996780306e-05	3.582783435789e-05	0	0	0.000249873709662575	8.43905428919576e-05	7.58105107713387e-05	7.98778362895031e-05	0.000257335266072555
k__archaea|p__candidatus_korarchaeota|g__candidatus_korarchaeum|s__candidatus_korarchaeum_cryptofilum	0.000162235632980168	0.000144686078233209	0.000273178039068433	0.000243265893270333	0.000191173594784466	0.000102120428579015	0.000350690860996162	0.000262485350036401	6.82414652105498e-05	0.000288884744195267	0.000511959121283116	0.000156367974051852	0.000122761284299094	7.75146757428231e-05	4.85682327817115e-05	0	0.000182724950610276	0.000107808546037349	4.32019188564279e-05	0.000191771347187322	0.000167337485459767	0.00019777165729435	6.92692089794022e-05	8.79471585328444e-06	0.00014575828805919	2.20086187952064e-05	0.000221645942771018	5.44191455883176e-05	3.64131052222219e-05	0.000144015002906943	0.000156475327187736	0.000127817322022596	8.85573658917441e-05	0.000117284270977098	9.68614657290089e-05	9.49884314644746e-05	0.000312260582637738	0	7.80307656581606e-05	0.000121381704751888	8.05013984881837e-05	0.000182108346635589	2.89661209352929e-05	7.10529235036232e-05	4.50341820700457e-05	9.6841667483218e-05	0	0	0.000145766129074241	3.87536065075056e-05	4.75804349632075e-05	6.71975497085474e-05	0.000207988736439308	3.08517996780306e-05	3.582783435789e-05	0	0	0.000249873709662575	8.43905428919576e-05	7.58105107713387e-05	7.98778362895031e-05	0.000257335266072555
k__archaea|p__candidatus_lokiarchaeota	0.00244164627635153	0.00234712971356095	0.0049172047032318	0.00364898839905499	0.00156921659052249	0.000510602142895073	0.00330651383224953	0.00232487024317955	0.00318785130340711	0.00305134511056251	0.00224286853133556	0.00160835630453333	0.00171865798018731	0.000149492588932587	0.000914701717388901	0.000781179476852784	0.00108804402408846	0.000525566661932075	0.00141486284254801	0.0011141002074692	0.00172915401641759	0.00112482630086162	0.000926475670099504	0.000404556929251084	0.00129239015412481	0.000858336133013049	0.00166234457078263	0.000171031600420427	0.000728262104444438	0.00070567351424402	0.00150390175574879	0.00194464925648664	0.000869472319664397	0.00202315367435494	0.00156915574480994	0.00273355597214433	0.00354457958669864	0.00199979495773218	0.0012640984036622	0.000662930849029544	0.000411451592272939	0.000965174237168623	0.00141933992582935	0.000532896926277174	0.00141857673520644	0.00245625683889253	0.000108676267635305	0.00161369728513516	0.00270708525423591	0.000503796884597573	0.00266450435793962	0.00305748851173891	0.00183030088066591	0.00274581017134472	0.00186304738661028	0.000144676042210039	0	0.00133265978486707	0.00299586427266449	0.00134810864806424	0.00114007457249564	0.00215707502443171
k__archaea|p__candidatus_lokiarchaeota|g__candidatus_prometheoarchaeum	0.00244164627635153	0.00234712971356095	0.0049172047032318	0.00364898839905499	0.00156921659052249	0.000510602142895073	0.00330651383224953	0.00232487024317955	0.00318785130340711	0.00305134511056251	0.00224286853133556	0.00160835630453333	0.00171865798018731	0.000149492588932587	0.000914701717388901	0.000781179476852784	0.00108804402408846	0.000525566661932075	0.00141486284254801	0.0011141002074692	0.00172915401641759	0.00112482630086162	0.000926475670099504	0.000404556929251084	0.00129239015412481	0.000858336133013049	0.00166234457078263	0.000171031600420427	0.000728262104444438	0.00070567351424402	0.00150390175574879	0.00194464925648664	0.000869472319664397	0.00202315367435494	0.00156915574480994	0.00273355597214433	0.00354457958669864	0.00199979495773218	0.0012640984036622	0.000662930849029544	0.000411451592272939	0.000965174237168623	0.00141933992582935	0.000532896926277174	0.00141857673520644	0.00245625683889253	0.000108676267635305	0.00161369728513516	0.00270708525423591	0.000503796884597573	0.00266450435793962	0.00305748851173891	0.00183030088066591	0.00274581017134472	0.00186304738661028	0.000144676042210039	0	0.00133265978486707	0.00299586427266449	0.00134810864806424	0.00114007457249564	0.00215707502443171
k__archaea|p__candidatus_lokiarchaeota|g__candidatus_prometheoarchaeum|s__candidatus_prometheoarchaeum_syntrophicum	0.00244164627635153	0.00234712971356095	0.0049172047032318	0.00364898839905499	0.00156921659052249	0.000510602142895073	0.00330651383224953	0.00232487024317955	0.00318785130340711	0.00305134511056251	0.00224286853133556	0.00160835630453333	0.00171865798018731	0.000149492588932587	0.000914701717388901	0.000781179476852784	0.00108804402408846	0.000525566661932075	0.00141486284254801	0.0011141002074692	0.00172915401641759	0.00112482630086162	0.000926475670099504	0.000404556929251084	0.00129239015412481	0.000858336133013049	0.00166234457078263	0.000171031600420427	0.000728262104444438	0.00070567351424402	0.00150390175574879	0.00194464925648664	0.000869472319664397	0.00202315367435494	0.00156915574480994	0.00273355597214433	0.00354457958669864	0.00199979495773218	0.0012640984036622	0.000662930849029544	0.000411451592272939	0.000965174237168623	0.00141933992582935	0.000532896926277174	0.00141857673520644	0.00245625683889253	0.000108676267635305	0.00161369728513516	0.00270708525423591	0.000503796884597573	0.00266450435793962	0.00305748851173891	0.00183030088066591	0.00274581017134472	0.00186304738661028	0.000144676042210039	0	0.00133265978486707	0.00299586427266449	0.00134810864806424	0.00114007457249564	0.00215707502443171
k__archaea|p__candidatus_micrarchaeota	0.00060838362367563	0.000385829541955225	0.00076986538282922	0.000608164733175832	0.00031862265797411	0.000102120428579015	0.00115226997184453	0.000674962328665031	0.000370453668285842	0.000523603598853922	0.000511959121283116	0.000681317601225925	0.000360099767277341	6.09043880836468e-05	8.90417600998045e-05	0.000115730292867079	0.000191030630183471	8.08564095280115e-05	0.000237610553710354	0.000356146787633597	0.000234272479643674	0.000234853843037041	0.000251100882550333	8.79471585328444e-06	0.000408123206565731	8.80344751808256e-05	0.000321386617017976	9.32899638656873e-05	0.000127445868277777	0.000316833006395274	0.000147782253455084	0.000292153878908791	0.000225418749542621	0.000381173880675569	0.00021309522460382	0.000401062266183337	0.000506368512385521	0.000202510881795664	0.000241895373540298	0.000177404030021991	8.05013984881837e-05	0.000200319181299148	5.79322418705857e-05	8.8816154379529e-05	0.000135102546210137	0.000448993185604011	0	0.000139111834925445	0.000478945852672507	0.000201518753839029	0.000209353913838113	0.000638376722231201	0.000367446767709444	3.08517996780306e-05	0.00029856528631575	1.60751158011155e-05	0	0.000416456182770958	0.000295366900121851	0.000276873169773585	0.000130709186655551	0.000333022109035071
k__archaea|p__candidatus_micrarchaeota|c__candidatus_micrarchaeia	0.000186570977927193	8.03811545740052e-05	0.000173840570316276	0.000243265893270333	0.000111517930290938	0	0.00015029608328407	0.000253110873249387	0.000146231711165464	0.000361105930244084	0.000268169063529251	0.000569626191188888	4.09204280996979e-05	4.98308629775292e-05	6.47576437089487e-05	0	6.64454365855551e-05	2.69521365093372e-05	5.40023985705349e-05	0.000200903316101004	0.000167337485459767	5.5623278614036e-05	0.000155855720203655	8.79471585328444e-06	0.000184627164874973	4.40172375904128e-05	1.10822971385509e-05	1.55483273109479e-05	4.55163815277774e-05	1.44015002906943e-05	7.82376635938679e-05	0.000127817322022596	0.000152962722903922	0.000175926406465647	2.90584397187027e-05	0.000126651241952633	6.75158016514028e-05	5.0627720448916e-05	9.36369187897928e-05	0.000149392867386939	5.36675989921225e-05	7.28433386542357e-05	2.89661209352929e-05	7.10529235036232e-05	6.75512731050686e-05	0.000176075759060396	0	5.5644733970178e-05	0.000281120391786037	3.10028852060045e-05	1.9032173985283e-05	0.000167993874271369	0.000228787610083239	0	0.0001194261145263	8.03755790055773e-06	0	0.000333164946216766	0.000261610682965068	0.000141732694050764	7.26162148086392e-05	0.000166511054517536
k__archaea|p__candidatus_micrarchaeota|c__candidatus_micrarchaeia|o__candidatus_micrarchaeales	0.000186570977927193	8.03811545740052e-05	0.000173840570316276	0.000243265893270333	0.000111517930290938	0	0.00015029608328407	0.000253110873249387	0.000146231711165464	0.000361105930244084	0.000268169063529251	0.000569626191188888	4.09204280996979e-05	4.98308629775292e-05	6.47576437089487e-05	0	6.64454365855551e-05	2.69521365093372e-05	5.40023985705349e-05	0.000200903316101004	0.000167337485459767	5.5623278614036e-05	0.000155855720203655	8.79471585328444e-06	0.000184627164874973	4.40172375904128e-05	1.10822971385509e-05	1.55483273109479e-05	4.55163815277774e-05	1.44015002906943e-05	7.82376635938679e-05	0.000127817322022596	0.000152962722903922	0.000175926406465647	2.90584397187027e-05	0.000126651241952633	6.75158016514028e-05	5.0627720448916e-05	9.36369187897928e-05	0.000149392867386939	5.36675989921225e-05	7.28433386542357e-05	2.89661209352929e-05	7.10529235036232e-05	6.75512731050686e-05	0.000176075759060396	0	5.5644733970178e-05	0.000281120391786037	3.10028852060045e-05	1.9032173985283e-05	0.000167993874271369	0.000228787610083239	0	0.0001194261145263	8.03755790055773e-06	0	0.000333164946216766	0.000261610682965068	0.000141732694050764	7.26162148086392e-05	0.000166511054517536
