Taxonomy	reERR5005154	reERR5005155	reERR5005156	reERR5005157	reERR5005158	reERR5005159	reERR5005160	reERR5005161	reERR5005162	reERR5005163	reERR5005164	reERR5005165	reERR5005166	reERR5005167	reERR5005168	reERR5005169	reERR5005170	reERR5005171	reERR5005283	reERR5005284	reERR5005285	reERR5005286	reERR5005287	reERR5005288	reERR5005289	reERR5005290	reERR5005291	reERR5005292	reERR5005293	reERR5005301	reERR5005302	reERR5005303	reERR5005304	reERR5005305	reERR5005306	reERR5005307	reERR5005308	reERR5005309	reERR5005310	reERR5005311	reERR5005312	reERR5005313	reERR5005314	reERR5005315	reERR5005316	reERR5005317	reERR5005318	reERR5005319	reERR5005320	reERR5005321	reERR5005322	reERR5005323	reERR5005324	reERR5005325	reERR5005326	reERR5005327	reERR5005328	reERR5005329	reERR5005330	reERR5005331	reERR5005334	reERR5005335
k__Archaea	0	0	0	0	0	0	0	0	0.00409899498676202	0	0.010865149552283	1.64439046396141e-05	0.00056898596973046	0.000443962188750275	4.78104393868612e-05	0	0.664353874001051	0	0	2.90266251307424e-05	0.000241025668030953	4.2253503694321e-05	0	1.58003065357916e-05	1.76416376582077e-05	0	0	0	0	0	2.35248178461434	1.62969522125072	0.000713704562027689	0.131536786621809	0.00484795127992503	0.000803950522557425	1.59327265101051	0.000722390212017489	0.00393946367549409	4.75351851154823e-05	0	0.00033540989450229	2.30058469044675e-05	0	0	0.180595768311886	2.66272961412226e-05	0	0.278580698909834	0	2.80395818868267e-06	0	0	0	5.33773278609605e-05	6.18840368365416e-06	0	0	0	4.90586409575312e-05	0.710340584425612	0.331976053396264
k__Archaea|p__Halobacteriota	0	0	0	0	0	0	0	0	0.00409899498676202	0	0.010865149552283	0	0.00056898596973046	0.000423506612452137	2.0667789750249e-05	0	0.66417014184329	0	0	0	0.000121874424430859	0	0	0	1.76416376582077e-05	0	0	0	0	0	1.32750184464246	0.0560190894239292	0.000205295584083804	0.12734210407861	0.00156614020849616	0.000547708854077847	0	0	9.24237037155639e-06	1.07003567843898e-05	0	8.62424485344075e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Halobacteriota|c__Methanomicrobia	0	0	0	0	0	0	0	0	0.00409899498676202	0	0.010865149552283	0	0.00056898596973046	0.000423506612452137	2.0667789750249e-05	0	0.66417014184329	0	0	0	0.000121874424430859	0	0	0	1.76416376582077e-05	0	0	0	0	0	1.32750184464246	0.0560190894239292	0.000205295584083804	0.12734210407861	0.00156614020849616	0.000547708854077847	0	0	9.24237037155639e-06	1.07003567843898e-05	0	8.62424485344075e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Halobacteriota|c__Methanomicrobia|o__Methanomicrobiales	0	0	0	0	0	0	0	0	0.00409899498676202	0	0.010865149552283	0	0.00056898596973046	0.000423506612452137	2.0667789750249e-05	0	0.66417014184329	0	0	0	0.000121874424430859	0	0	0	1.76416376582077e-05	0	0	0	0	0	1.32750184464246	0.0560190894239292	0.000205295584083804	0.12734210407861	0.00156614020849616	0.000547708854077847	0	0	9.24237037155639e-06	1.07003567843898e-05	0	8.62424485344075e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Halobacteriota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanocorpusculaceae	0	0	0	0	0	0	0	0	0.00409899498676202	0	0.010865149552283	0	0.00056898596973046	0.000423506612452137	2.0667789750249e-05	0	0.66417014184329	0	0	0	0.000121874424430859	0	0	0	1.76416376582077e-05	0	0	0	0	0	1.32750184464246	0.0560190894239292	0.000205295584083804	0.12734210407861	0.00156614020849616	0.000547708854077847	0	0	9.24237037155639e-06	1.07003567843898e-05	0	8.62424485344075e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Halobacteriota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanocorpusculaceae|g__Methanocorpusculum	0	0	0	0	0	0	0	0	0.00409899498676202	0	0.010865149552283	0	0.00056898596973046	0.000423506612452137	2.0667789750249e-05	0	0.66417014184329	0	0	0	0.000121874424430859	0	0	0	1.76416376582077e-05	0	0	0	0	0	1.32750184464246	0.0560190894239292	0.000205295584083804	0.12734210407861	0.00156614020849616	0.000547708854077847	0	0	9.24237037155639e-06	1.07003567843898e-05	0	8.62424485344075e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Halobacteriota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanocorpusculaceae|g__Methanocorpusculum|s__Methanocorpusculum parvum	0	0	0	0	0	0	0	0	0.00409899498676202	0	0.010865149552283	0	0.00056898596973046	0.000423506612452137	0	0	0.66417014184329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Methanobacteriota	0	0	0	0	0	0	0	0	0	0	0	1.64439046396141e-05	0	2.04555762981385e-05	2.71426496366123e-05	0	0.000183732157760932	0	0	1.84165034766089e-05	0.000119151243600094	4.2253503694321e-05	0	0	0	0	0	0	0	0	0	1.57367613182679	0	0.00419468254319976	0	0.000223781143855575	0	0	0	0	0	0	0	0	0	0.180595768311886	2.66272961412226e-05	0	0.278580698909834	0	0	0	0	0	0	0	0	0	0	0	0.710340584425612	0.331976053396264
k__Archaea|p__Methanobacteriota|c__Methanobacteria	0	0	0	0	0	0	0	0	0	0	0	1.64439046396141e-05	0	2.04555762981385e-05	2.71426496366123e-05	0	0.000183732157760932	0	0	1.84165034766089e-05	0.000119151243600094	4.2253503694321e-05	0	0	0	0	0	0	0	0	0	1.57367613182679	0	0.00419468254319976	0	0.000223781143855575	0	0	0	0	0	0	0	0	0	0.180595768311886	2.66272961412226e-05	0	0.278580698909834	0	0	0	0	0	0	0	0	0	0	0	0.710340584425612	0.331976053396264
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales	0	0	0	0	0	0	0	0	0	0	0	1.64439046396141e-05	0	2.04555762981385e-05	2.71426496366123e-05	0	0.000183732157760932	0	0	1.84165034766089e-05	0.000119151243600094	4.2253503694321e-05	0	0	0	0	0	0	0	0	0	1.57367613182679	0	0.00419468254319976	0	0.000223781143855575	0	0	0	0	0	0	0	0	0	0.180595768311886	2.66272961412226e-05	0	0.278580698909834	0	0	0	0	0	0	0	0	0	0	0	0.710340584425612	0.331976053396264
