Taxonomy	reERR5005154	reERR5005155	reERR5005156	reERR5005157	reERR5005158	reERR5005159	reERR5005160	reERR5005161	reERR5005162	reERR5005163	reERR5005164	reERR5005165	reERR5005166	reERR5005167	reERR5005168	reERR5005169	reERR5005170	reERR5005171	reERR5005283	reERR5005284	reERR5005285	reERR5005286	reERR5005287	reERR5005288	reERR5005289	reERR5005290	reERR5005291	reERR5005292	reERR5005293	reERR5005301	reERR5005302	reERR5005303	reERR5005304	reERR5005305	reERR5005306	reERR5005307	reERR5005308	reERR5005309	reERR5005310	reERR5005311	reERR5005312	reERR5005313	reERR5005314	reERR5005315	reERR5005316	reERR5005317	reERR5005318	reERR5005319	reERR5005320	reERR5005321	reERR5005322	reERR5005323	reERR5005324	reERR5005325	reERR5005326	reERR5005327	reERR5005328	reERR5005329	reERR5005330	reERR5005331	reERR5005334	reERR5005335
k__Archaea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.44607390308872	0	0	0	0	0	0	0	0	0	0	0	0	0	2.07045276059277	0	0	2.89720461203798	0	0	0	0	0	0	0	0	0	0	0	1.07640061925887	0
k__Archaea|p__Methanobacteriota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.44607390308872	0	0	0	0	0	0	0	0	0	0	0	0	0	2.07045276059277	0	0	2.89720461203798	0	0	0	0	0	0	0	0	0	0	0	1.07640061925887	0
k__Archaea|p__Methanobacteriota|c__Methanobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.44607390308872	0	0	0	0	0	0	0	0	0	0	0	0	0	2.07045276059277	0	0	2.89720461203798	0	0	0	0	0	0	0	0	0	0	0	1.07640061925887	0
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.44607390308872	0	0	0	0	0	0	0	0	0	0	0	0	0	2.07045276059277	0	0	2.89720461203798	0	0	0	0	0	0	0	0	0	0	0	1.07640061925887	0
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.44607390308872	0	0	0	0	0	0	0	0	0	0	0	0	0	2.07045276059277	0	0	2.89720461203798	0	0	0	0	0	0	0	0	0	0	0	1.07640061925887	0
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.07045276059277	0	0	2.89720461203798	0	0	0	0	0	0	0	0	0	0	0	1.07640061925887	0
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A|s__Methanobrevibacter_A smithii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.07640061925887	0
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A|s__Methanobrevibacter_A sp900769095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.07045276059277	0	0	2.89720461203798	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria	27.5623263792584	32.4794418066229	35.4762893923563	23.8714918301833	9.45207871084635	13.4271265407441	11.222335357096	26.7098453689956	24.3566887819438	5.49445826876344	11.5613644508935	13.7384626304166	53.3875262215252	29.0678613286156	51.2872179563463	4.00654832092928	36.7792348319795	55.7327512475586	32.6590965675658	33.7639682070223	26.3276359545143	46.2939474137049	30.8843189451336	18.9897856402041	22.2232489898774	55.858936700427	38.0242662203972	30.6973136732559	51.3838097663655	41.0658566077807	42.3782998061736	34.7917637211139	29.2704866655069	6.03027571537506	51.0308637339736	52.4882819922687	51.4980315272855	13.2730607779205	44.9012733694874	37.9322248389963	33.5711765018086	66.397133911171	36.8033272477746	32.1284688062578	43.3984453345954	43.1724318042466	39.1407009257532	6.70713570026522	43.0027778648201	0.96153716847279	10.1979955715383	0	31.2645725935328	6.58210987892384	80.8094966360216	40.5977404491801	50.6180963155136	15.6679068108856	12.5105613545243	1.34169756039169	27.0595682721965	48.8803105305422
k__Bacteria|p__Acidobacteriota	0	0	0	0	0	6.3985646188395	0	0	0	0	0	0	0	1.5995828556967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia	0	0	0	0	0	6.3985646188395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
