clade_name	NCBI_tax_id	reERR5005335_taxonomic_profile	reERR5005334_taxonomic_profile	reERR5005331_taxonomic_profile	reERR5005330_taxonomic_profile	reERR5005329_taxonomic_profile	reERR5005328_taxonomic_profile	reERR5005327_taxonomic_profile	reERR5005326_taxonomic_profile	reERR5005325_taxonomic_profile	reERR5005324_taxonomic_profile	reERR5005323_taxonomic_profile	reERR5005322_taxonomic_profile	reERR5005321_taxonomic_profile	reERR5005320_taxonomic_profile	reERR5005319_taxonomic_profile	reERR5005318_taxonomic_profile	reERR5005317_taxonomic_profile	reERR5005316_taxonomic_profile	reERR5005315_taxonomic_profile	reERR5005314_taxonomic_profile	reERR5005313_taxonomic_profile	reERR5005312_taxonomic_profile	reERR5005311_taxonomic_profile	reERR5005310_taxonomic_profile	reERR5005309_taxonomic_profile	reERR5005308_taxonomic_profile	reERR5005307_taxonomic_profile	reERR5005306_taxonomic_profile	reERR5005305_taxonomic_profile	reERR5005304_taxonomic_profile	reERR5005303_taxonomic_profile	reERR5005302_taxonomic_profile	reERR5005301_taxonomic_profile	reERR5005293_taxonomic_profile	reERR5005292_taxonomic_profile	reERR5005291_taxonomic_profile	reERR5005290_taxonomic_profile	reERR5005289_taxonomic_profile	reERR5005288_taxonomic_profile	reERR5005287_taxonomic_profile	reERR5005286_taxonomic_profile	reERR5005285_taxonomic_profile	reERR5005284_taxonomic_profile	reERR5005283_taxonomic_profile	reERR5005171_taxonomic_profile	reERR5005170_taxonomic_profile	reERR5005169_taxonomic_profile	reERR5005168_taxonomic_profile	reERR5005167_taxonomic_profile	reERR5005166_taxonomic_profile	reERR5005165_taxonomic_profile	reERR5005164_taxonomic_profile	reERR5005163_taxonomic_profile	reERR5005162_taxonomic_profile	reERR5005161_taxonomic_profile	reERR5005160_taxonomic_profile	reERR5005159_taxonomic_profile	reERR5005158_taxonomic_profile	reERR5005157_taxonomic_profile	reERR5005156_taxonomic_profile	reERR5005155_taxonomic_profile	reERR5005154_taxonomic_profile
UNCLASSIFIED	-1	57.8439	48.50238	37.16479	97.83081	53.63324	12.47113	5.57493	20.91185	87.78828	87.55682	87.45638000000001	55.00022	14.537289999999999	85.60248	92.83147	21.33002	88.18715999999999	83.20789	78.47877	93.66425	91.77745	74.87677	70.83806	85.04613	80.7607	81.92043000000001	84.03126999999999	90.04024	99.78896999999999	64.39356	99.90584	67.71072	41.181540000000005	34.99185	81.77125	54.74926	41.73449	95.76691	22.30327	97.71618000000001	58.92955	78.53536	88.65477	69.23567	43.02196	84.09555999999999	55.995180000000005	60.24726	97.32588	71.23111999999999	99.70425	99.8392	0	99.73866	99.8843	99.79106	53.54006999999999	99.93684	99.83533	85.92822	99.49899	99.60797
k__Archaea	2157	0.7144278108076233	1.0747656792221678	0	0	0	0	0	0	0	0.0021389827867963397	0	0	0	2.401548021865409	0	0	1.9856573259475931	0	0	0	0	0	0	0	0	0.7669407705563803	0	0	0	0	0	0.07269932079746612	0	0	0	0	0	0	0	0.0015623622207065508	0	0	0.027832120585859703	0	0	0.7059950118062144	0.003731608958990533	0.0014629009322182976	0.14955317045917166	0.013003535220272904	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Candidatus_Thermoplasmatota	2157|2283796	0	0	0	0	0	0	0	0	0	0.0021389827867963397	0	0	0	0	0	0	0.004087243526223664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07269932079746612	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06452591276372033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata	2157|2283796|183967	0	0	0	0	0	0	0	0	0	0.0021389827867963397	0	0	0	0	0	0	0.004087243526223664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07269932079746612	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06452591276372033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales	2157|2283796|183967|1235850	0	0	0	0	0	0	0	0	0	0.0021389827867963397	0	0	0	0	0	0	0.004087243526223664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07269932079746612	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06452591276372033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae	2157|2283796|183967|1235850|1577788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07269932079746612	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06452591276372033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae|g__GGB284	2157|2283796|183967|1235850|1577788|64184930	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01920889448919058	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06452591276372033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae|g__GGB284|s__GGB284_SGB394	2157|2283796|183967|1235850|1577788|64184930|76580922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01920889448919058	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06452591276372033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae|g__GGB284|s__GGB284_SGB394|t__SGB394	2157|2283796|183967|1235850|1577788|64184930|76580922|SGB394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01920889448919058	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06452591276372033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae|g__Methanomassiliicoccus	2157|2283796|183967|1235850|1577788|1080709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05348719737997007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae|g__Methanomassiliicoccus|s__Methanomassiliicoccus_SGB58821	2157|2283796|183967|1235850|1577788|1080709|44207223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05348719737997007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae|g__Methanomassiliicoccus|s__Methanomassiliicoccus_SGB58821|t__SGB58821	2157|2283796|183967|1235850|1577788|1080709|44207223|SGB58821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05348719737997007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccales_unclassified	2157|2283796|183967|1235850|69498256	0	0	0	0	0	0	0	0	0	0.0021389827867963397	0	0	0	0	0	0	0.004087243526223664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccales_unclassified|g__Methanomassiliicoccales_unclassified	2157|2283796|183967|1235850|69498256|50436554	0	0	0	0	0	0	0	0	0	0.0021389827867963397	0	0	0	0	0	0	0.004087243526223664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccales_unclassified|g__Methanomassiliicoccales_unclassified|s__Methanomassiliicoccales_archaeon	2157|2283796|183967|1235850|69498256|50436554|1906667	0	0	0	0	0	0	0	0	0	0.0021389827867963397	0	0	0	0	0	0	0.004087243526223664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
