Taxa	reSRR16235394	reSRR16235395	reSRR16235396	reSRR16235397	reSRR16235398	reSRR16235399	reSRR16235400	reSRR16235401	reSRR16235402	reSRR16235403	reSRR16235404	reSRR16235405	reSRR16235406	reSRR16235407	reSRR16235408	reSRR16235409
k__archaea	0.101052544533917	0.108158381253757	0.0743898718410523	0.108538532211951	0.112495837294141	0.153022983591233	0.104630831079173	0.204429102816273	0.179068597662106	0.0969077114083843	0.0527092791518443	0.0820753136836651	0.142440796038607	0.12626523393287	0.11820946793787	0.142375574761734
k__archaea|p__candidatus_korarchaeota	2.46109460628147e-05	4.5368448512482e-05	1.88114481833487e-05	7.85990364027619e-05	3.53779675923666e-05	5.7192277037506e-05	5.60355536871503e-05	4.4017678379991e-05	0.00010189892945521	7.77812917636923e-06	2.24844957456945e-05	1.66048322481403e-05	0.000105703719872458	6.07433774532732e-05	3.96526710864667e-05	5.42565310770513e-05
k__archaea|p__candidatus_korarchaeota|g__candidatus_korarchaeum	2.46109460628147e-05	4.5368448512482e-05	1.88114481833487e-05	7.85990364027619e-05	3.53779675923666e-05	5.7192277037506e-05	5.60355536871503e-05	4.4017678379991e-05	0.00010189892945521	7.77812917636923e-06	2.24844957456945e-05	1.66048322481403e-05	0.000105703719872458	6.07433774532732e-05	3.96526710864667e-05	5.42565310770513e-05
k__archaea|p__candidatus_korarchaeota|g__candidatus_korarchaeum|s__candidatus_korarchaeum_cryptofilum	2.46109460628147e-05	4.5368448512482e-05	1.88114481833487e-05	7.85990364027619e-05	3.53779675923666e-05	5.7192277037506e-05	5.60355536871503e-05	4.4017678379991e-05	0.00010189892945521	7.77812917636923e-06	2.24844957456945e-05	1.66048322481403e-05	0.000105703719872458	6.07433774532732e-05	3.96526710864667e-05	5.42565310770513e-05
k__archaea|p__candidatus_lokiarchaeota	0.000213294865877727	0.000211719426391583	0.000410716618669779	0.000550193254819334	0.000268384581735195	0.000810784633296408	0.000488754551604589	0.000256769790549947	0.000294970585265082	0.000272234521172923	0.000137717536442379	0.000215862819225824	0.000133388027458102	0.000215976453167193	0.000419994618242372	0.000837757623918537
k__archaea|p__candidatus_lokiarchaeota|g__candidatus_prometheoarchaeum	0.000213294865877727	0.000211719426391583	0.000410716618669779	0.000550193254819334	0.000268384581735195	0.000810784633296408	0.000488754551604589	0.000256769790549947	0.000294970585265082	0.000272234521172923	0.000137717536442379	0.000215862819225824	0.000133388027458102	0.000215976453167193	0.000419994618242372	0.000837757623918537
k__archaea|p__candidatus_lokiarchaeota|g__candidatus_prometheoarchaeum|s__candidatus_prometheoarchaeum_syntrophicum	0.000213294865877727	0.000211719426391583	0.000410716618669779	0.000550193254819334	0.000268384581735195	0.000810784633296408	0.000488754551604589	0.000256769790549947	0.000294970585265082	0.000272234521172923	0.000137717536442379	0.000215862819225824	0.000133388027458102	0.000215976453167193	0.000419994618242372	0.000837757623918537
k__archaea|p__candidatus_micrarchaeota	2.46109460628147e-05	4.32080462023638e-05	6.58400686417203e-05	0.000122389928112872	6.46562855998423e-05	0.000346517913815478	0.000124523452638112	9.53716364899804e-05	0.00010189892945521	4.66687750582154e-05	3.091618165033e-05	2.37211889259148e-05	1.25837761752926e-05	2.02477924844244e-05	0.000105200964106952	0.000274961064271836
k__archaea|p__candidatus_micrarchaeota|c__candidatus_micrarchaeia	8.20364868760489e-06	3.67268392720092e-05	3.44876550028059e-05	2.58253976751932e-05	2.56185282565413e-05	6.05565286279475e-05	4.98093810552447e-05	4.4017678379991e-05	8.04465232541133e-05	1.94453229409231e-05	5.62112393642363e-06	1.18605944629574e-05	1.00670209402341e-05	6.7492641614748e-06	2.10401928213905e-05	5.8854542185276e-05
k__archaea|p__candidatus_micrarchaeota|c__candidatus_micrarchaeia|o__candidatus_micrarchaeales	8.20364868760489e-06	3.67268392720092e-05	3.44876550028059e-05	2.58253976751932e-05	2.56185282565413e-05	6.05565286279475e-05	4.98093810552447e-05	4.4017678379991e-05	8.04465232541133e-05	1.94453229409231e-05	5.62112393642363e-06	1.18605944629574e-05	1.00670209402341e-05	6.7492641614748e-06	2.10401928213905e-05	5.8854542185276e-05
k__archaea|p__candidatus_micrarchaeota|c__candidatus_micrarchaeia|o__candidatus_micrarchaeales|f__candidatus_micrarchaeaceae	8.20364868760489e-06	3.67268392720092e-05	3.44876550028059e-05	2.58253976751932e-05	2.56185282565413e-05	6.05565286279475e-05	4.98093810552447e-05	4.4017678379991e-05	8.04465232541133e-05	1.94453229409231e-05	5.62112393642363e-06	1.18605944629574e-05	1.00670209402341e-05	6.7492641614748e-06	2.10401928213905e-05	5.8854542185276e-05
k__archaea|p__candidatus_micrarchaeota|c__candidatus_micrarchaeia|o__candidatus_micrarchaeales|f__candidatus_micrarchaeaceae|g__candidatus_micrarchaeum	8.20364868760489e-06	3.67268392720092e-05	3.44876550028059e-05	2.58253976751932e-05	2.56185282565413e-05	6.05565286279475e-05	4.98093810552447e-05	4.4017678379991e-05	8.04465232541133e-05	1.94453229409231e-05	5.62112393642363e-06	1.18605944629574e-05	1.00670209402341e-05	6.7492641614748e-06	2.10401928213905e-05	5.8854542185276e-05
k__archaea|p__candidatus_micrarchaeota|c__candidatus_micrarchaeia|o__candidatus_micrarchaeales|f__candidatus_micrarchaeaceae|g__candidatus_micrarchaeum|s__candidatus_micrarchaeum_sp.	8.20364868760489e-06	3.67268392720092e-05	3.44876550028059e-05	2.58253976751932e-05	2.56185282565413e-05	6.05565286279475e-05	4.98093810552447e-05	4.4017678379991e-05	8.04465232541133e-05	1.94453229409231e-05	5.62112393642363e-06	1.18605944629574e-05	1.00670209402341e-05	6.7492641614748e-06	2.10401928213905e-05	5.8854542185276e-05
k__archaea|p__candidatus_micrarchaeota|g__candidatus_mancarchaeum	1.64072973752098e-05	6.48120693035457e-06	3.13524136389144e-05	9.6564530437679e-05	3.9037757343301e-05	0.00028596138518753	7.47140715828671e-05	5.13539581099895e-05	2.14524062010969e-05	2.72234521172923e-05	2.52950577139063e-05	1.18605944629574e-05	2.51675523505852e-06	1.34985283229496e-05	8.41607712855619e-05	0.00021610652208656
k__archaea|p__candidatus_micrarchaeota|g__candidatus_mancarchaeum|s__candidatus_mancarchaeum_acidiphilum	1.64072973752098e-05	6.48120693035457e-06	3.13524136389144e-05	9.6564530437679e-05	3.9037757343301e-05	0.00028596138518753	7.47140715828671e-05	5.13539581099895e-05	2.14524062010969e-05	2.72234521172923e-05	2.52950577139063e-05	1.18605944629574e-05	2.51675523505852e-06	1.34985283229496e-05	8.41607712855619e-05	0.00021610652208656
k__archaea|p__candidatus_nanohaloarchaeota	4.92218921256294e-05	2.16040231011819e-06	2.50819309111316e-05	4.94051085960218e-05	2.92783180074758e-05	6.72850318088306e-05	5.91486400031031e-05	2.56769790549947e-05	9.6535827904936e-05	1.94453229409231e-05	0.000238897767298004	7.11635667777443e-06	2.76843075856437e-05	1.6873160403687e-05	2.83233364903333e-05	4.59801110822468e-05
k__archaea|p__candidatus_nanohaloarchaeota|c__candidatus_nanohalobia	4.92218921256294e-05	2.16040231011819e-06	2.50819309111316e-05	4.94051085960218e-05	2.92783180074758e-05	6.72850318088306e-05	5.91486400031031e-05	2.56769790549947e-05	9.6535827904936e-05	1.94453229409231e-05	0.000238897767298004	7.11635667777443e-06	2.76843075856437e-05	1.6873160403687e-05	2.83233364903333e-05	4.59801110822468e-05
k__archaea|p__candidatus_nanohaloarchaeota|c__candidatus_nanohalobia|o__candidatus_nanohalobiales	4.92218921256294e-05	2.16040231011819e-06	2.50819309111316e-05	4.94051085960218e-05	2.92783180074758e-05	6.72850318088306e-05	5.91486400031031e-05	2.56769790549947e-05	9.6535827904936e-05	1.94453229409231e-05	0.000238897767298004	7.11635667777443e-06	2.76843075856437e-05	1.6873160403687e-05	2.83233364903333e-05	4.59801110822468e-05
k__archaea|p__candidatus_nanohaloarchaeota|c__candidatus_nanohalobia|o__candidatus_nanohalobiales|f__candidatus_nanohalobiaceae	4.92218921256294e-05	2.16040231011819e-06	2.50819309111316e-05	4.94051085960218e-05	2.92783180074758e-05	6.72850318088306e-05	5.91486400031031e-05	2.56769790549947e-05	9.6535827904936e-05	1.94453229409231e-05	0.000238897767298004	7.11635667777443e-06	2.76843075856437e-05	1.6873160403687e-05	2.83233364903333e-05	4.59801110822468e-05
