Taxonomy	reSRR16235394	reSRR16235395	reSRR16235396	reSRR16235397	reSRR16235398	reSRR16235399	reSRR16235400	reSRR16235401	reSRR16235402	reSRR16235403	reSRR16235404	reSRR16235405	reSRR16235406	reSRR16235407	reSRR16235408	reSRR16235409
k__Bacteria	46.7304005698186	49.1324010497912	22.2715366696065	64.9291789802412	51.5786229438762	39.2568997953301	43.357789911304	55.9783993855284	65.3056891064469	36.4936406937113	59.6910489108296	27.8292536093345	41.1793207659558	44.874891416088	23.3103458756776	23.0431100403103
k__Bacteria|p__Actinobacteria	13.3920822132348	17.3724549395149	5.68973488278339	3.07699753703578	8.39851779758241	2.45868849406699	1.30815844983213	17.4690220566415	7.13292311438302	3.38276443855458	10.9230592029229	4.90054542051161	19.5193414937618	17.0590198764942	1.47544403440289	1.34976554190485
k__Bacteria|p__Actinobacteria|c__Actinobacteria	4.41494759977262	5.16442168818523	0.252318374384559	0.0912001215093474	0.48728678644349	0.0792994472595287	0.00654785706540094	6.29421198104307	0.786077766926112	0.43079995727938	3.17285639862427	2.18725518079512	14.4007096921281	5.22052381907938	0.0746017451875932	0.0110575289810745
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	4.41494759977262	5.16442168818523	0.252318374384559	0.0912001215093474	0.48728678644349	0.0792994472595287	0.00654785706540094	6.29421198104307	0.786077766926112	0.43079995727938	3.17285639862427	2.18725518079512	14.4007096921281	5.22052381907938	0.0746017451875932	0.0110575289810745
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	4.41494759977262	5.16442168818523	0.252318374384559	0.0912001215093474	0.48728678644349	0.0792994472595287	0.00654785706540094	6.29421198104307	0.786077766926112	0.43079995727938	3.17285639862427	2.18725518079512	14.4007096921281	5.22052381907938	0.0746017451875932	0.0110575289810745
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium	4.41494759977262	5.16442168818523	0.252318374384559	0.0912001215093474	0.48728678644349	0.0792994472595287	0.00654785706540094	6.29421198104307	0.786077766926112	0.43079995727938	3.17285639862427	2.18725518079512	14.4007096921281	5.22052381907938	0.0746017451875932	0.0110575289810745
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis	0.573301937938768	0.500477095471801	0.000530837886581794	0.000118523085905694	0.00146674465640365	0.000543920436387487	0	0.00844553181408503	0.00712819344371644	0.00804475954804585	0.0489707301476182	0.252611021345867	0.00308279401171802	0.923553819613209	4.82597388876076e-05	9.60698389496783e-06
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis|t__SGB17244	0.573301937938768	0.500477095471801	0.000530837886581794	0.000118523085905694	0.00146674465640365	0.000543920436387487	0	0.00844553181408503	0.00712819344371644	0.00804475954804585	0.0489707301476182	0.252611021345867	0.00308279401171802	0.923553819613209	4.82597388876076e-05	9.60698389496783e-06
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_gallinarum	2.12929397240762	2.27309450486463	0.238888018678537	0.0842945204729212	0.271077741611093	0.0371422198369865	0.00449921645131364	5.48009923041295	0.73689943094846	0.383439345037083	0.33383338602358	1.16652770781127	3.85540040570917	1.77693397493804	0.0668512480476994	0.00245899007552988
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_gallinarum|t__SGB17264	2.12929397240762	2.27309450486463	0.238888018678537	0.0842945204729212	0.271077741611093	0.0371422198369865	0.00449921645131364	5.48009923041295	0.73689943094846	0.383439345037083	0.33383338602358	1.16652770781127	3.85540040570917	1.77693397493804	0.0668512480476994	0.00245899007552988
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum	0.765010997370037	1.56645816907181	0.00393645310988962	0.00112869921515905	0.00377733323040365	0.000723098727230339	0.000616073526257472	0.0169509425298677	0.014684859958452	0.0159210480785083	2.71639709442412	0.24952767055124	0.0263148275312529	1.08061874121661	0.000541322298025364	6.65098485158163e-05
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum|t__SGB17248	0.765010997370037	1.56645816907181	0.00393645310988962	0.00112869921515905	0.00377733323040365	0.000723098727230339	0.000616073526257472	0.0169509425298677	0.014684859958452	0.0159210480785083	2.71639709442412	0.24952767055124	0.0263148275312529	1.08061874121661	0.000541322298025364	6.65098485158163e-05
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudocatenulatum	0.00431798787742378	0.00612520964495135	0.00290322920533831	0.000865550936584354	0.0741741624151618	0.0176214974192661	6.89419590761689e-05	0.363605371548756	0.00243138127346412	0.00173481695995442	0.00102361039110379	0.0860017349033395	0.0102268965000053	0.00572766461948176	0.000435203294784117	9.12688557890858e-05
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudocatenulatum|t__SGB17237	0.00431798787742378	0.00612520964495135	0.00290322920533831	0.000865550936584354	0.0741741624151618	0.0176214974192661	6.89419590761689e-05	0.363605371548756	0.00243138127346412	0.00173481695995442	0.00102361039110379	0.0860017349033395	0.0102268965000053	0.00572766461948176	0.000435203294784117	9.12688557890858e-05
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudolongum	0.00194742522115388	0.00484050981183147	0.00413871581716111	0.00387680982767018	0.0184472264487334	3.09952420015209e-05	0.00104623261170706	0.00205582281137605	0.000318387666920567	0.000532520948654154	0.000836954259017459	0.00113610050779903	10.4799788819379	0.00325571219870543	0.00643517675472156	0.00832675778294394
