Taxonomy	reSRR16235394	reSRR16235395	reSRR16235396	reSRR16235397	reSRR16235398	reSRR16235399	reSRR16235400	reSRR16235401	reSRR16235402	reSRR16235403	reSRR16235404	reSRR16235405	reSRR16235406	reSRR16235407	reSRR16235408	reSRR16235409
k__Bacteria	64.515998368825	60.9779336641032	57.4788387120089	49.176300423334	50.7732134169049	62.3459962580904	44.8938023322876	61.3658710685535	53.7993931292334	45.663972067169	66.4252721114409	52.1367467105353	69.282192738455	60.2511609131121	24.9925736841164	40.5733374054198
k__Bacteria|p__Actinobacteria	23.5541257859832	24.321839942331	18.9722742142265	7.86500002739462	14.9312549929814	6.98065920759988	1.34288552900262	18.9915091722551	16.6669181421501	3.02429240283322	10.5192482292124	10.7807899722411	45.925539180282	24.1815479642457	2.51806848953074	5.43115013760885
k__Bacteria|p__Actinobacteria|c__Actinobacteria	14.766313227374	12.8271450501596	1.30604858817906	0.286013635881999	1.95599482331837	0.265310590576338	0	8.40541273275259	2.24350549536592	0.565084168533033	1.75502070309961	7.41008415177405	19.4589629439331	10.273345991823	0.17753816289818	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	14.766313227374	12.8271450501596	1.30604858817906	0.286013635881999	1.95599482331837	0.265310590576338	0	8.40541273275259	2.24350549536592	0.565084168533033	1.75502070309961	7.41008415177405	19.4589629439331	10.273345991823	0.17753816289818	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	14.766313227374	12.8271450501596	1.30604858817906	0.286013635881999	1.95599482331837	0.265310590576338	0	8.40541273275259	2.24350549536592	0.565084168533033	1.75502070309961	7.41008415177405	19.4589629439331	10.273345991823	0.17753816289818	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium	14.766313227374	12.8271450501596	1.30604858817906	0.286013635881999	1.95599482331837	0.265310590576338	0	8.40541273275259	2.24350549536592	0.565084168533033	1.75502070309961	7.41008415177405	19.4589629439331	10.273345991823	0.17753816289818	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis	10.4115126577245	0	0	0	0	0	0	0	0	0	0	4.08894038781085	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis|t__SGB17244	10.4115126577245	0	0	0	0	0	0	0	0	0	0	4.08894038781085	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_gallinarum	3.19401427432022	2.62620295816001	1.30604858817906	0.286013635881999	0.414944668025905	0	0	6.67388148739552	2.24350549536592	0.565084168533033	0.657106143688577	2.74545450549889	18.5145138705963	2.01211446089819	0.17753816289818	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_gallinarum|t__SGB17264	3.19401427432022	2.62620295816001	1.30604858817906	0.286013635881999	0.414944668025905	0	0	6.67388148739552	2.24350549536592	0.565084168533033	0.657106143688577	2.74545450549889	18.5145138705963	2.01211446089819	0.17753816289818	0
