#mpa_v30_CHOCOPhlAn_201901
clade_name	NCBI_tax_id	reSRR16235409_taxonomic_profile	reSRR16235408_taxonomic_profile	reSRR16235407_taxonomic_profile	reSRR16235406_taxonomic_profile	reSRR16235405_taxonomic_profile	reSRR16235404_taxonomic_profile	reSRR16235403_taxonomic_profile	reSRR16235402_taxonomic_profile	reSRR16235401_taxonomic_profile	reSRR16235400_taxonomic_profile	reSRR16235399_taxonomic_profile	reSRR16235398_taxonomic_profile	reSRR16235397_taxonomic_profile	reSRR16235396_taxonomic_profile	reSRR16235395_taxonomic_profile	reSRR16235394_taxonomic_profile
UNKNOWN	-1	77.55872	66.32066999999999	49.800090000000004	43.511109999999995	41.90609	28.42519	49.67731	55.81876	56.54691999999999	55.120830000000005	73.09069000000001	54.278769999999994	58.906209999999994	41.34623	46.96968	47.30855
k__Bacteria	2	22.435988498530804	33.665118174607976	50.19709730020057	56.487084723896295	58.086458743803966	71.56401496525797	50.30527414467987	44.00239426046027	43.42628134437337	44.8741425233644	26.898034046539806	45.59072935380064	40.98486308600201	58.56439097986653	53.01038717621563	52.68645328877239
k__Bacteria|p__Actinobacteria	2|201174	5.4366458144559315	2.7524935575290206	25.02573618554195	29.17764541718419	12.320648615872493	13.825397156981994	4.580673255307293	24.851636263266982	26.310620270566105	3.085380037245941	8.020531058856626	23.341687616884194	5.932081189722372	25.47817275226905	23.791303532017288	23.844640312610988
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	0.009362503952519844	0.1406044563754982	10.05922432992019	10.692645793783813	7.628113327817798	1.6802830456061766	0.44129477267776496	1.1813799653257866	4.37967970942551	0	0.3526627112088709	1.1433278599637242	0.1440707053046951	0.5088977347165505	8.500865710455708	12.844309851930252
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	2|201174|1760|2037	0	0	0.00828298573003255	0.0023725332422140704	0	0	0.00040258152662380354	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae	2|201174|1760|2037|2049	0	0	0.00828298573003255	0.0023725332422140704	0	0	0.00040258152662380354	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces	2|201174|1760|2037|2049|1654	0	0	0	0.0023725332422140704	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_hominis	2|201174|1760|2037|2049|1654|595468	0	0	0	0.0023725332422140704	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Trueperella	2|201174|1760|2037|2049|1069494	0	0	0.00828298573003255	0	0	0	0.00040258152662380354	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Trueperella|s__Trueperella_bernardiae	2|201174|1760|2037|2049|1069494|59561	0	0	0.00828298573003255	0	0	0	0.00040258152662380354	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2|201174|1760|85004	0.009362503952519844	0.14040238041060096	10.029962800332092	10.67885120764694	7.628113327817798	1.6802830456061766	0.4365090847800245	1.1813799653257866	4.37967970942551	0	0.3526627112088709	1.1283861630194838	0.1419091721465825	0.5088977347165505	8.499555861651274	12.844309851930252
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	2|201174|1760|85004|31953	0.009362503952519844	0.14040238041060096	10.029962800332092	10.67885120764694	7.628113327817798	1.6802830456061766	0.4365090847800245	1.1813799653257866	4.37967970942551	0	0.3526627112088709	1.1283861630194838	0.1419091721465825	0.5088977347165505	8.499555861651274	12.844309851930252
