X.mOTUs2_clade	reSRR16235394	reSRR16235395	reSRR16235396	reSRR16235397	reSRR16235398	reSRR16235399	reSRR16235400	reSRR16235401	reSRR16235402	reSRR16235403	reSRR16235404	reSRR16235405	reSRR16235406	reSRR16235407	reSRR16235408	reSRR16235409
k__Archaea	6.25112e-05	0	0	0	0	0	0	0	0	0	1.33487e-05	0	0	0	0	0
k__Archaea|p__Euryarchaeota	6.25112e-05	0	0	0	0	0	0	0	0	0	1.33487e-05	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria	6.25112e-05	0	0	0	0	0	0	0	0	0	1.33487e-05	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	6.25112e-05	0	0	0	0	0	0	0	0	0	1.33487e-05	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	6.25112e-05	0	0	0	0	0	0	0	0	0	1.33487e-05	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter	6.25112e-05	0	0	0	0	0	0	0	0	0	1.33487e-05	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter smithii	6.25112e-05	0	0	0	0	0	0	0	0	0	1.33487e-05	0	0	0	0	0
k__Bacteria	0.927990321	0.9249048643	0.8709920897	0.9005642749	0.8944497435	0.9101975365	0.9240795865	0.896515923	0.877592691	0.9633373389	0.9646336513	0.9431201277	0.9276595271	0.9126298492	0.9039654316	0.9306974971
k__Bacteria|p__Actinobacteria	0.249255302	0.2662441852	0.1682732177	0.0880492624	0.2388851193	0.1040618336	0.0381706705	0.43521565	0.2943010618	0.0673843775	0.0717031807	0.1503798216	0.523539211	0.2351365702	0.0488847951	0.0833866409
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.141216488	0.0823621152	0.0142003756	0.002665588	0.0169181079	0.003497191	0.0001480561	0.0797899112	0.0156653461	0.0050859746	0.0117555566	0.0747179494	0.1645760314	0.0982409	0.0018236953	0.0001343964
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	0	0	0	2.56618e-05	9.00036e-05	0	0	0	0	0.0001374301	0	0	0	7.79593e-05	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae	0	0	0	2.56618e-05	9.00036e-05	0	0	0	0	0.0001374301	0	0	0	7.79593e-05	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces	0	0	0	2.56618e-05	9.00036e-05	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces johnsonii	0	0	0	0	2.23634e-05	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces naeslundii	0	0	0	2.56618e-05	2.30482e-05	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces oris	0	0	0	0	1.41271e-05	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces ruminicola	0	0	0	0	3.04648e-05	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Trueperella	0	0	0	0	0	0	0	0	0	0.0001374301	0	0	0	7.79593e-05	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Trueperella|s__Trueperella bernardiae	0	0	0	0	0	0	0	0	0	0.0001374301	0	0	0	7.79593e-05	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	0.1410790588	0.0820400484	0.0142003756	0.0026112667	0.0164394636	0.003497191	0.0001480561	0.0797899112	0.0156653461	0.0046952953	0.0117555566	0.0747179494	0.1644776518	0.0976505799	0.0018236953	0.0001343964
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	0.1410790588	0.0820400484	0.0142003756	0.0026112667	0.0164394636	0.003497191	0.0001480561	0.0797899112	0.0156653461	0.0046952953	0.0117555566	0.0747179494	0.1644776518	0.0976505799	0.0018236953	0.0001343964
