Taxonomy	reSRR16235394	reSRR16235396	reSRR16235399	reSRR16235400	reSRR16235401	reSRR16235402	reSRR16235403	reSRR16235404	reSRR16235405	reSRR16235406	reSRR16235407
k__Bacteria	59.7874157759984	57.0796714286187	50.8217802958343	30.8112228874811	77.2991591550177	72.6724903323232	42.0111885706864	72.2338889394663	47.1278146452193	55.2894001337396	52.8729922408355
k__Bacteria|p__Actinobacteriota	22.0288405220359	18.9259742320429	6.02932806353455	1.15970699843693	44.4657090982133	34.290622572262	4.08950910616297	11.2515095392319	11.6541102948371	31.9439838108107	20.4861613182695
k__Bacteria|p__Actinobacteriota|c__Actinomycetia	11.1886810858548	1.14872585054948	0.212347493589556	0	6.38185033140943	2.40651417087386	0.49620259689783	1.93152626359663	6.47689537571123	20.7053053467204	7.24178983797493
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales	11.1886810858548	1.14872585054948	0.212347493589556	0	6.38185033140943	2.40651417087386	0.49620259689783	1.93152626359663	6.47689537571123	20.7053053467204	7.24178983797493
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae	11.1886810858548	1.14872585054948	0.212347493589556	0	6.38185033140943	2.40651417087386	0.49620259689783	1.93152626359663	6.47689537571123	20.7053053467204	7.24178983797493
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae|g__Bifidobacterium	11.1886810858548	1.14872585054948	0.212347493589556	0	6.38185033140943	2.40651417087386	0.49620259689783	1.93152626359663	6.47689537571123	20.7053053467204	7.24178983797493
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium adolescentis	7.15730060911982	0	0	0	0	0	0	0.91865296413642	2.27335229298702	0	4.82212180019943
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium longum	1.06419747800385	0	0	0	0	0	0	0.30837487493524	0.477915641892371	0	0.695662690739993
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium pseudocatenulatum	0	0	0.212347493589556	0	0	0	0	0	1.30423234854429	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium pseudolongum	0	0	0	0	0	0	0	0	0	0.883027844963533	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium pullorum_B	2.96718299873112	1.14872585054948	0	0	6.38185033140943	2.40651417087386	0.49620259689783	0.704498424524965	2.42139509228755	19.8222775017569	1.7240053470355
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia	10.8401594361811	17.7772483814934	5.816980569945	1.15970699843693	38.0838587668039	31.8841084013882	3.59330650926514	9.31998327563526	5.17721491912586	11.2386784640903	13.2443714802945
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales	10.8401594361811	17.7772483814934	5.816980569945	1.15970699843693	38.0838587668039	31.8841084013882	3.59330650926514	9.31998327563526	5.17721491912586	11.2386784640903	13.2443714802945
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae	0	0.234009677878471	0.478960736106909	0	3.91422058402561	0	0	0	1.51083076667568	0	0.440662811414294
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Parolsenella	0	0.234009677878471	0.171927764694221	0	0.380588158412528	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Parolsenella|s__Parolsenella sp900544655	0	0.234009677878471	0.171927764694221	0	0.380588158412528	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Thermophilibacter	0	0	0.307032971412689	0	3.53363242561308	0	0	0	1.51083076667568	0	0.440662811414294
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Thermophilibacter|s__Thermophilibacter provencensis	0	0	0	0	0	0	0	0	1.51083076667568	0	0.440662811414294
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	10.8401594361811	17.5432387036149	4.87654130741922	0.91037684963733	33.6673165217102	30.57071966297	3.43318044397163	9.31998327563526	3.66638415245018	10.7466695320419	12.1867678653866
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella	10.8401594361811	17.5432387036149	4.87654130741922	0.91037684963733	33.6673165217102	30.1974930580673	3.43318044397163	9.31998327563526	3.66638415245018	10.7466695320419	10.989345799087
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella sp900548365	0	0	0	0	0.64939856339327	4.95191556582726	0	0	0	0	0.930191459161814
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella sp900555555	1.55282632327186	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella sp902362275	0.995003430496592	14.1920062110017	2.48031897312782	0.561967672214839	7.04876768141464	1.0953114432339	0.339765955043464	8.03176574404679	0	0	0.50316325154666
k__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella stercoris	6.90237158703414	1.95526874670813	0	0	3.92598064229957	17.794538222494	1.38204818671979	0.565661670605003	1.72012036839867	10.7466695320419	7.7966278329911
