Taxa	reSRR3584976	reSRR3584977	reSRR3584978	reSRR3584979	reSRR3584980	reSRR3584981	reSRR3584982	reSRR3584983	reSRR3584984	reSRR3584985	reSRR3584986	reSRR3584987
k__archaea	0.424759770894804	0.333144702710978	0.227238547838903	0.188891859317196	0.297635762719389	0.281421774375259	0.230769906549968	0.193429374560787	0.424851931900852	0.339952807946928	0.298661513291535	0.280529695987317
k__archaea|p__candidatus_korarchaeota	8.60650623182772e-05	5.43865321542696e-05	3.7597377206966e-05	0.000112013357966315	0.000187209123823859	9.82503576313018e-05	3.9932498105203e-05	7.02740688685875e-05	0	0.000131802969059583	0.000129178855229903	3.29724607413396e-05
k__archaea|p__candidatus_korarchaeota|g__candidatus_korarchaeum	8.60650623182772e-05	5.43865321542696e-05	3.7597377206966e-05	0.000112013357966315	0.000187209123823859	9.82503576313018e-05	3.9932498105203e-05	7.02740688685875e-05	0	0.000131802969059583	0.000129178855229903	3.29724607413396e-05
k__archaea|p__candidatus_korarchaeota|g__candidatus_korarchaeum|s__candidatus_korarchaeum_cryptofilum	8.60650623182772e-05	5.43865321542696e-05	3.7597377206966e-05	0.000112013357966315	0.000187209123823859	9.82503576313018e-05	3.9932498105203e-05	7.02740688685875e-05	0	0.000131802969059583	0.000129178855229903	3.29724607413396e-05
k__archaea|p__candidatus_lokiarchaeota	0.000172130124636554	0.000108773064308539	0.00142870033386471	0.00141883586757333	0.00123023138512821	0.000491251788156509	0.000998312452630074	0.00154602951510892	0.000141193729445282	6.59014845297913e-05	0.000807367845186893	0.000593504293344113
k__archaea|p__candidatus_lokiarchaeota|g__candidatus_prometheoarchaeum	0.000172130124636554	0.000108773064308539	0.00142870033386471	0.00141883586757333	0.00123023138512821	0.000491251788156509	0.000998312452630074	0.00154602951510892	0.000141193729445282	6.59014845297913e-05	0.000807367845186893	0.000593504293344113
k__archaea|p__candidatus_lokiarchaeota|g__candidatus_prometheoarchaeum|s__candidatus_prometheoarchaeum_syntrophicum	0.000172130124636554	0.000108773064308539	0.00142870033386471	0.00141883586757333	0.00123023138512821	0.000491251788156509	0.000998312452630074	0.00154602951510892	0.000141193729445282	6.59014845297913e-05	0.000807367845186893	0.000593504293344113
k__archaea|p__candidatus_micrarchaeota	0.000172130124636554	0.000108773064308539	0.000112792131620898	0.000112013357966315	0.000133720802731328	9.82503576313018e-05	7.98649962104059e-05	0.000175685172171469	3.52984323613204e-05	3.29507422648956e-05	3.22947138074757e-05	0.000296752146672057
k__archaea|p__candidatus_micrarchaeota|c__candidatus_micrarchaeia	0.00011475341642437	0.000108773064308539	7.51947544139321e-05	7.46755719775436e-05	0	3.27501192104339e-05	7.98649962104059e-05	7.02740688685875e-05	0	3.29507422648956e-05	0	0.000197834764448038
k__archaea|p__candidatus_micrarchaeota|c__candidatus_micrarchaeia|o__candidatus_micrarchaeales	0.00011475341642437	0.000108773064308539	7.51947544139321e-05	7.46755719775436e-05	0	3.27501192104339e-05	7.98649962104059e-05	7.02740688685875e-05	0	3.29507422648956e-05	0	0.000197834764448038
k__archaea|p__candidatus_micrarchaeota|c__candidatus_micrarchaeia|o__candidatus_micrarchaeales|f__candidatus_micrarchaeaceae	0.00011475341642437	0.000108773064308539	7.51947544139321e-05	7.46755719775436e-05	0	3.27501192104339e-05	7.98649962104059e-05	7.02740688685875e-05	0	3.29507422648956e-05	0	0.000197834764448038
k__archaea|p__candidatus_micrarchaeota|c__candidatus_micrarchaeia|o__candidatus_micrarchaeales|f__candidatus_micrarchaeaceae|g__candidatus_micrarchaeum	0.00011475341642437	0.000108773064308539	7.51947544139321e-05	7.46755719775436e-05	0	3.27501192104339e-05	7.98649962104059e-05	7.02740688685875e-05	0	3.29507422648956e-05	0	0.000197834764448038
k__archaea|p__candidatus_micrarchaeota|c__candidatus_micrarchaeia|o__candidatus_micrarchaeales|f__candidatus_micrarchaeaceae|g__candidatus_micrarchaeum|s__candidatus_micrarchaeum_sp.	0.00011475341642437	0.000108773064308539	7.51947544139321e-05	7.46755719775436e-05	0	3.27501192104339e-05	7.98649962104059e-05	7.02740688685875e-05	0	3.29507422648956e-05	0	0.000197834764448038
k__archaea|p__candidatus_micrarchaeota|g__candidatus_mancarchaeum	5.73767082121848e-05	0	3.7597377206966e-05	3.73377859887718e-05	0.000133720802731328	6.55002384208679e-05	0	0.000105411103302881	3.52984323613204e-05	0	3.22947138074757e-05	9.89173822240188e-05
k__archaea|p__candidatus_micrarchaeota|g__candidatus_mancarchaeum|s__candidatus_mancarchaeum_acidiphilum	5.73767082121848e-05	0	3.7597377206966e-05	3.73377859887718e-05	0.000133720802731328	6.55002384208679e-05	0	0.000105411103302881	3.52984323613204e-05	0	3.22947138074757e-05	9.89173822240188e-05
k__archaea|p__candidatus_nanohaloarchaeota	5.73767082121848e-05	2.71932660771348e-05	0.000112792131620898	0.000112013357966315	8.02324816387966e-05	0	0.000119797494315609	3.51370344342937e-05	0	3.29507422648956e-05	0.000129178855229903	3.29724607413396e-05
k__archaea|p__candidatus_nanohaloarchaeota|c__candidatus_nanohalobia	5.73767082121848e-05	2.71932660771348e-05	0.000112792131620898	0.000112013357966315	8.02324816387966e-05	0	0.000119797494315609	3.51370344342937e-05	0	3.29507422648956e-05	0.000129178855229903	3.29724607413396e-05
k__archaea|p__candidatus_nanohaloarchaeota|c__candidatus_nanohalobia|o__candidatus_nanohalobiales	5.73767082121848e-05	2.71932660771348e-05	0.000112792131620898	0.000112013357966315	8.02324816387966e-05	0	0.000119797494315609	3.51370344342937e-05	0	3.29507422648956e-05	0.000129178855229903	3.29724607413396e-05
k__archaea|p__candidatus_nanohaloarchaeota|c__candidatus_nanohalobia|o__candidatus_nanohalobiales|f__candidatus_nanohalobiaceae	5.73767082121848e-05	2.71932660771348e-05	0.000112792131620898	0.000112013357966315	8.02324816387966e-05	0	0.000119797494315609	3.51370344342937e-05	0	3.29507422648956e-05	0.000129178855229903	3.29724607413396e-05
k__archaea|p__candidatus_nanohaloarchaeota|c__candidatus_nanohalobia|o__candidatus_nanohalobiales|f__candidatus_nanohalobiaceae|g__candidatus_nanohalobium	5.73767082121848e-05	2.71932660771348e-05	0.000112792131620898	0.000112013357966315	8.02324816387966e-05	0	0.000119797494315609	3.51370344342937e-05	0	3.29507422648956e-05	0.000129178855229903	3.29724607413396e-05
k__archaea|p__candidatus_nanohaloarchaeota|c__candidatus_nanohalobia|o__candidatus_nanohalobiales|f__candidatus_nanohalobiaceae|g__candidatus_nanohalobium|s__candidatus_nanohalobium_constans	5.73767082121848e-05	2.71932660771348e-05	0.000112792131620898	0.000112013357966315	8.02324816387966e-05	0	0.000119797494315609	3.51370344342937e-05	0	3.29507422648956e-05	0.000129178855229903	3.29724607413396e-05
k__archaea|p__candidatus_thermoplasmatota	0.000946715685501049	0.00119650370739393	0.00206785574638313	0.0014561736535621	0.00256743941244149	0.00167025607973213	0.00215635489768096	0.00165144061841181	0.00130604199736885	0.00125212820606603	0.00229292468033078	0.00138484335113626
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata	0.000946715685501049	0.00114211717523966	0.00191746623755527	0.00126948472361824	0.00211278868315498	0.00153925560289039	0.00195669240715495	0.00151089248067463	0.00123544513264621	0.00105442375247666	0.00216374582510087	0.00135187089039492
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__methanomassiliicoccales	0.00060245543622794	0.00067983165192837	0.00120311607062291	0.000560066789831577	0.000882557298026762	0.000786002861050414	0.00119797494315609	0.000667603654251581	0.000811863944310369	0.000626064103033017	0.000968841414224271	0.00082431151853349
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__methanomassiliicoccales|f__candidatus_methanomethylophilaceae	0.000344260249273109	0.000489478789388426	0.000563960658104491	0.000224026715932631	0.000401162408193983	0.000425751549735641	0.000559054973472842	0.000316233309908644	0.000494178053058486	0.000296556680384061	0.000549010134727087	0.000395669528896075
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__methanomassiliicoccales|f__candidatus_methanomethylophilaceae|g__candidatus_methanomethylophilus	0.000344260249273109	0.000489478789388426	0.000563960658104491	0.000224026715932631	0.000401162408193983	0.000425751549735641	0.000559054973472842	0.000316233309908644	0.000494178053058486	0.000296556680384061	0.000549010134727087	0.000395669528896075
