clade_name	NCBI_tax_id	reSRR3584987_taxonomic_profile	reSRR3584986_taxonomic_profile	reSRR3584985_taxonomic_profile	reSRR3584984_taxonomic_profile	reSRR3584983_taxonomic_profile	reSRR3584982_taxonomic_profile	reSRR3584981_taxonomic_profile	reSRR3584980_taxonomic_profile	reSRR3584979_taxonomic_profile	reSRR3584978_taxonomic_profile	reSRR3584977_taxonomic_profile	reSRR3584976_taxonomic_profile
UNCLASSIFIED	-1	99.60098	99.35673	99.56359	99.59315	99.73569	99.71869000000001	99.76191	99.44934	99.72504	99.71987	99.62905	99.56625
k__Bacteria	2	0.3990229321239869	0.643271903469336	0.4364136656072438	0.4068523473717539	0.26430534589475146	0.28130731251849583	0.23809152560396266	0.5506557960582059	0.2749622871698323	0.2801334483993123	0.3709481571001369	0.4337453839030623
k__Bacteria|p__Actinobacteria	2|201174	0	0.3053200031750718	0	0	0.230698974025303	0.009595279907080886	0.03718294402679133	0.2495285726721839	0.2425172872083664	0.044518191326032235	0	0
k__Bacteria|p__Actinobacteria|c__CFGB1083|o__OFGB1083|f__FGB1083|g__GGB2774	2|201174|35013294|69585816|88489455|39825544	0	0	0	0	0.230698974025303	0.009595279907080886	0	0	0.2425172872083664	0.044518191326032235	0	0
k__Bacteria|p__Actinobacteria|c__CFGB1083|o__OFGB1083|f__FGB1083|g__GGB2774|s__GGB2774_SGB3723	2|201174|35013294|69585816|88489455|39825544|61715753	0	0	0	0	0.230698974025303	0.009595279907080886	0	0	0.2425172872083664	0.044518191326032235	0	0
k__Bacteria|p__Actinobacteria|c__CFGB1083|o__OFGB1083|f__FGB1083|g__GGB2774|s__GGB2774_SGB3723|t__SGB3723	2|201174|35013294|69585816|88489455|39825544|61715753|SGB3723	0	0	0	0	0.230698974025303	0.009595279907080886	0	0	0.2425172872083664	0.044518191326032235	0	0
k__Bacteria|p__Actinobacteria|c__CFGB6029	2|201174|91724303	0	0.3053200031750718	0	0	0	0	0.03718294402679133	0.2495285726721839	0	0	0	0
k__Bacteria|p__Actinobacteria|c__CFGB6029|o__OFGB6029	2|201174|91724303|6634096	0	0.3053200031750718	0	0	0	0	0.03718294402679133	0.2495285726721839	0	0	0	0
k__Bacteria|p__Actinobacteria|c__CFGB6029|o__OFGB6029|f__FGB6029	2|201174|91724303|6634096|35397610	0	0.3053200031750718	0	0	0	0	0.03718294402679133	0.2495285726721839	0	0	0	0
k__Bacteria|p__Actinobacteria|c__CFGB6029|o__OFGB6029|f__FGB6029|g__GGB44877	2|201174|91724303|6634096|35397610|85590585	0	0.3053200031750718	0	0	0	0	0.03718294402679133	0.2495285726721839	0	0	0	0
k__Bacteria|p__Actinobacteria|c__CFGB6029|o__OFGB6029|f__FGB6029|g__GGB44877|s__GGB44877_SGB62364	2|201174|91724303|6634096|35397610|85590585|63175930	0	0.3053200031750718	0	0	0	0	0.03718294402679133	0.2495285726721839	0	0	0	0
k__Bacteria|p__Actinobacteria|c__CFGB6029|o__OFGB6029|f__FGB6029|g__GGB44877|s__GGB44877_SGB62364|t__SGB62364	2|201174|91724303|6634096|35397610|85590585|63175930|SGB62364	0	0.3053200031750718	0	0	0	0	0.03718294402679133	0.2495285726721839	0	0	0	0
k__Bacteria|p__Firmicutes	2|1239	0.033448296796759265	0.008128576753809572	0	0	0	0	0	0.017773186735893075	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.033448296796759265	0.008128576753809572	0	0	0	0	0	0.017773186735893075	0	0	0	0
