Taxa	reERR4183438	reERR4183439	reERR4183440	reERR4183441	reERR4183442	reERR4183443	reERR4183444	reERR4183445	reERR4183446	reERR4183447	reERR4183448	reERR4183449	reERR4183450	reERR4183451	reERR4183452	reERR4183453	reERR4183454	reERR4183455	reERR4183456	reERR4183457	reERR4183458	reERR4183459	reERR4183460	reERR4183461	reERR4183462	reERR4183463	reERR4183464	reERR4183465	reERR4183466	reERR4183467	reERR4183468	reERR4183469	reERR4183470	reERR4183471	reERR4183472	reERR4183473	reERR4183474	reERR4183475	reERR4183476	reERR4183477	reERR4183478	reERR4183479	reERR4183480	reERR4183481	reERR4183482	reERR4183483	reERR4183484	reERR4183485	reERR4183486	reERR4183487	reERR4183488	reERR4183489	reERR4183490	reERR4183491	reERR4183492	reERR4183493	reERR4183494	reERR4183495	reERR4183496	reERR4183497	reERR4183498	reERR4183499
k__archaea	0.00900433063858208	0.031510470706328	0.0190934585544881	0.0147664409070163	0.0142045391746122	0.0382030345061521	0.0271206902727208	0.0226890034442217	0.0105844365403336	0.028701780922804	0.0276282819494996	0.0143967625944842	0.0283744392011529	0.0198222712532507	0.0250197645184134	0.0177390197864687	0.0176542253174752	0.0180674805135622	0.0203339603431278	0.0187153011159866	0.0131859577846376	0.0212277927839353	0.0100090760365782	0.0199912815860077	0.0200650568434663	0.00791295992129959	0.00741089603603668	0.0299458520302129	0.0210420426677402	0.00967957104699694	0.0154787465167021	0.0109386060887254	0.0235778747391528	0.0184290976440349	0.0113082258050199	0.0134904562124063	0.0222420258923698	0.0188982195211467	0.0174678245510378	0.0196781891766206	0.0178310354873962	0.0173896317372008	0.0190184403870353	0.0191883873126561	0.016557779439168	0.01266027664669	0.025833821651456	0.0264442415514703	0.0191373356545707	0.0190272782104508	0.0215597242326473	0.0199445811080195	0.0161081757063569	0.0193168134742514	0.0194629179629417	0.0200718235652088	0.0207017063503205	0.016299127651592	0.0154164118493227	0.0186277343081144	0.018890398147343	0.0191283360369449
k__archaea|p__candidatus_lokiarchaeota	8.96226287407113e-05	0.000265791520325547	0.000437182226732929	0.000240600643579612	0.000189737716896	0.000414747142941966	0.000175741570848457	0.000149344381944136	2.91697070009193e-05	0.000434304444651945	0.000370449198747296	6.96149702352493e-05	4.90361867443699e-05	0.000250657565403376	0.000235088099379363	0.000236340195099506	6.03883621380962e-05	7.17109444360802e-05	0.000460880446465295	0.000228378941785219	0.000207419560657221	9.8916032776322e-05	7.67205120728283e-05	0.00042132630393107	0.000192974019526044	5.07361476787198e-05	9.68744579874076e-05	0.000211506900743116	0.000201760590113001	9.4353616857195e-05	4.86058269151364e-05	0	0.000240673108076787	0.000201670932044645	0.000212664917019999	5.02437847761873e-05	0.000463045734769976	0.000310550086889421	0.000270013934796066	0.000211575085225089	0.000316739122806699	0.000278273163677834	0.000204259134883413	0.000271575783311374	0.000383261418648123	0.000327420947759224	0.000232873955705855	0.000213407529237136	0.000154237671115573	0.000171974676522512	0.000269025130366561	0.000202826248556131	0.000361035641775273	0.000225372708634189	0.000209997153106777	0.000206135910215443	0.000193798979275684	0.000262052195608213	0.000293703025123177	0.000199506772770696	0.000364883185066202	0.000234126281852334
k__archaea|p__candidatus_lokiarchaeota|g__candidatus_prometheoarchaeum	8.96226287407113e-05	0.000265791520325547	0.000437182226732929	0.000240600643579612	0.000189737716896	0.000414747142941966	0.000175741570848457	0.000149344381944136	2.91697070009193e-05	0.000434304444651945	0.000370449198747296	6.96149702352493e-05	4.90361867443699e-05	0.000250657565403376	0.000235088099379363	0.000236340195099506	6.03883621380962e-05	7.17109444360802e-05	0.000460880446465295	0.000228378941785219	0.000207419560657221	9.8916032776322e-05	7.67205120728283e-05	0.00042132630393107	0.000192974019526044	5.07361476787198e-05	9.68744579874076e-05	0.000211506900743116	0.000201760590113001	9.4353616857195e-05	4.86058269151364e-05	0	0.000240673108076787	0.000201670932044645	0.000212664917019999	5.02437847761873e-05	0.000463045734769976	0.000310550086889421	0.000270013934796066	0.000211575085225089	0.000316739122806699	0.000278273163677834	0.000204259134883413	0.000271575783311374	0.000383261418648123	0.000327420947759224	0.000232873955705855	0.000213407529237136	0.000154237671115573	0.000171974676522512	0.000269025130366561	0.000202826248556131	0.000361035641775273	0.000225372708634189	0.000209997153106777	0.000206135910215443	0.000193798979275684	0.000262052195608213	0.000293703025123177	0.000199506772770696	0.000364883185066202	0.000234126281852334
k__archaea|p__candidatus_lokiarchaeota|g__candidatus_prometheoarchaeum|s__candidatus_prometheoarchaeum_syntrophicum	8.96226287407113e-05	0.000265791520325547	0.000437182226732929	0.000240600643579612	0.000189737716896	0.000414747142941966	0.000175741570848457	0.000149344381944136	2.91697070009193e-05	0.000434304444651945	0.000370449198747296	6.96149702352493e-05	4.90361867443699e-05	0.000250657565403376	0.000235088099379363	0.000236340195099506	6.03883621380962e-05	7.17109444360802e-05	0.000460880446465295	0.000228378941785219	0.000207419560657221	9.8916032776322e-05	7.67205120728283e-05	0.00042132630393107	0.000192974019526044	5.07361476787198e-05	9.68744579874076e-05	0.000211506900743116	0.000201760590113001	9.4353616857195e-05	4.86058269151364e-05	0	0.000240673108076787	0.000201670932044645	0.000212664917019999	5.02437847761873e-05	0.000463045734769976	0.000310550086889421	0.000270013934796066	0.000211575085225089	0.000316739122806699	0.000278273163677834	0.000204259134883413	0.000271575783311374	0.000383261418648123	0.000327420947759224	0.000232873955705855	0.000213407529237136	0.000154237671115573	0.000171974676522512	0.000269025130366561	0.000202826248556131	0.000361035641775273	0.000225372708634189	0.000209997153106777	0.000206135910215443	0.000193798979275684	0.000262052195608213	0.000293703025123177	0.000199506772770696	0.000364883185066202	0.000234126281852334
k__archaea|p__candidatus_micrarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	2.97719705233674e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.93245326062259e-05	0	3.62686232863557e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__archaea|p__candidatus_micrarchaeota|c__candidatus_micrarchaeia	0	0	0	0	0	0	0	0	0	0	0	0	2.97719705233674e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.93245326062259e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__archaea|p__candidatus_micrarchaeota|c__candidatus_micrarchaeia|o__candidatus_micrarchaeales	0	0	0	0	0	0	0	0	0	0	0	0	2.97719705233674e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.93245326062259e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__archaea|p__candidatus_micrarchaeota|c__candidatus_micrarchaeia|o__candidatus_micrarchaeales|f__candidatus_micrarchaeaceae	0	0	0	0	0	0	0	0	0	0	0	0	2.97719705233674e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.93245326062259e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__archaea|p__candidatus_micrarchaeota|c__candidatus_micrarchaeia|o__candidatus_micrarchaeales|f__candidatus_micrarchaeaceae|g__candidatus_micrarchaeum	0	0	0	0	0	0	0	0	0	0	0	0	2.97719705233674e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.93245326062259e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__archaea|p__candidatus_micrarchaeota|c__candidatus_micrarchaeia|o__candidatus_micrarchaeales|f__candidatus_micrarchaeaceae|g__candidatus_micrarchaeum|s__candidatus_micrarchaeum_sp.	0	0	0	0	0	0	0	0	0	0	0	0	2.97719705233674e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.93245326062259e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__archaea|p__candidatus_micrarchaeota|g__candidatus_mancarchaeum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.62686232863557e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__archaea|p__candidatus_micrarchaeota|g__candidatus_mancarchaeum|s__candidatus_mancarchaeum_acidiphilum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.62686232863557e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__archaea|p__candidatus_nanohaloarchaeota	0	3.54388693767396e-05	0	0	3.13159338566214e-05	4.62973554911962e-05	0	0	3.75039090011819e-05	5.38393939651172e-05	2.34919004083651e-05	0	0	4.40344371654579e-05	0	0	0	2.20649059803324e-05	0	2.35442208025999e-05	0	0	0	2.82332059335253e-05	2.12059362116532e-05	0	2.90623373962223e-05	3.74543470065935e-05	4.53394584523598e-05	0	0	0	4.85391142339739e-05	3.85214139860559e-05	0	0	2.57247630427764e-05	3.17350453755613e-05	6.92343422554015e-05	0	0	0	5.744788168596e-05	6.67809303224691e-05	5.75999819933595e-05	0	3.54373410856736e-05	0	2.96610905991487e-05	6.8789870609005e-05	0	0	1.87065099365427e-05	5.33777467817815e-05	0	3.1713216956222e-05	0	0	0	0	2.6377097715629e-05	6.78309788544144e-05
k__archaea|p__candidatus_nanohaloarchaeota|c__candidatus_nanohalobia	0	3.54388693767396e-05	0	0	3.13159338566214e-05	4.62973554911962e-05	0	0	3.75039090011819e-05	5.38393939651172e-05	2.34919004083651e-05	0	0	4.40344371654579e-05	0	0	0	2.20649059803324e-05	0	2.35442208025999e-05	0	0	0	2.82332059335253e-05	2.12059362116532e-05	0	2.90623373962223e-05	3.74543470065935e-05	4.53394584523598e-05	0	0	0	4.85391142339739e-05	3.85214139860559e-05	0	0	2.57247630427764e-05	3.17350453755613e-05	6.92343422554015e-05	0	0	0	5.744788168596e-05	6.67809303224691e-05	5.75999819933595e-05	0	3.54373410856736e-05	0	2.96610905991487e-05	6.8789870609005e-05	0	0	1.87065099365427e-05	5.33777467817815e-05	0	3.1713216956222e-05	0	0	0	0	2.6377097715629e-05	6.78309788544144e-05
k__archaea|p__candidatus_nanohaloarchaeota|c__candidatus_nanohalobia|o__candidatus_nanohalobiales	0	3.54388693767396e-05	0	0	3.13159338566214e-05	4.62973554911962e-05	0	0	3.75039090011819e-05	5.38393939651172e-05	2.34919004083651e-05	0	0	4.40344371654579e-05	0	0	0	2.20649059803324e-05	0	2.35442208025999e-05	0	0	0	2.82332059335253e-05	2.12059362116532e-05	0	2.90623373962223e-05	3.74543470065935e-05	4.53394584523598e-05	0	0	0	4.85391142339739e-05	3.85214139860559e-05	0	0	2.57247630427764e-05	3.17350453755613e-05	6.92343422554015e-05	0	0	0	5.744788168596e-05	6.67809303224691e-05	5.75999819933595e-05	0	3.54373410856736e-05	0	2.96610905991487e-05	6.8789870609005e-05	0	0	1.87065099365427e-05	5.33777467817815e-05	0	3.1713216956222e-05	0	0	0	0	2.6377097715629e-05	6.78309788544144e-05
k__archaea|p__candidatus_nanohaloarchaeota|c__candidatus_nanohalobia|o__candidatus_nanohalobiales|f__candidatus_nanohalobiaceae	0	3.54388693767396e-05	0	0	3.13159338566214e-05	4.62973554911962e-05	0	0	3.75039090011819e-05	5.38393939651172e-05	2.34919004083651e-05	0	0	4.40344371654579e-05	0	0	0	2.20649059803324e-05	0	2.35442208025999e-05	0	0	0	2.82332059335253e-05	2.12059362116532e-05	0	2.90623373962223e-05	3.74543470065935e-05	4.53394584523598e-05	0	0	0	4.85391142339739e-05	3.85214139860559e-05	0	0	2.57247630427764e-05	3.17350453755613e-05	6.92343422554015e-05	0	0	0	5.744788168596e-05	6.67809303224691e-05	5.75999819933595e-05	0	3.54373410856736e-05	0	2.96610905991487e-05	6.8789870609005e-05	0	0	1.87065099365427e-05	5.33777467817815e-05	0	3.1713216956222e-05	0	0	0	0	2.6377097715629e-05	6.78309788544144e-05
k__archaea|p__candidatus_nanohaloarchaeota|c__candidatus_nanohalobia|o__candidatus_nanohalobiales|f__candidatus_nanohalobiaceae|g__candidatus_nanohalobium	0	3.54388693767396e-05	0	0	3.13159338566214e-05	4.62973554911962e-05	0	0	3.75039090011819e-05	5.38393939651172e-05	2.34919004083651e-05	0	0	4.40344371654579e-05	0	0	0	2.20649059803324e-05	0	2.35442208025999e-05	0	0	0	2.82332059335253e-05	2.12059362116532e-05	0	2.90623373962223e-05	3.74543470065935e-05	4.53394584523598e-05	0	0	0	4.85391142339739e-05	3.85214139860559e-05	0	0	2.57247630427764e-05	3.17350453755613e-05	6.92343422554015e-05	0	0	0	5.744788168596e-05	6.67809303224691e-05	5.75999819933595e-05	0	3.54373410856736e-05	0	2.96610905991487e-05	6.8789870609005e-05	0	0	1.87065099365427e-05	5.33777467817815e-05	0	3.1713216956222e-05	0	0	0	0	2.6377097715629e-05	6.78309788544144e-05
k__archaea|p__candidatus_nanohaloarchaeota|c__candidatus_nanohalobia|o__candidatus_nanohalobiales|f__candidatus_nanohalobiaceae|g__candidatus_nanohalobium|s__candidatus_nanohalobium_constans	0	3.54388693767396e-05	0	0	3.13159338566214e-05	4.62973554911962e-05	0	0	3.75039090011819e-05	5.38393939651172e-05	2.34919004083651e-05	0	0	4.40344371654579e-05	0	0	0	2.20649059803324e-05	0	2.35442208025999e-05	0	0	0	2.82332059335253e-05	2.12059362116532e-05	0	2.90623373962223e-05	3.74543470065935e-05	4.53394584523598e-05	0	0	0	4.85391142339739e-05	3.85214139860559e-05	0	0	2.57247630427764e-05	3.17350453755613e-05	6.92343422554015e-05	0	0	0	5.744788168596e-05	6.67809303224691e-05	5.75999819933595e-05	0	3.54373410856736e-05	0	2.96610905991487e-05	6.8789870609005e-05	0	0	1.87065099365427e-05	5.33777467817815e-05	0	3.1713216956222e-05	0	0	0	0	2.6377097715629e-05	6.78309788544144e-05
k__archaea|p__candidatus_thermoplasmatota	0.000217654955513156	0.000678654348564564	0.000555031348721806	0.000179603297319992	0.000228422105777709	0.000522774305754757	0.000845233269318769	0.000202276567949652	0.000104177525003283	0.000611974444736832	0.000820409445030597	0.000203043663186144	0.000197896039361207	0.000692695569256626	0.000696134663210735	0.000438917505184797	0.000306106525320694	0.000228004028463435	0.000494862414868267	0.000685136825355657	0.000496325377286921	0.000259654586037845	0.000179014528169933	0.000403952023356593	0.000477133564762198	0.000251801621812906	9.68744579874076e-05	0.00058384717392631	0.000532738636815228	0.000351513474566021	0.000156864259589758	0	0.000726064250416526	0.00065486403776295	0.000480807638479997	0.000179718153237901	0.000757891095798721	0.000822844390809195	0.000816965238613737	0.000789994068219486	0.000539833635392286	0.000517490444734217	0.0004308591126447	0.00030274021746186	0.000680122864306206	0.000589357705966603	0.000475872866007616	0.000414620342517865	0.00113898587900731	0.00112815387798768	0.000671305699138989	0.000845109368983878	0.000450826889470678	0.000705772429670222	0.000587037496184853	0.000422842892749627	0.000482012845890803	0.000583779643681662	0.000395599993023055	0.000586898564558455	0.000534136228741488	0.000564528791756094
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata	0.000217654955513156	0.000678654348564564	0.000555031348721806	0.000179603297319992	0.000228422105777709	0.000522774305754757	0.000845233269318769	0.000202276567949652	0.000104177525003283	0.000611974444736832	0.000820409445030597	0.000203043663186144	0.000197896039361207	0.000692695569256626	0.000696134663210735	0.000438917505184797	0.0002769535229092	0.000228004028463435	0.000494862414868267	0.000685136825355657	0.000496325377286921	0.000259654586037845	0.000179014528169933	0.000403952023356593	0.000477133564762198	0.000251801621812906	9.68744579874076e-05	0.000544189630036976	0.000532738636815228	0.000351513474566021	0.000156864259589758	0	0.000726064250416526	0.00065486403776295	0.000480807638479997	0.000179718153237901	0.000757891095798721	0.000822844390809195	0.000816965238613737	0.000789994068219486	0.000539833635392286	0.000517490444734217	0.0004308591126447	0.00030274021746186	0.000680122864306206	0.000589357705966603	0.000475872866007616	0.000414620342517865	0.00113898587900731	0.00112815387798768	0.000671305699138989	0.000845109368983878	0.000450826889470678	0.000652394682888441	0.000587037496184853	0.000422842892749627	0.000482012845890803	0.000583779643681662	0.000395599993023055	0.000586898564558455	0.000534136228741488	0.000564528791756094
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__methanomassiliicoccales	0.000131690393251657	0.000345528976423211	0.000167269721532599	0.000111828468142636	0.00011973739415767	0.000212196212667983	0.000246875063810927	0.000107754807225516	7.08407170022325e-05	0.000272786262756594	0.000316237120881838	0.000106356204526075	0.000115585297326015	0.000333645543138277	0.000360620579630479	0.000216082464090977	0.000168670942523648	0.000104808303406579	0.00032070482680304	0.000289593915871979	0.000251866609369482	0.000206075068284004	0.000110162786566112	0.000145509599811246	0.000239627079191681	0.000231131339425279	5.42496964729482e-05	0.000116769434785262	0.000185891779654675	0.000225708652089761	7.51180961415745e-05	0	0.000479323753060492	0.000321767105059996	0.000175679714059999	9.27577565098843e-05	0.000286930049323276	0.000265214307781476	0.000242320197893905	0.00034295638814712	0.000250637045003562	0.000307565075643922	0.000111704214389367	0.00012910979862344	0.000268061454661404	0.000218280631839483	0.000207561569216088	0.000128044517542282	0.000258051488212594	0.000268280495375119	0.000211197298605525	0.000295788279144357	0.000231960723213129	0.000243165290894782	0.000267269103954079	0.000221992518693554	0.000243491025243808	0.000256863043219931	0.000203793935799755	0.000244056828826288	0.000189035866962008	0.000214433417023633
