Taxonomy	reERR4183438	reERR4183439	reERR4183440	reERR4183441	reERR4183442	reERR4183443	reERR4183444	reERR4183445	reERR4183446	reERR4183447	reERR4183448	reERR4183449	reERR4183450	reERR4183451	reERR4183452	reERR4183453	reERR4183454	reERR4183455	reERR4183456	reERR4183457	reERR4183458	reERR4183459	reERR4183460	reERR4183461	reERR4183462	reERR4183463	reERR4183464	reERR4183465	reERR4183466	reERR4183467	reERR4183468	reERR4183469	reERR4183470	reERR4183471	reERR4183472	reERR4183473	reERR4183474	reERR4183475	reERR4183476	reERR4183477	reERR4183478	reERR4183479	reERR4183480	reERR4183481	reERR4183482	reERR4183483	reERR4183484	reERR4183485	reERR4183486	reERR4183487	reERR4183488	reERR4183489	reERR4183490	reERR4183491	reERR4183492	reERR4183493	reERR4183494	reERR4183495	reERR4183496	reERR4183497	reERR4183498	reERR4183499
k__Bacteria	28.9400199898966	24.4021626579818	20.8866952913724	31.4373606475399	31.5497960021148	25.3278720454365	32.0002986418043	40.6881161067879	45.1435789641068	25.9793567648767	21.5743911033939	41.7654047206565	42.1042235904184	26.0356611334343	35.2364365615667	35.671354894747	32.8801684705701	26.5903408763235	30.0678225995315	38.7092333658999	36.5848613863278	40.3522524794941	32.5031946457185	20.5229883733054	17.7141681422433	27.5924160851256	33.4486024877514	29.6042779554539	27.7341740290514	24.4060364133604	49.0707687307272	47.3806828981081	23.1477316051454	33.3488748016941	31.6784885754377	38.9022816222608	27.4900571660755	23.5546660392174	23.635137058957	33.4346415206946	28.1851308503762	28.4068681570846	22.9151341779191	23.1359184991104	24.2512129699253	24.3910492201536	29.666217657008	29.7309772213331	25.2321561201097	26.4768399412418	29.8192895279877	29.7457134561678	31.7696537832251	27.0222782119908	26.489939643614	22.7649145762049	23.6867643079453	24.9422153182955	25.5385444706075	17.732580777428	26.7332903364776	30.6398187876291
k__Bacteria|p__Actinobacteria	1.02948006574924	4.34700349398564	1.17588837221633	3.08488615051618	0.853114291345309	7.02966207613917	1.14610664829139	0.450762170092114	10.9726718338466	5.78585489144774	3.07268805473937	4.6288886138601	2.28080205715526	3.01518240544015	3.60660525968073	3.79508281277632	2.46293260129493	1.97017258744993	0.480204026268956	2.01806779035014	1.71642592314024	2.66103026270567	3.10837224787429	2.20768193710146	1.49840519898509	1.48342354934027	4.77478931340364	8.65043888338013	3.67066359833549	1.39311070067894	1.83738380625983	1.75326361783036	2.36807697593454	1.05788298838023	0.981034103866131	2.64851296681875	3.96905592800021	0.970511583040202	0.931287454672215	1.59108814967882	4.91081639170294	4.62074348236491	2.63730614540042	2.45377654836266	1.4234169817745	1.33779628991661	6.08754761470086	5.67123713650984	0.981304320133157	0.956485503131468	3.12500667796113	2.80292159518389	0.442012095343989	2.27990249365935	2.24175985167124	0.922144199674771	0.903104120660864	1.84865259906629	1.75273254622271	0.396577017078887	0.676134101753542	1.81964309610595
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.38543437875231	0.034866369334693	0.00422040300547878	1.06457959327917	0.533378321313134	0.00935991681916364	0.00790961209826129	0.0712115102451165	0.692217806021165	0.63564458733859	0.39661226372962	1.21373079272561	0.322779430843193	0.064630763128963	0.215720420097435	0.236019351667516	0.511415973253007	0.30085228713697	0.0950838643901822	0.332421910626638	0.26431480330838	0.524734105314725	2.1886761960668	0.0157254919307994	0.0220113840496088	0.903232740278518	3.7450172935122	0.199114236268574	0.708111046374128	0.803570840598988	0.444770164658752	0.421775650191352	0.0122207094540119	0.134417025569488	0.134539953401028	0.938325745200346	0.00246828606492665	0.00492336122514555	0.00357025497448227	0.00626584347796325	0.0439456407181442	0.0436014761850955	0.00862802929263826	0.00894900820760708	0.0549627595282909	0.0689670031414394	0.0313948078317726	0.035375193889621	0.0973356420620069	0.0738929516775111	0.665169858348813	0.503027599628629	0.0204231347357511	0.0315844778456046	0.0301229521177417	0.0572395635775569	0.054210062087696	0.201604222522804	0.18897032066061	0.0926860459276822	0.0441379243695919	0.0857388205108234
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	0.156069788854877	0.000151096453312671	0.000222044464581223	1.01194648279804	0.0851260351681106	0	0.000193019789105541	0.0572751555388029	0.274391425128246	0.00100009820374309	0.00661068645912592	0.832783531770887	0.135321756084443	0.00210056314752267	0.000172815906027081	0.0142185218503073	0.274542680677429	0.148821860317235	8.43653375159662e-05	0	0	0.465685038847399	0.210744941296985	0.00416921767114219	0.000586829568363636	0.221388069887218	3.28296246225409	0.00137548485670505	0.000648561229064529	0.0601124727144292	0.246391527169553	0.235401520574451	0.000164529099152357	8.23804965677176e-05	0	0.759907662463097	6.22566855029166e-05	0	0	8.43513083994701e-05	0.00152145168526003	0.00213346596420182	0	0.000195687213971428	0.000180604593263157	0.0039072542096217	0	0.00025278067277861	0.000338764905576305	0	0.000135072624421558	0	0	0	0.000239522458963289	0.000139770415040165	0	0.000104532875724488	0.00671876857186138	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	0.156069788854877	0.000151096453312671	0.000222044464581223	1.01194648279804	0.0851260351681106	0	0.000193019789105541	0.0572751555388029	0.274391425128246	0.00100009820374309	0.00661068645912592	0.832783531770887	0.135321756084443	0.00210056314752267	0.000172815906027081	0.0142185218503073	0.274542680677429	0.148821860317235	8.43653375159662e-05	0	0	0.465685038847399	0.210744941296985	0.00416921767114219	0.000586829568363636	0.221388069887218	3.28296246225409	0.00137548485670505	0.000648561229064529	0.0601124727144292	0.246391527169553	0.235401520574451	0.000164529099152357	8.23804965677176e-05	0	0.759907662463097	6.22566855029166e-05	0	0	8.43513083994701e-05	0.00152145168526003	0.00213346596420182	0	0.000195687213971428	0.000180604593263157	0.0039072542096217	0	0.00025278067277861	0.000338764905576305	0	0.000135072624421558	0	0	0	0.000239522458963289	0.000139770415040165	0	0.000104532875724488	0.00671876857186138	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium	0.156069788854877	0.000151096453312671	0.000222044464581223	1.01194648279804	0.0851260351681106	0	0.000193019789105541	0.0572751555388029	0.274391425128246	0.00100009820374309	0.00661068645912592	0.832783531770887	0.135321756084443	0.00210056314752267	0.000172815906027081	0.0142185218503073	0.274542680677429	0.148821860317235	8.43653375159662e-05	0	0	0.465685038847399	0.210744941296985	0.00416921767114219	0.000586829568363636	0.221388069887218	3.28296246225409	0.00137548485670505	0.000648561229064529	0.0601124727144292	0.246391527169553	0.235401520574451	0.000164529099152357	8.23804965677176e-05	0	0.759907662463097	6.22566855029166e-05	0	0	8.43513083994701e-05	0.00152145168526003	0.00213346596420182	0	0.000195687213971428	0.000180604593263157	0.0039072542096217	0	0.00025278067277861	0.000338764905576305	0	0.000135072624421558	0	0	0	0.000239522458963289	0.000139770415040165	0	0.000104532875724488	0.00671876857186138	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_animalis	0.0133742916665452	0	0	0.0944408328044979	0.00510993795451256	0	0	0	0.00961363311116657	0	0	0.0580405429407	0.0116813527232994	5.99350695387258e-05	0	0	0.115213005882983	0.00732741449069757	0	0	0	0.0359075342526565	0.0149200954296088	0	0	0.0072706102359006	0.00287294976024347	0	0	0	0.0174089552780643	0.0168989305925514	0	8.23804965677176e-05	0	0.421461030193106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_animalis|t__SGB17278	0.0133742916665452	0	0	0.0944408328044979	0.00510993795451256	0	0	0	0.00961363311116657	0	0	0.0580405429407	0.0116813527232994	5.99350695387258e-05	0	0	0.115213005882983	0.00732741449069757	0	0	0	0.0359075342526565	0.0149200954296088	0	0	0.0072706102359006	0.00287294976024347	0	0	0	0.0174089552780643	0.0168989305925514	0	8.23804965677176e-05	0	0.421461030193106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudocatenulatum	0.000494507801691325	0	0	0.000215786618980055	0.00244733399258243	0	0	0.0557611665946332	0	0	0	0.000117114299630932	0	0	0	0.000390858397734502	0	0	0	0	0	0	0.000240233860986849	0	0	0.069092214388498	0.00108623252296385	0	0	0.0413239311388571	0	0.000481894707227248	0	0	0	0.00322518718563427	0	0	0	0	0.000294439893705211	0.00101037085883763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudocatenulatum|t__SGB17237	0.000494507801691325	0	0	0.000215786618980055	0.00244733399258243	0	0	0.0557611665946332	0	0	0	0.000117114299630932	0	0	0	0.000390858397734502	0	0	0	0	0	0	0.000240233860986849	0	0	0.069092214388498	0.00108623252296385	0	0	0.0413239311388571	0	0.000481894707227248	0	0	0	0.00322518718563427	0	0	0	0	0.000294439893705211	0.00101037085883763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
