clade_name	NCBI_tax_id	reERR4183499_taxonomic_profile	reERR4183498_taxonomic_profile	reERR4183497_taxonomic_profile	reERR4183496_taxonomic_profile	reERR4183495_taxonomic_profile	reERR4183494_taxonomic_profile	reERR4183493_taxonomic_profile	reERR4183492_taxonomic_profile	reERR4183491_taxonomic_profile	reERR4183490_taxonomic_profile	reERR4183489_taxonomic_profile	reERR4183488_taxonomic_profile	reERR4183487_taxonomic_profile	reERR4183486_taxonomic_profile	reERR4183485_taxonomic_profile	reERR4183484_taxonomic_profile	reERR4183483_taxonomic_profile	reERR4183482_taxonomic_profile	reERR4183481_taxonomic_profile	reERR4183480_taxonomic_profile	reERR4183479_taxonomic_profile	reERR4183478_taxonomic_profile	reERR4183477_taxonomic_profile	reERR4183476_taxonomic_profile	reERR4183475_taxonomic_profile	reERR4183474_taxonomic_profile	reERR4183473_taxonomic_profile	reERR4183472_taxonomic_profile	reERR4183471_taxonomic_profile	reERR4183470_taxonomic_profile	reERR4183469_taxonomic_profile	reERR4183468_taxonomic_profile	reERR4183467_taxonomic_profile	reERR4183466_taxonomic_profile	reERR4183465_taxonomic_profile	reERR4183464_taxonomic_profile	reERR4183463_taxonomic_profile	reERR4183462_taxonomic_profile	reERR4183461_taxonomic_profile	reERR4183460_taxonomic_profile	reERR4183459_taxonomic_profile	reERR4183458_taxonomic_profile	reERR4183457_taxonomic_profile	reERR4183456_taxonomic_profile	reERR4183455_taxonomic_profile	reERR4183454_taxonomic_profile	reERR4183453_taxonomic_profile	reERR4183452_taxonomic_profile	reERR4183451_taxonomic_profile	reERR4183450_taxonomic_profile	reERR4183449_taxonomic_profile	reERR4183448_taxonomic_profile	reERR4183447_taxonomic_profile	reERR4183446_taxonomic_profile	reERR4183445_taxonomic_profile	reERR4183444_taxonomic_profile	reERR4183443_taxonomic_profile	reERR4183442_taxonomic_profile	reERR4183441_taxonomic_profile	reERR4183440_taxonomic_profile	reERR4183439_taxonomic_profile	reERR4183438_taxonomic_profile
UNCLASSIFIED	-1	46.13843	36.14604	51.46954	43.241659999999996	43.751740000000005	39.80599	39.979729999999996	45.12973	45.41584	37.10114	40.86422	41.43615	51.92904	52.19529	46.598279999999995	46.95071	35.915	36.66872	51.76372	51.86619	36.759679999999996	37.022909999999996	42.81668	51.70921	52.00253	39.282070000000004	29.61072	46.150690000000004	47.01603	47.662690000000005	25.083660000000002	25.06446	25.40404	47.19377	33.95402	28.38689	31.67503	38.69845	37.97517	37.245259999999995	43.10394	33.2565	33.580459999999995	29.057640000000003	33.02347	38.50665	37.379490000000004	37.77877	39.91428	28.849859999999996	34.04525	41.981970000000004	37.9191	28.01799	33.2918	41.57662	34.26879	34.26489	24.43148	46.583059999999996	36.91167	32.68169
k__Archaea	2157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005004677460009516	0	0	0	0.0020002662910348864	0.010408546217921968	0	0	0	0	0	0	0	0.0008660154348567903	0.007163213719344384	0	0	0	0.013797165836194294	0.027487526825857776	0	0	0	0.05195382986089527	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota	2157|28890	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005004677460009516	0	0	0	0.0020002662910348864	0.010408546217921968	0	0	0	0	0	0	0	0.0008660154348567903	0.007163213719344384	0	0	0	0.013797165836194294	0.027487526825857776	0	0	0	0.05195382986089527	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005004677460009516	0	0	0	0.0020002662910348864	0.010408546217921968	0	0	0	0	0	0	0	0.0008660154348567903	0.007163213719344384	0	0	0	0.013797165836194294	0.027487526825857776	0	0	0	0.05195382986089527	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	2157|28890|183925|2158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005004677460009516	0	0	0	0.0020002662910348864	0.010408546217921968	0	0	0	0	0	0	0	0.0008660154348567903	0.007163213719344384	0	0	0	0.013797165836194294	0.027487526825857776	0	0	0	0.05195382986089527	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	2157|28890|183925|2158|2159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005004677460009516	0	0	0	0.0020002662910348864	0.010408546217921968	0	0	0	0	0	0	0	0.0008660154348567903	0.007163213719344384	0	0	0	0.013797165836194294	0.027487526825857776	0	0	0	0.05195382986089527	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera	2157|28890|183925|2158|2159|2316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005004677460009516	0	0	0	0.0020002662910348864	0.010408546217921968	0	0	0	0	0	0	0	0.0008660154348567903	0.007163213719344384	0	0	0	0.013797165836194294	0.027487526825857776	0	0	0	0.05195382986089527	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_cuniculi	2157|28890|183925|2158|2159|2316|1077256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005004677460009516	0	0	0	0.0020002662910348864	0.010408546217921968	0	0	0	0	0	0	0	0.0008660154348567903	0.007163213719344384	0	0	0	0.013797165836194294	0.027487526825857776	0	0	0	0.05195382986089527	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_cuniculi|t__SGB696	2157|28890|183925|2158|2159|2316|1077256|SGB696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005004677460009516	0	0	0	0.0020002662910348864	0.010408546217921968	0	0	0	0	0	0	0	0.0008660154348567903	0.007163213719344384	0	0	0	0.013797165836194294	0.027487526825857776	0	0	0	0.05195382986089527	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria	2	53.86156739227995	63.853960530884144	48.53045627485805	56.756894293732046	56.24617152490859	60.19121913731424	60.01700465411224	54.87026881468011	54.58415709184471	62.898857404042644	59.13578038865186	58.56385048780872	48.07095773154394	47.804708608758524	53.40172133833833	53.04929322181816	64.08499604373196	63.331277446126606	48.23627693007064	48.133808155441685	63.24031587316189	62.97679094489126	57.183321867944834	48.29078764132859	47.99747139556966	60.71793306032257	70.38427042815907	53.849311642682295	52.98397308802028	52.33730563704685	74.91434022190695	74.92488958606482	74.59588111316734	52.80622919063697	66.04598029320378	71.61311320800327	68.32496887615139	61.30154586752672	62.024826568081934	62.75387564085429	56.88889492245527	66.74350333465753	66.41954083882365	70.94235743732723	66.962736019573	61.46586107688282	62.62050781749093	62.22122943175747	60.085718582955415	71.09818292841804	65.95475028997953	58.01803298199207	62.08090428291655	71.98201418766416	66.70819580769577	58.423382097349176	65.73121201991401	65.73511487082972	75.56852163167773	53.41694276573746	63.08833062831163	67.3183122510367
