Taxonomy	reERR4183438	reERR4183440	reERR4183441	reERR4183442	reERR4183443	reERR4183444	reERR4183445	reERR4183446	reERR4183447	reERR4183448	reERR4183449	reERR4183450	reERR4183451	reERR4183452	reERR4183454	reERR4183455	reERR4183456	reERR4183457	reERR4183459	reERR4183460	reERR4183461	reERR4183462	reERR4183463	reERR4183464	reERR4183465	reERR4183466	reERR4183467	reERR4183468	reERR4183470	reERR4183471	reERR4183473	reERR4183474	reERR4183475	reERR4183477	reERR4183478	reERR4183480	reERR4183481	reERR4183482	reERR4183484	reERR4183486	reERR4183488	reERR4183490	reERR4183491	reERR4183492	reERR4183493	reERR4183494	reERR4183495	reERR4183497	reERR4183498	reERR4183499
k__Bacteria	26.2155664043664	11.6917138946702	27.4178447998012	22.8630849130071	22.3423251162463	22.1987718884277	25.8246089003686	30.9895912337876	21.3488623044579	21.2709184870195	36.4849740018462	28.1593241732141	19.7058764012455	27.7924237728694	30.8130108581049	25.1269315954409	16.4610608422209	27.6068911541126	16.0436161337061	25.9612670641162	10.1486038526065	24.434011769667	24.6294038414063	27.6365369235427	23.9519760970394	26.2693881787328	26.8339216424705	31.1886294398937	26.8217045328397	25.1172552885725	29.0319481885692	17.7203501591676	16.2100758447786	30.2561422079255	21.2745934228288	17.8499376316703	17.7247626890015	22.6779099705036	11.5913456410362	24.2701108614304	22.8592382229843	24.3810487415263	23.7136382365504	23.5299528339878	23.7525467905377	23.7621066201957	12.3528685103121	8.35984028344933	18.3621738378404	22.4485128350678
k__Bacteria|p__Actinobacteriota	0.348544169062618	1.27391275025545	2.60254992556794	0.270822357343851	5.63537047186503	2.27469757710364	0.275876832475198	2.85690102076383	5.91495493888174	2.62011302698099	2.56222229567187	1.1158084884722	2.094274928787	4.43799574723263	2.73490251642205	0.828012060153108	0.242140762723221	2.38341429932993	2.13194954469121	0.914007448103233	0.702743050287994	2.36497094413585	0.4634439242447	1.86699058307328	5.0336057740458	4.11804412576953	0.484952678014228	1.99841912066068	5.46982296323333	1.204428768943	1.35882693147223	3.40496023636927	2.85784745276463	1.55623684072086	3.32261708708569	1.74603462531338	1.73900020100396	1.54334708556622	1.76647234453474	1.19890657918843	1.93564578576908	0.26004251553263	1.35840976010017	1.42312654135177	1.47160499301381	1.46930089383321	0.712081501429324	0.231084382769631	0.849078754933294	1.66872624688698
k__Bacteria|p__Actinobacteriota|c__Actinomycetia	0.194096278464485	0.000113794061468201	2.2282435436619	0.0869657668470246	0.000673639442873248	0.000147220789702587	0.0192358012812303	0.344487037102357	0.000120706799069158	0.00421953263495752	0.885945535345218	0.106221874620459	0.00183766324059035	0.000639616998643743	1.71826709087855	0.154058717485146	0.00011404457910061	0.000140576504948198	0.202648257090059	0.331184356603025	0.000811085113423745	4.28730125735899e-05	0.226943289858104	1.40544526549728	0.000574032210555428	0.000479115378643827	0.0197496331523899	0.302872678195892	2.29824014051148e-05	0.000347217326431364	0.728832785637875	0.000604356349641149	0.00030733963632985	0	0.000265411282831756	3.32298147015197e-05	8.93569918300952e-05	0.000156511638109358	5.32500025246995e-05	4.01278462182402e-05	0	0.000711045128793317	0.00018267808273522	0.000192258907731816	0.000284728918566077	0	1.5497045063183e-05	4.38313382825977e-05	0.000120222833199127	5.29043547136862e-05
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales	0.194096278464485	0.000113794061468201	2.2282435436619	0.0869657668470246	0.000673639442873248	0.000147220789702587	0.0192358012812303	0.344487037102357	0.000120706799069158	0.00421953263495752	0.885945535345218	0.106221874620459	0.00183766324059035	0.000639616998643743	1.71826709087855	0.154058717485146	0.00011404457910061	0.000140576504948198	0.202648257090059	0.331184356603025	0.000811085113423745	4.28730125735899e-05	0.226943289858104	1.40544526549728	0.000574032210555428	0.000479115378643827	0.0197496331523899	0.302872678195892	2.29824014051148e-05	0.000347217326431364	0.728832785637875	0.000604356349641149	0.00030733963632985	0	0.000265411282831756	3.32298147015197e-05	8.93569918300952e-05	0.000156511638109358	5.32500025246995e-05	4.01278462182402e-05	0	0.000711045128793317	0.00018267808273522	0.000192258907731816	0.000284728918566077	0	1.5497045063183e-05	4.38313382825977e-05	0.000120222833199127	5.29043547136862e-05
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae	0.194096278464485	0.000113794061468201	2.2282435436619	0.0869657668470246	0.000673639442873248	0.000147220789702587	0.0192358012812303	0.344487037102357	0.000120706799069158	0.00421953263495752	0.885945535345218	0.106221874620459	0.00183766324059035	0.000639616998643743	1.71826709087855	0.154058717485146	0.00011404457910061	0.000140576504948198	0.202648257090059	0.331184356603025	0.000811085113423745	4.28730125735899e-05	0.226943289858104	1.40544526549728	0.000574032210555428	0.000479115378643827	0.0197496331523899	0.302872678195892	2.29824014051148e-05	0.000347217326431364	0.728832785637875	0.000604356349641149	0.00030733963632985	0	0.000265411282831756	3.32298147015197e-05	8.93569918300952e-05	0.000156511638109358	5.32500025246995e-05	4.01278462182402e-05	0	0.000711045128793317	0.00018267808273522	0.000192258907731816	0.000284728918566077	0	1.5497045063183e-05	4.38313382825977e-05	0.000120222833199127	5.29043547136862e-05
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae|g__Bifidobacterium	0.194096278464485	0.000113794061468201	2.2282435436619	0.0869657668470246	0.000673639442873248	0.000147220789702587	0.0192358012812303	0.344487037102357	0.000120706799069158	0.00421953263495752	0.885945535345218	0.106221874620459	0.00183766324059035	0.000639616998643743	1.71826709087855	0.154058717485146	0.00011404457910061	0.000140576504948198	0.202648257090059	0.331184356603025	0.000811085113423745	4.28730125735899e-05	0.226943289858104	1.40544526549728	0.000574032210555428	0.000479115378643827	0.0197496331523899	0.302872678195892	2.29824014051148e-05	0.000347217326431364	0.728832785637875	0.000604356349641149	0.00030733963632985	0	0.000265411282831756	3.32298147015197e-05	8.93569918300952e-05	0.000156511638109358	5.32500025246995e-05	4.01278462182402e-05	0	0.000711045128793317	0.00018267808273522	0.000192258907731816	0.000284728918566077	0	1.5497045063183e-05	4.38313382825977e-05	0.000120222833199127	5.29043547136862e-05
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium adolescentis	0.000613017965897425	0.000113794061468201	0.00184598886982982	0.000719809357558178	0.000673639442873248	8.37479464523854e-05	0.000198016467728855	0.00266251111459011	0.000111064217191036	0.000707685099113419	0.00654402388482216	0.00141681524231222	5.65533600161757e-05	0.000451177027591245	0.00155002100276398	0.000926446528537722	9.73833120546739e-05	0.000140576504948198	0.00253681963848245	0.00413187991837023	0.000614859908077202	4.28730125735899e-05	0.00295207651233519	1.0638188356075	0.000512428719965906	0.000427840103810015	0.000388933714407294	0.00236433235541109	2.29824014051148e-05	0.000347217326431364	0.00239515364642323	0.000604356349641149	0.00030733963632985	0	0.000165672875666683	3.32298147015197e-05	4.25065793674628e-05	0.000156511638109358	1.83205481852047e-05	4.01278462182402e-05	0	0.00041314874955713	0.00018267808273522	0.000192258907731816	0.000284728918566077	0	1.5497045063183e-05	4.38313382825977e-05	0.000120222833199127	5.29043547136862e-05
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium animalis	0.049348108798963	0	0.782082114958519	0.0128178158381809	0	0	2.72815212537183e-05	0.0548034866092211	0	0.00038783344108439	0.276332893752625	0.0261210273475213	0.00045749072330172	0.000104297059993363	1.51428739555279	0.0273716785701758	1.66612670459358e-05	0	0.0822371956729367	0.0440806309058595	6.16085165869285e-06	0	0.0387199654979537	0.0262298075060834	6.16034905895219e-05	0	0.000391433061739226	0.090572277477473	0	0	0.350297838910437	0	0	0	4.72414962671942e-05	0	4.68504124626324e-05	0	1.0757387818375e-05	0	0	6.84373585520664e-05	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium globosum	0.0908889651458655	0	1.24275700341719	0.0547887982396456	0	4.26569306259704e-05	0	0.155700696426021	9.64258187812205e-06	0.0019966763834222	0.420846438538308	0.0395244085159768	0.0006211758462405	6.29778164194343e-05	0.111953727777109	0.103665051058663	0	0	0.0602280840107417	0.237786464967512	0.000153446904324252	0	0.0552435744508255	0.249908916681454	0	5.12752748338112e-05	0.000365349718931126	0.143726160308295	0	0	0.212651774557957	0	0	0	0	0	0	0	2.41720665211199e-05	0	0	9.73405356930376e-05	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium pseudocatenulatum	0.000119145483875656	0	0.000289389825949041	2.51104967273069e-05	0	0	0.0189256175870768	0	0	0	0.000483296296729325	0	0	0	1.63474604481116e-05	0	0	0	5.09427885674081e-05	0.000238366338094763	0	0	0.0266627257257547	0.00231006008410322	0	0	0.0183284957916968	5.7958610488786e-05	0	0	0.00150126844412923	0	0	0	2.50444399206271e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
