Taxonomy	reERR4183438	reERR4183440	reERR4183441	reERR4183442	reERR4183443	reERR4183444	reERR4183445	reERR4183446	reERR4183447	reERR4183448	reERR4183449	reERR4183450	reERR4183451	reERR4183452	reERR4183454	reERR4183455	reERR4183456	reERR4183457	reERR4183459	reERR4183460	reERR4183461	reERR4183462	reERR4183463	reERR4183464	reERR4183465	reERR4183466	reERR4183467	reERR4183468	reERR4183470	reERR4183471	reERR4183473	reERR4183474	reERR4183475	reERR4183477	reERR4183478	reERR4183480	reERR4183481	reERR4183482	reERR4183484	reERR4183486	reERR4183488	reERR4183490	reERR4183491	reERR4183492	reERR4183493	reERR4183494	reERR4183495	reERR4183497	reERR4183498	reERR4183499
k__Bacteria	9.57027317571917	12.6992516229636	18.6505227466352	42.7108924575233	28.8903556423546	15.7345298882192	24.2091055750427	33.9192909678106	24.831811517378	21.664816777402	57.3845357450797	43.8853105958678	33.9822499052834	31.1537486873773	54.7216625115064	55.7790195162538	18.8735509880013	24.6780143086869	49.008411442228	55.1423221203305	18.4297166746765	17.3410906154183	40.0564284053622	40.6132118279714	25.8376422777832	16.7356534457554	13.8318922398446	42.5709557426379	18.4100985377956	28.3732615140013	30.6169004830824	21.7755472470377	9.80047348707491	19.8450401697194	20.7663642563768	30.8156226260955	50.2498328809584	16.2800091746561	26.0628420077268	30.041837123283	12.8623963586264	9.07207311850843	26.2180165465618	29.0869478556768	36.1086858483179	23.7775955315176	25.4198356282011	12.3147401538675	21.7533924213967	12.6247153164842
k__Bacteria|p__Actinobacteria	0.32607090803672	0.470568056338069	1.17256164455685	0.208402154754463	7.78641034006526	0	0.106044430075714	1.45047264687543	4.85881894958563	0.25711934093113	3.43081733043893	2.79274407400516	1.76889952041332	4.70771711674247	5.57008602092246	3.01430420765039	0	0.949874409840512	4.63785948889803	2.25558406212454	1.02656250215391	1.30431830725416	0.81822646405566	0.653549887527178	4.58390527995045	2.83346290261861	0.165933512942106	0.600855333915923	2.13382429618387	0.204692395893956	1.25938535722515	4.09900217337742	0.563814361910435	2.0015329548558	2.58445304774929	3.23894469770547	3.71412537542554	1.46842914693263	8.25333219241282	0	0	0.072743972411382	2.85213010628099	3.26803909192041	1.54147142561572	1.588062534056	1.23626405756525	0.287343310957214	0.758876471253498	0.778756344295952
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.134856401483689	0	0.654011882567696	0.1017685236536	0	0	0	0	0.078973041977817	0.193067585846826	1.31785467775239	0.111157746921584	0	0	1.68018636122143	0.343237721040978	0	0	0.148781742425668	0.728040255349168	0	0	0.303519820374506	0.551640189337974	0	0	0.165933512942106	0	0	0	0.319656555482194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0987282078324227	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	0.134856401483689	0	0.654011882567696	0.1017685236536	0	0	0	0	0	0	1.17522802497425	0.111157746921584	0	0	1.52863701497574	0.219835709810353	0	0	0.148781742425668	0.456820088620663	0	0	0.303519820374506	0.551640189337974	0	0	0.165933512942106	0	0	0	0.319656555482194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	0.134856401483689	0	0.654011882567696	0.1017685236536	0	0	0	0	0	0	1.17522802497425	0.111157746921584	0	0	1.52863701497574	0.219835709810353	0	0	0.148781742425668	0.456820088620663	0	0	0.303519820374506	0.551640189337974	0	0	0.165933512942106	0	0	0	0.319656555482194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium	0.134856401483689	0	0.654011882567696	0.1017685236536	0	0	0	0	0	0	1.17522802497425	0.111157746921584	0	0	1.52863701497574	0.219835709810353	0	0	0.148781742425668	0.456820088620663	0	0	0.303519820374506	0.551640189337974	0	0	0.165933512942106	0	0	0	0.319656555482194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.129732591372567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis|t__SGB17244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.129732591372567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_animalis	0	0	0	0	0	0	0	0	0	0	0.31579919371847	0	0	0	1.37507195696529	0	0	0	0.148781742425668	0	0	0	0	0	0	0	0	0	0	0	0.319656555482194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_animalis|t__SGB17278	0	0	0	0	0	0	0	0	0	0	0.31579919371847	0	0	0	1.37507195696529	0	0	0	0.148781742425668	0	0	0	0	0	0	0	0	0	0	0	0.319656555482194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
