Taxonomy	reERR1346801	reERR1346802	reERR1346803	reERR1346804	reERR1346805	reERR1346806	reERR1346807	reERR1346808	reERR1346809	reERR1346810	reERR1346811	reERR1346812	reERR1346813	reERR1346814	reERR1346815	reERR1346816	reERR1346817	reERR1346818	reERR1346819	reERR1346820	reERR1346821	reERR1346822	reERR1346823	reERR1346824	reERR1346825	reERR1346826	reERR1346827	reERR1346828	reERR1346829	reERR1346830	reERR1346831	reERR1346832	reERR1346833	reERR1346834	reERR1346835	reERR1346836	reERR1346837	reERR1346838	reERR1346839	reERR1346840	reERR1346841	reERR1346842	reERR1346843	reERR1346844	reERR1346845	reERR1346846	reERR1346847	reERR1346848	reERR1346849	reERR1346850	reERR1346851	reERR1346852	reERR1346853	reERR1346854	reERR1346855	reERR1346856	reERR1346857	reERR1346858	reERR1346859	reERR1346860	reERR1346861	reERR1346862	reERR1346863	reERR1346864	reERR1346865	reERR1346866	reERR1346867	reERR1346868	reERR1346869	reERR1346870	reERR1346871	reERR1346872	reERR1346873	reERR1346874	reERR1346875	reERR1346876	reERR1346877	reERR1346878	reERR1346879	reERR1346880	reERR1346881	reERR1346882	reERR1346883	reERR1346884	reERR1346887	reERR1346888	reERR1346889	reERR1346890	reERR1346891	reERR1346892	reERR1346875.1	reERR1346878.1	reERR1346884
k__Bacteria	9.98799694349345	25.6446710677244	5.07531418705761	20.2780437271296	16.6235371256957	19.0358006016156	44.4845723531207	37.8313792236247	16.892068612627	25.5325002793229	8.14827629994778	10.1103180807408	5.2913617074717	34.7075888840804	16.2740304159371	3.61043761870567	12.2172030581781	9.07333703962043	22.1954790583893	11.3872279565114	27.4442021874273	14.1920578148846	9.30248785116089	26.8241768163635	25.4900520149987	6.07475743911101	10.3600954778701	0.812398424314638	14.4796835043544	5.50861621299113	11.8837222015516	24.5171954140668	19.7230735661271	17.8522617339596	24.0046760001465	2.65344976199702	21.7753109546776	27.5123714377067	30.0937978613529	13.6968181670463	0.504724573915817	5.49081331417153	17.4307541452603	1.83650264352467	7.23597396782792	1.65152320471445	3.94572512351116	14.6732953932836	0.910317053080866	3.10531624375134	4.89865274937843	0.0480980070526085	2.26192697238637	31.2323592841923	6.46824795917528	9.31847495298445	11.5866200639431	0.558129507403108	16.1254827572752	10.4120349371611	4.28214643905993	0.146642455855856	0.99453071265733	11.6324902261886	20.5528903968765	10.4984167831149	9.92103205906097	9.54773019006433	2.32159893303774	16.4688994153291	1.23106592424154	7.52112333666186	16.3510316123773	14.9772406584045	0	4.62982128997199	0.927113340841407	0	2.66266404793037	6.08685871204601	5.56306946090191	15.001112053959	0.0680165221495335	0	9.66097432393278	11.9595828772304	25.1855853572468	4.21188135603187	49.2029159945839	5.38058469319395	0	0	0
k__Bacteria|p__Acidobacteria	0.000159032696338044	6.82721423441547e-05	0.000186435668831115	0.000133391125430488	0.000155786101970305	0.000136550407031135	0.000169143837486015	0.000588796910838726	0.000173165138035924	0.000770731131510844	0	0.000149410649967601	0.000372613747313243	0.000162707768345186	3.72809572381041e-05	7.95652705040835e-05	0.000123537776260824	0.00021373314800864	0.000192718082957678	0.000889671833664975	0.000201987814458003	0.000206978956688502	0.000902512200361368	0.000546832701716627	0.000375276665870069	0.000336678677317599	0.000116760142142174	0.000143305290477674	0.000131523446867874	0.00036575715254928	3.45152938286224e-05	2.02494185193461e-05	0.318330328157251	0.119837220290957	0.00574091738252843	0.00118977293464092	0.00257014902916786	0.00417270504651088	0.00016747571625436	0.000189570416498787	0.000282406901518049	0.000253948919037337	0.000202969035928632	0	0.000107501380801538	0.000882845969408265	0	0.000103118632852099	0.000208142716943885	0.000149094976673022	0.000574646212919943	0	8.84419193633965e-05	5.54664657280541e-05	0.000277077834704584	0.000137557760535315	0.000162228131161893	0.00122141872792325	9.06536056713556e-06	0.000194512685178189	6.14583956063727e-05	0	0.000117597477293767	0.000348896288930672	4.38191201199925e-05	0.000389215892585575	0	4.16191892582599e-05	0	6.4261471805239e-06	0.000516623603705824	8.46423486315503e-05	7.56539951291075e-05	0	0	0.000109843237957594	0.128978241575923	0	0.144037645718511	0.23527170581801	0.2618219907718	0.00131733225997648	0	0	5.57857249940793e-05	0.000343692926020499	0.000208203948059221	0.000285990154744076	0.0726350586418336	0.463293639297239	0	0	0
k__Bacteria|p__Acidobacteria|c__CFGB37891	0.000159032696338044	6.82721423441547e-05	0.000186435668831115	0.000133391125430488	0.000155786101970305	0.000136550407031135	0.000169143837486015	0.000588796910838726	0.000173165138035924	0.000770731131510844	0	0.000149410649967601	0.000372613747313243	0.000162707768345186	3.72809572381041e-05	7.95652705040835e-05	0.000123537776260824	0.00021373314800864	0.000192718082957678	0.000889671833664975	0.000201987814458003	0.000206978956688502	0.000902512200361368	0.000546832701716627	0.000375276665870069	0.000336678677317599	0.000116760142142174	0.000143305290477674	0.000131523446867874	0.00036575715254928	3.45152938286224e-05	2.02494185193461e-05	0.318330328157251	0.119837220290957	0.00574091738252843	0.00118977293464092	0.00257014902916786	0.00417270504651088	0.00016747571625436	0.000189570416498787	0.000282406901518049	0.000253948919037337	0.000202969035928632	0	0.000107501380801538	0.000882845969408265	0	0.000103118632852099	0.000208142716943885	0.000149094976673022	0.000574646212919943	0	8.84419193633965e-05	5.54664657280541e-05	0.000277077834704584	0.000137557760535315	0.000162228131161893	0.00122141872792325	9.06536056713556e-06	0.000194512685178189	6.14583956063727e-05	0	0.000117597477293767	0.000348896288930672	4.38191201199925e-05	0.000389215892585575	0	4.16191892582599e-05	0	6.4261471805239e-06	0.000516623603705824	8.46423486315503e-05	7.56539951291075e-05	0	0	0.000109843237957594	0.128978241575923	0	0.144037645718511	0.23527170581801	0.2618219907718	0.00131733225997648	0	0	5.57857249940793e-05	0.000343692926020499	0.000208203948059221	0.000285990154744076	0.0726350586418336	0.463293639297239	0	0	0
k__Bacteria|p__Acidobacteria|c__CFGB37891|o__OFGB37891	0.000159032696338044	6.82721423441547e-05	0.000186435668831115	0.000133391125430488	0.000155786101970305	0.000136550407031135	0.000169143837486015	0.000588796910838726	0.000173165138035924	0.000770731131510844	0	0.000149410649967601	0.000372613747313243	0.000162707768345186	3.72809572381041e-05	7.95652705040835e-05	0.000123537776260824	0.00021373314800864	0.000192718082957678	0.000889671833664975	0.000201987814458003	0.000206978956688502	0.000902512200361368	0.000546832701716627	0.000375276665870069	0.000336678677317599	0.000116760142142174	0.000143305290477674	0.000131523446867874	0.00036575715254928	3.45152938286224e-05	2.02494185193461e-05	0.318330328157251	0.119837220290957	0.00574091738252843	0.00118977293464092	0.00257014902916786	0.00417270504651088	0.00016747571625436	0.000189570416498787	0.000282406901518049	0.000253948919037337	0.000202969035928632	0	0.000107501380801538	0.000882845969408265	0	0.000103118632852099	0.000208142716943885	0.000149094976673022	0.000574646212919943	0	8.84419193633965e-05	5.54664657280541e-05	0.000277077834704584	0.000137557760535315	0.000162228131161893	0.00122141872792325	9.06536056713556e-06	0.000194512685178189	6.14583956063727e-05	0	0.000117597477293767	0.000348896288930672	4.38191201199925e-05	0.000389215892585575	0	4.16191892582599e-05	0	6.4261471805239e-06	0.000516623603705824	8.46423486315503e-05	7.56539951291075e-05	0	0	0.000109843237957594	0.128978241575923	0	0.144037645718511	0.23527170581801	0.2618219907718	0.00131733225997648	0	0	5.57857249940793e-05	0.000343692926020499	0.000208203948059221	0.000285990154744076	0.0726350586418336	0.463293639297239	0	0	0
k__Bacteria|p__Acidobacteria|c__CFGB37891|o__OFGB37891|f__FGB37891	0.000159032696338044	6.82721423441547e-05	0.000186435668831115	0.000133391125430488	0.000155786101970305	0.000136550407031135	0.000169143837486015	0.000588796910838726	0.000173165138035924	0.000770731131510844	0	0.000149410649967601	0.000372613747313243	0.000162707768345186	3.72809572381041e-05	7.95652705040835e-05	0.000123537776260824	0.00021373314800864	0.000192718082957678	0.000889671833664975	0.000201987814458003	0.000206978956688502	0.000902512200361368	0.000546832701716627	0.000375276665870069	0.000336678677317599	0.000116760142142174	0.000143305290477674	0.000131523446867874	0.00036575715254928	3.45152938286224e-05	2.02494185193461e-05	0.318330328157251	0.119837220290957	0.00574091738252843	0.00118977293464092	0.00257014902916786	0.00417270504651088	0.00016747571625436	0.000189570416498787	0.000282406901518049	0.000253948919037337	0.000202969035928632	0	0.000107501380801538	0.000882845969408265	0	0.000103118632852099	0.000208142716943885	0.000149094976673022	0.000574646212919943	0	8.84419193633965e-05	5.54664657280541e-05	0.000277077834704584	0.000137557760535315	0.000162228131161893	0.00122141872792325	9.06536056713556e-06	0.000194512685178189	6.14583956063727e-05	0	0.000117597477293767	0.000348896288930672	4.38191201199925e-05	0.000389215892585575	0	4.16191892582599e-05	0	6.4261471805239e-06	0.000516623603705824	8.46423486315503e-05	7.56539951291075e-05	0	0	0.000109843237957594	0.128978241575923	0	0.144037645718511	0.23527170581801	0.2618219907718	0.00131733225997648	0	0	5.57857249940793e-05	0.000343692926020499	0.000208203948059221	0.000285990154744076	0.0726350586418336	0.463293639297239	0	0	0
k__Bacteria|p__Actinobacteria	4.45552385721336	9.92600241787495	4.11670276982014	4.74347195618956	14.2758917444875	10.9512235756769	2.40280692250974	6.53515881338331	7.92742109924296	3.2388693820263	0.745067844601408	1.72347871021207	0.594383970594293	0.739976905622678	0.876641422394832	0.792377636169893	9.56189944348332	6.65542159658209	1.96486983392729	7.11496014595795	2.36844258004364	13.3244559078684	2.74870841414184	14.4812559130041	5.91249298512527	0.225546789716812	6.21240561439877	0.322156743319891	1.750556219337	0.509021491568639	1.76966420191215	1.66434878345508	1.76820614839197	2.86706271669205	0.191742677269317	0.289032269217705	0.225736767335	1.20864089963479	0.124534532126619	4.42048106197433	0.10893709374307	0.191770298951315	0.0665145235914485	0.711890305509217	0.281400759844891	1.42823920541962	0.411879687282561	3.62876446604895	0.55615100101632	0.56400392734125	4.50205353914446	0.00612524113595398	0.0283517496504883	0.389997680310499	0.705228237234535	1.30006578173041	0.019722524912732	0.0451822520883817	0.031935713760269	0.116639499946749	0.0110487494913398	0.0103545402423819	0.317758322613888	0.257757249698145	0.145658629783381	0.205038894707315	0.0456582173760425	0.0400977616622339	0.456042907781513	0.091858497195321	0.0904991590699477	0.107928929118205	0.13407064951503	0.0790400416207449	0	0.0750036536061643	0.0182594402826484	0	0.209436018143054	2.58181394973682	1.58030984543238	0.0153965096884639	0.0148405541160306	0	0.730030312334973	0.531263305363126	10.4185249704815	1.2144856535911	15.7999260345187	3.10128997969402	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria	1.99748582403762	6.15180708306582	0.744450175103574	3.78564197740926	5.74507421438293	0.725421797145809	0.218150015092303	6.26006693523675	3.28624635880836	2.9257531324444	0.622931117581462	1.29471808014339	0.544171373540442	0.715465223891517	0.668664662947747	0.273942629975362	4.37167058401675	0.519648025100012	0.364574926496003	1.09482840132831	1.2850532110305	0.0271076125572891	1.00342159244262	11.1377289403186	0.227367153586195	0.0779395211084059	5.72696329921585	0.196620600207232	1.73980032434004	0.424997938407297	1.2444453328167	0.863229087570566	1.05981272487868	1.95518462123979	0.171820848465915	0.106450535505562	0.180928164677462	1.18222274828516	0.00504551900353647	0.164541969576827	0.021329081733895	0.0139111383886415	0.00489214845212949	0.0235067854843779	0.00911252472862581	0.0100609935298261	0.0127219226228171	0.026481487223856	0.0114394545683951	0.0225825528917085	0.0780757269154838	0.000238131451999091	0.00207394664555806	0.00320295952423206	0.0191820302926942	0.0217604943214126	0.0157110908011348	0.0189831092750196	0.0281101095736941	0.0936403972421692	0.00508211005826067	0.00636134041084247	0.282661167612605	0.246327137218593	0.14134859955488	0.1898045615553	0.0284583847641119	0.0290230757922884	0.195558166589984	0.0176250789955113	0.0675242804129273	0.0988598053697263	0.120996671011283	0.0580541345579498	0	0.00909626777780139	0.00257631202422949	0	0.0164029597498547	2.57864378220675	1.54565894643793	0.00260448740655445	0.0109726457270575	0	0.0318005490040759	0.00941923015609293	10.4101130547859	1.18830369328604	15.7910249146579	3.08975950056179	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Catenulisporales	0.0237363509845886	4.26053483037642e-05	0.000245618279932826	0.180553236044813	0.397201502963771	7.43054123987347e-05	0.00584705660867218	0.000182953909031409	0.000408092633829762	1.34687483756579e-05	0	5.60176919339272e-05	0.000930121009358406	0	1.37279400276829e-05	0.000176375538692265	3.91915796328396e-05	0.000132220709248578	0.00364926693337086	0.0157374888680277	0.00011569884264057	0.000199040263574557	0.0207354247872488	9.29991708250083e-05	0.00162813242868492	3.91920799609505e-05	0.000481538433940969	0.000250044842999105	1.07057522735295e-05	0.000118720123285198	5.59219838439329e-05	1.73983338533523e-06	5.44275571293571e-05	0.000196616690478441	9.07482354625484e-05	0.0015986326182062	0.000321699509343598	6.78975250217948e-05	3.5973853038531e-06	4.04389775457771e-05	3.63966714679304e-05	6.54579992638553e-06	0.000101951855086994	0.000279064804926184	0.000392309730368786	0.00022326917672336	8.76869904706031e-05	0.000112964617177216	0.00084117056385596	0.00147684055454456	0.0077763573676796	0	0	1.0722797777282e-05	1.19032866720313e-05	0.000937639517617225	0	8.62557525524271e-06	0	1.2033044678248e-05	6.33661860756838e-06	0	0.000399107789926967	0.000101173140446431	2.25896762500929e-05	0.000133765975230641	6.14616127934301e-05	4.59762122379909e-05	0.0223632325557972	0.000715567773436104	0.00022638076554427	0.000130904722463506	7.80024451569448e-05	4.30807567092292e-05	0	0.000120331301746237	8.85366058278607e-06	0	1.28356836527963e-05	0	0	5.22394179056356e-05	0.000137478849225008	0	0.000153379798717046	0.000205758485404452	4.39091614365517e-05	0.000170368094725148	4.28513035826826e-05	4.67593868744768e-05	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Catenulisporales|f__Actinospicaceae	0.0237363509845886	4.26053483037642e-05	0.000245618279932826	0.180553236044813	0.397201502963771	7.43054123987347e-05	0.00584705660867218	0.000182953909031409	0.000408092633829762	1.34687483756579e-05	0	5.60176919339272e-05	0.000930121009358406	0	1.37279400276829e-05	0.000176375538692265	3.91915796328396e-05	0.000132220709248578	0.00364926693337086	0.0157374888680277	0.00011569884264057	0.000199040263574557	0.0207354247872488	9.29991708250083e-05	0.00162813242868492	3.91920799609505e-05	0.000481538433940969	0.000250044842999105	1.07057522735295e-05	0.000118720123285198	5.59219838439329e-05	1.73983338533523e-06	5.44275571293571e-05	0.000196616690478441	9.07482354625484e-05	0.0015986326182062	0.000321699509343598	6.78975250217948e-05	3.5973853038531e-06	4.04389775457771e-05	3.63966714679304e-05	6.54579992638553e-06	0.000101951855086994	0.000279064804926184	0.000392309730368786	0.00022326917672336	8.76869904706031e-05	0.000112964617177216	0.00084117056385596	0.00147684055454456	0.0077763573676796	0	0	1.0722797777282e-05	1.19032866720313e-05	0.000937639517617225	0	8.62557525524271e-06	0	1.2033044678248e-05	6.33661860756838e-06	0	0.000399107789926967	0.000101173140446431	2.25896762500929e-05	0.000133765975230641	6.14616127934301e-05	4.59762122379909e-05	0.0223632325557972	0.000715567773436104	0.00022638076554427	0.000130904722463506	7.80024451569448e-05	4.30807567092292e-05	0	0.000120331301746237	8.85366058278607e-06	0	1.28356836527963e-05	0	0	5.22394179056356e-05	0.000137478849225008	0	0.000153379798717046	0.000205758485404452	4.39091614365517e-05	0.000170368094725148	4.28513035826826e-05	4.67593868744768e-05	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Catenulisporales|f__Actinospicaceae|g__Actinospica	0.0237363509845886	4.26053483037642e-05	0.000245618279932826	0.180553236044813	0.397201502963771	7.43054123987347e-05	0.00584705660867218	0.000182953909031409	0.000408092633829762	1.34687483756579e-05	0	5.60176919339272e-05	0.000930121009358406	0	1.37279400276829e-05	0.000176375538692265	3.91915796328396e-05	0.000132220709248578	0.00364926693337086	0.0157374888680277	0.00011569884264057	0.000199040263574557	0.0207354247872488	9.29991708250083e-05	0.00162813242868492	3.91920799609505e-05	0.000481538433940969	0.000250044842999105	1.07057522735295e-05	0.000118720123285198	5.59219838439329e-05	1.73983338533523e-06	5.44275571293571e-05	0.000196616690478441	9.07482354625484e-05	0.0015986326182062	0.000321699509343598	6.78975250217948e-05	3.5973853038531e-06	4.04389775457771e-05	3.63966714679304e-05	6.54579992638553e-06	0.000101951855086994	0.000279064804926184	0.000392309730368786	0.00022326917672336	8.76869904706031e-05	0.000112964617177216	0.00084117056385596	0.00147684055454456	0.0077763573676796	0	0	1.0722797777282e-05	1.19032866720313e-05	0.000937639517617225	0	8.62557525524271e-06	0	1.2033044678248e-05	6.33661860756838e-06	0	0.000399107789926967	0.000101173140446431	2.25896762500929e-05	0.000133765975230641	6.14616127934301e-05	4.59762122379909e-05	0.0223632325557972	0.000715567773436104	0.00022638076554427	0.000130904722463506	7.80024451569448e-05	4.30807567092292e-05	0	0.000120331301746237	8.85366058278607e-06	0	1.28356836527963e-05	0	0	5.22394179056356e-05	0.000137478849225008	0	0.000153379798717046	0.000205758485404452	4.39091614365517e-05	0.000170368094725148	4.28513035826826e-05	4.67593868744768e-05	0	0	0
