#mpa_v30_CHOCOPhlAn_201901
clade_name	NCBI_tax_id	reERR1346892_taxonomic_profile	reERR1346891_taxonomic_profile	reERR1346890_taxonomic_profile	reERR1346889_taxonomic_profile	reERR1346888_taxonomic_profile	reERR1346887_taxonomic_profile	reERR1346884_taxonomic_profile	reERR1346883_taxonomic_profile	reERR1346882_taxonomic_profile	reERR1346881_taxonomic_profile	reERR1346880_taxonomic_profile	reERR1346879_taxonomic_profile	reERR1346878_taxonomic_profile	reERR1346877_taxonomic_profile	reERR1346876_taxonomic_profile	reERR1346875_taxonomic_profile	reERR1346874_taxonomic_profile	reERR1346873_taxonomic_profile	reERR1346872_taxonomic_profile	reERR1346871_taxonomic_profile	reERR1346870_taxonomic_profile	reERR1346869_taxonomic_profile	reERR1346868_taxonomic_profile	reERR1346867_taxonomic_profile	reERR1346866_taxonomic_profile	reERR1346865_taxonomic_profile	reERR1346864_taxonomic_profile	reERR1346863_taxonomic_profile	reERR1346862_taxonomic_profile	reERR1346861_taxonomic_profile	reERR1346860_taxonomic_profile	reERR1346859_taxonomic_profile	reERR1346858_taxonomic_profile	reERR1346857_taxonomic_profile	reERR1346856_taxonomic_profile	reERR1346855_taxonomic_profile	reERR1346854_taxonomic_profile	reERR1346853_taxonomic_profile	reERR1346852_taxonomic_profile	reERR1346851_taxonomic_profile	reERR1346850_taxonomic_profile	reERR1346849_taxonomic_profile	reERR1346848_taxonomic_profile	reERR1346847_taxonomic_profile	reERR1346846_taxonomic_profile	reERR1346845_taxonomic_profile	reERR1346844_taxonomic_profile	reERR1346843_taxonomic_profile	reERR1346842_taxonomic_profile	reERR1346841_taxonomic_profile	reERR1346840_taxonomic_profile	reERR1346839_taxonomic_profile	reERR1346838_taxonomic_profile	reERR1346837_taxonomic_profile	reERR1346836_taxonomic_profile	reERR1346835_taxonomic_profile	reERR1346834_taxonomic_profile	reERR1346833_taxonomic_profile	reERR1346832_taxonomic_profile	reERR1346831_taxonomic_profile	reERR1346830_taxonomic_profile	reERR1346829_taxonomic_profile	reERR1346828_taxonomic_profile	reERR1346827_taxonomic_profile	reERR1346826_taxonomic_profile	reERR1346825_taxonomic_profile	reERR1346824_taxonomic_profile	reERR1346823_taxonomic_profile	reERR1346822_taxonomic_profile	reERR1346821_taxonomic_profile	reERR1346820_taxonomic_profile	reERR1346819_taxonomic_profile	reERR1346818_taxonomic_profile	reERR1346817_taxonomic_profile	reERR1346816_taxonomic_profile	reERR1346815_taxonomic_profile	reERR1346814_taxonomic_profile	reERR1346813_taxonomic_profile	reERR1346812_taxonomic_profile	reERR1346811_taxonomic_profile	reERR1346810_taxonomic_profile	reERR1346809_taxonomic_profile	reERR1346808_taxonomic_profile	reERR1346807_taxonomic_profile	reERR1346806_taxonomic_profile	reERR1346805_taxonomic_profile	reERR1346804_taxonomic_profile	reERR1346803_taxonomic_profile	reERR1346802_taxonomic_profile	reERR1346801_taxonomic_profile
UNKNOWN	-1	98.36933	97.23942	98.95452	98.36248	98.97949	97.57670999999999	97.81623	99.22938	96.27818	0	0	97.78712	0	97.05071	98.15805	98.74999	97.60351999999999	98.18842	98.33574	96.27351999999999	98.23678000000001	96.48798000000001	98.68929	96.88434000000001	98.34401	99.55181	97.54695	97.40043	0	96.30303	98.31139	98.54666999999999	97.56501	97.7012	97.53803	96.1377	97.56707	0	0	96.04148	96.62031999999999	99.1444	97.57488000000001	98.15581999999999	97.18023000000001	98.27135	0	98.50003000000001	97.04845	94.48447	95.79201	97.15987	97.7875	98.71172	99.04518	97.51858	97.45703	98.3508	98.51478	98.19751	98.35700000000001	91.74876	99.00701	98.5131	98.85599	97.37221	97.8947	96.89798	98.49421	98.71284	98.47889	97.83574	98.60173	98.62295999999999	99.02467	98.78752	95.92990999999999	92.91904	98.21633	98.75509	96.83771	98.06089	97.15923000000001	98.45245	98.83870999999999	97.65212	92.93906	98.31626	98.93151999999999	97.92156999999999
k__Bacteria	2	1.5320116431611108	0.8629843057440473	0.744211832759552	1.637515877724699	0.9849017379886512	2.2067726808213	2.1837711402597137	0	3.277593442550628	0	0	1.668100894349891	0	2.4406082931802957	1.1286000274543613	0	1.6318249460597405	1.3159142882200074	1.664262797543433	3.7264796027876836	1.5829070528223148	3.512021196840488	0.7451193350192701	3.1156602969876994	1.2480214691392482	0.2193404854801904	2.4530455717301147	2.599565477653791	0	1.9456175345209559	1.3019245744708134	1.4533321697922557	2.4349942419453168	1.6405283524624283	1.859960077038296	2.1129945538752843	2.3106199591561616	0	0	3.9585183361709393	2.7982771890339744	0.8258030313254259	2.0937615237482192	1.2777681545937685	2.8197667860285227	1.4666278187592547	0	1.4655604489391183	2.6982132365367515	5.515527999145311	3.56683841442629	1.9831963643698405	1.0896564773007609	0.7096931279220571	0.7702029069233873	1.1811015562830622	2.220447535960024	1.422286754410833	0.8826032999267088	1.3770222537937429	0.8761838613866784	0.9012965430845404	0.7347074026989522	0.8016982084461622	0.7010946225335251	2.192007512018772	1.2829599572700912	1.696018843789176	1.4618147586263637	1.0755628660120276	1.1868356503899895	1.0624596974152318	1.2208842872725434	1.112235559380497	0.7140969379961019	0.7787718432138195	3.8957826609128654	5.37795184501133	1.706206325615394	0.7076225907492951	2.3647240658873825	1.3204734553352848	2.3791033317452497	0.8770526412936082	1.0139507896692117	2.2705485583380223	4.935339054763938	1.6536712538230662	0.8787839837562246	1.1472644886663674
k__Bacteria|p__Actinobacteria	2|201174	0.06108360520968801	0.4670468101132962	0.13968466733285706	0.049569898140955464	0.03193415370267614	0.017940575395642255	0	0	0.9704341201785606	0	0	0.24194793127611944	0	0.1100637634139214	0.2062307786892844	0	0	0.3947071853966635	1.325716295725511	0	0.5653231287980844	3.191199465317588	0.3799597652743689	1.6248938016884207	0.25459478995252194	0.13077367335357098	0.14472919812296242	0.96918819833723	0	0.976322556751986	0.5185365737524928	1.1239251321829546	0.34985339819824995	0.9940133220200488	0.7230355424892211	2.1129945538752843	0.1112649080898606	0	0	0.4355913991939139	0.5410271970811698	0.15554053691475356	0.5244677207201451	0.3815602917493971	0.0772602000537885	0.2254030370383272	0	0.028831562913825912	1.591525441627417	0.04458146126429163	0.2602134236530941	0.15252905400388594	0.7653824112879161	0.3836033354717521	0.4965269463064649	0.5979789197060957	1.3970276776015147	0.7277883175495192	0.230750753262862	0.14328406795532142	0.5745755684768621	0.01619305078840126	0.3944166582219773	0.147016116547647	0.025548678064130425	0.2084262502429466	0.18434244651308895	0.1829991459676844	0.17055717676884388	0.03751174728207941	0.5763971836923978	0.07442131183991421	0.2840400366979371	0.38407359518107226	0.3669078281653149	0.062391088035231274	0.02131302385749861	0.4894759539408137	0.5557677889950452	0.08105616181401405	0.09364698096184712	0.19629319554070102	0.2967031480615839	0.2037945385924746	0.040987323945036125	2.028495180742084	1.3722187649274835	0.09970293920685794	0.036578295385616286	0.4542661110580799
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	0	0.4541540576780961	0.008237408659633048	0	0	0.002484113223393694	0	0	0.4324683201651456	0	0	0	0	0	0.14787365230934632	0	0	0	0	0	0.25362633491241593	3.191199465317588	0.11281752702131112	0.4047049554848609	0.041697204745420366	0.028436896954074063	0	0.3652912008764584	0	0.9685489282983124	0.17857335052168752	1.0315814234468734	0	0.8382672620719027	0.4570254738294047	0	0	0	0	0.17015611897664054	0.12573447388521836	0.07921935447164519	0.22072872684420514	0	0	0.03295938718490266	0	0	0	0	0.008454277869420393	0	0.6661802262741984	0.30925491071717026	0.21065516487736868	0.5267506476652745	0.9289746135752412	0.5926260090788439	0	0.036944734255346064	0.02557615689846358	0.006110865433829287	0.0177328528095607	0.010695255054161894	0.01052560919721654	0.02270780584079901	0.14816735747044393	0.15992072129089155	0.01270177599790787	0.0054154559514908406	0.3016676794742477	0.03442514563529418	0.012608204282659406	0.029796375110081232	0.019695017834687318	0	0	0.3487446070274835	0	0	0.031449247826636516	0.0965623464742074	0.25822458948924204	0.06829250579140324	0	1.8190484693863982	1.2823252368103428	0.0010001409416648698	0	0.3491967860776955
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales	2|201174|1760|85007	0	0.37999319435674617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0003394163031678784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00976275577567897	0	0.036944734255346064	0	0	0	0.0022272240436019878	0	0	0	0	0	0	0	0.003717332244230633	0	0	0	0	0	0	0	0	0	0.004411664778280535	0	0	0	0.0014209375496735226	0.11865979603972665	0	0	0.00784317210222262
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Nocardiaceae	2|201174|1760|85007|85025	0	0.37999319435674617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008905667717733406	0	0.036944734255346064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Nocardiaceae|g__Rhodococcus	2|201174|1760|85007|85025|1827	0	0.37999319435674617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008905667717733406	0	0.036944734255346064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Nocardiaceae|g__Rhodococcus|s__Rhodococcus_erythropolis	2|201174|1760|85007|85025|1827|1833	0	0.0905708750070668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03247059382314446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Nocardiaceae|g__Rhodococcus|s__Rhodococcus_qingshengii	2|201174|1760|85007|85025|1827|334542	0	0.2894223193496793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008905667717733406	0	0.0044741404322015945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales	2|201174|1760|85006	0	0.07416086332135001	0	0	0	0.002484113223393694	0	0	0.4324683201651456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2142296711003534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6661802262741984	0.2697920010830553	0.048294319909288064	0.5150978824114929	0.9289746135752412	0.5758685109899756	0	0	0.01309622392812628	0	0	0	0.006034784804929785	0	0.14106808914200675	0	0	0.0008814451633068543	0	0	0	0	0	0	0	0	0	0	0.010813119829705174	0	0.1979152561779368	0	0	0	0	0	0	0
