clade_name	NCBI_tax_id	reERR1346892_taxonomic_profile	reERR1346891_taxonomic_profile	reERR1346890_taxonomic_profile	reERR1346889_taxonomic_profile	reERR1346888_taxonomic_profile	reERR1346887_taxonomic_profile	reERR1346884_taxonomic_profile	reERR1346883_taxonomic_profile	reERR1346882_taxonomic_profile	reERR1346881_taxonomic_profile	reERR1346880_taxonomic_profile	reERR1346879_taxonomic_profile	reERR1346878_taxonomic_profile	reERR1346877_taxonomic_profile	reERR1346876_taxonomic_profile	reERR1346875_taxonomic_profile	reERR1346874_taxonomic_profile	reERR1346873_taxonomic_profile	reERR1346872_taxonomic_profile	reERR1346871_taxonomic_profile	reERR1346870_taxonomic_profile	reERR1346869_taxonomic_profile	reERR1346868_taxonomic_profile	reERR1346867_taxonomic_profile	reERR1346866_taxonomic_profile	reERR1346865_taxonomic_profile	reERR1346864_taxonomic_profile	reERR1346863_taxonomic_profile	reERR1346862_taxonomic_profile	reERR1346861_taxonomic_profile	reERR1346860_taxonomic_profile	reERR1346859_taxonomic_profile	reERR1346858_taxonomic_profile	reERR1346857_taxonomic_profile	reERR1346856_taxonomic_profile	reERR1346855_taxonomic_profile	reERR1346854_taxonomic_profile	reERR1346853_taxonomic_profile	reERR1346852_taxonomic_profile	reERR1346851_taxonomic_profile	reERR1346850_taxonomic_profile	reERR1346849_taxonomic_profile	reERR1346848_taxonomic_profile	reERR1346847_taxonomic_profile	reERR1346846_taxonomic_profile	reERR1346845_taxonomic_profile	reERR1346844_taxonomic_profile	reERR1346843_taxonomic_profile	reERR1346842_taxonomic_profile	reERR1346841_taxonomic_profile	reERR1346840_taxonomic_profile	reERR1346839_taxonomic_profile	reERR1346838_taxonomic_profile	reERR1346837_taxonomic_profile	reERR1346836_taxonomic_profile	reERR1346835_taxonomic_profile	reERR1346834_taxonomic_profile	reERR1346833_taxonomic_profile	reERR1346832_taxonomic_profile	reERR1346831_taxonomic_profile	reERR1346830_taxonomic_profile	reERR1346829_taxonomic_profile	reERR1346828_taxonomic_profile	reERR1346827_taxonomic_profile	reERR1346826_taxonomic_profile	reERR1346825_taxonomic_profile	reERR1346824_taxonomic_profile	reERR1346823_taxonomic_profile	reERR1346822_taxonomic_profile	reERR1346821_taxonomic_profile	reERR1346820_taxonomic_profile	reERR1346819_taxonomic_profile	reERR1346818_taxonomic_profile	reERR1346817_taxonomic_profile	reERR1346816_taxonomic_profile	reERR1346815_taxonomic_profile	reERR1346814_taxonomic_profile	reERR1346813_taxonomic_profile	reERR1346812_taxonomic_profile	reERR1346811_taxonomic_profile	reERR1346810_taxonomic_profile	reERR1346809_taxonomic_profile	reERR1346808_taxonomic_profile	reERR1346807_taxonomic_profile	reERR1346806_taxonomic_profile	reERR1346805_taxonomic_profile	reERR1346804_taxonomic_profile	reERR1346803_taxonomic_profile	reERR1346802_taxonomic_profile	reERR1346801_taxonomic_profile
UNCLASSIFIED	-1	96.99928	96.2194	97.60812	97.15455	99.09143	96.93868	0	97.60614	99.31795	0	99.65139	99.5354	0	99.42429	98.97063	0	99.38381	99.07479000000001	98.96246	97.6127	99.56617	99.29992	99.65717	99.78777	99.22899	99.402	99.06886	97.03786	0	99.11005	99.22195	99.75327	98.62722	99.77483000000001	99.59801	99.74861999999999	96.67000999999999	0	99.42916	98.54743	99.22296999999999	98.97386999999999	96.5518	99.77859000000001	97.8616	99.4636	0	99.54798000000001	99.23299	98.00994	96.30426999999999	98.81473000000001	99.15916	98.50313	98.73422	99.07081	96.91963	96.69183000000001	96.89004	97.85432	97.36383000000001	94.20319	98.49481	98.05144	97.2661	98.21514	96.63403000000001	92.19544	97.60919	97.08859	95.68598	92.99353	98.44979000000001	98.30011999999999	98.5549	98.48201	95.56506999999999	95.72157	97.00224	98.78866	97.22582	97.65135	98.01588000000001	97.62564	97.7307	96.85358000000001	79.93764	97.54602	96.7664	96.21974
k__Archaea	2157	0	0	0.11334896770868633	0.08646747880694126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11556880648460195	0	0.1544085269060728	0	0	0.2337421803734998	0.08645834643425122	0.6406590049556264	0.03494577574396986	0	0	0.012606684128426462	0	0	0	0	0	0	0	0.5490363832115607	0	0	0	0	0.06913513419443135	0	0.03266531932954606	0	0	0	0	0	0	0	0	0.00986534298824503	0	0	0	0	0	0	0	0	0	0	0	0.019016405599800067	0.0018343370753340863	0	0	0	0	0	0	0	0	0.0007511893181742643	0	0	0	0	0	0	0
k__Archaea|p__Thaumarchaeota	2157|651137	0	0	0.11334896770868633	0.08646747880694126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11556880648460195	0	0.1544085269060728	0	0	0.2337421803734998	0.08645834643425122	0.6406590049556264	0.03494577574396986	0	0	0.012606684128426462	0	0	0	0	0	0	0	0.5490363832115607	0	0	0	0	0.06913513419443135	0	0.014291862447793981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0007511893181742643	0	0	0	0	0	0	0
k__Archaea|p__Thaumarchaeota|c__CFGB9228	2157|651137|36270991	0	0	0.06879664350278568	0.05518234533364398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1116512370546666	0	0.13956078414715972	0	0	0.2337421803734998	0.08645834643425122	0.6406590049556264	0.03494577574396986	0	0	0.012606684128426462	0	0	0	0	0	0	0	0.5490363832115607	0	0	0	0	0.06913513419443135	0	0.014291862447793981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0007511893181742643	0	0	0	0	0	0	0
k__Archaea|p__Thaumarchaeota|c__CFGB9228|o__OFGB9228	2157|651137|36270991|82024543	0	0	0.06879664350278568	0.05518234533364398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1116512370546666	0	0.13956078414715972	0	0	0.2337421803734998	0.08645834643425122	0.6406590049556264	0.03494577574396986	0	0	0.012606684128426462	0	0	0	0	0	0	0	0.5490363832115607	0	0	0	0	0.06913513419443135	0	0.014291862447793981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0007511893181742643	0	0	0	0	0	0	0
k__Archaea|p__Thaumarchaeota|c__CFGB9228|o__OFGB9228|f__FGB9228	2157|651137|36270991|82024543|26590395	0	0	0.06879664350278568	0.05518234533364398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1116512370546666	0	0.13956078414715972	0	0	0.2337421803734998	0.08645834643425122	0.6406590049556264	0.03494577574396986	0	0	0.012606684128426462	0	0	0	0	0	0	0	0.5490363832115607	0	0	0	0	0.06913513419443135	0	0.014291862447793981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0007511893181742643	0	0	0	0	0	0	0
k__Archaea|p__Thaumarchaeota|c__CFGB9228|o__OFGB9228|f__FGB9228|g__GGB27219	2157|651137|36270991|82024543|26590395|27526141	0	0	0.06879664350278568	0.05518234533364398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1116512370546666	0	0.13956078414715972	0	0	0.2337421803734998	0.08645834643425122	0.6406590049556264	0.03494577574396986	0	0	0.012606684128426462	0	0	0	0	0	0	0	0.5490363832115607	0	0	0	0	0.06913513419443135	0	0.014291862447793981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0007511893181742643	0	0	0	0	0	0	0
k__Archaea|p__Thaumarchaeota|c__CFGB9228|o__OFGB9228|f__FGB9228|g__GGB27219|s__GGB27219_SGB39443	2157|651137|36270991|82024543|26590395|27526141|997682	0	0	0.06879664350278568	0.05518234533364398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1116512370546666	0	0.13956078414715972	0	0	0.2337421803734998	0.08645834643425122	0.6406590049556264	0.03494577574396986	0	0	0.012606684128426462	0	0	0	0	0	0	0	0.5490363832115607	0	0	0	0	0.06913513419443135	0	0.014291862447793981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0007511893181742643	0	0	0	0	0	0	0
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified	2157|651137|72384459	0	0	0.044552324205900634	0.03128513347329728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0039175694299353565	0	0.01484774275891308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified|o__Thaumarchaeota_unclassified	2157|651137|72384459|54883673	0	0	0.044552324205900634	0.03128513347329728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0039175694299353565	0	0.01484774275891308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
