Taxonomy	reERR1346803	reERR1346806	reERR1346807	reERR1346808	reERR1346810	reERR1346811	reERR1346812	reERR1346813	reERR1346814	reERR1346818	reERR1346821	reERR1346823	reERR1346824	reERR1346829	reERR1346834	reERR1346837	reERR1346839	reERR1346841	reERR1346842	reERR1346846	reERR1346847	reERR1346850	reERR1346851	reERR1346854	reERR1346855	reERR1346856	reERR1346857	reERR1346861	reERR1346862	reERR1346864	reERR1346867	reERR1346869	reERR1346871	reERR1346874	reERR1346877	reERR1346878	reERR1346880	reERR1346881	reERR1346882	reERR1346883	reERR1346884	reERR1346889	reERR1346891	reERR1346892
k__Bacteria	6.21879901580919	23.0500567848735	32.4651321148938	28.8011220911614	14.5709674911269	3.60337787650385	5.03699295083413	3.33543125764871	30.1761784731368	6.00482877499936	25.2667825182982	11.391341020041	25.1366217113363	10.746963604544	6.59362121074326	16.0636774890794	28.8694839341883	1.02374099040569	6.17978337174822	2.30850448137135	4.67894192698328	3.1792235236692	0.647764905586926	28.1351254432781	4.84221630945915	6.02454707943858	4.08260847048835	2.64743646780804	0	4.01468189145924	6.13524037777379	0	0	1.51886038138308	1.5454435575593	0	0	0	11.5621262869632	2.08901580084266	0	17.9143351564393	35.2192205971858	4.37992213301386
k__Bacteria|p__Actinobacteria	3.35637859931446	6.54074906660611	1.29511340205726	5.26372343495114	0.0849691873025105	0.0586858547266716	0.0650550414064207	0.919274244771799	0.48354223871089	3.13737986012834	1.67808978004087	3.65905668049106	8.92600867784824	1.90155259309053	0.0421552993399528	0.0276097960806839	4.80114622815623	0.0814500214408746	0.540876973096134	0.417726559320902	0.0577350368463971	0.0272089270611415	0.0370688063939892	0.0634479613448813	0.104986596060304	0.0287575439378764	0.00210293689180731	0.00366486269570236	0	0.00807126704259651	0.00343982695905688	0	0	0.00918163608420644	0.00994008564583812	0	0	0	0.00273521681655382	0.0998066115236629	0	7.74299102997535	10.879034406413	2.83772715022293
k__Bacteria|p__Actinobacteria|c__Actinobacteria	0.0111311306326257	0.600736867980057	0.0637992355929632	5.06878404788427	0.0469620455598352	0.00910951823908069	0.0141545979630423	0.862173595872478	0.475952255414467	0.0174839570263176	0.919244492008458	3.02605913567014	7.4680315143233	1.87916663302008	0.0147481330214673	0.00475758586267378	0.00080254713073689	0.0123527003551467	0.00779972640044999	0.00694173645201228	0.00338279736487234	0.000525921659337921	0.00480075582917204	0.00156931985966258	0.0236886576911047	0.00318272057068879	0.000136375664528342	0.000730468095932177	0	0.00161759892440377	0.000814277896319379	0	0	0.00139959173619785	0.000748840405537981	0	0	0	0.000356166487712038	0.0240029950329875	0	0.0036881394099643	6.54447757246338	2.45184154336438
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales	3.13727198231446e-05	7.19597956206977e-06	8.31135282026532e-06	0	0.000109432881864178	1.3158305282771e-05	0.000109126070878775	2.22474406550489e-05	3.7701196466699e-05	3.85785221060027e-05	1.5734687406801e-05	4.88294966936196e-05	1.25441580662123e-05	0	0.000624212375661535	1.14126397198542e-05	2.42007100569278e-06	1.77457892023156e-05	4.97452633183034e-05	0	0	6.05703803685121e-06	0	0	3.94497419609341e-05	0	1.30948210979607e-05	0	0	1.99367891610596e-05	1.39290928301229e-05	0	0	7.67779142054057e-05	0.000161065454227684	0	0	0	1.35712877790982e-05	0	0	0.0017849938002399	6.54402360000819	2.45101301481715
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Nocardiaceae	3.13727198231446e-05	7.19597956206977e-06	8.31135282026532e-06	0	0.000109432881864178	1.3158305282771e-05	0.000109126070878775	2.22474406550489e-05	3.7701196466699e-05	3.85785221060027e-05	1.5734687406801e-05	4.88294966936196e-05	1.25441580662123e-05	0	0.000624212375661535	1.14126397198542e-05	2.42007100569278e-06	1.77457892023156e-05	4.97452633183034e-05	0	0	6.05703803685121e-06	0	0	3.94497419609341e-05	0	1.30948210979607e-05	0	0	1.99367891610596e-05	1.39290928301229e-05	0	0	7.67779142054057e-05	0.000161065454227684	0	0	0	1.35712877790982e-05	0	0	0.0017849938002399	6.54402360000819	2.45101301481715
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Nocardiaceae|g__Nocardia	3.13727198231446e-05	7.19597956206977e-06	8.31135282026532e-06	0	0.000109432881864178	1.3158305282771e-05	0.000109126070878775	2.22474406550489e-05	3.7701196466699e-05	3.85785221060027e-05	1.5734687406801e-05	4.88294966936196e-05	1.25441580662123e-05	0	0.000624212375661535	1.14126397198542e-05	2.42007100569278e-06	1.77457892023156e-05	4.97452633183034e-05	0	0	6.05703803685121e-06	0	0	3.94497419609341e-05	0	1.30948210979607e-05	0	0	1.99367891610596e-05	1.39290928301229e-05	0	0	7.67779142054057e-05	0.000161065454227684	0	0	0	1.35712877790982e-05	0	0	0.0017849938002399	6.54402360000819	2.45101301481715
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales	0.00363011648525527	0.598843784398371	0.00288444109061052	5.06803924038584	0.045196680678944	0.00871197801151002	0.0132686434002358	0.00519674130893927	0.0121712754254041	0.0159276701627374	0.915505694580201	0.00142712414424199	0.0197468483542874	0.00277860892715809	0.0129951229596927	0.00424842359445658	0.000659269285798116	0.0121118519061293	0.00745474614646921	0.00163508099195133	0.00287746713893326	0.000158135827235295	0.000298400433449944	0.0014105546011966	0.0219745322293368	0.00199600209558293	7.3964508917135e-05	0.000435100271556489	0	0.00121661075936593	0.000312543105785168	0	0	0.000852362648732888	4.37044947788223e-05	0	0	0	0.000210812409275704	0.0142592870622902	0	0.00109319041054063	0.000306813626969449	0.000736506429934077
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Microbacteriaceae	0.00363011648525527	0.598843784398371	0.00288444109061052	5.06803924038584	0.045196680678944	0.00871197801151002	0.0132686434002358	0.00519674130893927	0.0121712754254041	0.0159276701627374	0.915505694580201	0.00142712414424199	0.0197468483542874	0.00277860892715809	0.0129951229596927	0.00424842359445658	0.000659269285798116	0.0121118519061293	0.00745474614646921	0.00163508099195133	0.00287746713893326	0.000158135827235295	0.000298400433449944	0.0014105546011966	0.0219745322293368	0.00199600209558293	7.3964508917135e-05	0.000435100271556489	0	0.00121661075936593	0.000312543105785168	0	0	0.000852362648732888	4.37044947788223e-05	0	0	0	0.000210812409275704	0.0142592870622902	0	0.00109319041054063	0.000306813626969449	0.000736506429934077
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales	0.00746964142754729	0.00188588760212397	0.0609064831495324	0.000744807498426772	0.00165593199902697	0.000384381922287895	0.000776828491927726	0.856954607122884	0.463743278792596	0.0015177083414742	0.00372306274085029	3.02458318202921	7.44827212181095	1.87638802409292	0.00112879768611304	0.000497749628497343	0.000140857773933081	0.000223102659815081	0.000295234990662477	0.00530665546006095	0.000505330225939078	0.000361728794065774	0.00450235539572209	0.000158765258465979	0.00167467571980692	0.00118671847510586	4.93163345132458e-05	0.000295367824375688	0	0.000381051375876776	0.000487805697704089	0	0	0.000470451173259553	0.000544070456531475	0	0	0	0.000131782790657236	0.00974370797069724	0	0.000809955199183776	0.000147158828213559	9.2022117290319e-05
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Streptomycetales|f__Streptomycetaceae	0.00746964142754729	0.00188588760212397	0.0609064831495324	0.000744807498426772	0.00165593199902697	0.000384381922287895	0.000776828491927726	0.856954607122884	0.463743278792596	0.0015177083414742	0.00372306274085029	3.02458318202921	7.44827212181095	1.87638802409292	0.00112879768611304	0.000497749628497343	0.000140857773933081	0.000223102659815081	0.000295234990662477	0.00530665546006095	0.000505330225939078	0.000361728794065774	0.00450235539572209	0.000158765258465979	0.00167467571980692	0.00118671847510586	4.93163345132458e-05	0.000295367824375688	0	0.000381051375876776	0.000487805697704089	0	0	0.000470451173259553	0.000544070456531475	0	0	0	0.000131782790657236	0.00974370797069724	0	0.000809955199183776	0.000147158828213559	9.2022117290319e-05
