Taxa	CSM67UH7	CSM7KOON	CSM7KOOP	CSMAHYLR	HSM5MD5D	HSM5MD6Q	HSM5MD6W	HSM67VF3	HSM67VFX	HSM67VFZ	HSM67VGK	HSM67VI7	HSM67VI9	HSM67VIB	HSM6XRRJ	HSM6XRTG	HSM6XRUL	HSM6XRUN	HSM6XRVC	HSM6XRVK	HSM7CYXI	HSM7CYXO	HSM7CYZJ	HSM7CZ1A	HSM7CZ1C	HSM7CZ1E	HSM7CZ24	HSM7CZ28	HSM7CZ2A	HSM7J4HC	HSM7J4HW	HSM7J4HY	HSM7J4KO	HSM7J4LD	HSM7J4LN	HSM7J4NY	HSM7J4O5	HSM7J4R2	HSMA33NY	HSMA33SE	HSMA33SG	MSM6J2JR	MSM6J2JZ	MSM6J2K6	MSM6J2KA	MSM6J2QF	MSM6J2QH	MSM6J2RM	MSM6J2RU	MSM79H58	MSM79H5E	MSM79H5M	MSM79H5S	MSM79H5U	MSM79H6D	MSM79H6L	MSM79H83	MSM79H8H	MSM79H9A	MSM79HA7	MSM79HBL	MSM79HC8	MSM79HCP	MSM9VZGO	MSM9VZHB	MSM9VZHN	MSM9VZHP	MSM9VZHR	MSM9VZJZ	MSM9VZKE	MSM9VZL7	MSM9VZLJ	MSM9VZMI	MSM9VZMS	MSM9VZMW	MSM9VZNL	MSM9VZOI	MSM9VZOO	MSM9VZPT	MSMA26BB	MSMA26BF	MSMA26BH	MSMA26BJ	MSMA26BN	MSMA26BR	MSMA26BV	MSMA26DI	MSMAPC5H	MSMAPC6M	MSMAPC7T	MSMB4LZX	MSMB4LZZ	PSM6XBTR	PSM7J154	PSM7J15M	PSM7J17V	PSM7J19P	PSM7J19R	PSM7J1DL	PSMA265L
k__archaea	0.00336125693472366	0.0126556855440576	0.0130424045745956	0.0100133256771525	0.00329788664157478	0.00224230427981144	0.000383824692911042	0.000283953369177714	0.00778192667314721	0.00379175621285285	0.0013997494899945	0.00396112441830317	0.00672294885492014	0.0754397062056743	0.00392687368393213	0.000669976017339972	0.0025789435310067	0.00165792133579784	0.0039773688869913	0.00544645109796603	0	0.000302870913388005	0.00920979922637686	0.0063475335874139	0.0234880050439583	0.00201131298439272	0.0791217650476691	0.0667599587470755	0.137777873123325	0.0044682681041472	0.130505154463756	0.0102677511566205	0.000341966336833802	0.000616319460674767	0.00259241166974476	0.154890752039876	0.126186554347526	0.0076149654723271	0.00224779630241318	0.00816464442283846	0.00259406496465123	0.000662159656693191	0.00884265881128075	0.0197194677568848	0.0224434898808339	0.00225508801565842	0.00142206706209707	0.00709677727157594	0.0139376611302754	0.0707852269181345	0.0246465601623863	0.0531075154456223	0.00263914067246762	0.00265733610779278	0.0252032261320387	0.0953920219173072	0.003293416303979	0.00590762954809743	0.112601111432981	0.0332325448273797	0.0142288086891131	0.0150105732589288	0.00754964869653967	0.0607541634164707	0.0250171234504876	0.0054568600800782	0.00848106549605111	0.00667756370264574	0.0105236322397949	0.00483808584482993	0.00848652537357717	0.554379410943473	0.00815749220074056	0.00545081037214731	0.007858364372401	0.0167037043471056	0.00214783804014214	0.00159818214045987	0.0827827181842569	0.0116850701907214	0.00693849284293055	0.00687201610149644	0.00924300374610121	0.00889723327005019	0.00309423332891546	0.00623000638445863	0.00937772547418403	0.00300285370534249	0.0102891007688034	0.00302477154052239	0.00897492360900991	0.00751626639776614	0.0031000990872222	0.00299562107555914	0.00250954883331075	0.00500133988598973	0.00415457963094074	0.0087290689778528	0.00317121931451452	0.00807916438266256
k__archaea|p__candidatus_lokiarchaeota	8.11897810319725e-05	0.000107181701676058	0	0.000119854823121521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.79791382943338e-05	0	0	0	0	0	7.48943010967522e-05	0	0	7.60450606527799e-05	0	0	0	0	0	0	0	0.000108573357661486	0	0	0	0	0	0.000148648086196431	7.86713417373732e-05	0	0.000119769587268014	0	0	0	0.000114870833491281	7.67818927412241e-05	0	0.000140682160120854	0	0	0.000143905012370373	0.000113344537230941	0	0	0	0.000189900256156456	0	0	0	0.000199478338126885	0	6.09024562508728e-05	0.000176919228079293	9.95300822887576e-05	0.000256929735799677	0	0.000161956591098801	0.000207970267954285	0.000147970894220572	0	0	0.000114539686951582	0	0	0	0.000190751540764804	0	0.000117637936116915	0.000249292632156257	0	0	0.000142770979643844	0.000108592354539765	0	0.000194300615376544	0	0	0	0	0	0.000212346439741679	0.000146435627292492	0	0	0	0.000261898256019513
k__archaea|p__candidatus_lokiarchaeota|g__candidatus_prometheoarchaeum	8.11897810319725e-05	0.000107181701676058	0	0.000119854823121521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.79791382943338e-05	0	0	0	0	0	7.48943010967522e-05	0	0	7.60450606527799e-05	0	0	0	0	0	0	0	0.000108573357661486	0	0	0	0	0	0.000148648086196431	7.86713417373732e-05	0	0.000119769587268014	0	0	0	0.000114870833491281	7.67818927412241e-05	0	0.000140682160120854	0	0	0.000143905012370373	0.000113344537230941	0	0	0	0.000189900256156456	0	0	0	0.000199478338126885	0	6.09024562508728e-05	0.000176919228079293	9.95300822887576e-05	0.000256929735799677	0	0.000161956591098801	0.000207970267954285	0.000147970894220572	0	0	0.000114539686951582	0	0	0	0.000190751540764804	0	0.000117637936116915	0.000249292632156257	0	0	0.000142770979643844	0.000108592354539765	0	0.000194300615376544	0	0	0	0	0	0.000212346439741679	0.000146435627292492	0	0	0	0.000261898256019513
k__archaea|p__candidatus_lokiarchaeota|g__candidatus_prometheoarchaeum|s__candidatus_prometheoarchaeum_syntrophicum	8.11897810319725e-05	0.000107181701676058	0	0.000119854823121521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.79791382943338e-05	0	0	0	0	0	7.48943010967522e-05	0	0	7.60450606527799e-05	0	0	0	0	0	0	0	0.000108573357661486	0	0	0	0	0	0.000148648086196431	7.86713417373732e-05	0	0.000119769587268014	0	0	0	0.000114870833491281	7.67818927412241e-05	0	0.000140682160120854	0	0	0.000143905012370373	0.000113344537230941	0	0	0	0.000189900256156456	0	0	0	0.000199478338126885	0	6.09024562508728e-05	0.000176919228079293	9.95300822887576e-05	0.000256929735799677	0	0.000161956591098801	0.000207970267954285	0.000147970894220572	0	0	0.000114539686951582	0	0	0	0.000190751540764804	0	0.000117637936116915	0.000249292632156257	0	0	0.000142770979643844	0.000108592354539765	0	0.000194300615376544	0	0	0	0	0	0.000212346439741679	0.000146435627292492	0	0	0	0.000261898256019513
k__archaea|p__candidatus_micrarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.96984080186624e-05	0	0	0	0	0	0	0	0	0	0	8.71398880586475e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000102314298269712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000244301111072405	0	0	0	0	5.72790558273181e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	7.75659675284039e-05	0	0	0	0	0	0	0	0	0	0	0	0	0
k__archaea|p__candidatus_micrarchaeota|c__candidatus_micrarchaeia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.72790558273181e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__archaea|p__candidatus_micrarchaeota|c__candidatus_micrarchaeia|o__candidatus_micrarchaeales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.72790558273181e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__archaea|p__candidatus_micrarchaeota|c__candidatus_micrarchaeia|o__candidatus_micrarchaeales|f__candidatus_micrarchaeaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.72790558273181e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__archaea|p__candidatus_micrarchaeota|c__candidatus_micrarchaeia|o__candidatus_micrarchaeales|f__candidatus_micrarchaeaceae|g__candidatus_micrarchaeum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.72790558273181e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__archaea|p__candidatus_micrarchaeota|c__candidatus_micrarchaeia|o__candidatus_micrarchaeales|f__candidatus_micrarchaeaceae|g__candidatus_micrarchaeum|s__candidatus_micrarchaeum_sp.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.72790558273181e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
