clade_name	NCBI_tax_id	PSMA265L_taxonomic_profile	PSM7J1DL_taxonomic_profile	PSM7J19R_taxonomic_profile	PSM7J19P_taxonomic_profile	PSM7J17V_taxonomic_profile	PSM7J15M_taxonomic_profile	PSM7J154_taxonomic_profile	PSM6XBTR_taxonomic_profile	MSMB4LZZ_taxonomic_profile	MSMB4LZX_taxonomic_profile	MSMAPC7T_taxonomic_profile	MSMAPC6M_taxonomic_profile	MSMAPC5H_taxonomic_profile	MSMA26DI_taxonomic_profile	MSMA26BV_taxonomic_profile	MSMA26BR_taxonomic_profile	MSMA26BN_taxonomic_profile	MSMA26BJ_taxonomic_profile	MSMA26BH_taxonomic_profile	MSMA26BF_taxonomic_profile	MSMA26BB_taxonomic_profile	MSM9VZPT_taxonomic_profile	MSM9VZOO_taxonomic_profile	MSM9VZOI_taxonomic_profile	MSM9VZNL_taxonomic_profile	MSM9VZMW_taxonomic_profile	MSM9VZMS_taxonomic_profile	MSM9VZMI_taxonomic_profile	MSM9VZLJ_taxonomic_profile	MSM9VZL7_taxonomic_profile	MSM9VZKE_taxonomic_profile	MSM9VZJZ_taxonomic_profile	MSM9VZHR_taxonomic_profile	MSM9VZHP_taxonomic_profile	MSM9VZHN_taxonomic_profile	MSM9VZHB_taxonomic_profile	MSM9VZGO_taxonomic_profile	MSM79HCP_taxonomic_profile	MSM79HC8_taxonomic_profile	MSM79HBL_taxonomic_profile	MSM79HA7_taxonomic_profile	MSM79H9A_taxonomic_profile	MSM79H8H_taxonomic_profile	MSM79H83_taxonomic_profile	MSM79H6L_taxonomic_profile	MSM79H6D_taxonomic_profile	MSM79H5U_taxonomic_profile	MSM79H5S_taxonomic_profile	MSM79H5M_taxonomic_profile	MSM79H5E_taxonomic_profile	MSM79H58_taxonomic_profile	MSM6J2RU_taxonomic_profile	MSM6J2RM_taxonomic_profile	MSM6J2QH_taxonomic_profile	MSM6J2QF_taxonomic_profile	MSM6J2KA_taxonomic_profile	MSM6J2K6_taxonomic_profile	MSM6J2JZ_taxonomic_profile	MSM6J2JR_taxonomic_profile	HSMA33SG_taxonomic_profile	HSMA33SE_taxonomic_profile	HSMA33NY_taxonomic_profile	HSM7J4R2_taxonomic_profile	HSM7J4O5_taxonomic_profile	HSM7J4NY_taxonomic_profile	HSM7J4LN_taxonomic_profile	HSM7J4LD_taxonomic_profile	HSM7J4KO_taxonomic_profile	HSM7J4HY_taxonomic_profile	HSM7J4HW_taxonomic_profile	HSM7J4HC_taxonomic_profile	HSM7CZ2A_taxonomic_profile	HSM7CZ28_taxonomic_profile	HSM7CZ24_taxonomic_profile	HSM7CZ1E_taxonomic_profile	HSM7CZ1C_taxonomic_profile	HSM7CZ1A_taxonomic_profile	HSM7CYZJ_taxonomic_profile	HSM7CYXO_taxonomic_profile	HSM7CYXI_taxonomic_profile	HSM6XRVK_taxonomic_profile	HSM6XRVC_taxonomic_profile	HSM6XRUN_taxonomic_profile	HSM6XRUL_taxonomic_profile	HSM6XRTG_taxonomic_profile	HSM6XRRJ_taxonomic_profile	HSM67VIB_taxonomic_profile	HSM67VI9_taxonomic_profile	HSM67VI7_taxonomic_profile	HSM67VGK_taxonomic_profile	HSM67VFZ_taxonomic_profile	HSM67VFX_taxonomic_profile	HSM67VF3_taxonomic_profile	HSM5MD6W_taxonomic_profile	HSM5MD6Q_taxonomic_profile	HSM5MD5D_taxonomic_profile	CSMAHYLR_taxonomic_profile	CSM7KOOP_taxonomic_profile	CSM7KOON_taxonomic_profile	CSM67UH7_taxonomic_profile
UNCLASSIFIED	-1	35.073209999999996	27.906709999999997	37.48272	35.33501	25.54835	40.16645	32.89249	32.01696	27.73795	31.12466	24.10213	29.14895	25.5241	29.80248	28.371309999999998	28.76295	32.533159999999995	29.03114	28.6813	30.958270000000002	30.74962	33.65182	14.67295	15.70999	36.06648	26.458790000000004	27.786859999999997	16.76049	41.20787	26.86202	29.54607	33.63156	26.58577	26.903679999999998	20.57633	42.86397	48.550740000000005	17.96807	36.26384	30.28401	31.31178	30.361690000000003	27.93552	15.202910000000001	27.7714	30.11604	33.84975	27.36873	34.35412	33.4843	31.92295	32.59485	33.00118	30.100340000000003	35.09738	31.63032	33.22108	32.83769	21.20274	31.96748	34.232209999999995	32.18018	31.65958	27.52688	29.6628	29.23981	22.75442	18.680329999999998	25.99384	28.4967	31.80443	27.8338	26.316740000000003	28.176859999999998	42.215379999999996	34.83113	33.58197	27.028940000000002	17.63165	21.308970000000002	38.080529999999996	29.762340000000002	28.302909999999997	30.740270000000002	41.6431	26.29986	27.29017	28.33685	28.79187	40.77238	27.797940000000004	29.13396	19.23461	20.81139	25.32178	33.91499	32.28593	31.011740000000003	32.770920000000004	28.29162
k__Archaea	2157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.050212303756615166	0	0	0	0	0	0	0.56246435056734	0	0	0	0	0	0	0	0.040639769569294486	0	0	0	0.023415815539369854	0.10914412836937268	0	0	0.15731389910258653	0.004395700885185167	0	0	0.4973922924567474	0.5033043181802345	0.026543241968814864	0	0	0	0	0.010255452556052863	0.020908479151441343	0	0	0	0	0	0	0.2574172728257333	0.30508057419727064	0	0	0	0.00860691678048005	0.2334368248646387	0	0.2681768090415656	0.10790914154424336	0.1353147880846964	0	0.0032975445779406852	0	0	0	0	0	0	0	0	0	0	0.13213557741809032	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Candidatus_Thermoplasmatota	2157|2283796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0561464884281185	0	0	0	0	0	0	0	0.012507314827567402	0	0	0	0.023415815539369854	0.08300886940361912	0	0	0.15731389910258653	0.004395700885185167	0	0	0.4846635557032778	0.5033043181802345	0	0	0	0	0	0.010255452556052863	0.020908479151441343	0	0	0	0	0	0	0.2574172728257333	0.30508057419727064	0	0	0	0.00860691678048005	0.2319281052258836	0	0.2681768090415656	0.1061554798380276	0.1353147880846964	0	0	0	0	0	0	0	0	0	0	0	0	0.12756939997801106	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata	2157|2283796|183967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0561464884281185	0	0	0	0	0	0	0	0.012507314827567402	0	0	0	0.023415815539369854	0.08300886940361912	0	0	0.15731389910258653	0.004395700885185167	0	0	0.4846635557032778	0.5033043181802345	0	0	0	0	0	0.010255452556052863	0.020908479151441343	0	0	0	0	0	0	0.2574172728257333	0.30508057419727064	0	0	0	0.00860691678048005	0.2319281052258836	0	0.2681768090415656	0.1061554798380276	0.1353147880846964	0	0	0	0	0	0	0	0	0	0	0	0	0.12756939997801106	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales	2157|2283796|183967|1235850	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0561464884281185	0	0	0	0	0	0	0	0.012507314827567402	0	0	0	0.023415815539369854	0.08300886940361912	0	0	0.15731389910258653	0.004395700885185167	0	0	0.4846635557032778	0.5033043181802345	0	0	0	0	0	0.010255452556052863	0.020908479151441343	0	0	0	0	0	0	0.2574172728257333	0.30508057419727064	0	0	0	0.00860691678048005	0.2319281052258836	0	0.2681768090415656	0.1061554798380276	0.1353147880846964	0	0	0	0	0	0	0	0	0	0	0	0	0.12756939997801106	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae	2157|2283796|183967|1235850|1577788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0561464884281185	0	0	0	0	0	0	0	0.012507314827567402	0	0	0	0.023415815539369854	0.08300886940361912	0	0	0.15731389910258653	0.004395700885185167	0	0	0.4846635557032778	0.5033043181802345	0	0	0	0	0	0.010255452556052863	0.020908479151441343	0	0	0	0	0	0	0.2574172728257333	0.30508057419727064	0	0	0	0.00860691678048005	0.2319281052258836	0	0.2681768090415656	0.1061554798380276	0.1353147880846964	0	0	0	0	0	0	0	0	0	0	0	0	0.12756939997801106	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae|g__Methanomassiliicoccaceae_unclassified	2157|2283796|183967|1235850|1577788|95005144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0561464884281185	0	0	0	0	0	0	0	0.012507314827567402	0	0	0	0	0	0	0	0	0	0	0	0.4846635557032778	0.5033043181802345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae|g__Methanomassiliicoccaceae_unclassified|s__Methanomassiliicoccaceae_archaeon_DOK	2157|2283796|183967|1235850|1577788|95005144|1535962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0561464884281185	0	0	0	0	0	0	0	0.012507314827567402	0	0	0	0	0	0	0	0	0	0	0	0.4846635557032778	0.5033043181802345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae|g__Methanomassiliicoccaceae_unclassified|s__Methanomassiliicoccaceae_archaeon_DOK|t__SGB381	2157|2283796|183967|1235850|1577788|95005144|1535962|SGB381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0561464884281185	0	0	0	0	0	0	0	0.012507314827567402	0	0	0	0	0	0	0	0	0	0	0	0.4846635557032778	0.5033043181802345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Candidatus_Thermoplasmatota|c__Thermoplasmata|o__Methanomassiliicoccales|f__Methanomassiliicoccaceae|g__Methanomassiliicoccus	2157|2283796|183967|1235850|1577788|1080709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.023415815539369854	0.08300886940361912	0	0	0.15731389910258653	0.004395700885185167	0	0	0	0	0	0	0	0	0	0.010255452556052863	0.020908479151441343	0	0	0	0	0	0	0.2574172728257333	0.30508057419727064	0	0	0	0.00860691678048005	0.2319281052258836	0	0.2681768090415656	0.1061554798380276	0.1353147880846964	0	0	0	0	0	0	0	0	0	0	0	0	0.12756939997801106	0	0	0	0	0	0	0	0	0	0	0	0	0
