Taxonomy	CSM67UH7	CSM7KOON	CSM7KOOP	CSMAHYLR	HSM5MD5D	HSM5MD6W	HSM67VF3	HSM67VFX	HSM67VFZ	HSM67VGK	HSM67VI7	HSM67VI9	HSM67VIB	HSM6XRRJ	HSM6XRTG	HSM6XRUL	HSM6XRUN	HSM6XRVC	HSM6XRVK	HSM7CYXI	HSM7CYXO	HSM7CYZJ	HSM7CZ1A	HSM7CZ1C	HSM7CZ1E	HSM7CZ24	HSM7CZ28	HSM7CZ2A	HSM7J4HC	HSM7J4HW	HSM7J4HY	HSM7J4KO	HSM7J4LD	HSM7J4LN	HSM7J4NY	HSM7J4O5	HSM7J4R2	HSMA33NY	HSMA33SE	HSMA33SG	MSM6J2JR	MSM6J2JZ	MSM6J2K6	MSM6J2KA	MSM6J2QF	MSM6J2QH	MSM6J2RM	MSM6J2RU	MSM79H58	MSM79H5E	MSM79H5M	MSM79H5S	MSM79H5U	MSM79H6D	MSM79H6L	MSM79H83	MSM79H8H	MSM79H9A	MSM79HA7	MSM79HC8	MSM79HCP	MSM9VZGO	MSM9VZHB	MSM9VZHN	MSM9VZHP	MSM9VZHR	MSM9VZJZ	MSM9VZKE	MSM9VZL7	MSM9VZLJ	MSM9VZMS	MSM9VZMW	MSM9VZNL	MSM9VZOI	MSM9VZOO	MSM9VZPT	MSMA26BB	MSMA26BF	MSMA26BH	MSMA26BJ	MSMA26BN	MSMA26BR	MSMA26BV	MSMA26DI	MSMAPC5H	MSMAPC7T	MSMB4LZX	MSMB4LZZ	PSM6XBTR	PSM7J154	PSM7J15M	PSM7J17V	PSM7J19P	PSM7J19R	PSM7J1DL	PSMA265L
k__Archaea	0	0	0	0.000425795539095692	0	0.000303787465304088	0.000804219329916425	0.000272446459562599	7.81285947832667e-05	0	0.0147098749994816	0.0299017601504686	0.0713187787538707	0	0.000674730208487465	0.000325531687487972	0	0	8.93800709073875e-05	0.00311751447891066	0.000783361668276047	0.000372953346048328	0.000121756342939809	0.0397319045921857	0	0.030356441084604	0.0562946457300809	0.0103936584804567	0	0.0595017200091153	0.00816555364104794	0.000624820062834526	0.000352619064669897	0	0.0499074600451147	0.0184110173062239	0	0.000137738853211088	0.000217480409991895	0	0.00099131517857975	0.464988619661919	0.437300287652161	0.140063587867812	0.000222539564480392	6.83518039360919e-05	0.0013161164492996	0.13349273123945	0.189358180652071	0.175689175446076	0.23829354073734	0.000228485296343723	0.000663424079197843	0.0980493551290378	0.100309083281292	0	0.000281441198674538	0.216009762242464	0.215034753884612	0	0	0.420434417848618	0.174414804728091	0	0	0	0.000118636818726724	0.000280514363366619	0.000745130393355469	3.36332474212701	0	0.00159140229762579	0	0	0	0.223011959948246	0.00354311988737314	0.00059278231505188	0	0.000578789245494086	0	0	0	0	0.00260350471797427	0	0	0.00883095027463934	0	0	0	0	0.000105531027535221	8.14229484628117e-05	0	0.000339991651646233
k__Archaea|p__Methanobacteriota	0	0	0	0.000425795539095692	0	0.000303787465304088	0.000804219329916425	0.000272446459562599	7.81285947832667e-05	0	0.0147098749994816	0.0299017601504686	0.0713187787538707	0	0.000674730208487465	0.000325531687487972	0	0	8.93800709073875e-05	0.00311751447891066	0.000783361668276047	0.000372953346048328	0.000121756342939809	0.0397319045921857	0	0.030356441084604	0.0562946457300809	0.0103936584804567	0	0.0595017200091153	0.00816555364104794	0.000624820062834526	0.000352619064669897	0	0.0499074600451147	0.0184110173062239	0	0.000137738853211088	0.000217480409991895	0	0.00099131517857975	0.464988619661919	0.437300287652161	0.140063587867812	0.000222539564480392	6.83518039360919e-05	0.0013161164492996	0.13349273123945	0.189358180652071	0.175689175446076	0.23829354073734	0.000228485296343723	0.000663424079197843	0.0980493551290378	0.100309083281292	0	0.000281441198674538	0.216009762242464	0.215034753884612	0	0	0.420434417848618	0.174414804728091	0	0	0	0.000118636818726724	0.000280514363366619	0.000745130393355469	3.36332474212701	0	0.00159140229762579	0	0	0	0.223011959948246	0.00354311988737314	0.00059278231505188	0	0.000578789245494086	0	0	0	0	0.00260350471797427	0	0	0.00883095027463934	0	0	0	0	0.000105531027535221	8.14229484628117e-05	0	0.000339991651646233
k__Archaea|p__Methanobacteriota|c__Methanobacteria	0	0	0	0.000425795539095692	0	0.000303787465304088	0.000804219329916425	0.000272446459562599	7.81285947832667e-05	0	0.0147098749994816	0.0299017601504686	0.0713187787538707	0	0.000674730208487465	0.000325531687487972	0	0	8.93800709073875e-05	0.00311751447891066	0.000783361668276047	0.000372953346048328	0.000121756342939809	0.0397319045921857	0	0.030356441084604	0.0562946457300809	0.0103936584804567	0	0.0595017200091153	0.00816555364104794	0.000624820062834526	0.000352619064669897	0	0.0499074600451147	0.0184110173062239	0	0.000137738853211088	0.000217480409991895	0	0.00099131517857975	0.464988619661919	0.437300287652161	0.140063587867812	0.000222539564480392	6.83518039360919e-05	0.0013161164492996	0.13349273123945	0.189358180652071	0.175689175446076	0.23829354073734	0.000228485296343723	0.000663424079197843	0.0980493551290378	0.100309083281292	0	0.000281441198674538	0.216009762242464	0.215034753884612	0	0	0.420434417848618	0.174414804728091	0	0	0	0.000118636818726724	0.000280514363366619	0.000745130393355469	3.36332474212701	0	0.00159140229762579	0	0	0	0.223011959948246	0.00354311988737314	0.00059278231505188	0	0.000578789245494086	0	0	0	0	0.00260350471797427	0	0	0.00883095027463934	0	0	0	0	0.000105531027535221	8.14229484628117e-05	0	0.000339991651646233
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales	0	0	0	0.000425795539095692	0	0.000303787465304088	0.000804219329916425	0.000272446459562599	7.81285947832667e-05	0	0.0147098749994816	0.0299017601504686	0.0713187787538707	0	0.000674730208487465	0.000325531687487972	0	0	8.93800709073875e-05	0.00311751447891066	0.000783361668276047	0.000372953346048328	0.000121756342939809	0.0397319045921857	0	0.030356441084604	0.0562946457300809	0.0103936584804567	0	0.0595017200091153	0.00816555364104794	0.000624820062834526	0.000352619064669897	0	0.0499074600451147	0.0184110173062239	0	0.000137738853211088	0.000217480409991895	0	0.00099131517857975	0.464988619661919	0.437300287652161	0.140063587867812	0.000222539564480392	6.83518039360919e-05	0.0013161164492996	0.13349273123945	0.189358180652071	0.175689175446076	0.23829354073734	0.000228485296343723	0.000663424079197843	0.0980493551290378	0.100309083281292	0	0.000281441198674538	0.216009762242464	0.215034753884612	0	0	0.420434417848618	0.174414804728091	0	0	0	0.000118636818726724	0.000280514363366619	0.000745130393355469	3.36332474212701	0	0.00159140229762579	0	0	0	0.223011959948246	0.00354311988737314	0.00059278231505188	0	0.000578789245494086	0	0	0	0	0.00260350471797427	0	0	0.00883095027463934	0	0	0	0	0.000105531027535221	8.14229484628117e-05	0	0.000339991651646233
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	0	0	0	0.000425795539095692	0	0.000303787465304088	0.000804219329916425	0.000272446459562599	7.81285947832667e-05	0	0.0147098749994816	0.0299017601504686	0.0713187787538707	0	0.000674730208487465	0.000325531687487972	0	0	8.93800709073875e-05	0.00311751447891066	0.000783361668276047	0.000372953346048328	0.000121756342939809	0.0397319045921857	0	0.030356441084604	0.0562946457300809	0.0103936584804567	0	0.0595017200091153	0.00816555364104794	0.000624820062834526	0.000352619064669897	0	0.0499074600451147	0.0184110173062239	0	0.000137738853211088	0.000217480409991895	0	0.00099131517857975	0.464988619661919	0.437300287652161	0.140063587867812	0.000222539564480392	6.83518039360919e-05	0.0013161164492996	0.13349273123945	0.189358180652071	0.175689175446076	0.23829354073734	0.000228485296343723	0.000663424079197843	0.0980493551290378	0.100309083281292	0	0.000281441198674538	0.216009762242464	0.215034753884612	0	0	0.420434417848618	0.174414804728091	0	0	0	0.000118636818726724	0.000280514363366619	0.000745130393355469	3.36332474212701	0	0.00159140229762579	0	0	0	0.223011959948246	0.00354311988737314	0.00059278231505188	0	0.000578789245494086	0	0	0	0	0.00260350471797427	0	0	0.00883095027463934	0	0	0	0	0.000105531027535221	8.14229484628117e-05	0	0.000339991651646233
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A	0	0	0	0.000425795539095692	0	0.000303787465304088	0.000804219329916425	0.000272446459562599	7.81285947832667e-05	0	0.0147098749994816	0.0299017601504686	0.0713187787538707	0	0.000674730208487465	0.000325531687487972	0	0	8.93800709073875e-05	0.00311751447891066	0.000783361668276047	0.000372953346048328	0.000121756342939809	0.0397319045921857	0	0.030356441084604	0.0562946457300809	0.0103936584804567	0	0.0595017200091153	0.00816555364104794	0.000624820062834526	0.000352619064669897	0	0.0499074600451147	0.0184110173062239	0	0.000137738853211088	0.000217480409991895	0	0.00099131517857975	0.464988619661919	0.437300287652161	0.140063587867812	0.000222539564480392	6.83518039360919e-05	0.0013161164492996	0.13349273123945	0.189358180652071	0.175689175446076	0.23829354073734	0.000228485296343723	0.000663424079197843	0.0980493551290378	0.100309083281292	0	0.000281441198674538	0.216009762242464	0.215034753884612	0	0	0.420434417848618	0.174414804728091	0	0	0	0.000118636818726724	0.000280514363366619	0.000745130393355469	3.36332474212701	0	0.00159140229762579	0	0	0	0.223011959948246	0.00354311988737314	0.00059278231505188	0	0.000578789245494086	0	0	0	0	0.00260350471797427	0	0	0.00883095027463934	0	0	0	0	0.000105531027535221	8.14229484628117e-05	0	0.000339991651646233
k__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter_A|s__Methanobrevibacter_A smithii	0	0	0	0.000425795539095692	0	0.000303787465304088	0.000804219329916425	0.000272446459562599	7.81285947832667e-05	0	0.0147098749994816	0.0299017601504686	0.0713187787538707	0	0.000674730208487465	0.000325531687487972	0	0	8.93800709073875e-05	0.00311751447891066	0.000783361668276047	0.000372953346048328	0.000121756342939809	0.0397319045921857	0	0.030356441084604	0.0562946457300809	0.0103936584804567	0	0.0595017200091153	0.00816555364104794	0.000624820062834526	0.000352619064669897	0	0.0499074600451147	0.0184110173062239	0	0.000137738853211088	0.000217480409991895	0	0.00099131517857975	0.464988619661919	0.437300287652161	0.140063587867812	0.000222539564480392	6.83518039360919e-05	0.0013161164492996	0.13349273123945	0.189358180652071	0.175689175446076	0.23829354073734	0.000228485296343723	0.000663424079197843	0.0980493551290378	0.100309083281292	0	0.000281441198674538	0.216009762242464	0.215034753884612	0	0	0.420434417848618	0.174414804728091	0	0	0	0.000118636818726724	0.000280514363366619	0.000745130393355469	3.36332474212701	0	0.00159140229762579	0	0	0	0.223011959948246	0.00354311988737314	0.00059278231505188	0	0.000578789245494086	0	0	0	0	0.00260350471797427	0	0	0.00883095027463934	0	0	0	0	0.000105531027535221	8.14229484628117e-05	0	0.000339991651646233
k__Bacteria	62.305034663448	22.6261766656045	31.2919696674366	15.294341219191	45.2140309121244	21.5503742684746	34.3953489201539	39.4881000684919	41.7830242112839	46.9368026145446	12.7912747746563	9.53055316399887	13.8438543819582	37.013913695226	56.1087260679764	36.3763951295739	57.456947221345	29.199732759134	24.3232388857134	36.979744585955	39.8290480240238	35.4480600758198	24.3630069156884	27.9865563580329	22.27956374702	12.3715920158681	16.3550541417865	12.7905974377878	30.542839512356	27.0041205047137	7.87326082820847	24.3335541003613	28.8515651310707	19.3391810382016	25.4690839372098	14.5532217902092	23.2509152488667	30.0584446160873	27.2141335961512	30.0104551756658	27.1303915196391	44.330663285238	47.6959910267698	39.1209730497335	76.1197315485092	56.3544319974147	45.9241799903458	44.5333706455871	23.9908442972449	26.1667435213042	23.5853232373701	51.1441781342737	45.5865867391264	31.8439321017951	39.0824928783077	28.6111584891333	24.5884364513118	22.0453254340224	35.0890514176118	20.8721655123855	43.5947120674154	25.5319738557856	40.7740742349374	26.8153944721036	28.6572839382647	23.3081940432229	20.9129416340888	30.1477645070241	34.9488778103322	23.2513217829687	23.2408601584983	30.9583267243674	21.3459753342979	22.4808242513583	23.8389806854781	19.1922758178039	38.9589528408218	25.8103176115035	33.210009562354	38.0311593916937	28.9923065048567	21.507316276324	34.2026754932194	37.3214327631908	24.7465395094577	56.932294933331	27.0047146548666	32.0057849870323	36.0600647758332	25.6387782354768	14.492940070335	43.2788302125384	36.1843773620519	25.6311354134808	14.6766090289908	19.2027093011607
k__Bacteria|p__Actinobacteriota	0.000171272532264019	0	0.000186265596666407	0	0.209977142256774	0.00497713156150548	0.106140046841174	0.211334688681695	0.0525759423517865	0.276963389333907	0.257439832658227	0.051787099729623	0.334857972179099	0.000342537379628021	0.0854063112439508	0.0081976028170508	0.0430922961410966	0	5.42358187988143e-05	0.353749302279989	0.311587853164032	0.0143705615591939	0.408011896380455	0.694326081645127	0.0624918405208672	0.268586694798042	1.1136748487141	1.36844433756973	0.0624535957623207	1.04502083477856	0.191224818443737	1.39713368811093	0.073177471865747	0.000486277642421124	0.319913816116057	0.121238834213603	9.92961030932249e-05	0.91043610613086	9.2243678170515	1.25868093555209	3.11813079802803	0.00672157376686468	0.0625569362032302	0.0338282331496662	0.0194790854095223	0.00128575191842738	0.0882379297279829	0.0624124380376321	0.00288285909003426	0.0079921383188374	0.0010692216076209	0.0517145315820722	0.0198766799654557	0.0455578707896792	0.0099248986498838	0.000803378482379377	0.281613735695646	0.00226911401766903	0.0486055733012809	0.968350891839815	0.00104815614615132	0.075521267977107	0.000269071747762968	0.00755476117575327	0.00022213179096334	0.0134734366486043	0.465515644277667	0.0290218433225638	0.0623960174652346	0.116900806842562	0.0631653092233358	0.27695208177764	2.82307539819454	0.050919297666235	0.0212185948694491	0.00226061649247666	0.0926439386719022	0.0257185681756952	0.022586770194244	0.188950582356655	0.193369854202893	0.184818546216077	0.0690860556802628	0.210388456832732	0.0843879931061414	0.000116951734260834	0.143365418104771	0.101492259271995	0.442200424927771	0.210588762082579	0.00280452905228512	0.00174396391862407	0.00358602819645414	0.0423421740505642	0.22040334180243	0.00171234729424729
k__Bacteria|p__Actinobacteriota|c__Actinomycetia	0.000171272532264019	0	0.000186265596666407	0	0.209977142256774	0.00497713156150548	0.106140046841174	0.211334688681695	0.0525759423517865	0.276963389333907	0.257439832658227	0.051787099729623	0.334857972179099	0.000342537379628021	0.0854063112439508	0.0081976028170508	0.0430922961410966	0	5.42358187988143e-05	0.353749302279989	0.311587853164032	0.0143705615591939	0.408011896380455	0.694326081645127	0.0624918405208672	0.268586694798042	1.1136748487141	1.36844433756973	0.0624535957623207	1.04502083477856	0.191224818443737	1.39713368811093	0.073177471865747	0.000486277642421124	0.319913816116057	0.121238834213603	9.92961030932249e-05	0.91043610613086	9.2243678170515	1.25868093555209	3.11813079802803	0.00672157376686468	0.0625569362032302	0.0338282331496662	0.0194790854095223	0.00128575191842738	0.0882379297279829	0.0624124380376321	0.00288285909003426	0.0079921383188374	0.0010692216076209	0.0517145315820722	0.0198766799654557	0.0455578707896792	0.0099248986498838	0.000803378482379377	0.281613735695646	0.00226911401766903	0.0486055733012809	0.968350891839815	0.00104815614615132	0.075521267977107	0.000269071747762968	0.00755476117575327	0.00022213179096334	0.0134734366486043	0.465515644277667	0.0290218433225638	0.0623960174652346	0.116900806842562	0.0631653092233358	0.27695208177764	2.82307539819454	0.050919297666235	0.0212185948694491	0.00226061649247666	0.0926439386719022	0.0257185681756952	0.022586770194244	0.188950582356655	0.193369854202893	0.184818546216077	0.0690860556802628	0.210388456832732	0.0843879931061414	0.000116951734260834	0.143365418104771	0.101492259271995	0.442200424927771	0.210588762082579	0.00280452905228512	0.00174396391862407	0.00358602819645414	0.0423421740505642	0.22040334180243	0.00171234729424729
