Taxa	reERR5004402	reERR5004403	reERR5004404	reERR5004405	reERR5004406	reERR5004407	reERR5004408	reERR5004409	reERR5004410	reERR5004787	reERR5004789	reERR5004790	reERR5004793	reERR5004796	reERR5004798	reERR5004799	reERR5004803	reERR5004804	reERR5004806	reERR5004807
k__archaea	0.423165894508562	0.341917101587385	0.687426718872932	0.35471376863002	0.478442633972751	0.439662066790081	0.468219855049019	0.429964492579054	0.425418902197506	37.4553897233962	18.5618994679584	13.5398960359959	19.6947817355569	15.7767458901841	25.1943922826094	37.585970803159	34.353140196315	4.01730148162545	1.15738255361099	12.0339626548856
k__archaea|p__candidatus_korarchaeota	8.46602701881727e-05	0.000132538851279149	0.000153067628339553	7.54710146021319e-05	0.000251811912617237	3.98280701866184e-05	6.94276178898309e-05	0.000104741654708661	0.000280665612533404	0.000138179417357546	0.000136912406180774	0	0	0.000383941167049511	0.000338957772640684	0.000546279924759045	5.813294423016e-05	0.000827030670432413	0.000244019092053762	0
k__archaea|p__candidatus_korarchaeota|g__candidatus_korarchaeum	8.46602701881727e-05	0.000132538851279149	0.000153067628339553	7.54710146021319e-05	0.000251811912617237	3.98280701866184e-05	6.94276178898309e-05	0.000104741654708661	0.000280665612533404	0.000138179417357546	0.000136912406180774	0	0	0.000383941167049511	0.000338957772640684	0.000546279924759045	5.813294423016e-05	0.000827030670432413	0.000244019092053762	0
k__archaea|p__candidatus_korarchaeota|g__candidatus_korarchaeum|s__candidatus_korarchaeum_cryptofilum	8.46602701881727e-05	0.000132538851279149	0.000153067628339553	7.54710146021319e-05	0.000251811912617237	3.98280701866184e-05	6.94276178898309e-05	0.000104741654708661	0.000280665612533404	0.000138179417357546	0.000136912406180774	0	0	0.000383941167049511	0.000338957772640684	0.000546279924759045	5.813294423016e-05	0.000827030670432413	0.000244019092053762	0
k__archaea|p__candidatus_lokiarchaeota	0.00179479772798926	0.00106031081023319	0.000867383227257467	0.00128300724823624	0.00040289906018758	0.000438108772052802	0.000416565707338985	0.00157112482062992	0.0021400752955672	0.000119213614975137	0	0	0.000517582269701769	0.00010969747629986	0	9.10466541265075e-05	0.00011626588846032	0.000413515335216206	0.000244019092053762	0.00138059572705622
k__archaea|p__candidatus_lokiarchaeota|g__candidatus_prometheoarchaeum	0.00179479772798926	0.00106031081023319	0.000867383227257467	0.00128300724823624	0.00040289906018758	0.000438108772052802	0.000416565707338985	0.00157112482062992	0.0021400752955672	0.000119213614975137	0	0	0.000517582269701769	0.00010969747629986	0	9.10466541265075e-05	0.00011626588846032	0.000413515335216206	0.000244019092053762	0.00138059572705622
k__archaea|p__candidatus_lokiarchaeota|g__candidatus_prometheoarchaeum|s__candidatus_prometheoarchaeum_syntrophicum	0.00179479772798926	0.00106031081023319	0.000867383227257467	0.00128300724823624	0.00040289906018758	0.000438108772052802	0.000416565707338985	0.00157112482062992	0.0021400752955672	0.000119213614975137	0	0	0.000517582269701769	0.00010969747629986	0	9.10466541265075e-05	0.00011626588846032	0.000413515335216206	0.000244019092053762	0.00138059572705622
k__archaea|p__candidatus_micrarchaeota	0.000237048756526884	9.94041384593618e-05	0.000357157799458957	0.00018867753650533	0.000100724765046895	0.000318624561492947	0.000138855235779662	0.000104741654708661	0.000175416007833377	9.48290119120412e-05	0	0	0.000258791134850885	0.00016454621444979	0.000338957772640684	0	0.00011626588846032	0.000413515335216206	0	0
k__archaea|p__candidatus_micrarchaeota|c__candidatus_micrarchaeia	0.000118524378263442	3.31347128197873e-05	0.000102045085559702	3.7735507301066e-05	0	0.000119484210559855	0	0.000104741654708661	0	7.31538091892889e-05	0	0	0.000258791134850885	0.00010969747629986	0.000338957772640684	0	5.813294423016e-05	0.000413515335216206	0	0
k__archaea|p__candidatus_micrarchaeota|c__candidatus_micrarchaeia|o__candidatus_micrarchaeales	0.000118524378263442	3.31347128197873e-05	0.000102045085559702	3.7735507301066e-05	0	0.000119484210559855	0	0.000104741654708661	0	7.31538091892889e-05	0	0	0.000258791134850885	0.00010969747629986	0.000338957772640684	0	5.813294423016e-05	0.000413515335216206	0	0
