Taxonomy	reERR5004402	reERR5004403	reERR5004404	reERR5004405	reERR5004406	reERR5004407	reERR5004408	reERR5004409	reERR5004410	reERR5004787	reERR5004789	reERR5004790	reERR5004793	reERR5004796	reERR5004798	reERR5004799	reERR5004803	reERR5004804	reERR5004806	reERR5004807
k__Archaea	0	0	0	0	0	0	0	0	0	7.71762585630304	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Halobacteriota	0	0	0	0	0	0	0	0	0	7.71762585630304	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Halobacteriota|c__Halobacteria	0	0	0	0	0	0	0	0	0	7.71762585630304	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Halobacteriota|c__Halobacteria|o__Halobacteriales	0	0	0	0	0	0	0	0	0	7.71762585630304	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Halobacteriota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae	0	0	0	0	0	0	0	0	0	6.13368138785976	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Halobacteriota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Halapricum	0	0	0	0	0	0	0	0	0	3.04251028109484	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Halobacteriota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Salinibaculum	0	0	0	0	0	0	0	0	0	0.800180947877158	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Halobacteriota|c__Halobacteria|o__Halobacteriales|f__PXRE01	0	0	0	0	0	0	0	0	0	1.58394446844328	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Halobacteriota|c__Halobacteria|o__Halobacteriales|f__PXRE01|g__PXRE01	0	0	0	0	0	0	0	0	0	1.58394446844328	0	0	0	0	0	0	0	0	0	0
k__Bacteria	0	0	0	0	0	0	0	0	0	2.91649663437621	0	0	0	0	0	0	3.02059390463907	0	0	0
k__Bacteria|p__Bacteroidota	0	0	0	0	0	0	0	0	0	2.33125086503967	0	0	0	0	0	0	3.02059390463907	0	0	0
k__Bacteria|p__Bacteroidota|c__Rhodothermia	0	0	0	0	0	0	0	0	0	2.33125086503967	0	0	0	0	0	0	3.02059390463907	0	0	0
k__Bacteria|p__Bacteroidota|c__Rhodothermia|o__Balneolales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.02059390463907	0	0	0
k__Bacteria|p__Bacteroidota|c__Rhodothermia|o__Balneolales|f__Balneolaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.02059390463907	0	0	0
k__Bacteria|p__Bacteroidota|c__Rhodothermia|o__Balneolales|f__Balneolaceae|g__Fodinibius	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.02059390463907	0	0	0
k__Bacteria|p__Bacteroidota|c__Rhodothermia|o__Rhodothermales	0	0	0	0	0	0	0	0	0	2.33125086503967	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidota|c__Rhodothermia|o__Rhodothermales|f__Salinibacteraceae	0	0	0	0	0	0	0	0	0	0.788677746388571	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidota|c__Rhodothermia|o__Rhodothermales|f__Salinibacteraceae|g__Salinibacter	0	0	0	0	0	0	0	0	0	0.788677746388571	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Myxococcota	0	0	0	0	0	0	0	0	0	0.585245769336543	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Myxococcota|c__Bradymonadia	0	0	0	0	0	0	0	0	0	0.585245769336543	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Myxococcota|c__Bradymonadia|o__Bradymonadales	0	0	0	0	0	0	0	0	0	0.585245769336543	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Myxococcota|c__Bradymonadia|o__Bradymonadales|f__Bradymonadaceae	0	0	0	0	0	0	0	0	0	0.585245769336543	0	0	0	0	0	0	0	0	0	0
UNKNOWN	100	100	100	100	100	100	100	100	100	89.3658775093207	100	100	100	100	100	100	96.9794060953609	100	100	100
