#mpa_v30_CHOCOPhlAn_201901
clade_name	NCBI_tax_id	reERR5004807_taxonomic_profile	reERR5004806_taxonomic_profile	reERR5004804_taxonomic_profile	reERR5004803_taxonomic_profile	reERR5004799_taxonomic_profile	reERR5004798_taxonomic_profile	reERR5004796_taxonomic_profile	reERR5004793_taxonomic_profile	reERR5004790_taxonomic_profile	reERR5004789_taxonomic_profile	reERR5004787_taxonomic_profile	reERR5004410_taxonomic_profile	reERR5004409_taxonomic_profile	reERR5004408_taxonomic_profile	reERR5004407_taxonomic_profile	reERR5004406_taxonomic_profile	reERR5004405_taxonomic_profile	reERR5004404_taxonomic_profile	reERR5004403_taxonomic_profile	reERR5004402_taxonomic_profile
UNKNOWN	-1	97.48226	0	0	92.13671	93.33551	95.73397	98.14834	97.44389	97.46143000000001	96.69740999999999	95.18799999999999	99.62062	0	0	99.74154	0	99.51355	99.53602	99.58148	99.57281
k__Viruses	10239	2.5177415046528586	0	0	3.581695039648605	4.016762946224349	4.266034082038023	1.8370293091705123	2.556110992916932	2.5385687207361007	2.9737562565307223	3.2247704852080212	0.3568589057749196	0	0	0	0	0.302555931671282	0.17893823912058174	0.22117618017210933	0.3146776379547633
k__Viruses|p__Viruses_unclassified	10239|	2.5177415046528586	0	0	3.581695039648605	4.016762946224349	4.266034082038023	1.8370293091705123	2.556110992916932	2.5385687207361007	2.9737562565307223	3.2247704852080212	0.3568589057749196	0	0	0	0	0.302555931671282	0.17893823912058174	0.22117618017210933	0.3146776379547633
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified	10239||	2.5177415046528586	0	0	3.581695039648605	4.016762946224349	4.266034082038023	1.8370293091705123	2.556110992916932	2.5385687207361007	2.9737562565307223	3.2247704852080212	0.3568589057749196	0	0	0	0	0.302555931671282	0.17893823912058174	0.22117618017210933	0.3146776379547633
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified	10239|||	2.5177415046528586	0	0	1.4311078739996683	1.6183785644729582	2.0015114211992913	1.0506685550684232	2.2483547181475347	0	0	2.6667007059224828	0	0	0	0	0	0	0	0	0
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified|f__Viruses_unclassified	10239||||	2.5177415046528586	0	0	1.4311078739996683	1.6183785644729582	2.0015114211992913	1.0506685550684232	2.2483547181475347	0	0	2.566613511189761	0	0	0	0	0	0	0	0	0
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified|f__Viruses_unclassified|g__Viruses_unclassified	10239|||||	2.5177415046528586	0	0	1.4311078739996683	1.6183785644729582	2.0015114211992913	1.0506685550684232	2.2483547181475347	0	0	2.566613511189761	0	0	0	0	0	0	0	0	0
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified|f__Viruses_unclassified|g__Viruses_unclassified|s__Halovirus_HHTV_1	10239||||||1273750	2.5177415046528586	0	0	0.2857928681983968	0	2.0015114211992913	0.7843470752559065	0.8367994235843009	0	0	0.07232917252951013	0	0	0	0	0	0	0	0	0
UNKNOWN	-1	0	100.0	100.0	0	0	0	0	0	0	0	0	0	100.0	100.0	0	100.0	0	0	0	0
k__Archaea	2157	0	0	0	2.9178501013961338	2.6477262482280346	0	0.014629399963253143	0	0	0.3288343200870216	1.5638292750485399	0	0	0	0	0	0	0	0	0
