clade_name	NCBI_tax_id	reERR5004807_taxonomic_profile	reERR5004806_taxonomic_profile	reERR5004804_taxonomic_profile	reERR5004803_taxonomic_profile	reERR5004799_taxonomic_profile	reERR5004798_taxonomic_profile	reERR5004796_taxonomic_profile	reERR5004793_taxonomic_profile	reERR5004790_taxonomic_profile	reERR5004789_taxonomic_profile	reERR5004787_taxonomic_profile	reERR5004410_taxonomic_profile	reERR5004409_taxonomic_profile	reERR5004408_taxonomic_profile	reERR5004407_taxonomic_profile	reERR5004406_taxonomic_profile	reERR5004405_taxonomic_profile	reERR5004404_taxonomic_profile	reERR5004403_taxonomic_profile	reERR5004402_taxonomic_profile
UNCLASSIFIED	-1	97.76454	0	97.63225	85.66519	89.3354	96.81639	97.97659	98.98973000000001	97.3075	95.74946	91.72665	98.78488	99.41219	99.35275	99.41901	99.53096	98.40511	99.0135	98.67205	98.88165
k__Archaea	2157	2.2354566922091657	0	0	10.552839542015963	9.638019260077911	2.93766379780876	1.4937480206895173	0	0.8213819479749619	2.8451261242019337	7.518000303895169	0	0	0	0	0	0	0.03046574780671828	0	0.02912509085228002
k__Archaea|p__Euryarchaeota	2157|28890	2.2354566922091657	0	0	10.552839542015963	9.638019260077911	2.93766379780876	1.4937480206895173	0	0.8213819479749619	2.8451261242019337	7.518000303895169	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria	2157|28890|183963	2.2354566922091657	0	0	10.552839542015963	9.638019260077911	2.93766379780876	1.4937480206895173	0	0.8213819479749619	2.8451261242019337	7.518000303895169	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales	2157|28890|183963|1644055	2.2354566922091657	0	0	9.739737497511573	8.097153392988597	2.8104113728144102	1.328083329443796	0	0.8213819479749619	2.8451261242019337	6.034385170149464	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Haloferacaceae	2157|28890|183963|1644055|1644056	2.2354566922091657	0	0	1.4507001249298777	0.5894397801291302	0	0.3102711449410411	0	0.8213819479749619	0	0.7880328144601663	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Haloferacaceae|g__Halogeometricum	2157|28890|183963|1644055|1644056|60846	2.2354566922091657	0	0	0	0	0	0	0	0.8213819479749619	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Haloferacaceae|g__Halogeometricum|s__Halogeometricum_pallidum	2157|28890|183963|1644055|1644056|60846|411361	2.2354566922091657	0	0	0	0	0	0	0	0.8213819479749619	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Haloferacaceae|g__Halogeometricum|s__Halogeometricum_pallidum|t__SGB247	2157|28890|183963|1644055|1644056|60846|411361|SGB247	2.2354566922091657	0	0	0	0	0	0	0	0.8213819479749619	0	0	0	0	0	0	0	0	0	0	0
UNCLASSIFIED	-1	0	100.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales	2157|28890|183963|2235	0	0	0	0.8131020445043884	1.5408658670893127	0.12725242499434972	0.16566469124572142	0	0	0	1.4836151337457055	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae	2157|28890|183963|2235|1963268	0	0	0	0.8131020445043884	0.9909352220615	0	0.03527815780185594	0	0	0	0.959063541696058	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Halapricum	2157|28890|183963|2235|1963268|1542963	0	0	0	0.09098591551241407	0.5822049170490606	0	0.03527815780185594	0	0	0	0.5586063352809153	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Halapricum|s__Halapricum_salinum	2157|28890|183963|2235|1963268|1542963|1457250	0	0	0	0.08827233569666855	0.01821726579212097	0	0	0	0	0	0.04291301386382133	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Halapricum|s__Halapricum_salinum|t__SGB33489	2157|28890|183963|2235|1963268|1542963|1457250|SGB33489	0	0	0	0.08827233569666855	0.01821726579212097	0	0	0	0	0	0.04291301386382133	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Halapricum|s__Halapricum_sp_CBA1109	2157|28890|183963|2235|1963268|1542963|2668068	0	0	0	0.002713579815745523	0.5639876512569396	0	0.03527815780185594	0	0	0	0.5156941487516072	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Halapricum|s__Halapricum_sp_CBA1109|t__SGB86077	2157|28890|183963|2235|1963268|1542963|2668068|SGB86077	0	0	0	0.002713579815745523	0.5639876512569396	0	0.03527815780185594	0	0	0	0.5156941487516072	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Haloarcula	2157|28890|183963|2235|1963268|2237	0	0	0	0	0	0	0	0	0	0	0.00022255298404380152	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Haloarcula|s__Haloarcula_sp_CBA1129	2157|28890|183963|2235|1963268|2237|1853684	0	0	0	0	0	0	0	0	0	0	0.00022255298404380152	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Haloarcula|s__Haloarcula_sp_CBA1129|t__SGB86068	2157|28890|183963|2235|1963268|2237|1853684|SGB86068	0	0	0	0	0	0	0	0	0	0	0.00022255298404380152	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Natronomonas	2157|28890|183963|2235|1963268|63743	0	0	0	0.7221161289919742	0.4087303050124394	0	0	0	0	0	0.4002346534310988	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Natronomonas|s__Natronomonas_salsuginis	2157|28890|183963|2235|1963268|63743|2217661	0	0	0	0	0	0	0	0	0	0	0.02111771344876592	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Natronomonas|s__Natronomonas_salsuginis|t__SGB54765	2157|28890|183963|2235|1963268|63743|2217661|SGB54765	0	0	0	0	0	0	0	0	0	0	0.02111771344876592	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Natronomonas|s__Natronomonas_sp_CBA1123	2157|28890|183963|2235|1963268|63743|2668070	0	0	0	0.7221161289919742	0.4087303050124394	0	0	0	0	0	0.3661327521325803	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Natronomonas|s__Natronomonas_sp_CBA1123|t__SGB86048	2157|28890|183963|2235|1963268|63743|2668070|SGB86048	0	0	0	0.7221161289919742	0.4087303050124394	0	0	0	0	0	0.3661327521325803	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Natronomonas|s__Natronomonas_sp_CBA1133	2157|28890|183963|2235|1963268|63743|2487041	0	0	0	0	0	0	0	0	0	0	0.012983360515239316	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__Natronomonas|s__Natronomonas_sp_CBA1133|t__SGB33490	2157|28890|183963|2235|1963268|63743|2487041|SGB33490	0	0	0	0	0	0	0	0	0	0	0.012983360515239316	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae	2157|28890|183963|2235|2236	0	0	0	0	0.5499306450278127	0.12725242499434972	0.13038633110283995	0	0	0	0.5245524193841611	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Haloarchaeobius	2157|28890|183963|2235|2236|1269031	0	0	0	0	0	0	0.012067214080797731	0	0	0	0.013429293817840094	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Halobacteriaceae|g__Haloarchaeobius|s__Haloarchaeobius_iranensis	2157|28890|183963|2235|2236|1269031|996166	0	0	0	0	0	0	0.012067214080797731	0	0	0	0.013429293817840094	0	0	0	0	0	0	0	0	0
