Taxa	reERR3589553	reERR3589554	reERR3589555	reERR3589556	reERR3589557	reERR3589558	reERR3589559	reERR3589560	reERR3589561	reERR3589562	reERR3589563	reERR3589564	reERR3589565	reERR3589566	reERR3589567	reERR3589568	reERR3589569	reERR3589570	reERR3589571	reERR3589572	reERR3589573	reERR3589574	reERR3589575	reERR3589576	reERR3589577	reERR3589578	reERR3589579	reERR3589580	reERR3589581	reERR3589582	reERR3589583	reERR3589584	reERR3589585	reERR3589586	reERR3589587	reERR3589588	reERR3589589	reERR3589590	reERR3589591	reERR3589592	reERR3589593
k__archaea	0.293247601546574	0.0713203649161854	0.0215307792536852	0.0212253872988752	0.0515837148753953	0.0233534265741291	0.027531387594091	4.3903963154509	0.133085776982753	6.08183275478688	5.33607388266618	0.0352559019949334	0.0155345840990495	0.0823380935222159	2.74924920823928	0.0176319644375926	0.0220733164246725	3.1923047584558	0.0353688930577209	0.0275265841120974	1.48425524818214	2.3039918680538	0.0470879155834736	0.306402792469381	0.0205295363852983	0.0810989248635642	0.617380984188985	0.0621377644104529	0.0148064970327074	0.593014362842632	0.325956076748728	3.10018404335732	4.17496536907582	0.208100275989426	0.390044948657394	0.0207620417595762	0.396563938690511	0.0230458316629061	0.397304265809141	0.0261537853352489	2.84064549861463
k__archaea|p__candidatus_korarchaeota	0	3.26488684878927e-05	8.98325086006508e-06	1.77218343503411e-05	1.24365535230897e-05	4.56629970360149e-06	9.52333026288095e-06	2.2670127623983e-05	0	0	0	0	8.61817066904125e-06	1.02692361373752e-05	6.79418814275568e-06	0	1.67706094398742e-05	9.57176739929726e-06	2.28182816221076e-05	0	9.0515850808544e-06	1.45202502376997e-05	8.5148753332845e-06	1.13827934325167e-05	1.46108653916472e-05	9.77192437719258e-06	1.8234496695525e-05	1.05595657082935e-05	8.87884410836274e-06	0	1.14003652601027e-05	2.31543999489726e-05	1.39066054320715e-05	6.75426566492351e-06	0	0	1.2568344247083e-05	7.1530515883738e-06	0	0	1.32725749564714e-05
k__archaea|p__candidatus_korarchaeota|g__candidatus_korarchaeum	0	3.26488684878927e-05	8.98325086006508e-06	1.77218343503411e-05	1.24365535230897e-05	4.56629970360149e-06	9.52333026288095e-06	2.2670127623983e-05	0	0	0	0	8.61817066904125e-06	1.02692361373752e-05	6.79418814275568e-06	0	1.67706094398742e-05	9.57176739929726e-06	2.28182816221076e-05	0	9.0515850808544e-06	1.45202502376997e-05	8.5148753332845e-06	1.13827934325167e-05	1.46108653916472e-05	9.77192437719258e-06	1.8234496695525e-05	1.05595657082935e-05	8.87884410836274e-06	0	1.14003652601027e-05	2.31543999489726e-05	1.39066054320715e-05	6.75426566492351e-06	0	0	1.2568344247083e-05	7.1530515883738e-06	0	0	1.32725749564714e-05
k__archaea|p__candidatus_korarchaeota|g__candidatus_korarchaeum|s__candidatus_korarchaeum_cryptofilum	0	3.26488684878927e-05	8.98325086006508e-06	1.77218343503411e-05	1.24365535230897e-05	4.56629970360149e-06	9.52333026288095e-06	2.2670127623983e-05	0	0	0	0	8.61817066904125e-06	1.02692361373752e-05	6.79418814275568e-06	0	1.67706094398742e-05	9.57176739929726e-06	2.28182816221076e-05	0	9.0515850808544e-06	1.45202502376997e-05	8.5148753332845e-06	1.13827934325167e-05	1.46108653916472e-05	9.77192437719258e-06	1.8234496695525e-05	1.05595657082935e-05	8.87884410836274e-06	0	1.14003652601027e-05	2.31543999489726e-05	1.39066054320715e-05	6.75426566492351e-06	0	0	1.2568344247083e-05	7.1530515883738e-06	0	0	1.32725749564714e-05
k__archaea|p__candidatus_lokiarchaeota	0.00024160091837065	0.000300369590088613	0.000415302597453778	0.000467749021792336	0.000475698172258181	0.000279914171830771	0.000560756093714343	0.00044119556068213	0.000401390323002865	0.000399157204466251	0.0004025822040473	0.000512563323367588	0.000499853898804393	0.00029331505717378	0.000391345237022727	0.000172422036985251	0.000252357742047631	0.000548325532445458	0.00040738980847275	0.000346624302380361	0.000294524653015493	0.000333334440239366	0.000489277836458733	0.000548650643447306	0.000216621960806595	0.000215557155379248	0.000274168682457715	0.000281808409840082	0.000273195203334238	0.000433655080554549	0.000283109070625883	0.000689148061639158	0.000717735358133024	0.000198575410548751	0.000403662775652359	0.000467260304000534	0.00025890789148991	0.000253608192678707	0.000304014448857774	0.000384489396068839	0.000415533692867991
k__archaea|p__candidatus_lokiarchaeota|g__candidatus_prometheoarchaeum	0.00024160091837065	0.000300369590088613	0.000415302597453778	0.000467749021792336	0.000475698172258181	0.000279914171830771	0.000560756093714343	0.00044119556068213	0.000401390323002865	0.000399157204466251	0.0004025822040473	0.000512563323367588	0.000499853898804393	0.00029331505717378	0.000391345237022727	0.000172422036985251	0.000252357742047631	0.000548325532445458	0.00040738980847275	0.000346624302380361	0.000294524653015493	0.000333334440239366	0.000489277836458733	0.000548650643447306	0.000216621960806595	0.000215557155379248	0.000274168682457715	0.000281808409840082	0.000273195203334238	0.000433655080554549	0.000283109070625883	0.000689148061639158	0.000717735358133024	0.000198575410548751	0.000403662775652359	0.000467260304000534	0.00025890789148991	0.000253608192678707	0.000304014448857774	0.000384489396068839	0.000415533692867991
k__archaea|p__candidatus_lokiarchaeota|g__candidatus_prometheoarchaeum|s__candidatus_prometheoarchaeum_syntrophicum	0.00024160091837065	0.000300369590088613	0.000415302597453778	0.000467749021792336	0.000475698172258181	0.000279914171830771	0.000560756093714343	0.00044119556068213	0.000401390323002865	0.000399157204466251	0.0004025822040473	0.000512563323367588	0.000499853898804393	0.00029331505717378	0.000391345237022727	0.000172422036985251	0.000252357742047631	0.000548325532445458	0.00040738980847275	0.000346624302380361	0.000294524653015493	0.000333334440239366	0.000489277836458733	0.000548650643447306	0.000216621960806595	0.000215557155379248	0.000274168682457715	0.000281808409840082	0.000273195203334238	0.000433655080554549	0.000283109070625883	0.000689148061639158	0.000717735358133024	0.000198575410548751	0.000403662775652359	0.000467260304000534	0.00025890789148991	0.000253608192678707	0.000304014448857774	0.000384489396068839	0.000415533692867991
k__archaea|p__candidatus_micrarchaeota	2.8992110204478e-05	3.97227899936028e-05	8.98325086006508e-06	9.66645510018604e-06	1.9276657960789e-05	5.93618961468193e-06	8.96313436506442e-06	8.25425159642457e-05	1.87444756313737e-05	4.55979231815576e-05	2.85568691452237e-05	2.11366318914469e-05	9.61257497700755e-05	1.3478372430305e-05	1.97031456139915e-05	0	1.91664107884276e-05	4.30729532968377e-05	1.83659339885256e-05	1.4487393443142e-05	3.13324098952652e-05	3.59849679803861e-05	1.5064779435811e-05	3.49072331930513e-05	1.14345903065065e-05	1.32208388632605e-05	2.08394247948857e-05	1.58393485624402e-05	6.82988008335595e-06	3.51224775986329e-05	3.48344494058693e-05	6.82445472180244e-05	5.7944189300298e-05	2.09382235612629e-05	7.44143551637392e-05	0.000123350185146994	1.59199027129718e-05	2.34099870164961e-05	3.1822073151468e-05	2.26837401810524e-05	2.3992731652083e-05
k__archaea|p__candidatus_micrarchaeota|c__candidatus_micrarchaeia	6.90288338201856e-06	0	0	0	9.32741514231727e-06	0	0	5.98723883402628e-05	0	2.10451953145651e-05	8.35810804250449e-06	0	9.61257497700755e-05	0	1.22295386569602e-05	0	0	3.14500928834053e-05	7.23506490457069e-06	5.36570127523778e-06	1.60143428353578e-05	2.20960329704125e-05	0	1.13827934325167e-05	0	6.32300989112461e-06	0	6.59972856768341e-06	0	1.21853493709543e-05	0	2.25450736345259e-05	4.32649946775558e-05	0	5.82678441376448e-05	0.00011109685549663	0	0	0	6.80512205431573e-06	1.02096730434396e-05
k__archaea|p__candidatus_micrarchaeota|c__candidatus_micrarchaeia|o__candidatus_micrarchaeales	6.90288338201856e-06	0	0	0	9.32741514231727e-06	0	0	5.98723883402628e-05	0	2.10451953145651e-05	8.35810804250449e-06	0	9.61257497700755e-05	0	1.22295386569602e-05	0	0	3.14500928834053e-05	7.23506490457069e-06	5.36570127523778e-06	1.60143428353578e-05	2.20960329704125e-05	0	1.13827934325167e-05	0	6.32300989112461e-06	0	6.59972856768341e-06	0	1.21853493709543e-05	0	2.25450736345259e-05	4.32649946775558e-05	0	5.82678441376448e-05	0.00011109685549663	0	0	0	6.80512205431573e-06	1.02096730434396e-05
