Taxonomy	reERR3589553	reERR3589554	reERR3589555	reERR3589556	reERR3589557	reERR3589558	reERR3589559	reERR3589560	reERR3589561	reERR3589562	reERR3589563	reERR3589564	reERR3589565	reERR3589566	reERR3589567	reERR3589568	reERR3589569	reERR3589570	reERR3589571	reERR3589572	reERR3589573	reERR3589574	reERR3589575	reERR3589576	reERR3589577	reERR3589578	reERR3589579	reERR3589580	reERR3589581	reERR3589582	reERR3589583	reERR3589584	reERR3589585	reERR3589586	reERR3589587	reERR3589588	reERR3589589	reERR3589590	reERR3589591	reERR3589592	reERR3589593
k__Archaea	0	0	0	1.48981379998929	0	0	0	0.559091201514588	0	0.726962382813616	0	0	0	0	0.435139415302207	0	0	0.410089553427716	0	0	0.763960517588684	0.593064634334922	0	0	0	0.203783550234309	0.229528340017716	0	0	0	0	0.315446526692665	0	0	0.182540240575105	0	0	0	0	0	0
k__Archaea|p__Crenarchaeota	0	0	0	1.48981379998929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Crenarchaeota|c__Thermoprotei	0	0	0	1.48981379998929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales	0	0	0	1.48981379998929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae	0	0	0	1.48981379998929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__GGB39874	0	0	0	1.48981379998929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__GGB39874|s__GGB39874_SGB64930	0	0	0	1.48981379998929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Sulfolobales|f__Sulfolobaceae|g__GGB39874|s__GGB39874_SGB64930|t__SGB64930	0	0	0	1.48981379998929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.241119156246726	0	0	0	0	0	0	0	0	0	0	0	0	0	0.315446526692665	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__CFGB9216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.241119156246726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__CFGB9216|o__OFGB9216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.241119156246726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__CFGB9216|o__OFGB9216|f__FGB9216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.241119156246726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__CFGB9216|o__OFGB9216|f__FGB9216|g__GGB27206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.241119156246726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__CFGB9216|o__OFGB9216|f__FGB9216|g__GGB27206|s__GGB27206_SGB58706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.241119156246726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__CFGB9216|o__OFGB9216|f__FGB9216|g__GGB27206|s__GGB27206_SGB58706|t__SGB58706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.241119156246726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.315446526692665	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.315446526692665	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.315446526692665	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__GGB37911	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.315446526692665	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__GGB37911|s__GGB37911_SGB48950	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.315446526692665	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Halobacteriales|f__Haloarculaceae|g__GGB37911|s__GGB37911_SGB48950|t__SGB48950	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.315446526692665	0	0	0	0	0	0	0	0	0
k__Archaea|p__Thaumarchaeota	0	0	0	0	0	0	0	0.559091201514588	0	0.726962382813616	0	0	0	0	0.435139415302207	0	0	0.16897039718099	0	0	0.763960517588684	0.593064634334922	0	0	0	0.203783550234309	0.229528340017716	0	0	0	0	0	0	0	0.182540240575105	0	0	0	0	0	0
k__Archaea|p__Thaumarchaeota|c__CFGB24605	0	0	0	0	0	0	0	0.559091201514588	0	0.726962382813616	0	0	0	0	0.278978706143028	0	0	0	0	0	0.763960517588684	0.593064634334922	0	0	0	0	0.229528340017716	0	0	0	0	0	0	0	0.182540240575105	0	0	0	0	0	0
k__Archaea|p__Thaumarchaeota|c__CFGB24605|o__OFGB24605	0	0	0	0	0	0	0	0.559091201514588	0	0.726962382813616	0	0	0	0	0.278978706143028	0	0	0	0	0	0.763960517588684	0.593064634334922	0	0	0	0	0.229528340017716	0	0	0	0	0	0	0	0.182540240575105	0	0	0	0	0	0
k__Archaea|p__Thaumarchaeota|c__CFGB24605|o__OFGB24605|f__FGB24605	0	0	0	0	0	0	0	0.559091201514588	0	0.726962382813616	0	0	0	0	0.278978706143028	0	0	0	0	0	0.763960517588684	0.593064634334922	0	0	0	0	0.229528340017716	0	0	0	0	0	0	0	0.182540240575105	0	0	0	0	0	0
k__Archaea|p__Thaumarchaeota|c__CFGB24605|o__OFGB24605|f__FGB24605|g__GGB43721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.763960517588684	0.593064634334922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Thaumarchaeota|c__CFGB7301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.203783550234309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Thaumarchaeota|c__CFGB7301|o__OFGB7301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.203783550234309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Thaumarchaeota|c__CFGB7301|o__OFGB7301|f__FGB7301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.203783550234309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Thaumarchaeota|c__CFGB7301|o__OFGB7301|f__FGB7301|g__GGB23530	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.203783550234309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.156160709159179	0	0	0.16897039718099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified|o__Thaumarchaeota_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.156160709159179	0	0	0.16897039718099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified|o__Thaumarchaeota_unclassified|f__Thaumarchaeota_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.156160709159179	0	0	0.16897039718099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified|o__Thaumarchaeota_unclassified|f__Thaumarchaeota_unclassified|g__Thaumarchaeota_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.156160709159179	0	0	0.16897039718099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified|o__Thaumarchaeota_unclassified|f__Thaumarchaeota_unclassified|g__Thaumarchaeota_unclassified|s__Thaumarchaeota_unclassified_SGB48947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.156160709159179	0	0	0.16897039718099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified|o__Thaumarchaeota_unclassified|f__Thaumarchaeota_unclassified|g__Thaumarchaeota_unclassified|s__Thaumarchaeota_unclassified_SGB48947|t__SGB48947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.156160709159179	0	0	0.16897039718099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
