clade_name	reERR3589553_taxonomic_profile	reERR3589554_taxonomic_profile	reERR3589555_taxonomic_profile	reERR3589556_taxonomic_profile	reERR3589557_taxonomic_profile	reERR3589558_taxonomic_profile	reERR3589559_taxonomic_profile	reERR3589560_taxonomic_profile	reERR3589561_taxonomic_profile	reERR3589562_taxonomic_profile	reERR3589563_taxonomic_profile	reERR3589564_taxonomic_profile	reERR3589565_taxonomic_profile	reERR3589566_taxonomic_profile	reERR3589567_taxonomic_profile	reERR3589568_taxonomic_profile	reERR3589569_taxonomic_profile	reERR3589570_taxonomic_profile	reERR3589571_taxonomic_profile	reERR3589572_taxonomic_profile	reERR3589573_taxonomic_profile	reERR3589574_taxonomic_profile	reERR3589575_taxonomic_profile	reERR3589576_taxonomic_profile	reERR3589577_taxonomic_profile	reERR3589578_taxonomic_profile	reERR3589579_taxonomic_profile	reERR3589580_taxonomic_profile	reERR3589581_taxonomic_profile	reERR3589582_taxonomic_profile	reERR3589583_taxonomic_profile	reERR3589584_taxonomic_profile	reERR3589585_taxonomic_profile	reERR3589586_taxonomic_profile	reERR3589587_taxonomic_profile	reERR3589588_taxonomic_profile	reERR3589589_taxonomic_profile	reERR3589590_taxonomic_profile	reERR3589591_taxonomic_profile	reERR3589592_taxonomic_profile	reERR3589593_taxonomic_profile
k__Archaea	0.634190319271303	0.120381207155994	0.0222144193079133	0.0285155381167198	0.736876380315986	0.866813281124282	0.321777744838277	14.4445717121967	1.45788993615081	16.4503762601164	17.2190523207793	4.69111987366789	0.0967169953253452	0.110372697648886	9.78003632427673	0.00164781294027502	0.0289231420408451	14.2880919621854	0.666488936283658	0.428316885964912	7.36949630893333	9.5519323330225	0.250266588322343	2.35298882229062	0.00807911065149948	1.06309101654846	1.74055648195361	0.219642681849416	0.0100367176587683	4.17636252296387	3.913157993754	16.1008065948904	17.2347093678076	0.244699096579675	0.860913024928384	0.00351000351000351	0.937514575786315	0.010303502546897	2.77496800926208	0.332863225297605	10.3428469727858
k__Archaea|p__Crenarchaeota	0	0	0	0	0.000707854351888555	0	0	0	0	0.000946566330635619	0.00189877623871415	0	0	0	0	0	0	0.00221916470640451	0	0	0	0.000941912270291145	0.00108811560140149	0	0	0	0	0.00122705408854422	0	0	0	0.00266496109156806	0.00489691983742226	0	0	0	0	0	0	0	0.000808982946639485
k__Archaea|p__Crenarchaeota|c__Thermoprotei	0	0	0	0	0.000707854351888555	0	0	0	0	0.000946566330635619	0.00189877623871415	0	0	0	0	0	0	0.00221916470640451	0	0	0	0.000941912270291145	0.00108811560140149	0	0	0	0	0.00122705408854422	0	0	0	0.00266496109156806	0.00489691983742226	0	0	0	0	0	0	0	0.000808982946639485
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales	0	0	0	0	0.000707854351888555	0	0	0	0	0	0	0	0	0	0	0	0	0.00221916470640451	0	0	0	0	0	0	0	0	0	0.00122705408854422	0	0	0	0	0.00122422995935557	0	0	0	0	0	0	0	0
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae	0	0	0	0	0.000707854351888555	0	0	0	0	0	0	0	0	0	0	0	0	0.00221916470640451	0	0	0	0	0	0	0	0	0	0.00122705408854422	0	0	0	0	0.00122422995935557	0	0	0	0	0	0	0	0
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Ignicoccus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00110958235320225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Ignicoccus|s__Ignicoccus_pacificus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00110958235320225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Ignicoccus|s__Ignicoccus_pacificus|t__Unclassified_Ignicoccus_pacificus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00110958235320225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Ignicoccus|s__Ignicoccus_pacificus|t__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00110958235320225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Crenarchaeota|c__Thermoprotei|o__Desulfurococcales|f__Desulfurococcaceae|g__Unclassified_Desulfurococcaceae	0	0	0	0	0.000707854351888555	0	0	0	0	0	0	0	0	0	0	0	0	0.00110958235320225	0	0	0	0	0	0	0	0	0	0.00122705408854422	0	0	0	0	0.00122422995935557	0	0	0	0	0	0	0	0
