Taxa	reERR5004402	reERR5004403	reERR5004404	reERR5004405	reERR5004406	reERR5004407	reERR5004408	reERR5004409	reERR5004410	reERR5004787	reERR5004789	reERR5004790	reERR5004793	reERR5004796	reERR5004798	reERR5004799	reERR5004803	reERR5004804	reERR5004806	reERR5004807
k__archaea	0.116052298373947	0.0495032609527622	0.327513702103864	0.0599617211013938	0.0818388716006021	0.0799349368645431	0.0926164422650344	0.0393828621704566	0.112406577819628	34.7602354100417	16.7556140932154	11.9610406037863	17.2810368208027	14.0942608474349	22.7549131929144	34.8488352401538	31.5256119219042	3.06084051127036	0.537330040702385	10.5484416525731
k__archaea|p__candidatus_lokiarchaeota	0.00113444762052151	0	0	0.000566032609515989	0	0	0	0	0.00168399367520042	0	0	0	0	0	0	0	0	0	0	0
k__archaea|p__candidatus_lokiarchaeota|g__candidatus_prometheoarchaeum	0.00113444762052151	0	0	0.000566032609515989	0	0	0	0	0.00168399367520042	0	0	0	0	0	0	0	0	0	0	0
k__archaea|p__candidatus_lokiarchaeota|g__candidatus_prometheoarchaeum|s__candidatus_prometheoarchaeum_syntrophicum	0.00113444762052151	0	0	0.000566032609515989	0	0	0	0	0.00168399367520042	0	0	0	0	0	0	0	0	0	0	0
k__archaea|p__candidatus_micrarchaeota	0	0	0	0	0	0	0	0	0	4.60598057858486e-05	0	0	0	0	0	0	0	0	0	0
k__archaea|p__candidatus_micrarchaeota|c__candidatus_micrarchaeia	0	0	0	0	0	0	0	0	0	4.60598057858486e-05	0	0	0	0	0	0	0	0	0	0
k__archaea|p__candidatus_micrarchaeota|c__candidatus_micrarchaeia|o__candidatus_micrarchaeales	0	0	0	0	0	0	0	0	0	4.60598057858486e-05	0	0	0	0	0	0	0	0	0	0
k__archaea|p__candidatus_micrarchaeota|c__candidatus_micrarchaeia|o__candidatus_micrarchaeales|f__candidatus_micrarchaeaceae	0	0	0	0	0	0	0	0	0	4.60598057858486e-05	0	0	0	0	0	0	0	0	0	0
k__archaea|p__candidatus_micrarchaeota|c__candidatus_micrarchaeia|o__candidatus_micrarchaeales|f__candidatus_micrarchaeaceae|g__candidatus_micrarchaeum	0	0	0	0	0	0	0	0	0	4.60598057858486e-05	0	0	0	0	0	0	0	0	0	0
k__archaea|p__candidatus_micrarchaeota|c__candidatus_micrarchaeia|o__candidatus_micrarchaeales|f__candidatus_micrarchaeaceae|g__candidatus_micrarchaeum|s__candidatus_micrarchaeum_sp.	0	0	0	0	0	0	0	0	0	4.60598057858486e-05	0	0	0	0	0	0	0	0	0	0
k__archaea|p__candidatus_nanohaloarchaeota	0	0	0	0	0	0	0	0	0	0.0162130516366187	0.00807783196466565	0	0.0266554868896411	0.0034554705034456	0.00711811322545437	0.0194839839830726	0.0416231880687945	0	0	0
k__archaea|p__candidatus_nanohaloarchaeota|c__candidatus_nanohalobia	0	0	0	0	0	0	0	0	0	0.0162130516366187	0.00807783196466565	0	0.0266554868896411	0.0034554705034456	0.00711811322545437	0.0194839839830726	0.0416231880687945	0	0	0
k__archaea|p__candidatus_nanohaloarchaeota|c__candidatus_nanohalobia|o__candidatus_nanohalobiales	0	0	0	0	0	0	0	0	0	0.0162130516366187	0.00807783196466565	0	0.0266554868896411	0.0034554705034456	0.00711811322545437	0.0194839839830726	0.0416231880687945	0	0	0
k__archaea|p__candidatus_nanohaloarchaeota|c__candidatus_nanohalobia|o__candidatus_nanohalobiales|f__candidatus_nanohalobiaceae	0	0	0	0	0	0	0	0	0	0.0162130516366187	0.00807783196466565	0	0.0266554868896411	0.0034554705034456	0.00711811322545437	0.0194839839830726	0.0416231880687945	0	0	0
k__archaea|p__candidatus_nanohaloarchaeota|c__candidatus_nanohalobia|o__candidatus_nanohalobiales|f__candidatus_nanohalobiaceae|g__candidatus_nanohalobium	0	0	0	0	0	0	0	0	0	0.0162130516366187	0.00807783196466565	0	0.0266554868896411	0.0034554705034456	0.00711811322545437	0.0194839839830726	0.0416231880687945	0	0	0
k__archaea|p__candidatus_nanohaloarchaeota|c__candidatus_nanohalobia|o__candidatus_nanohalobiales|f__candidatus_nanohalobiaceae|g__candidatus_nanohalobium|s__candidatus_nanohalobium_constans	0	0	0	0	0	0	0	0	0	0.0162130516366187	0.00807783196466565	0	0.0266554868896411	0.0034554705034456	0.00711811322545437	0.0194839839830726	0.0416231880687945	0	0	0
k__archaea|p__candidatus_thermoplasmatota	0	0	0	0	0	0	0	0	0	0.000306162238458876	0	0	0	0	0	0	0	0	0	0
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata	0	0	0	0	0	0	0	0	0	0.000276358834715091	0	0	0	0	0	0	0	0	0	0
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__methanomassiliicoccales	0	0	0	0	0	0	0	0	0	0.000276358834715091	0	0	0	0	0	0	0	0	0	0
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__methanomassiliicoccales|f__candidatus_methanomethylophilaceae	0	0	0	0	0	0	0	0	0	0.000249264831311651	0	0	0	0	0	0	0	0	0	0
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__methanomassiliicoccales|f__candidatus_methanomethylophilaceae|g__candidatus_methanomethylophilus	0	0	0	0	0	0	0	0	0	0.000249264831311651	0	0	0	0	0	0	0	0	0	0
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__methanomassiliicoccales|f__candidatus_methanomethylophilaceae|g__candidatus_methanomethylophilus|s__candidatus_methanomethylophilus_alvus	0	0	0	0	0	0	0	0	0	0.000249264831311651	0	0	0	0	0	0	0	0	0	0
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__methanomassiliicoccales|f__methanomassiliicoccaceae	0	0	0	0	0	0	0	0	0	2.70940034034403e-05	0	0	0	0	0	0	0	0	0	0
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__methanomassiliicoccales|f__methanomassiliicoccaceae|g__methanomassiliicoccus	0	0	0	0	0	0	0	0	0	2.70940034034403e-05	0	0	0	0	0	0	0	0	0	0
k__archaea|p__candidatus_thermoplasmatota|c__thermoplasmata|o__methanomassiliicoccales|f__methanomassiliicoccaceae|g__methanomassiliicoccus|s__candidatus_methanomassiliicoccus_intestinalis	0	0	0	0	0	0	0	0	0	2.70940034034403e-05	0	0	0	0	0	0	0	0	0	0
k__archaea|p__candidatus_thermoplasmatota|g__aciduliprofundum	0	0	0	0	0	0	0	0	0	2.98034037437844e-05	0	0	0	0	0	0	0	0	0	0
k__archaea|p__candidatus_thermoplasmatota|g__aciduliprofundum|s__aciduliprofundum_boonei	0	0	0	0	0	0	0	0	0	2.98034037437844e-05	0	0	0	0	0	0	0	0	0	0
k__archaea|p__crenarchaeota	0.00018625259441398	0	0	0	0	0	0	0	0	0.00147933258582784	0	0	0	0	0	0	0	0	0	0
