;ID0;ID1;ID2;ID3;ID4;ID5;ID6;ID7;ID8;ID9;ID10;ID11;ID12;ID13;ID14;ID15;ID16;ID17;ID18;ID19
ID0;0.000000;0.972304;0.985295;0.975653;0.991767;0.989540;0.992932;0.995572;0.980735;0.998781;0.997812;0.996692;0.999119;0.995615;0.999403;0.998264;0.997360;0.999122;0.998100;0.999619
ID1;0.972304;0.000000;0.975349;0.969016;0.992368;0.990855;0.992552;0.995545;0.979918;0.999529;0.997863;0.996582;0.998993;0.996623;0.999318;0.998602;0.998046;0.998706;0.998137;0.999439
ID2;0.985295;0.975349;0.000000;0.979704;0.992043;0.991245;0.991831;0.995178;0.984830;0.999670;0.997531;0.996003;0.998692;0.996586;0.999007;0.998433;0.998195;0.998008;0.997717;0.999113
ID3;0.975653;0.969016;0.979704;0.000000;0.991995;0.990691;0.991142;0.995150;0.982852;0.999617;0.997843;0.996346;0.998914;0.996752;0.999254;0.998609;0.998203;0.998491;0.998102;0.999319
ID4;0.991767;0.992368;0.992043;0.991995;0.000000;0.972812;0.976053;0.989448;0.992469;0.999541;0.997283;0.996219;0.998665;0.995902;0.999021;0.998183;0.997922;0.998372;0.997468;0.999314
ID5;0.989540;0.990855;0.991245;0.990691;0.972812;0.000000;0.973360;0.980886;0.990801;0.999381;0.996861;0.995314;0.998541;0.994966;0.998953;0.997879;0.997397;0.998202;0.997146;0.999250
ID6;0.992932;0.992552;0.991831;0.991142;0.976053;0.973360;0.000000;0.988230;0.993043;0.999752;0.997521;0.996840;0.998638;0.996812;0.998942;0.998596;0.998500;0.998074;0.997537;0.999156
ID7;0.995572;0.995545;0.995178;0.995150;0.989448;0.980886;0.988230;0.000000;0.995623;0.999768;0.998166;0.997567;0.998983;0.997575;0.999237;0.998860;0.998736;0.998630;0.998260;0.999383
ID8;0.980735;0.979918;0.984830;0.982852;0.992469;0.990801;0.993043;0.995623;0.000000;0.999493;0.997833;0.996721;0.998998;0.996456;0.999307;0.998519;0.998004;0.998791;0.998129;0.999478
ID9;0.998781;0.999529;0.999670;0.999617;0.999541;0.999381;0.999752;0.999768;0.999493;0.000000;0.991815;0.996926;0.997730;0.981597;0.995654;0.971400;0.959289;0.999739;0.999683;0.999752
ID10;0.997812;0.997863;0.997531;0.997843;0.997283;0.996861;0.997521;0.998166;0.997833;0.991815;0.000000;0.964431;0.961736;0.940352;0.955567;0.905537;0.926729;0.995188;0.997429;0.993367
ID11;0.996692;0.996582;0.996003;0.996346;0.996219;0.995314;0.996840;0.997567;0.996721;0.996926;0.964431;0.000000;0.971286;0.966280;0.977403;0.958631;0.962321;0.969281;0.996448;0.982532
ID12;0.999119;0.998993;0.998692;0.998914;0.998665;0.998541;0.998638;0.998983;0.998998;0.997730;0.961736;0.971286;0.000000;0.965377;0.963443;0.956826;0.972173;0.995137;0.998270;0.991390
ID13;0.995615;0.996623;0.996586;0.996752;0.995902;0.994966;0.996812;0.997575;0.996456;0.981597;0.940352;0.966280;0.965377;0.000000;0.931562;0.838494;0.927750;0.996700;0.996431;0.995742
ID14;0.999403;0.999318;0.999007;0.999254;0.999021;0.998953;0.998942;0.999237;0.999307;0.995654;0.955567;0.977403;0.963443;0.931562;0.000000;0.898047;0.976328;0.994442;0.998773;0.989535
ID15;0.998264;0.998602;0.998433;0.998609;0.998183;0.997879;0.998596;0.998860;0.998519;0.971400;0.905537;0.958631;0.956826;0.838494;0.898047;0.000000;0.816340;0.996382;0.998192;0.994092
ID16;0.997360;0.998046;0.998195;0.998203;0.997922;0.997397;0.998500;0.998736;0.998004;0.959289;0.926729;0.962321;0.972173;0.927750;0.976328;0.816340;0.000000;0.996540;0.998243;0.996099
ID17;0.999122;0.998706;0.998008;0.998491;0.998372;0.998202;0.998074;0.998630;0.998791;0.999739;0.995188;0.969281;0.995137;0.996700;0.994442;0.996382;0.996540;0.000000;0.998180;0.988304
ID18;0.998100;0.998137;0.997717;0.998102;0.997468;0.997146;0.997537;0.998260;0.998129;0.999683;0.997429;0.996448;0.998270;0.996431;0.998773;0.998192;0.998243;0.998180;0.000000;0.999095
ID19;0.999619;0.999439;0.999113;0.999319;0.999314;0.999250;0.999156;0.999383;0.999478;0.999752;0.993367;0.982532;0.991390;0.995742;0.989535;0.994092;0.996099;0.988304;0.999095;0.000000
