;ID0;ID1;ID2;ID3;ID4;ID5;ID6;ID7;ID8;ID9;ID10;ID11;ID12;ID13;ID14;ID15;ID16;ID17;ID18;ID19
ID0;0.000000;0.985957;0.992593;0.987676;0.995866;0.994743;0.996454;0.997781;0.990274;0.999390;0.998905;0.998343;0.999559;0.997802;0.999701;0.999131;0.998678;0.999561;0.999049;0.999809
ID1;0.985957;0.000000;0.987521;0.984264;0.996170;0.995406;0.996262;0.997768;0.989857;0.999765;0.998930;0.998288;0.999496;0.998309;0.999659;0.999301;0.999022;0.999352;0.999068;0.999719
ID2;0.992593;0.987521;0.000000;0.989748;0.996006;0.995603;0.995899;0.997583;0.992357;0.999835;0.998764;0.997997;0.999346;0.998290;0.999503;0.999216;0.999097;0.999003;0.998857;0.999556
ID3;0.987676;0.984264;0.989748;0.000000;0.995981;0.995324;0.995551;0.997569;0.991352;0.999809;0.998920;0.998170;0.999457;0.998373;0.999627;0.999304;0.999101;0.999245;0.999050;0.999660
ID4;0.995866;0.996170;0.996006;0.995981;0.000000;0.986219;0.987882;0.994696;0.996220;0.999771;0.998640;0.998106;0.999332;0.997947;0.999510;0.999090;0.998960;0.999185;0.998733;0.999657
ID5;0.994743;0.995406;0.995603;0.995324;0.986219;0.000000;0.986500;0.990351;0.995379;0.999690;0.998428;0.997651;0.999270;0.997477;0.999476;0.998938;0.998697;0.999100;0.998571;0.999625
ID6;0.996454;0.996262;0.995899;0.995551;0.987882;0.986500;0.000000;0.994080;0.996510;0.999876;0.998759;0.998418;0.999319;0.998403;0.999471;0.999298;0.999250;0.999036;0.998767;0.999578
ID7;0.997781;0.997768;0.997583;0.997569;0.994696;0.990351;0.994080;0.000000;0.997807;0.999884;0.999082;0.998782;0.999491;0.998786;0.999618;0.999430;0.999368;0.999314;0.999129;0.999691
ID8;0.990274;0.989857;0.992357;0.991352;0.996220;0.995379;0.996510;0.997807;0.000000;0.999747;0.998915;0.998358;0.999499;0.998225;0.999653;0.999259;0.999001;0.999395;0.999064;0.999739
ID9;0.999390;0.999765;0.999835;0.999809;0.999771;0.999690;0.999876;0.999884;0.999747;0.000000;0.995890;0.998461;0.998864;0.990713;0.997823;0.985493;0.979222;0.999869;0.999842;0.999876
ID10;0.998905;0.998930;0.998764;0.998920;0.998640;0.998428;0.998759;0.999082;0.998915;0.995890;0.000000;0.981893;0.980495;0.969259;0.977279;0.950427;0.961971;0.997588;0.998713;0.996673
ID11;0.998343;0.998288;0.997997;0.998170;0.998106;0.997651;0.998418;0.998782;0.998358;0.998461;0.981893;0.000000;0.985434;0.982851;0.988572;0.978879;0.980799;0.984401;0.998221;0.991189
ID12;0.999559;0.999496;0.999346;0.999457;0.999332;0.999270;0.999319;0.999491;0.999499;0.998864;0.980495;0.985434;0.000000;0.982383;0.981381;0.977937;0.985890;0.997562;0.999134;0.995677
ID13;0.997802;0.998309;0.998290;0.998373;0.997947;0.997477;0.998403;0.998786;0.998225;0.990713;0.969259;0.982851;0.982383;0.000000;0.964569;0.912153;0.962521;0.998347;0.998212;0.997867
ID14;0.999701;0.999659;0.999503;0.999627;0.999510;0.999476;0.999471;0.999618;0.999653;0.997823;0.977279;0.988572;0.981381;0.964569;0.000000;0.946285;0.988022;0.997213;0.999386;0.994740
ID15;0.999131;0.999301;0.999216;0.999304;0.999090;0.998938;0.999298;0.999430;0.999259;0.985493;0.950427;0.978879;0.977937;0.912153;0.946285;0.000000;0.898884;0.998188;0.999095;0.997037
ID16;0.998678;0.999022;0.999097;0.999101;0.998960;0.998697;0.999250;0.999368;0.999001;0.979222;0.961971;0.980799;0.985890;0.962521;0.988022;0.898884;0.000000;0.998267;0.999121;0.998046
ID17;0.999561;0.999352;0.999003;0.999245;0.999185;0.999100;0.999036;0.999314;0.999395;0.999869;0.997588;0.984401;0.997562;0.998347;0.997213;0.998188;0.998267;0.000000;0.999089;0.994118
ID18;0.999049;0.999068;0.998857;0.999050;0.998733;0.998571;0.998767;0.999129;0.999064;0.999842;0.998713;0.998221;0.999134;0.998212;0.999386;0.999095;0.999121;0.999089;0.000000;0.999547
ID19;0.999809;0.999719;0.999556;0.999660;0.999657;0.999625;0.999578;0.999691;0.999739;0.999876;0.996673;0.991189;0.995677;0.997867;0.994740;0.997037;0.998046;0.994118;0.999547;0.000000
