Taxonomy	reERR3589553	reERR3589554	reERR3589555	reERR3589556	reERR3589557	reERR3589558	reERR3589559	reERR3589560	reERR3589561	reERR3589562	reERR3589563	reERR3589564	reERR3589565	reERR3589566	reERR3589567	reERR3589568	reERR3589569	reERR3589570	reERR3589571	reERR3589572	reERR3589573	reERR3589574	reERR3589575	reERR3589576	reERR3589577	reERR3589578	reERR3589579	reERR3589580	reERR3589581	reERR3589582	reERR3589583	reERR3589584	reERR3589585	reERR3589586	reERR3589587	reERR3589588	reERR3589589	reERR3589590	reERR3589591	reERR3589592	reERR3589593
k__Archaea	0.106726185950182	0	0	0	1.35220533661145	0.533173191303522	0.384824425379049	3.30689922776513	0.399155454579954	1.50177604753511	1.69552672004575	10.5727692050391	0.255174594491736	0	4.4171076221309	0	0	3.81751200278848	0.335436565185602	0.394983415419122	1.430989856883	2.04078186309095	0.169606726914729	2.71132107090337	0	0.376001129785857	1.05837781115399	0	0	4.93078986459091	5.29907676700061	4.61144870120469	3.91495753970139	0	0	0	0.223520739201232	0	4.33246088911655	0.276459176554266	4.37968043950725
k__Archaea|p__Halobacteriota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.146978219758463	0	0	0.1226274923177	0	0	0	0	0	0	0	0	0	0	0	0	0	0.115450651271361	0	0	0	0	0	0	0	0	0
k__Archaea|p__Halobacteriota|c__Halobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.146978219758463	0	0	0.1226274923177	0	0	0	0	0	0	0	0	0	0	0	0	0	0.115450651271361	0	0	0	0	0	0	0	0	0
k__Archaea|p__Halobacteriota|c__Halobacteria|o__Halobacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.146978219758463	0	0	0.1226274923177	0	0	0	0	0	0	0	0	0	0	0	0	0	0.115450651271361	0	0	0	0	0	0	0	0	0
k__Archaea|p__Halobacteriota|c__Halobacteria|o__Halobacteriales|f__UBA12382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.146978219758463	0	0	0.1226274923177	0	0	0	0	0	0	0	0	0	0	0	0	0	0.115450651271361	0	0	0	0	0	0	0	0	0
k__Archaea|p__Halobacteriota|c__Halobacteria|o__Halobacteriales|f__UBA12382|g__UBA12382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.115450651271361	0	0	0	0	0	0	0	0	0
k__Archaea|p__Thermoplasmatota	0.106726185950182	0	0	0	1.35220533661145	0.533173191303522	0.384824425379049	3.30689922776513	0.399155454579954	1.50177604753511	1.69552672004575	10.5727692050391	0.255174594491736	0	4.27012940237243	0	0	3.45376535422406	0.335436565185602	0.394983415419122	1.430989856883	2.04078186309095	0.169606726914729	2.71132107090337	0	0.172217579551549	1.05837781115399	0	0	4.93078986459091	5.29907676700061	4.49599804993333	3.91495753970139	0	0	0	0.223520739201232	0	4.33246088911655	0.276459176554266	4.37968043950725
k__Archaea|p__Thermoplasmatota|c__Poseidoniia	0.106726185950182	0	0	0	1.35220533661145	0.533173191303522	0.384824425379049	3.30689922776513	0.399155454579954	1.50177604753511	1.69552672004575	10.5727692050391	0.255174594491736	0	4.27012940237243	0	0	3.45376535422406	0.335436565185602	0.394983415419122	1.430989856883	2.04078186309095	0.169606726914729	2.71132107090337	0	0.172217579551549	1.05837781115399	0	0	4.93078986459091	5.29907676700061	4.49599804993333	3.91495753970139	0	0	0	0.223520739201232	0	4.33246088911655	0.276459176554266	4.37968043950725
k__Archaea|p__Thermoplasmatota|c__Poseidoniia|o__MGIII	0	0	0	0	0	0	0	0.199486690665354	0	0	0.848894007598626	0	0	0	0.592372216994394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4250314186946	0	0	0	0	0	0	0	0
k__Archaea|p__Thermoplasmatota|c__Poseidoniia|o__MGIII|f__CG-Epi1	0	0	0	0	0	0	0	0.199486690665354	0	0	0.848894007598626	0	0	0	0.592372216994394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4250314186946	0	0	0	0	0	0	0	0
