ID	reERR3589553_taxonomic_profile	reERR3589554_taxonomic_profile	reERR3589555_taxonomic_profile	reERR3589556_taxonomic_profile	reERR3589557_taxonomic_profile	reERR3589558_taxonomic_profile	reERR3589559_taxonomic_profile	reERR3589560_taxonomic_profile	reERR3589561_taxonomic_profile	reERR3589562_taxonomic_profile	reERR3589563_taxonomic_profile	reERR3589564_taxonomic_profile	reERR3589565_taxonomic_profile	reERR3589566_taxonomic_profile	reERR3589567_taxonomic_profile	reERR3589568_taxonomic_profile	reERR3589569_taxonomic_profile	reERR3589570_taxonomic_profile	reERR3589571_taxonomic_profile	reERR3589572_taxonomic_profile	reERR3589573_taxonomic_profile	reERR3589574_taxonomic_profile	reERR3589575_taxonomic_profile	reERR3589576_taxonomic_profile	reERR3589577_taxonomic_profile	reERR3589578_taxonomic_profile	reERR3589579_taxonomic_profile	reERR3589580_taxonomic_profile	reERR3589581_taxonomic_profile	reERR3589582_taxonomic_profile	reERR3589583_taxonomic_profile	reERR3589584_taxonomic_profile	reERR3589585_taxonomic_profile	reERR3589586_taxonomic_profile	reERR3589587_taxonomic_profile	reERR3589588_taxonomic_profile	reERR3589589_taxonomic_profile	reERR3589590_taxonomic_profile	reERR3589591_taxonomic_profile	reERR3589592_taxonomic_profile	reERR3589593_taxonomic_profile
#SampleID	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis
k__Archaea	2.09959	0.39452	0.01172	0.005	0.11707	0.11216	0.11296	17.64179	0.377	22.53788	17.93789	0.00403	0.0054	0.58273	11.61904	0.00361	0.02367	18.33895	0.19099	0.19095	6.64555	7.77901	0.11323	1.04212	0.02276	0.35733	4.65173	0.30214	0.01478	1.39376	0.90533	30.0106	24.66808	3.94858	1.3158	0.0	1.56904	0.08931	1.05809	0.01755	15.72927
k__Archaea|p__Euryarchaeota	0.10155	0.02288	0.00092	0.00106	0.01391	0.01279	0.01189	0.19743	0.01184	0.10644	0.17038	0.00269	0.0054	0.01215	0.21545	0.0	0.00264	0.37454	0.10518	0.01026	0.10652	0.1236	0.0439	0.0271	0.00237	0.01005	0.08007	0.03917	0.00891	0.01129	0.03629	3.14866	0.47756	0.07919	0.15536	0.0	0.03	0.02332	0.01848	0.00756	0.17602
k__Archaea|p__Euryarchaeota|c__Euryarchaeota_noname	0.10155	0.02288	0.00092	0.00106	0.01391	0.01279	0.01189	0.19644	0.01184	0.10644	0.12732	0.00269	0.0054	0.01215	0.21545	0.0	0.00264	0.37454	0.10518	0.01026	0.10652	0.1236	0.0439	0.0271	0.00237	0.01005	0.08007	0.03917	0.00891	0.01129	0.03629	3.14866	0.47756	0.07919	0.15536	0.0	0.03	0.02332	0.01848	0.00756	0.17602
k__Archaea|p__Euryarchaeota|c__Euryarchaeota_noname|o__Euryarchaeota_noname	0.10155	0.02288	0.00092	0.00106	0.01391	0.01279	0.01189	0.19644	0.01184	0.10644	0.12732	0.00269	0.0054	0.01215	0.21545	0.0	0.00264	0.37454	0.10518	0.01026	0.10652	0.1236	0.0439	0.0271	0.00237	0.01005	0.08007	0.03917	0.00891	0.01129	0.03629	3.14866	0.47756	0.07919	0.15536	0.0	0.03	0.02332	0.01848	0.00756	0.17602
k__Archaea|p__Euryarchaeota|c__Euryarchaeota_noname|o__Euryarchaeota_noname|f__Euryarchaeota_noname	0.10155	0.02288	0.00092	0.00106	0.01391	0.01279	0.01189	0.19644	0.01184	0.10644	0.12732	0.00269	0.0054	0.01215	0.21545	0.0	0.00264	0.37454	0.10518	0.01026	0.10652	0.1236	0.0439	0.0271	0.00237	0.01005	0.08007	0.03917	0.00891	0.01129	0.03629	3.14866	0.47756	0.07919	0.15536	0.0	0.03	0.02332	0.01848	0.00756	0.17602
k__Archaea|p__Euryarchaeota|c__Euryarchaeota_noname|o__Euryarchaeota_noname|f__Euryarchaeota_noname|g__Euryarchaeota_noname	0.10155	0.02288	0.00092	0.00106	0.01391	0.01279	0.01189	0.19644	0.01184	0.10644	0.12732	0.00269	0.0054	0.01215	0.21545	0.0	0.00264	0.37454	0.10518	0.01026	0.10652	0.1236	0.0439	0.0271	0.00237	0.01005	0.08007	0.03917	0.00891	0.01129	0.03629	3.14866	0.47756	0.07919	0.15536	0.0	0.03	0.02332	0.01848	0.00756	0.17602
k__Archaea|p__Euryarchaeota|c__Euryarchaeota_noname|o__Euryarchaeota_noname|f__Euryarchaeota_noname|g__Euryarchaeota_noname|s__Euryarchaeota_noname_unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13075	0.0	0.0	0.18538	0.0	0.0	0.00098	0.0885	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29382	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea|p__Euryarchaeota|c__Euryarchaeota_noname|o__Euryarchaeota_noname|f__Euryarchaeota_noname|g__Euryarchaeota_noname|s__Marine_Group_III_euryarchaeote_SCGC_AAA007_O11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00049	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02936	0.00038	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea|p__Euryarchaeota|c__Euryarchaeota_noname|o__Euryarchaeota_noname|f__Euryarchaeota_noname|g__Euryarchaeota_noname|s__Marine_Group_III_euryarchaeote_SCGC_AAA007_O11|t__GCF_000372505	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00049	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02936	0.00038	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
