#mpa_v30_CHOCOPhlAn_201901
clade_name	NCBI_tax_id	reERR3589593_taxonomic_profile	reERR3589592_taxonomic_profile	reERR3589591_taxonomic_profile	reERR3589590_taxonomic_profile	reERR3589589_taxonomic_profile	reERR3589588_taxonomic_profile	reERR3589587_taxonomic_profile	reERR3589586_taxonomic_profile	reERR3589585_taxonomic_profile	reERR3589584_taxonomic_profile	reERR3589583_taxonomic_profile	reERR3589582_taxonomic_profile	reERR3589581_taxonomic_profile	reERR3589580_taxonomic_profile	reERR3589579_taxonomic_profile	reERR3589578_taxonomic_profile	reERR3589577_taxonomic_profile	reERR3589576_taxonomic_profile	reERR3589575_taxonomic_profile	reERR3589574_taxonomic_profile	reERR3589573_taxonomic_profile	reERR3589572_taxonomic_profile	reERR3589571_taxonomic_profile	reERR3589570_taxonomic_profile	reERR3589569_taxonomic_profile	reERR3589568_taxonomic_profile	reERR3589567_taxonomic_profile	reERR3589566_taxonomic_profile	reERR3589565_taxonomic_profile	reERR3589564_taxonomic_profile	reERR3589563_taxonomic_profile	reERR3589562_taxonomic_profile	reERR3589561_taxonomic_profile	reERR3589560_taxonomic_profile	reERR3589559_taxonomic_profile	reERR3589558_taxonomic_profile	reERR3589557_taxonomic_profile	reERR3589556_taxonomic_profile	reERR3589555_taxonomic_profile	reERR3589554_taxonomic_profile	reERR3589553_taxonomic_profile
UNKNOWN	-1	98.47106	97.33164000000001	99.01132	98.26196999999999	97.75415	94.81716	96.16806	98.87847	98.874	99.17413	98.88164	96.9917	96.44502	97.29541	97.93545999999999	93.77328	97.25156	96.88864000000001	95.81663	98.42463000000001	98.58878	98.30266999999999	97.07066	99.20736	97.58504	95.78394	98.98318	98.00634000000001	96.32314000000001	97.85101	98.89704	97.95444	95.8678	98.08327	98.21002	98.21414	96.12176	94.61156	95.7659	97.96746999999999	97.16824
k__Archaea	2157	0.027024242728226854	0	0.0334548239369168	0	0.000846235831897602	0	0.0014067043516192265	0.003935690022240639	0.040913852660733184	0.3155897459747894	0.033103696942550075	0.0007430504204648608	0	0	0.0011255876488665858	0	0	0.0004004316984685764	0	0.004011845447348241	0.0035082943943771762	0	0	0.022200459053296158	0	0	0.017377321183958842	0	0	0	0.05404010203156715	0.016410264760361132	3.0165064432452124e-05	0.008058129888602496	0	0	0	0	0	0	0.0005402988566803715
k__Archaea|p__Euryarchaeota	2157|28890	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002522255259183265	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria	2157|28890|183963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002522255259183265	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales	2157|28890|183963|1644055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002522255259183265	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Haloferacaceae	2157|28890|183963|1644055|1644056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002522255259183265	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Haloferacaceae|g__Haloquadratum	2157|28890|183963|1644055|1644056|293431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002522255259183265	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Halobacteria|o__Haloferacales|f__Haloferacaceae|g__Haloquadratum|s__Haloquadratum_walsbyi	2157|28890|183963|1644055|1644056|293431|293091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002522255259183265	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Thaumarchaeota	2157|651137	0.027024242728226854	0	0.0334548239369168	0	0.000846235831897602	0	0.0014067043516192265	0.003935690022240639	0.040913852660733184	0.3155897459747894	0.033103696942550075	0.0007430504204648608	0	0	0.0011255876488665858	0	0	0.0004004316984685764	0	0.004011845447348241	0.0035082943943771762	0	0	0.022200459053296158	0	0	0.017377321183958842	0	0	0	0.05151795706866074	0.016410264760361132	3.0165064432452124e-05	0.008058129888602496	0	0	0	0	0	0	0.0005402988566803715
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_unclassified	2157|651137|	0.027024242728226854	0	0.0334548239369168	0	0.000846235831897602	0	0.0014067043516192265	0.003935690022240639	0.040913852660733184	0.3155897459747894	0.033103696942550075	0.0007430504204648608	0	0	0.0011255876488665858	0	0	0.0004004316984685764	0	0.004011845447348241	0.0035082943943771762	0	0	0.022200459053296158	0	0	0.017377321183958842	0	0	0	0.05151795706866074	0.016410264760361132	3.0165064432452124e-05	0.008058129888602496	0	0	0	0	0	0	0.0005402988566803715
