;ID0;ID1;ID2;ID3;ID4;ID5;ID6;ID7;ID8;ID9;ID10;ID11;ID12;ID13;ID14;ID15;ID16;ID17;ID18;ID19;ID20;ID21;ID22;ID23;ID24;ID25;ID26;ID27;ID28;ID29;ID30;ID31;ID32;ID33;ID34;ID35;ID36;ID37;ID38;ID39;ID40
ID0;0.000000;0.472959;0.554460;0.668929;0.663364;0.605110;0.576291;0.675481;0.689156;0.690383;0.845628;0.831440;0.665060;0.336937;0.717141;0.847822;0.510421;0.844064;0.520167;0.606101;0.579674;0.618355;0.724452;0.631758;0.472750;0.590917;0.441020;0.739064;0.716814;0.753583;0.936451;0.958921;0.912357;0.561738;0.590279;0.707164;0.413496;0.535558;0.939089;0.761466;0.805527
ID1;0.472959;0.000000;0.457382;0.612968;0.615784;0.620874;0.595113;0.700085;0.647405;0.726926;0.883914;0.849808;0.722110;0.456201;0.790430;0.858533;0.392390;0.891644;0.527586;0.647669;0.674185;0.682051;0.668895;0.609356;0.486065;0.693780;0.283309;0.743254;0.695435;0.759027;0.945673;0.969213;0.941420;0.689149;0.608874;0.700403;0.503824;0.546908;0.942441;0.761065;0.855726
ID2;0.554460;0.457382;0.000000;0.495000;0.487584;0.615627;0.534101;0.697499;0.561153;0.725702;0.884718;0.835968;0.710586;0.480807;0.805707;0.741867;0.340438;0.897863;0.481085;0.620023;0.670918;0.662597;0.595386;0.534116;0.478189;0.660246;0.515527;0.653768;0.569516;0.739057;0.941158;0.969426;0.942206;0.711682;0.606824;0.666002;0.493220;0.560285;0.939028;0.748208;0.863327
ID3;0.668929;0.612968;0.495000;0.000000;0.517806;0.573745;0.586532;0.764938;0.625777;0.790395;0.911919;0.811424;0.732683;0.585476;0.866112;0.785746;0.548861;0.928187;0.480886;0.700618;0.735043;0.715396;0.667340;0.649963;0.555533;0.756265;0.675269;0.669352;0.536960;0.787573;0.949576;0.969542;0.950162;0.738407;0.653512;0.635419;0.607539;0.557516;0.949647;0.769284;0.896775
ID4;0.663364;0.615784;0.487584;0.517806;0.000000;0.702801;0.608453;0.683944;0.473191;0.708664;0.880456;0.823471;0.737185;0.627841;0.830437;0.793558;0.571106;0.899741;0.516659;0.713469;0.689846;0.671628;0.553204;0.495308;0.624284;0.697333;0.652438;0.607506;0.580449;0.691777;0.917802;0.966404;0.938852;0.795883;0.622545;0.687083;0.615565;0.711438;0.911278;0.744153;0.871192
ID5;0.605110;0.620874;0.615627;0.573745;0.702801;0.000000;0.503384;0.798931;0.763379;0.831687;0.924603;0.846045;0.765407;0.553196;0.854016;0.791383;0.643105;0.920177;0.545495;0.467252;0.706191;0.703741;0.756748;0.741244;0.577380;0.705672;0.654394;0.700958;0.623433;0.855602;0.962813;0.974667;0.947349;0.661676;0.733060;0.746198;0.613582;0.519782;0.962275;0.813115;0.895823
ID6;0.576291;0.595113;0.534101;0.586532;0.608453;0.503384;0.000000;0.789344;0.646510;0.809499;0.921706;0.871788;0.744334;0.521873;0.846558;0.813003;0.606374;0.919644;0.545936;0.380745;0.704363;0.679917;0.675711;0.640052;0.564070;0.691539;0.643218;0.719252;0.570172;0.835273;0.960348;0.978895;0.952373;0.682572;0.678058;0.721893;0.571305;0.570405;0.957049;0.785746;0.901968
ID7;0.675481;0.700085;0.697499;0.764938;0.683944;0.798931;0.789344;0.000000;0.640942;0.471376;0.684632;0.836500;0.783053;0.720002;0.611713;0.915201;0.681111;0.675267;0.680870;0.822460;0.498737;0.492463;0.672869;0.616877;0.727071;0.754336;0.647479;0.776722;0.822135;0.686706;0.922663;0.909027;0.798480;0.831129;0.658463;0.782869;0.648332;0.802793;0.923539;0.810768;0.653435
ID8;0.689156;0.647405;0.561153;0.625777;0.473191;0.763379;0.646510;0.640942;0.000000;0.656820;0.860425;0.796675;0.715997;0.675661;0.829872;0.880265;0.603127;0.894635;0.627650;0.759564;0.709000;0.692520;0.405585;0.416258;0.652823;0.750879;0.692175;0.733625;0.696898;0.616368;0.916593;0.966532;0.935112;0.826065;0.571873;0.643205;0.648907;0.755560;0.912734;0.725431;0.853581
ID9;0.690383;0.726926;0.725702;0.790395;0.708664;0.831687;0.809499;0.471376;0.656820;0.000000;0.580311;0.779603;0.770898;0.733807;0.664989;0.923632;0.697429;0.754912;0.723690;0.852790;0.610538;0.602804;0.689879;0.563364;0.751541;0.777245;0.678978;0.809845;0.837406;0.557231;0.865847;0.896489;0.851658;0.832329;0.645173;0.769194;0.668328;0.816123;0.869873;0.748159;0.701725
