;ID0;ID1;ID2;ID3;ID4;ID5;ID6;ID7;ID8;ID9;ID10;ID11;ID12;ID13;ID14;ID15;ID16;ID17;ID18;ID19;ID20;ID21;ID22;ID23;ID24;ID25;ID26;ID27;ID28;ID29;ID30;ID31;ID32;ID33;ID34;ID35;ID36;ID37;ID38;ID39;ID40
ID0;0.000000;0.642189;0.713380;0.801626;0.797618;0.753980;0.731199;0.806313;0.815977;0.816836;0.916358;0.907963;0.798842;0.504043;0.835273;0.917645;0.675866;0.915439;0.684355;0.754748;0.733916;0.764177;0.840211;0.774328;0.641996;0.742864;0.612094;0.849956;0.835051;0.859478;0.967183;0.979030;0.954170;0.719376;0.742359;0.828466;0.585068;0.697541;0.968588;0.864582;0.892290
ID1;0.642189;0.000000;0.627676;0.760050;0.762211;0.766098;0.746171;0.823588;0.785970;0.841873;0.938381;0.918806;0.838634;0.626563;0.882950;0.923883;0.563621;0.942719;0.690745;0.786164;0.805389;0.810976;0.801602;0.757267;0.654163;0.819209;0.441529;0.852720;0.820361;0.863008;0.972078;0.984366;0.969826;0.815972;0.756895;0.823808;0.670057;0.707098;0.970368;0.864323;0.922255
ID2;0.713380;0.627676;0.000000;0.662208;0.655538;0.762090;0.696305;0.821796;0.718895;0.841051;0.938833;0.910656;0.830810;0.649385;0.892401;0.851807;0.507951;0.946183;0.649638;0.765450;0.803053;0.797063;0.746385;0.696317;0.646993;0.795359;0.680327;0.790640;0.725722;0.849951;0.969687;0.984476;0.970243;0.831559;0.755309;0.799521;0.660612;0.718183;0.968556;0.855971;0.926651
ID3;0.801626;0.760050;0.662208;0.000000;0.682309;0.729146;0.739389;0.866816;0.769819;0.882928;0.953930;0.895897;0.845721;0.738549;0.928253;0.880020;0.708729;0.962756;0.649457;0.823957;0.847291;0.834088;0.800484;0.787852;0.714267;0.861220;0.806162;0.801930;0.698730;0.881165;0.974136;0.984535;0.974444;0.849521;0.790453;0.777072;0.755862;0.715904;0.974173;0.869599;0.945579
ID4;0.797618;0.762211;0.655538;0.682309;0.000000;0.825465;0.756569;0.812312;0.642402;0.829495;0.936428;0.903191;0.848712;0.771379;0.907365;0.884898;0.727011;0.947225;0.681312;0.832778;0.816460;0.803561;0.712339;0.662483;0.768688;0.821681;0.789667;0.755837;0.734537;0.817811;0.957139;0.982915;0.968462;0.886341;0.767369;0.814522;0.762043;0.831392;0.953580;0.853311;0.931163
ID5;0.753980;0.766098;0.762090;0.729146;0.825465;0.000000;0.669668;0.888228;0.865814;0.908111;0.960824;0.916603;0.867116;0.712332;0.921260;0.883544;0.782793;0.958429;0.705916;0.636908;0.827798;0.826113;0.861533;0.851396;0.732074;0.827442;0.791098;0.824192;0.768043;0.922183;0.981054;0.987171;0.972963;0.796396;0.845972;0.854655;0.760521;0.684022;0.980775;0.896926;0.945049
ID6;0.731199;0.746171;0.696305;0.739389;0.756569;0.669668;0.000000;0.882272;0.785310;0.894722;0.959258;0.931503;0.853431;0.685830;0.916904;0.896858;0.754960;0.958140;0.706286;0.551506;0.826541;0.809465;0.806477;0.780527;0.721285;0.817645;0.782876;0.836704;0.726254;0.910244;0.979773;0.989335;0.975605;0.811344;0.808146;0.838488;0.727173;0.726443;0.978053;0.880020;0.948458
ID7;0.806313;0.823588;0.821796;0.866816;0.812312;0.888228;0.882272;0.000000;0.781188;0.640728;0.812797;0.910972;0.878328;0.837211;0.759084;0.955723;0.810310;0.806161;0.810140;0.902582;0.665543;0.659933;0.804449;0.763047;0.841970;0.859968;0.786024;0.874331;0.902386;0.814257;0.959776;0.952346;0.887950;0.907778;0.794064;0.878213;0.786652;0.890610;0.960250;0.895496;0.790397
ID8;0.815977;0.785970;0.718895;0.769819;0.642402;0.865814;0.785310;0.781188;0.000000;0.792868;0.924977;0.886833;0.834497;0.806441;0.907027;0.936320;0.752438;0.944388;0.771234;0.863355;0.829725;0.818330;0.577105;0.587828;0.789949;0.857717;0.818089;0.846348;0.821379;0.762658;0.956482;0.982981;0.966468;0.904749;0.727633;0.782867;0.787075;0.860762;0.954376;0.840869;0.921008
ID9;0.816836;0.841873;0.841051;0.882928;0.829495;0.908111;0.894722;0.640728;0.792868;0.000000;0.734426;0.876154;0.870629;0.846469;0.798791;0.960300;0.821747;0.860342;0.839699;0.920547;0.758179;0.752187;0.816484;0.720707;0.858149;0.874663;0.808799;0.894933;0.911509;0.715669;0.928101;0.945419;0.919887;0.908493;0.784322;0.869542;0.801195;0.898753;0.930409;0.855939;0.824722
