X.mOTUs2_clade	reERR3589553	reERR3589554	reERR3589555	reERR3589556	reERR3589557	reERR3589558	reERR3589559	reERR3589560	reERR3589561	reERR3589562	reERR3589563	reERR3589564	reERR3589565	reERR3589566	reERR3589567	reERR3589568	reERR3589569	reERR3589570	reERR3589571	reERR3589572	reERR3589573	reERR3589574	reERR3589575	reERR3589576	reERR3589577	reERR3589578	reERR3589579	reERR3589580	reERR3589581	reERR3589582	reERR3589583	reERR3589584	reERR3589585	reERR3589586	reERR3589587	reERR3589588	reERR3589589	reERR3589590	reERR3589591	reERR3589592	reERR3589593
k__Archaea	0.0105982725	0.0022862084	0.0004602539	0.0005558513	0.0080679306	0.0203866043	0.0061311218	0.1684688228	0.0168329905	0.1089999498	0.1096355067	0.104881554	0.0031540055	0.0018381314	0.1024053706	3.4963e-05	0.0003022216	0.1483488908	0.0128979369	0.009961561	0.1005565742	0.1298729919	0.0032321619	0.0404023975	0.0001650512	0.0240214281	0.0289739261	0.0009732007	0.0001346566	0.0575496762	0.0467726829	0.1065057573	0.1747290357	0.006111311	0.0082661207	6.82591e-05	0.0136959333	0.0002523457	0.0386668753	0.0081576325	0.1068133495
k__Archaea|p__Archaea phylum incertae sedis	0	0	0	0	0	0	0	0	0	0	6.7039e-06	0	0	0	0	0	0	1.19829e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001509183	0	0	0	0	0	0	0	0	0
k__Archaea|p__Archaea phylum incertae sedis|c__Archaea class incertae sedis	0	0	0	0	0	0	0	0	0	0	6.7039e-06	0	0	0	0	0	0	1.19829e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001509183	0	0	0	0	0	0	0	0	0
k__Archaea|p__Archaea phylum incertae sedis|c__Archaea class incertae sedis|o__Archaea order incertae sedis	0	0	0	0	0	0	0	0	0	0	6.7039e-06	0	0	0	0	0	0	1.19829e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001509183	0	0	0	0	0	0	0	0	0
k__Archaea|p__Archaea phylum incertae sedis|c__Archaea class incertae sedis|o__Archaea order incertae sedis|f__Archaea fam. incertae sedis	0	0	0	0	0	0	0	0	0	0	6.7039e-06	0	0	0	0	0	0	1.19829e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001509183	0	0	0	0	0	0	0	0	0
k__Archaea|p__Archaea phylum incertae sedis|c__Archaea class incertae sedis|o__Archaea order incertae sedis|f__Archaea fam. incertae sedis|g__Archaea gen. incertae sedis	0	0	0	0	0	0	0	0	0	0	6.7039e-06	0	0	0	0	0	0	1.19829e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001509183	0	0	0	0	0	0	0	0	0
k__Archaea|p__Archaea phylum incertae sedis|c__Archaea class incertae sedis|o__Archaea order incertae sedis|f__Archaea fam. incertae sedis|g__Archaea gen. incertae sedis|s__Archaea species incertae sedis [ext_mOTU_v3_21601]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000107155	0	0	0	0	0	0	0	0	0
k__Archaea|p__Archaea phylum incertae sedis|c__Archaea class incertae sedis|o__Archaea order incertae sedis|f__Archaea fam. incertae sedis|g__Archaea gen. incertae sedis|s__Archaea species incertae sedis [ext_mOTU_v3_21616]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.19829e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	3.32726e-05	0	0	0	0	0	0	0	0	0
k__Archaea|p__Archaea phylum incertae sedis|c__Archaea class incertae sedis|o__Archaea order incertae sedis|f__Archaea fam. incertae sedis|g__Archaea gen. incertae sedis|s__Archaea species incertae sedis [ext_mOTU_v3_25932]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.04908e-05	0	0	0	0	0	0	0	0	0
k__Archaea|p__Archaea phylum incertae sedis|c__Archaea class incertae sedis|o__Archaea order incertae sedis|f__Archaea fam. incertae sedis|g__Archaea gen. incertae sedis|s__uncultured archaeon A07HR67	0	0	0	0	0	0	0	0	0	0	6.7039e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota	0.0034273641	0.0007070979	0.0003518086	0.0005408353	0.0074863529	0.0200849022	0.0058116478	0.0413374575	0.0141674803	0.0332383766	0.0608977029	0.1048608672	0.0031540055	4.99222e-05	0.0458455147	1.33568e-05	0.0001575327	0.0593620585	0.0125149046	0.009489402	0.0562699008	0.056917779	0.0028524957	0.0368434125	4.02806e-05	0.0216061841	0.0116457971	0.00064229	9.73764e-05	0.0549326915	0.0430627234	0.0282506541	0.0485314931	0.0010004984	0.0028406399	6.82591e-05	0.0053676878	7.31113e-05	0.0339043649	0.0081040917	0.0386032365
