feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X291644	participant	M2039	8.83021840896025	0.2733931194237	96	17	6.47648822964927e-41	9.47510227997689e-38
X1232428	participant	M2084	-4.44129201829839	0.145636596394786	96	15	1.94899875201591e-39	1.42569258709964e-36
X1232428	participant	M2042	-4.44129201829839	0.150350969881443	96	15	1.27454065950913e-38	6.21550994953954e-36
X1232428	participant	M2072	-4.44129201829839	0.156203375865993	96	15	1.19773317118355e-37	4.38070907360385e-35
X1232428	participant	H4023	-4.4412920182984	0.163681403796488	96	15	1.83098215146417e-36	4.9692693228568e-34
X2086584	participant	M2060	9.07716544757303	0.335151251022388	96	12	2.03797784942863e-36	4.9692693228568e-34
X1232428	participant	H4016	-4.44129201829839	0.173610345867945	96	15	5.5196724292496e-35	1.00941009549902e-32
X1232428	participant	M2061	-4.4412920182984	0.173610345867945	96	15	5.51967242924874e-35	1.00941009549902e-32
X1232428	participant	H4013	-4.44129201829838	0.187520605688509	96	15	4.51876646096625e-33	6.61095533239363e-31
X1232428	participant	M2039	-4.44129201829839	0.187520605688509	96	15	4.518766460966e-33	6.61095533239363e-31
X1232428	participant	H4045	-4.44129201829838	0.208653667992637	96	15	1.80619077976191e-30	1.8874693648512e-28
X1232428	participant	M2060	-4.44129201829839	0.208653667992637	96	15	1.80619077976173e-30	1.8874693648512e-28
X1232428	participant	P6014	-4.4412920182984	0.208653667992637	96	15	1.80619077976171e-30	1.8874693648512e-28
X1232428	participant	P6018	-4.44129201829839	0.208653667992637	96	15	1.80619077976171e-30	1.8874693648512e-28
X818	participant	M2072	5.83883853736878	0.274948018500853	96	47	2.05393715212604e-30	2.00327336904027e-28
X310297	participant	M2084	-3.53103763048455	0.180343471013832	96	16	1.76488226453184e-28	1.6137642206313e-26
X310297	participant	M2042	-3.53103763048454	0.186181333881311	96	16	9.85954177186989e-28	8.48500565426215e-26
X310297	participant	M2072	-3.53103763048454	0.193428435469533	96	16	7.59012587735182e-27	6.16908564364762e-25
X1232428	participant	H4009	-4.44129201829838	0.245522105694731	96	15	1.23181183088965e-26	8.58162242186456e-25
X1232428	participant	M2047	-4.44129201829839	0.245522105694731	96	15	1.23181183088949e-26	8.58162242186456e-25
X1232428	participant	M2075	-4.4412920182984	0.245522105694731	96	15	1.23181183088947e-26	8.58162242186456e-25
X310297	participant	H4023	-3.53103763048457	0.202688563395539	96	16	8.94028958542052e-26	5.94529257430464e-24
X310297	participant	H4016	-3.53103763048454	0.214983686468918	96	16	1.88912203854741e-24	1.20164588799777e-22
