feature	X1131336	X1160721	X1232428	X1519439	X1535	X165179	X166486	X1680	X1796635	X1898205	X1965537	X204516	X208479	X2086273	X2086584	X2137880	X214856	X2173	X2292885	X2292887	X2292997	X2293011	X2293015	X2293022	X2293024	X2293035	X2293047	X2293125	X2293126	X2293138	X239935	X28052	X28111	X28116	X28117	X28118	X291644	X292800	X29348	X301301	X301302	X310297	X328812	X328813	X328814	X33025	X33043	X338188	X357276	X35833	X360807	X39485	X39491	X39492	X39496	X39778	X40518	X40519	X40545	X437897	X454154	X45851	X46503	X46506	X47678	X487174	X487175	X562	X674529	X745368	X817	X818	X820	X821	X823	X853	X88431
sample_1	-11.8409479725789	-7.47883449936175	-8.47804164972078	-7.58937942874859	-7.42920727287518	-7.80993542707157	-9.67094643057304	-11.8997402184116	-11.8337023160797	-11.6904040938914	-11.9351563308418	-6.69187553026334	-9.21403709438881	-3.09472487746305	-11.5875616385867	-9.73374219110288	-11.8586877928819	-10.9841445530707	-3.04169991360755	-6.84347621084508	-10.6210911783492	-8.94354493713316	-5.29150243578446	-8.01400741227399	-4.46767089841035	-7.75141453188023	-10.5651839616182	-9.54163011005171	-5.97718227708424	-11.9399350138599	-2.53055128385745	-6.95715598475301	-11.7873390805554	-11.9210818317019	-7.84701812500977	-11.6798666093647	-11.7711577256647	-11.7836899233293	-9.03867714223743	-9.84034239336111	-7.91204871586387	-10.9698462646054	-11.7441837407742	-8.01151397705736	-10.6556372471717	-5.12992467759099	-11.8651570837815	-11.6975267775331	-9.43367892369749	-6.49185220496051	-8.22849003240564	-7.2586300902239	-6.59923628042173	-10.6226719500382	-10.8988395382581	-11.9392203323317	-11.9047799859085	-11.7217678513598	-11.8867942670495	-11.8893001335825	-11.8793494974532	-11.9104150288723	-9.49744381417863	-11.7301249348092	-6.33621538643049	-11.9236882427208	-1.84762938901475	-11.9563699915899	-11.8360612932619	-8.14839565556594	-7.89645629112695	-10.6568625513914	-7.42731850499045	-6.30083499755656	-8.82453520290148	-5.26937069143088	-5.75978913974891
sample_2	-11.8409479725789	-2.87339822089515	-8.47804164972078	-3.47038230101717	-8.86382783031121	-7.49210044109814	-7.51823381452901	-11.8997402184116	-11.8337023160797	-6.12907643526609	-11.9351563308418	-5.7671597020459	-10.8722905546763	-6.45899558413612	-11.5875616385867	-9.73374219110288	-11.8586877928819	-10.9841445530707	-4.97872551649527	-4.77805069948864	-9.95608290605998	-8.00053325037433	-5.99822036946927	-6.23508812180243	-7.77523607065363	-4.9982814986846	-9.28030480183824	-9.54163011005171	-3.79902266434477	-11.9399350138599	-6.7638146905035	-6.41938752628088	-10.681020890551	-10.605271211717	-3.86942299622744	-6.05709683567461	-10.5503746973396	-10.5507513859854	-9.54864084565027	-7.25205180972808	-6.61079747893384	-10.9698462646054	-8.09625643045129	-4.40502296186511	-9.9724895613586	-9.6593807073894	-10.8651570837815	-11.6975267775331	-7.96462666998775	-7.20740642235813	-8.65976060545074	-5.55588819185533	-4.73816507428292	-8.00061227361209	-10.7664422190356	-11.9392203323317	-11.9047799859085	-9.48108688136511	-9.92442799293859	-11.8893001335825	-11.8793494974532	-8.77025566683903	-8.07719119980587	-9.5818075714292	-5.75703084322741	-9.06449564055323	-3.9437783396244	-11.9563699915899	-11.8360612932619	-9.91179664097469	-8.69419954675975	-10.2467967020364	-5.1016701680208	-6.62743941977935	-7.78941971500158	-3.56472397308176	-5.53338354093502
sample_3	-11.8409479725789	-2.78810985809512	-8.47804164972078	-5.33332421377723	-8.49940462146625	-8.89423537134589	-6.62024517834059	-11.8997402184116	-11.8337023160797	-9.01525327463252	-11.9351563308418	-6.79264965288215	-11.9016483574016	-6.83292990648349	-11.5875616385867	-9.73374219110288	-11.8586877928819	-10.9841445530707	-4.3621748292525	-4.23832621736971	-9.35664336025997	-7.56775435349083	-6.04904124153161	-4.9989143736198	-6.80809384281435	-2.14581729306764	-9.0849269149915	-9.54163011005171	-3.81376253156608	-11.9399350138599	-6.29878373211244	-6.39720024854659	-11.7873390805554	-11.9210818317019	-5.16036123255295	-6.80033081723818	-10.0110818677693	-9.89498099028661	-11.9569106996809	-8.8489580812987	-6.46912945525546	-10.9698462646054	-9.00741905028392	-5.99209578596433	-11.8761836830829	-9.06646566779005	-10.3489932801774	-11.6975267775331	-8.71707129998042	-6.04814861068521	-7.96923045941872	-5.49584003413793	-5.30064959214977	-7.72558026982967	-10.5063521468416	-11.9392203323317	-11.9047799859085	-10.7217678513598	-11.8867942670495	-11.8893001335825	-11.8793494974532	-8.70128571062414	-9.06887394239554	-10.3363405025017	-7.08377006701228	-10.5037688153616	-4.07137599623047	-11.9563699915899	-11.8360612932619	-10.1418634023436	-9.6121471217954	-10.8494113478394	-5.87593472628064	-6.9262222894455	-8.89077977525871	-4.27338869743972	-7.28555231738235
sample_4	-9.88336518327133	-11.3908592589273	-8.47804164972078	-3.06948742790154	-9.45594892988446	-9.52141631545099	-6.86980460892346	-11.8997402184116	-11.8337023160797	-6.86621317231482	-11.9351563308418	-4.24413258065186	-10.7088003072859	-5.71060858818954	-11.5875616385867	-9.73374219110288	-11.8586877928819	-10.9841445530707	-5.34998654552362	-4.90034388720898	-9.69385602988852	-6.5040587485083	-8.95469473049116	-3.38831348624164	-8.01205823925059	-8.84769873507362	-9.35284811952597	-9.54163011005171	-5.82619762705023	-11.9399350138599	-10.7398744508423	-10.8431614126423	-11.7873390805554	-11.9210818317019	-3.11059071117706	-4.44462950346588	-9.96763821032932	-9.57252414309953	-9.65796602488629	-7.29044310916631	-6.57649015793657	-10.9698462646054	-4.32217419052219	-8.01261894134815	-8.76734382881013	-10.1523703184477	-11.8651570837815	-11.6975267775331	-7.44552174322053	-11.7658417134675	-8.28053381994062	-10.3521929595228	-5.5361483319703	-5.24281964735473	-11.8988395382581	-11.9392203323317	-10.5914315692708	-8.97927410083671	-9.60113357063923	-11.8893001335825	-11.8793494974532	-9.51382196121604	-8.2027246737198	-8.10750410914682	-3.31380231693375	-8.06256684969053	-11.6923474916157	-11.9563699915899	-11.8360612932619	-9.27600169363263	-11.8772406421396	-11.9554915342119	-3.97449292536138	-6.41885131588051	-11.5130130253114	-3.34871387372419	-7.52139242558805
sample_5	-5.37405518236609	-5.5806742499996	-2.09891786884571	-9.66567547446138	-2.32321186356876	-10.0884722867248	-9.65906897457769	-6.62992058206936	-11.8337023160797	-11.6904040938914	-9.98616859494468	-9.62496399380878	-6.88341481356376	-5.43964639503917	-11.5875616385867	-9.73374219110288	-6.54949146709496	-10.9841445530707	-4.23056808122633	-9.42011457838339	-10.0849443660007	-9.65709026425403	-6.53885404012574	-8.01400741227399	-8.1373929938729	-6.96804973949312	-11.8431678431037	-9.54163011005171	-11.6409762007426	-11.9399350138599	-10.7398744508423	-6.69462380995282	-7.77023959214441	-10.7236014330807	-8.97035413799049	-11.6798666093647	-11.7711577256647	-7.12868596595688	-11.9569106996809	-9.14070041288634	-6.94184066538483	-10.9698462646054	-11.7441837407742	-8.99650476190981	-11.8761836830829	-11.9154711507356	-11.8651570837815	-11.6975267775331	-9.75500932628955	-4.85594520974804	-11.834593531698	-10.6192621620284	-6.27809220866687	-11.9480564698776	-4.37576261668195	-8.89622205945144	-3.9152193563826	-10.3999434671657	-11.8867942670495	-11.8893001335825	-11.8793494974532	-11.9104150288723	-8.17971483519998	-7.27083709238744	-11.9338656528422	-11.9236882427208	-4.25914367768466	-11.9563699915899	-11.8360612932619	-7.99070625240635	-11.8772406421396	-11.9554915342119	-7.45748437069831	-6.29784315025321	-8.3300188315158	-3.76323496407256	-5.56878130692731
sample_6	-11.8409479725789	-11.3908592589273	-8.47804164972078	-7.16211993919537	-11.3630476181617	-7.78785413723432	-8.29276432172342	-11.8997402184116	-11.8337023160797	-11.6904040938914	-9.46141763137769	-7.9147383875247	-4.58532614001993	-9.0381251192215	-11.5875616385867	-9.73374219110288	-11.8586877928819	-10.9841445530707	-4.89493392764507	-7.06293489888341	-9.18267856447727	-7.36390394344318	-10.1116841963953	-8.01400741227399	-11.797846421424	-11.7386981624073	-8.4468728096155	-9.54163011005171	-11.6409762007426	-11.9399350138599	-10.7398744508423	-11.8431614126423	-8.43402785596725	-6.04766213965875	-4.95380234073054	-11.6798666093647	-11.7711577256647	-6.20929378811508	-10.0412489608876	-4.38423246445572	-7.09625041841573	-10.9698462646054	-11.7441837407742	-11.862303296457	-11.8761836830829	-10.1899475054416	-11.8651570837815	-10.6975267775331	-5.42214413338827	-11.7658417134675	-7.82808858335872	-11.6192621620284	-6.98248413949403	-10.8841882740055	-9.71448942993753	-7.57628701095604	-11.9047799859085	-11.7217678513598	-11.8867942670495	-11.8893001335825	-6.99647095038031	-10.6659309207152	-7.12124030578548	-2.47824312248753	-7.8520218008619	-11.9236882427208	-11.6923474916157	-11.9563699915899	-11.8360612932619	-5.52011145831782	-10.557967271742	-9.95818711017818	-3.05092484352969	-3.64684383061106	-5.52449917167145	-2.61259924653328	-3.172145466146
sample_7	-11.8409479725789	-6.53056057490818	-8.47804164972078	-8.39406535049881	-11.3630476181617	-7.6674823418	-3.03350267647633	-7.78760007013945	-11.8337023160797	-11.6904040938914	-9.94669462011948	-7.38714751486487	-5.73610750331	-8.79055392349625	-11.5875616385867	-9.73374219110288	-11.8586877928819	-10.9841445530707	-6.9271469645783	-8.70622301318134	-5.59881219510171	-8.26805102608418	-11.8117995326424	-8.01400741227399	-11.797846421424	-11.7386981624073	-11.8431678431037	-9.54163011005171	-11.6409762007426	-11.9399350138599	-10.7398744508423	-6.38429090465622	-8.81525051540348	-6.88122195019782	-3.84754589865289	-11.6798666093647	-11.7711577256647	-7.78815171746816	-9.62835752917673	-11.8634907601444	-7.86404264135677	-10.9698462646054	-11.7441837407742	-11.862303296457	-11.8761836830829	-10.4386592602683	-11.8651570837815	-10.5231398789273	-5.19561542103314	-11.7658417134675	-8.29952091947378	-11.6192621620284	-6.30064432073816	-11.9480564698776	-11.8988395382581	-8.10503225500794	-11.9047799859085	-5.87560079788546	-11.8867942670495	-11.8893001335825	-5.68427907362676	-10.4414926962373	-7.48691480733887	-3.31313692495157	-6.13424042753776	-11.9236882427208	-11.6923474916157	-8.38749141358972	-11.8360612932619	-4.51482760136385	-11.8772406421396	-10.9392906715108	-1.78413837146076	-3.30855451445293	-6.14371193233186	-6.19222532711863	-5.81353190507862
sample_8	-6.75343620661549	-4.41163115329436	-3.76877065895369	-9.33012596784216	-4.52193424523812	-10.4125508050899	-8.41112469271286	-6.50570463086033	-11.8337023160797	-11.6904040938914	-9.1985228421071	-10.0419526534769	-8.38182432229916	-5.06923432188866	-11.5875616385867	-9.73374219110288	-7.59666231752931	-10.9841445530707	-5.06090434180969	-8.40053896049313	-8.80432859211166	-8.74663218962901	-3.81716303632634	-8.01400741227399	-6.65662959128878	-3.5847331391053	-10.6903652276182	-9.54163011005171	-4.9325510761947	-11.9399350138599	-10.7398744508423	-4.05313819327987	-6.73188204395571	-11.9210818317019	-9.37695246142382	-11.6798666093647	-11.7711577256647	-6.48985255104527	-10.022654261792	-7.56410971890614	-4.68847696184652	-10.9698462646054	-11.7441837407742	-8.69543690809319	-11.8761836830829	-10.775512604924	-11.8651570837815	-11.6975267775331	-9.30810442508091	-3.67073470821311	-10.199343460046	-5.52608431492798	-5.87070998090293	-11.9480564698776	-5.6710446932152	-9.16545967318103	-8.7910316638878	-11.7217678513598	-7.91730216397226	-11.8893001335825	-11.8793494974532	-11.9104150288723	-8.1386742449368	-6.56131848120454	-10.8171459760136	-11.9236882427208	-5.3833709516384	-5.5573105465993	-11.8360612932619	-7.29047990126145	-11.8772406421396	-10.6846073495017	-6.78681498194977	-5.69621402244275	-9.45294291155835	-3.06323490784796	-4.61166232512566
sample_9	-6.37901565010536	-3.50876423410908	-4.14179222192014	-8.94863012123693	-3.60663906759522	-9.34892079487317	-9.31439070399897	-8.24981777179373	-11.8337023160797	-11.6904040938914	-10.2748158800977	-8.51950915718321	-7.11699174242686	-3.29514260445354	-11.5875616385867	-9.73374219110288	-5.26928443652044	-10.9841445530707	-5.38699680441332	-9.18110803447325	-9.44759714952135	-9.75594811409386	-4.3196905492624	-8.01400741227399	-8.90365454376996	-5.10573985318967	-11.8431678431037	-9.54163011005171	-8.21153536034644	-11.9399350138599	-10.7398744508423	-4.70655158714529	-5.03900304338286	-9.68417501396866	-7.07274150153305	-11.6798666093647	-11.7711577256647	-7.47507030512633	-8.94337718895939	-10.1272587941442	-6.73623639427295	-10.9698462646054	-11.7441837407742	-6.41080353805572	-11.8761836830829	-10.2374781774744	-11.8651570837815	-9.77194079007859	-8.22688519144196	-5.12261295945789	-10.1375252061495	-7.06501124503319	-5.08907253331753	-11.9480564698776	-4.60935095969652	-7.23118030105206	-8.0674543484376	-11.7217678513598	-8.46933220774944	-11.8893001335825	-10.5346914981064	-11.9104150288723	-6.60927572665136	-5.05277596907784	-9.77145975715579	-11.9236882427208	-9.12454916761606	-4.67069445012895	-11.8360612932619	-6.27687237949467	-10.5000892666152	-10.1701090054435	-5.81851034248083	-4.62893866847861	-8.60481622569808	-3.47397820017861	-5.62303771701181
sample_10	-11.8409479725789	-11.3908592589273	-8.47804164972078	-9.28009086242597	-6.50758676264415	-1.37429283837759	-9.90036969460957	-6.66642388532717	-11.8337023160797	-11.6904040938914	-11.9351563308418	-10.5824387473604	-9.15191913266686	-6.53662122992597	-11.5875616385867	-9.73374219110288	-11.8586877928819	-10.9841445530707	-6.57862089855628	-9.95293032739959	-11.9547233828442	-8.31937573644952	-11.8117995326424	-8.01400741227399	-9.78598428442637	-4.92832587631292	-11.8431678431037	-4.22570992418043	-5.79067275653105	-11.9399350138599	-4.92904139403318	-11.8431614126423	-7.54630227683536	-11.9210818317019	-7.59999079158335	-7.90017479611668	-11.7711577256647	-10.3426134597726	-11.9569106996809	-8.69135890296418	-4.72386307705002	-10.9698462646054	-11.7441837407742	-9.72887943539136	-11.8761836830829	-11.9154711507356	-11.8651570837815	-11.6975267775331	-9.87320090403548	-3.77669113817306	-11.834593531698	-11.6192621620284	-7.9127659796383	-8.74123090933068	-4.11799335020287	-11.9392203323317	-11.9047799859085	-11.7217678513598	-5.48609361062447	-3.8642971036788	-11.8793494974532	-11.9104150288723	-11.6764331208855	-9.54020197708265	-11.9338656528422	-11.9236882427208	-7.31735992933714	-11.9563699915899	-11.8360612932619	-11.7348111500818	-11.8772406421396	-11.9554915342119	-6.6764535938944	-5.23501774582283	-5.8666784565426	-4.14445029116158	-5.56912374886974
