sample	SGB	bin_name	real_tax	reconstructed_tax	abundance_real	abundance_reconstructed	real_org_id
profile.n.150.size.7.5.k.100.sigma.1.0.up.0.5.mut_rate.0.0_sample_0	sgb_0336	NA	2|1239|186801	NA	0.2142	NA	BIN_UNKNOWN_748_Clostridia
profile.n.150.size.7.5.k.100.sigma.1.0.up.0.5.mut_rate.0.0_sample_0	sgb_0239	profile.n.150.size.7.5.k.100.sigma.1.0.up.0.5.mut_rate.0.0_sample_0.bin.59	2|1224|29547|213849|72293	k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Helicobacteraceae|g__Helicobacter	0.3958	0.397297488634853	BIN_UNKNOWN_130_Helicobacteraceae
profile.n.150.size.7.5.k.100.sigma.1.0.up.0.5.mut_rate.0.0_sample_0	sgb_0080	NA	2|1239|526524|526525|128827	NA	0.1719	NA	BIN_UNKNOWN_517_Erysipelotrichaceae
profile.n.150.size.7.5.k.100.sigma.1.0.up.0.5.mut_rate.0.0_sample_0	sgb_0360	NA	2|976|200643|171549|2005473	NA	0.2424	NA	BIN_UNKNOWN_346_Muribaculaceae
profile.n.150.size.7.5.k.100.sigma.1.0.up.0.5.mut_rate.0.0_sample_0	sgb_0996	NA	2|1239|186801|186802|186803|2005355	NA	0.2675	NA	BIN_UNKNOWN_485_Faecalimonas
profile.n.150.size.7.5.k.100.sigma.1.0.up.0.5.mut_rate.0.0_sample_0	sgb_0924	NA	2|1239|186801|186802	NA	0.1727	NA	BIN_UNKNOWN_627_Evtepia
profile.n.150.size.7.5.k.100.sigma.1.0.up.0.5.mut_rate.0.0_sample_0	sgb_0465	NA	2|201174|84998|84999|84107|102106	NA	0.398	NA	BIN_UNKNOWN_466_Collinsella
profile.n.150.size.7.5.k.100.sigma.1.0.up.0.5.mut_rate.0.0_sample_0	sgb_0948	profile.n.150.size.7.5.k.100.sigma.1.0.up.0.5.mut_rate.0.0_sample_0.bin.16	2759|6656|50557|7088|753635|1181387	k__Bacteria|p__Firmicutes|c__CFGB1215|o__OFGB1215|f__FGB1215|g__GGB2975|s__GGB2975_SGB3957|t__SGB3957	2.4215	2.36892475076125	BIN_UNKNOWN_598_Copromorpha
profile.n.150.size.7.5.k.100.sigma.1.0.up.0.5.mut_rate.0.0_sample_0	sgb_0351	profile.n.150.size.7.5.k.100.sigma.1.0.up.0.5.mut_rate.0.0_sample_0.bin.93	2|1239|186801|186802|216572	k__Bacteria|p__Firmicutes|c__CFGB14601|o__OFGB14601|f__FGB14601	1.4706	1.46993264514067	BIN_UNKNOWN_859_Oscillospiraceae
profile.n.150.size.7.5.k.100.sigma.1.0.up.0.5.mut_rate.0.0_sample_0	sgb_0215	profile.n.150.size.7.5.k.100.sigma.1.0.up.0.5.mut_rate.0.0_sample_0.bin.92	2|976|200643|171549	UNKNOWN	2.3875	2.27802858428354	BIN_UNKNOWN_628_Bacteroidales
profile.n.150.size.7.5.k.100.sigma.1.0.up.0.5.mut_rate.0.0_sample_0	sgb_0678	profile.n.150.size.7.5.k.100.sigma.1.0.up.0.5.mut_rate.0.0_sample_0.bin.53	2|976|117743|200644|2762318|1572763	k__Bacteria|p__Bacteroidetes|c__CFGB2135|o__OFGB2135|f__FGB2135	0.3555	0.352683813563791	BIN_UNKNOWN_22_Moheibacter
profile.n.150.size.7.5.k.100.sigma.1.0.up.0.5.mut_rate.0.0_sample_0	sgb_0402	NA	2|976|200643|171549|2005473	NA	0.3164	NA	BIN_UNKNOWN_283_Muribaculaceae
profile.n.150.size.7.5.k.100.sigma.1.0.up.0.5.mut_rate.0.0_sample_0	sgb_0690	NA	2|976|200643|171549	NA	0.1678	NA	BIN_UNKNOWN_17_Bacteroidales
profile.n.150.size.7.5.k.100.sigma.1.0.up.0.5.mut_rate.0.0_sample_0	sgb_0665	NA	2|1239|186801|186802|216572|2048137	NA	0.1152	NA	BIN_UNKNOWN_724_Agathobaculum
profile.n.150.size.7.5.k.100.sigma.1.0.up.0.5.mut_rate.0.0_sample_0	sgb_0163	profile.n.150.size.7.5.k.100.sigma.1.0.up.0.5.mut_rate.0.0_sample_0.bin.22	2|1239|526524|526525|128827	k__Bacteria|p__Firmicutes|c__CFGB10272|o__OFGB10272|f__FGB10272	1.7608	1.66179515194761	BIN_UNKNOWN_659_Erysipelotrichaceae
profile.n.150.size.7.5.k.100.sigma.1.0.up.0.5.mut_rate.0.0_sample_0	sgb_0659	NA	2|1239|91061	NA	0.4006	NA	BIN_UNKNOWN_236_Bacilli
profile.n.150.size.7.5.k.100.sigma.1.0.up.0.5.mut_rate.0.0_sample_0	sgb_0782	NA	2|976|200643|171549	NA	0.1316	NA	BIN_UNKNOWN_35_Bacteroidales
