@SampleID:
@Version:0.9.1
@Ranks:superkingdom|phylum|class|order|family|genus|species|strain

@@TAXID	RANK	TAXPATH	TAXPATHSN	PERCENTAGE	_CAMI_genomeID	_CAMI_OTU
2	superkingdom	2	Bacteria	99.3705		
2759	superkingdom	2759	Eukaryota	0.6295		
1239	phylum	2|1239	Bacteria|Firmicutes	48.9589		
976	phylum	2|976	Bacteria|Bacteroidota	22.8225		
1224	phylum	2|1224	Bacteria|Proteobacteria	7.1003		
201174	phylum	2|201174	Bacteria|Actinobacteria	8.3498		
203691	phylum	2|203691	Bacteria|Spirochaetes	1.8103		
134625	phylum	2|134625	Bacteria|Kiritimatiellaeota	0.0661		
32066	phylum	2|32066	Bacteria|Fusobacteria	8.7332		
6656	phylum	2759|6656	Eukaryota|Arthropoda	0.6295		
204428	phylum	2|204428	Bacteria|Chlamydiae	0.3201		
74201	phylum	2|74201	Bacteria|Verrucomicrobia	1.2094		
186801	class	2|1239|186801	Bacteria|Firmicutes|Clostridia	29.8842		
200643	class	2|976|200643	Bacteria|Bacteroidota|Bacteroidia	22.3168		
117743	class	2|976|117743	Bacteria|Bacteroidota|Flavobacteriia	0.5057		
526524	class	2|1239|526524	Bacteria|Firmicutes|Erysipelotrichia	9.1135		
1236	class	2|1224|1236	Bacteria|Proteobacteria|Gammaproteobacteria	4.3322		
84998	class	2|201174|84998	Bacteria|Actinobacteria|Coriobacteriia	6.4792		
29547	class	2|1224|29547	Bacteria|Proteobacteria|Epsilonproteobacteria	0.1048		
203692	class	2|203691|203692	Bacteria|Spirochaetes|Spirochaetia	1.8103		
1921781	class	2|134625|1921781	Bacteria|Kiritimatiellaeota|Kiritimatiellae	0.0661		
203490	class	2|32066|203490	Bacteria|Fusobacteria|Fusobacteriia	8.7332		
909932	class	2|1239|909932	Bacteria|Firmicutes|Negativicutes	1.8051		
28221	class	2|1224|28221	Bacteria|Proteobacteria|Deltaproteobacteria	0.5327		
28216	class	2|1224|28216	Bacteria|Proteobacteria|Betaproteobacteria	2.1306		
50557	class	2759|6656|50557	Eukaryota|Arthropoda|Insecta	0.6295		
