@SampleID:
@Version:0.9.1
@Ranks:superkingdom|phylum|class|order|family|genus|species|strain

@@TAXID	RANK	TAXPATH	TAXPATHSN	PERCENTAGE	_CAMI_genomeID	_CAMI_OTU
2	superkingdom	2	Bacteria	82.3139		
2157	superkingdom	2157	Archaea	14.9806		
2759	superkingdom	2759	Eukaryota	2.7056		
1224	phylum	2|1224	Bacteria|Proteobacteria	38.1254		
976	phylum	2|976	Bacteria|Bacteroidota	26.5579		
74201	phylum	2|74201	Bacteria|Verrucomicrobia	4.5114		
1239	phylum	2|1239	Bacteria|Firmicutes	2.6983		
65842	phylum	2|65842	Bacteria|Fibrobacteres	0.5963		
201174	phylum	2|201174	Bacteria|Actinobacteria	2.9863		
200795	phylum	2|200795	Bacteria|Chloroflexi	2.5152		
2283796	phylum	2157|2283796	Archaea|Candidatus Thermoplasmatota	6.7696		
1117	phylum	2|1117	Bacteria|Cyanobacteria	0.0619		
203682	phylum	2|203682	Bacteria|Planctomycetota	0.5121		
3041	phylum	2759|3041	Eukaryota|Chlorophyta	2.7056		
651137	phylum	2157|651137	Archaea|Thaumarchaeota	8.2109		
28211	class	2|1224|28211	Bacteria|Proteobacteria|Alphaproteobacteria	14.3237		
117743	class	2|976|117743	Bacteria|Bacteroidota|Flavobacteriia	18.5169		
1236	class	2|1224|1236	Bacteria|Proteobacteria|Gammaproteobacteria	21.8799		
203494	class	2|74201|203494	Bacteria|Verrucomicrobia|Verrucomicrobiae	4.4796		
186801	class	2|1239|186801	Bacteria|Firmicutes|Clostridia	0.9411		
768503	class	2|976|768503	Bacteria|Bacteroidota|Cytophagia	2.9159		
204430	class	2|65842|204430	Bacteria|Fibrobacteres|Fibrobacteria	0.5963		
84992	class	2|201174|84992	Bacteria|Actinobacteria|Acidimicrobiia	1.5666		
200643	class	2|976|200643	Bacteria|Bacteroidota|Bacteroidia	5.1251		
301297	class	2|200795|301297	Bacteria|Chloroflexi|Dehalococcoidia	2.5152		
1737404	class	2|1239|1737404	Bacteria|Firmicutes|Tissierellia	0.7303		
2599185	class	2157|2283796|2599185	Archaea|Candidatus Thermoplasmatota|Candidatus Poseidoniia	6.7696		
414999	class	2|74201|414999	Bacteria|Verrucomicrobia|Opitutae	0.0318		
1760	class	2|201174|1760	Bacteria|Actinobacteria|Actinomycetia	1.4197		
28216	class	2|1224|28216	Bacteria|Proteobacteria|Betaproteobacteria	1.9218		
666505	class	2|203682|666505	Bacteria|Planctomycetota|Phycisphaerae	0.5121		
91061	class	2|1239|91061	Bacteria|Firmicutes|Bacilli	1.0270		
1035538	class	2759|3041|1035538	Eukaryota|Chlorophyta|Mamiellophyceae	2.7056		
204457	order	2|1224|28211|204457	Bacteria|Proteobacteria|Alphaproteobacteria|Sphingomonadales	0.8162		
