@SampleID:
@Version:0.9.1
@Ranks:superkingdom|phylum|class|order|family|genus|species|strain

@@TAXID	RANK	TAXPATH	TAXPATHSN	PERCENTAGE	_CAMI_genomeID	_CAMI_OTU
2	superkingdom	2	Bacteria	96.2896		
2157	superkingdom	2157	Archaea	2.7021		
2759	superkingdom	2759	Eukaryota	1.0083		
1224	phylum	2|1224	Bacteria|Proteobacteria	39.7328		
201174	phylum	2|201174	Bacteria|Actinobacteria	13.9458		
203682	phylum	2|203682	Bacteria|Planctomycetota	1.6948		
74201	phylum	2|74201	Bacteria|Verrucomicrobia	0.3391		
1117	phylum	2|1117	Bacteria|Cyanobacteria	0.4728		
57723	phylum	2|57723	Bacteria|Acidobacteria	2.5213		
976	phylum	2|976	Bacteria|Bacteroidota	3.3995		
1239	phylum	2|1239	Bacteria|Firmicutes	6.2177		
142182	phylum	2|142182	Bacteria|Gemmatimonadetes	1.7514		
67819	phylum	2|67819	Bacteria|Armatimonadetes	0.6860		
1154676	phylum	2|1154676	Bacteria|Candidatus Eremiobacterota	0.5729		
200795	phylum	2|200795	Bacteria|Chloroflexi	5.5757		
40117	phylum	2|40117	Bacteria|Nitrospirae	1.2357		
28890	phylum	2157|28890	Archaea|Euryarchaeota	0.3035		
651137	phylum	2157|651137	Archaea|Thaumarchaeota	1.3262		
2498705	phylum	2|2498705	Bacteria|Candidatus Cryosericota	1.0078		
2283796	phylum	2157|2283796	Archaea|Candidatus Thermoplasmatota	0.0329		
28889	phylum	2157|28889	Archaea|Crenarchaeota	0.0566		
204428	phylum	2|204428	Bacteria|Chlamydiae	0.4005		
544448	phylum	2|544448	Bacteria|Tenericutes	0.2362		
192989	phylum	2157|192989	Archaea|Nanoarchaeota	0.3342		
1817808	phylum	2|1817808	Bacteria|Candidatus Margulisbacteria	0.1564		
1798710	phylum	2|1798710	Bacteria|Candidatus Melainabacteria	0.5193		
640293	phylum	2|640293	Bacteria|candidate division NC10	0.3747		
4890	phylum	2759|4890	Eukaryota|Ascomycota	1.0083		
28221	class	2|1224|28221	Bacteria|Proteobacteria|Deltaproteobacteria	3.5993		
1760	class	2|201174|1760	Bacteria|Actinobacteria|Actinomycetia	5.8518		
203683	class	2|203682|203683	Bacteria|Planctomycetota|Planctomycetia	0.6488		
134549	class	2|74201|134549	Bacteria|Verrucomicrobia|Spartobacteria	0.3391		
28216	class	2|1224|28216	Bacteria|Proteobacteria|Betaproteobacteria	10.4959		
28211	class	2|1224|28211	Bacteria|Proteobacteria|Alphaproteobacteria	18.3097		
1236	class	2|1224|1236	Bacteria|Proteobacteria|Gammaproteobacteria	7.2399		
204432	class	2|57723|204432	Bacteria|Acidobacteria|Acidobacteriia	0.7278		
1813735	class	2|57723|1813735	Bacteria|Acidobacteria|Vicinamibacteria	0.6741		
1562571	class	2|57723|1562571	Bacteria|Acidobacteria|Thermoanaerobaculia	0.1450		
200643	class	2|976|200643	Bacteria|Bacteroidota|Bacteroidia	1.2033		
1562566	class	2|57723|1562566	Bacteria|Acidobacteria|Blastocatellia	0.1785		
666505	class	2|203682|666505	Bacteria|Planctomycetota|Phycisphaerae	0.1204		
909932	class	2|1239|909932	Bacteria|Firmicutes|Negativicutes	0.2039		
1853228	class	2|976|1853228	Bacteria|Bacteroidota|Chitinophagia	1.6194		
219685	class	2|142182|219685	Bacteria|Gemmatimonadetes|Gemmatimonadetes	1.7514		
1042312	class	2|67819|1042312	Bacteria|Armatimonadetes|Armatimonadia	0.6860		
186801	class	2|1239|186801	Bacteria|Firmicutes|Clostridia	4.1324		
117747	class	2|976|117747	Bacteria|Bacteroidota|Sphingobacteriia	0.3223		
1497346	class	2|201174|1497346	Bacteria|Actinobacteria|Thermoleophilia	3.7776		
84992	class	2|201174|84992	Bacteria|Actinobacteria|Acidimicrobiia	2.7275		
84995	class	2|201174|84995	Bacteria|Actinobacteria|Rubrobacteria	0.5974		
2829293	class	2|1154676|2829293	Bacteria|Candidatus Eremiobacterota|Candidatus Eremiobacteriia	0.5729		
292625	class	2|200795|292625	Bacteria|Chloroflexi|Anaerolineae	1.0506		
203693	class	2|40117|203693	Bacteria|Nitrospirae|Nitrospira	1.2357		
224756	class	2157|28890|224756	Archaea|Euryarchaeota|Methanomicrobia	0.2950		
183925	class	2157|28890|183925	Archaea|Euryarchaeota|Methanobacteria	0.0085		
1643678	class	2157|651137|1643678	Archaea|Thaumarchaeota|Nitrososphaeria	1.1581		
91061	class	2|1239|91061	Bacteria|Firmicutes|Bacilli	1.8814		
301297	class	2|200795|301297	Bacteria|Chloroflexi|Dehalococcoidia	1.1733		
2498706	class	2|2498705|2498706	Bacteria|Candidatus Cryosericota|Candidatus Cryosericia	1.0078		
183967	class	2157|2283796|183967	Archaea|Candidatus Thermoplasmatota|Thermoplasmata	0.0329		
204429	class	2|204428|204429	Bacteria|Chlamydiae|Chlamydiia	0.4005		
31969	class	2|544448|31969	Bacteria|Tenericutes|Mollicutes	0.2362		
32061	class	2|200795|32061	Bacteria|Chloroflexi|Chloroflexia	1.5072		
29547	class	2|1224|29547	Bacteria|Proteobacteria|Epsilonproteobacteria	0.0880		
768503	class	2|976|768503	Bacteria|Bacteroidota|Cytophagia	0.2544		
147548	class	2759|4890|147548	Eukaryota|Ascomycota|Leotiomycetes	1.0083		
29	order	2|1224|28221|29	Bacteria|Proteobacteria|Deltaproteobacteria|Myxococcales	1.5888		
85011	order	2|201174|1760|85011	Bacteria|Actinobacteria|Actinomycetia|Streptomycetales	0.5957		
2691354	order	2|203682|203683|2691354	Bacteria|Planctomycetota|Planctomycetia|Pirellulales	0.6488		
