sample	SGB	bin_name	real_tax	reconstructed_tax	abundance_real	abundance_reconstructed	real_org_id
profile.n.150.size.7.5.k.100.sigma.1.0.up.0.75.mut_rate.0.0_sample_0	sgb_114	profile.n.150.size.7.5.k.100.sigma.1.0.up.0.75.mut_rate.0.0_sample_0.bin.77	2|201174|1760|2039638|2162846|622681	k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Nanopelagicales|f__Nanopelagicaceae|g__Planktophila|s__Planktophila sp002430075	0.3807	0.431424130589906	BIN_UNKNOWN_20_Planktophila
profile.n.150.size.7.5.k.100.sigma.1.0.up.0.75.mut_rate.0.0_sample_0	sgb_308	NA	2|976|117743|200644|49546	NA	0.3731	NA	BIN_UNKNOWN_354_Flavobacteriaceae
profile.n.150.size.7.5.k.100.sigma.1.0.up.0.75.mut_rate.0.0_sample_0	sgb_022	NA	2157|2283796|2599185|133814|2599197	NA	0.1215	NA	BIN_UNKNOWN_141_Poseidoniaceae
profile.n.150.size.7.5.k.100.sigma.1.0.up.0.75.mut_rate.0.0_sample_0	sgb_379	NA	2|976|117743|200644|49546|52959	NA	0.3668	NA	BIN_UNKNOWN_229_Polaribacter
profile.n.150.size.7.5.k.100.sigma.1.0.up.0.75.mut_rate.0.0_sample_0	sgb_365	profile.n.150.size.7.5.k.100.sigma.1.0.up.0.75.mut_rate.0.0_sample_0.bin.92	2|1224|1236|135622|72275	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Alteromonadaceae|g__JABSOI01|s__	0.832	0.936995006591154	BIN_UNKNOWN_52_Alteromonadaceae
profile.n.150.size.7.5.k.100.sigma.1.0.up.0.75.mut_rate.0.0_sample_0	sgb_118	NA	2|1224|1236|1706369|1706372|1341118	NA	0.4778	NA	BIN_UNKNOWN_442_Luminiphilus
profile.n.150.size.7.5.k.100.sigma.1.0.up.0.75.mut_rate.0.0_sample_0	sgb_127	NA	2|1224|1236	NA	1.0567	NA	BIN_UNKNOWN_429_Gammaproteobacteria
profile.n.150.size.7.5.k.100.sigma.1.0.up.0.75.mut_rate.0.0_sample_0	sgb_472	profile.n.150.size.7.5.k.100.sigma.1.0.up.0.75.mut_rate.0.0_sample_0.bin.63	2|1224|1236	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__SAR86|f__SAR86|g__CAJJAM01|s__	0.6495	0.72501694757788	BIN_UNKNOWN_185_Gammaproteobacteria
profile.n.150.size.7.5.k.100.sigma.1.0.up.0.75.mut_rate.0.0_sample_0	sgb_451	NA	2|976|200643	NA	0.2741	NA	BIN_UNKNOWN_106_Bacteroidia
profile.n.150.size.7.5.k.100.sigma.1.0.up.0.75.mut_rate.0.0_sample_0	sgb_226	NA	2|1224|1236|1706369|1706374	NA	0.0685	NA	BIN_UNKNOWN_406_Porticoccaceae
profile.n.150.size.7.5.k.100.sigma.1.0.up.0.75.mut_rate.0.0_sample_0	sgb_066	profile.n.150.size.7.5.k.100.sigma.1.0.up.0.75.mut_rate.0.0_sample_0.bin.16	2|200795|301297	k__Bacteria|p__Chloroflexota|c__Dehalococcoidia|o__UBA2979|f__UBA2979|g__UBA2979|s__	0.3901	0.441465410937188	BIN_UNKNOWN_303_Dehalococcoidia
