sample	SGB	bin_name	real_tax	reconstructed_tax	abundance_real	abundance_reconstructed	real_org_id
profile.n.150.size.7.5.k.100.sigma.1.0.up.0.75.mut_rate.0.0_sample_0	sgb_114	NA	2|201174|1760|2039638|2162846|622681	NA	0.3807	NA	BIN_UNKNOWN_20_Planktophila
profile.n.150.size.7.5.k.100.sigma.1.0.up.0.75.mut_rate.0.0_sample_0	sgb_308	NA	2|976|117743|200644|49546	NA	0.3731	NA	BIN_UNKNOWN_354_Flavobacteriaceae
profile.n.150.size.7.5.k.100.sigma.1.0.up.0.75.mut_rate.0.0_sample_0	sgb_022	NA	2157|2283796|2599185|133814|2599197	NA	0.1215	NA	BIN_UNKNOWN_141_Poseidoniaceae
profile.n.150.size.7.5.k.100.sigma.1.0.up.0.75.mut_rate.0.0_sample_0	sgb_379	NA	2|976|117743|200644|49546|52959	NA	0.3668	NA	BIN_UNKNOWN_229_Polaribacter
profile.n.150.size.7.5.k.100.sigma.1.0.up.0.75.mut_rate.0.0_sample_0	sgb_365	profile.n.150.size.7.5.k.100.sigma.1.0.up.0.75.mut_rate.0.0_sample_0.bin.26	2|1224|1236|135622|72275	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Alteromonadales|f__Colwelliaceae	0.832	0.854049873581161	BIN_UNKNOWN_52_Alteromonadaceae
profile.n.150.size.7.5.k.100.sigma.1.0.up.0.75.mut_rate.0.0_sample_0	sgb_118	profile.n.150.size.7.5.k.100.sigma.1.0.up.0.75.mut_rate.0.0_sample_0.bin.73	2|1224|1236|1706369|1706372|1341118	k__Bacteria|p__Proteobacteria|c__CFGB8831|o__OFGB8831|f__FGB8831	0.4778	0.500303587152321	BIN_UNKNOWN_442_Luminiphilus
profile.n.150.size.7.5.k.100.sigma.1.0.up.0.75.mut_rate.0.0_sample_0	sgb_127	NA	2|1224|1236	NA	1.0567	NA	BIN_UNKNOWN_429_Gammaproteobacteria
profile.n.150.size.7.5.k.100.sigma.1.0.up.0.75.mut_rate.0.0_sample_0	sgb_472	NA	2|1224|1236	NA	0.6495	NA	BIN_UNKNOWN_185_Gammaproteobacteria
profile.n.150.size.7.5.k.100.sigma.1.0.up.0.75.mut_rate.0.0_sample_0	sgb_451	NA	2|976|200643	NA	0.2741	NA	BIN_UNKNOWN_106_Bacteroidia
profile.n.150.size.7.5.k.100.sigma.1.0.up.0.75.mut_rate.0.0_sample_0	sgb_226	NA	2|1224|1236|1706369|1706374	NA	0.0685	NA	BIN_UNKNOWN_406_Porticoccaceae
profile.n.150.size.7.5.k.100.sigma.1.0.up.0.75.mut_rate.0.0_sample_0	sgb_066	NA	2|200795|301297	NA	0.3901	NA	BIN_UNKNOWN_303_Dehalococcoidia
profile.n.150.size.7.5.k.100.sigma.1.0.up.0.75.mut_rate.0.0_sample_0	sgb_229	NA	2|201174|1760|85006|85023|1434032	NA	0.4129	NA	BIN_UNKNOWN_28_Pontimonas
profile.n.150.size.7.5.k.100.sigma.1.0.up.0.75.mut_rate.0.0_sample_0	sgb_408	profile.n.150.size.7.5.k.100.sigma.1.0.up.0.75.mut_rate.0.0_sample_0.bin.65	2|1117	k__Bacteria|p__Cyanobacteria|c__Cyanobacteria_unclassified|o__Synechococcales|f__Synechococcaceae|g__Synechococcus|s__Synechococcus_sp_AG_686_A03|t__SGB22089	2.1927	2.29920087167846	BIN_UNKNOWN_381_Cyanobiaceae
profile.n.150.size.7.5.k.100.sigma.1.0.up.0.75.mut_rate.0.0_sample_0	sgb_014	NA	2|201174|84992|84993	NA	0.3755	NA	BIN_UNKNOWN_391_Acidimicrobiales
profile.n.150.size.7.5.k.100.sigma.1.0.up.0.75.mut_rate.0.0_sample_0	sgb_414	NA	2157|2283796|2599185|133814|2599197	NA	0.5498	NA	BIN_UNKNOWN_224_Poseidoniaceae
profile.n.150.size.7.5.k.100.sigma.1.0.up.0.75.mut_rate.0.0_sample_0	sgb_192	NA	2|1224|1236|72274	NA	0.1967	NA	BIN_UNKNOWN_11_Pseudomonadales
profile.n.150.size.7.5.k.100.sigma.1.0.up.0.75.mut_rate.0.0_sample_0	sgb_083	profile.n.150.size.7.5.k.100.sigma.1.0.up.0.75.mut_rate.0.0_sample_0.bin.49	2|1224|1236|1706369|1706372|1341118	k__Bacteria|p__Proteobacteria|c__CFGB8820|o__OFGB8820|f__FGB8820	1.0897	1.1350782389813	BIN_UNKNOWN_215_Luminiphilus
