@SampleID:
@Version:0.9.1
@Ranks:superkingdom|phylum|class|order|family|genus|species|strain

@@TAXID	RANK	TAXPATH	TAXPATHSN	PERCENTAGE	_CAMI_genomeID	_CAMI_OTU
2	superkingdom	2	Bacteria	77.8752		
2157	superkingdom	2157	Archaea	18.7052		
2759	superkingdom	2759	Eukaryota	3.4196		
1224	phylum	2|1224	Bacteria|Proteobacteria	42.7673		
201174	phylum	2|201174	Bacteria|Actinobacteria	5.3025		
203682	phylum	2|203682	Bacteria|Planctomycetota	0.7346		
1117	phylum	2|1117	Bacteria|Cyanobacteria	1.7030		
976	phylum	2|976	Bacteria|Bacteroidota	18.1355		
74201	phylum	2|74201	Bacteria|Verrucomicrobia	2.0035		
2283796	phylum	2157|2283796	Archaea|Candidatus Thermoplasmatota	12.1181		
28890	phylum	2157|28890	Archaea|Euryarchaeota	0.3917		
651137	phylum	2157|651137	Archaea|Thaumarchaeota	6.1954		
142182	phylum	2|142182	Bacteria|Gemmatimonadetes	0.0729		
1293497	phylum	2|1293497	Bacteria|Nitrospinae	0.6173		
200795	phylum	2|200795	Bacteria|Chloroflexi	1.6523		
1239	phylum	2|1239	Bacteria|Firmicutes	1.2054		
3041	phylum	2759|3041	Eukaryota|Chlorophyta	3.3426		
28221	class	2|1224|28221	Bacteria|Proteobacteria|Deltaproteobacteria	2.0047		
28211	class	2|1224|28211	Bacteria|Proteobacteria|Alphaproteobacteria	8.5104		
1760	class	2|201174|1760	Bacteria|Actinobacteria|Actinomycetia	3.8266		
203683	class	2|203682|203683	Bacteria|Planctomycetota|Planctomycetia	0.5112		
1236	class	2|1224|1236	Bacteria|Proteobacteria|Gammaproteobacteria	27.1270		
768503	class	2|976|768503	Bacteria|Bacteroidota|Cytophagia	0.8309		
414999	class	2|74201|414999	Bacteria|Verrucomicrobia|Opitutae	1.3689		
117743	class	2|976|117743	Bacteria|Bacteroidota|Flavobacteriia	17.1981		
2599185	class	2157|2283796|2599185	Archaea|Candidatus Thermoplasmatota|Candidatus Poseidoniia	12.1181		
666505	class	2|203682|666505	Bacteria|Planctomycetota|Phycisphaerae	0.2234		
28216	class	2|1224|28216	Bacteria|Proteobacteria|Betaproteobacteria	4.6747		
183963	class	2157|28890|183963	Archaea|Euryarchaeota|Halobacteria	0.3917		
1643678	class	2157|651137|1643678	Archaea|Thaumarchaeota|Nitrososphaeria	0.0733		
1804991	class	2|142182|1804991	Bacteria|Gemmatimonadetes|Longimicrobia	0.0729		
1293498	class	2|1293497|1293498	Bacteria|Nitrospinae|Nitrospinia	0.6173		
301297	class	2|200795|301297	Bacteria|Chloroflexi|Dehalococcoidia	0.9992		
203494	class	2|74201|203494	Bacteria|Verrucomicrobia|Verrucomicrobiae	0.0349		
2682225	class	2|200795|2682225	Bacteria|Chloroflexi|Tepidiformia	0.2096		
84992	class	2|201174|84992	Bacteria|Actinobacteria|Acidimicrobiia	1.4759		
91061	class	2|1239|91061	Bacteria|Firmicutes|Bacilli	1.2054		
1853228	class	2|976|1853228	Bacteria|Bacteroidota|Chitinophagia	0.1065		
292625	class	2|200795|292625	Bacteria|Chloroflexi|Anaerolineae	0.4435		
29547	class	2|1224|29547	Bacteria|Proteobacteria|Epsilonproteobacteria	0.4505		
134549	class	2|74201|134549	Bacteria|Verrucomicrobia|Spartobacteria	0.5997		
1035538	class	2759|3041|1035538	Eukaryota|Chlorophyta|Mamiellophyceae	3.3426		
35675	class	2759||35675	Eukaryota||Pelagophyceae	0.0770		
29	order	2|1224|28221|29	Bacteria|Proteobacteria|Deltaproteobacteria|Myxococcales	2.0047		
356	order	2|1224|28211|356	Bacteria|Proteobacteria|Alphaproteobacteria|Hyphomicrobiales	0.8861		
85011	order	2|201174|1760|85011	Bacteria|Actinobacteria|Actinomycetia|Streptomycetales	0.1506		
2691354	order	2|203682|203683|2691354	Bacteria|Planctomycetota|Planctomycetia|Pirellulales	0.5112		
1150	order	2|1117||1150	Bacteria|Cyanobacteria||Oscillatoriales	0.3111		
85013	order	2|201174|1760|85013	Bacteria|Actinobacteria|Actinomycetia|Frankiales	1.0408		
85007	order	2|201174|1760|85007	Bacteria|Actinobacteria|Actinomycetia|Corynebacteriales	0.2684		
204441	order	2|1224|28211|204441	Bacteria|Proteobacteria|Alphaproteobacteria|Rhodospirillales	0.0510		
72274	order	2|1224|1236|72274	Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales	1.4130		
768507	order	2|976|768503|768507	Bacteria|Bacteroidota|Cytophagia|Cytophagales	0.8309		
415000	order	2|74201|414999|415000	Bacteria|Verrucomicrobia|Opitutae|Opitutales	1.3689		
1706369	order	2|1224|1236|1706369	Bacteria|Proteobacteria|Gammaproteobacteria|Cellvibrionales	1.5572		
200644	order	2|976|117743|200644	Bacteria|Bacteroidota|Flavobacteriia|Flavobacteriales	17.1981		
2039638	order	2|201174|1760|2039638	Bacteria|Actinobacteria|Actinomycetia|Candidatus Nanopelagicales	0.3437		
133814	order	2157|2283796|2599185|133814	Archaea|Candidatus Thermoplasmatota|Candidatus Poseidoniia|Candidatus Poseidoniales	11.0662		
85006	order	2|201174|1760|85006	Bacteria|Actinobacteria|Actinomycetia|Micrococcales	1.9601		
666506	order	2|203682|666505|666506	Bacteria|Planctomycetota|Phycisphaerae|Phycisphaerales	0.2234		
32003	order	2|1224|28216|32003	Bacteria|Proteobacteria|Betaproteobacteria|Nitrosomonadales	2.1382		
2235	order	2157|28890|183963|2235	Archaea|Euryarchaeota|Halobacteria|Halobacteriales	0.3917		
54526	order	2|1224|28211|54526	Bacteria|Proteobacteria|Alphaproteobacteria|Pelagibacterales	2.7396		
1033996	order	2157|651137|1643678|1033996	Archaea|Thaumarchaeota|Nitrososphaeria|Nitrososphaerales	0.0733		
1389450	order	2|201174|1760|1389450	Bacteria|Actinobacteria|Actinomycetia|Candidatus Actinomarinales	0.0629		
31932	order	2157|651137||31932	Archaea|Thaumarchaeota||Nitrosopumilales	5.8871		
766	order	2|1224|28211|766	Bacteria|Proteobacteria|Alphaproteobacteria|Rickettsiales	0.8819		
1804992	order	2|142182|1804991|1804992	Bacteria|Gemmatimonadetes|Longimicrobia|Longimicrobiales	0.0729		
1890424	order	2|1117||1890424	Bacteria|Cyanobacteria||Synechococcales	1.2889		
2975284	order	2|1224|1236|2975284	Bacteria|Proteobacteria|Gammaproteobacteria|Candidatus Comchoanobacterales	0.2571		
1293499	order	2|1293497|1293498|1293499	Bacteria|Nitrospinae|Nitrospinia|Nitrospinales	0.6173		
135613	order	2|1224|1236|135613	Bacteria|Proteobacteria|Gammaproteobacteria|Chromatiales	0.5459		
204455	order	2|1224|28211|204455	Bacteria|Proteobacteria|Alphaproteobacteria|Rhodobacterales	2.4538		
2682226	order	2|200795|2682225|2682226	Bacteria|Chloroflexi|Tepidiformia|Tepidiformales	0.2096		
84993	order	2|201174|84992|84993	Bacteria|Actinobacteria|Acidimicrobiia|Acidimicrobiales	1.4759		
186826	order	2|1239|91061|186826	Bacteria|Firmicutes|Bacilli|Lactobacillales	0.5876		
1853229	order	2|976|1853228|1853229	Bacteria|Bacteroidota|Chitinophagia|Chitinophagales	0.1065		
118969	order	2|1224|1236|118969	Bacteria|Proteobacteria|Gammaproteobacteria|Legionellales	0.2573		
80840	order	2|1224|28216|80840	Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales	2.5365		
292629	order	2|200795|292625|292629	Bacteria|Chloroflexi|Anaerolineae|Anaerolineales	0.4435		
213849	order	2|1224|29547|213849	Bacteria|Proteobacteria|Epsilonproteobacteria|Campylobacterales	0.4505		
1836787	order	2|74201|134549|1836787	Bacteria|Verrucomicrobia|Spartobacteria|Chthoniobacterales	0.5997		
1617890	order	2|1224|1236|1617890	Bacteria|Proteobacteria|Gammaproteobacteria|Arenicellales	0.3082		
13792	order	2759|3041|1035538|13792	Eukaryota|Chlorophyta|Mamiellophyceae|Mamiellales	3.3426		
54409	order	2759||35675|54409	Eukaryota||Pelagophyceae|Pelagomonadales	0.0770		
135622	order	2|1224|1236|135622	Bacteria|Proteobacteria|Gammaproteobacteria|Alteromonadales	1.5455		
135614	order	2|1224|1236|135614	Bacteria|Proteobacteria|Gammaproteobacteria|Xanthomonadales	0.3635		
91347	order	2|1224|1236|91347	Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacterales	1.0888		
135619	order	2|1224|1236|135619	Bacteria|Proteobacteria|Gammaproteobacteria|Oceanospirillales	0.5152		
1385	order	2|1239|91061|1385	Bacteria|Firmicutes|Bacilli|Bacillales	0.6177		
135623	order	2|1224|1236|135623	Bacteria|Proteobacteria|Gammaproteobacteria|Vibrionales	0.1272		
2887326	order	2|1224|1236|2887326	Bacteria|Proteobacteria|Gammaproteobacteria|Moraxellales	0.6303		
135624	order	2|1224|1236|135624	Bacteria|Proteobacteria|Gammaproteobacteria|Aeromonadales	0.2256		
135625	order	2|1224|1236|135625	Bacteria|Proteobacteria|Gammaproteobacteria|Pasteurellales	0.2054		
31	family	2|1224|28221|29|31	Bacteria|Proteobacteria|Deltaproteobacteria|Myxococcales|Myxococcaceae	2.0047		
41294	family	2|1224|28211|356|41294	Bacteria|Proteobacteria|Alphaproteobacteria|Hyphomicrobiales|Nitrobacteraceae	0.3253		
2062	family	2|201174|1760|85011|2062	Bacteria|Actinobacteria|Actinomycetia|Streptomycetales|Streptomycetaceae	0.1506		
2691357	family	2|203682|203683|2691354|2691357	Bacteria|Planctomycetota|Planctomycetia|Pirellulales|Pirellulaceae	0.5112		
1892254	family	2|1117||1150|1892254	Bacteria|Cyanobacteria||Oscillatoriales|Oscillatoriaceae	0.3111		
74712	family	2|201174|1760|85013|74712	Bacteria|Actinobacteria|Actinomycetia|Frankiales|Frankiaceae	1.0408		
69277	family	2|1224|28211|356|69277	Bacteria|Proteobacteria|Alphaproteobacteria|Hyphomicrobiales|Phyllobacteriaceae	0.5608		
