sample	SGB	bin_name	real_tax	reconstructed_tax	abundance_real	abundance_reconstructed	real_org_id
profile.n.150.size.7.5.k.100.sigma.1.0.up.0.75.mut_rate.0.0_sample_0	sgb_251	NA	2|200795	NA	0.2064	NA	BIN_UNKNOWN_452_Chloroflexota
profile.n.150.size.7.5.k.100.sigma.1.0.up.0.75.mut_rate.0.0_sample_0	sgb_392	NA	2|1239|186801	NA	0.5065	NA	BIN_UNKNOWN_358_Clostridia
profile.n.150.size.7.5.k.100.sigma.1.0.up.0.75.mut_rate.0.0_sample_0	sgb_618	NA	2157|651137|1643678|1033996|1033997	NA	0.8505	NA	BIN_UNKNOWN_275_Nitrososphaeraceae
profile.n.150.size.7.5.k.100.sigma.1.0.up.0.75.mut_rate.0.0_sample_0	sgb_511	NA	2|200795	NA	0.1682	NA	BIN_UNKNOWN_232_Chloroflexota
profile.n.150.size.7.5.k.100.sigma.1.0.up.0.75.mut_rate.0.0_sample_0	sgb_118	profile.n.150.size.7.5.k.100.sigma.1.0.up.0.75.mut_rate.0.0_sample_0.bin.47	2|1224|1236|1775403|2689614	k__Bacteria|p__Proteobacteria|c__CFGB2611|o__OFGB2611|f__FGB2611	1.4912	1.65094262805337	BIN_UNKNOWN_173_Steroidobacteraceae
profile.n.150.size.7.5.k.100.sigma.1.0.up.0.75.mut_rate.0.0_sample_0	sgb_439	NA	2157|651137|1643678|1033996|1033997	NA	0.7074	NA	BIN_UNKNOWN_87_Nitrososphaeraceae
profile.n.150.size.7.5.k.100.sigma.1.0.up.0.75.mut_rate.0.0_sample_0	sgb_451	NA	2157|651137|1643678|1033996|1033997	NA	0.2108	NA	BIN_UNKNOWN_213_Nitrososphaeraceae
profile.n.150.size.7.5.k.100.sigma.1.0.up.0.75.mut_rate.0.0_sample_0	sgb_154	profile.n.150.size.7.5.k.100.sigma.1.0.up.0.75.mut_rate.0.0_sample_0.bin.31	2|57723|1813735|2910145	k__Bacteria|p__Proteobacteria|c__CFGB2619|o__OFGB2619|f__FGB2619	2.7045	2.95711391486507	BIN_UNKNOWN_268_Vicinamibacterales
profile.n.150.size.7.5.k.100.sigma.1.0.up.0.75.mut_rate.0.0_sample_0	sgb_482	profile.n.150.size.7.5.k.100.sigma.1.0.up.0.75.mut_rate.0.0_sample_0.bin.57	2|1224|28211|204457|41297	k__Bacteria|p__Proteobacteria|c__CFGB11744|o__OFGB11744|f__FGB11744	0.8044	0.87453380766616	BIN_UNKNOWN_196_Sphingomonadaceae
profile.n.150.size.7.5.k.100.sigma.1.0.up.0.75.mut_rate.0.0_sample_0	sgb_414	NA	2	NA	0.5712	NA	BIN_UNKNOWN_58
profile.n.150.size.7.5.k.100.sigma.1.0.up.0.75.mut_rate.0.0_sample_0	sgb_639	profile.n.150.size.7.5.k.100.sigma.1.0.up.0.75.mut_rate.0.0_sample_0.bin.2	2|201174|1497346|588673	k__Bacteria|p__Actinobacteria|c__CFGB8535|o__OFGB8535|f__FGB8535|g__GGB44134	1.8268	1.98145277427316	BIN_UNKNOWN_96_Solirubrobacterales
profile.n.150.size.7.5.k.100.sigma.1.0.up.0.75.mut_rate.0.0_sample_0	sgb_375	NA	2|976|200643|171549	NA	0.2263	NA	BIN_UNKNOWN_350_Bacteroidales
profile.n.150.size.7.5.k.100.sigma.1.0.up.0.75.mut_rate.0.0_sample_0	sgb_562	NA	2|142182|219685|219686	NA	0.1947	NA	BIN_UNKNOWN_566_Gemmatimonadales
profile.n.150.size.7.5.k.100.sigma.1.0.up.0.75.mut_rate.0.0_sample_0	sgb_517	profile.n.150.size.7.5.k.100.sigma.1.0.up.0.75.mut_rate.0.0_sample_0.bin.12	2|1224|28211|204457|41297|2823232	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae	3.5665	3.88535364874627	BIN_UNKNOWN_26_Allosphingosinicella
