study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_bytes	fastq_ftp	submitted_ftp	sra_bytes	sra_ftp
PRJEB31111	SAMEA5329286	ERX4203911	ERR4245117	410658	soil metagenome	1195695498;1287747881	ftp.sra.ebi.ac.uk/vol1/fastq/ERR424/007/ERR4245117/ERR4245117_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR424/007/ERR4245117/ERR4245117_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR424/ERR4245117/BS-1-1_ATGTCA_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR424/ERR4245117/BS-1-1_ATGTCA_L001_R2_001.fastq.gz	1974643650	ftp.sra.ebi.ac.uk/vol1/err/ERR424/007/ERR4245117
PRJEB31111	SAMEA5329286	ERX4203912	ERR4245118	410658	soil metagenome	1205958051;1302591228	ftp.sra.ebi.ac.uk/vol1/fastq/ERR424/008/ERR4245118/ERR4245118_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR424/008/ERR4245118/ERR4245118_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR424/ERR4245118/BS-1-1_ATGTCA_L002_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR424/ERR4245118/BS-1-1_ATGTCA_L002_R2_001.fastq.gz	1996393544	ftp.sra.ebi.ac.uk/vol1/err/ERR424/008/ERR4245118
PRJEB31111	SAMEA5329287	ERX4203913	ERR4245119	410658	soil metagenome	1155016260;1235369821	ftp.sra.ebi.ac.uk/vol1/fastq/ERR424/009/ERR4245119/ERR4245119_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR424/009/ERR4245119/ERR4245119_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR424/ERR4245119/BS-1-2_CCGTCC_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR424/ERR4245119/BS-1-2_CCGTCC_L001_R2_001.fastq.gz	1876406211	ftp.sra.ebi.ac.uk/vol1/err/ERR424/009/ERR4245119
PRJEB31111	SAMEA5329287	ERX4203914	ERR4245120	410658	soil metagenome	1160856228;1246517870	ftp.sra.ebi.ac.uk/vol1/fastq/ERR424/000/ERR4245120/ERR4245120_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR424/000/ERR4245120/ERR4245120_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR424/ERR4245120/BS-1-2_CCGTCC_L002_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR424/ERR4245120/BS-1-2_CCGTCC_L002_R2_001.fastq.gz	1890999461	ftp.sra.ebi.ac.uk/vol1/err/ERR424/000/ERR4245120
PRJEB31111	SAMEA5329288	ERX4203915	ERR4245121	410658	soil metagenome	1164618968;1249624603	ftp.sra.ebi.ac.uk/vol1/fastq/ERR424/001/ERR4245121/ERR4245121_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR424/001/ERR4245121/ERR4245121_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR424/ERR4245121/BS-2-2_GTGAAA_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR424/ERR4245121/BS-2-2_GTGAAA_L001_R2_001.fastq.gz	1888393802	ftp.sra.ebi.ac.uk/vol1/err/ERR424/001/ERR4245121
PRJEB31111	SAMEA5329288	ERX4203916	ERR4245122	410658	soil metagenome	1171787512;1262409270	ftp.sra.ebi.ac.uk/vol1/fastq/ERR424/002/ERR4245122/ERR4245122_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR424/002/ERR4245122/ERR4245122_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR424/ERR4245122/BS-2-2_GTGAAA_L002_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR424/ERR4245122/BS-2-2_GTGAAA_L002_R2_001.fastq.gz	1905352113	ftp.sra.ebi.ac.uk/vol1/err/ERR424/002/ERR4245122
PRJEB31111	SAMEA5329289	ERX4203917	ERR4245123	410658	soil metagenome	1186210896;1276660062	ftp.sra.ebi.ac.uk/vol1/fastq/ERR424/003/ERR4245123/ERR4245123_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR424/003/ERR4245123/ERR4245123_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR424/ERR4245123/BS-2-3_TTAGGC_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR424/ERR4245123/BS-2-3_TTAGGC_L001_R2_001.fastq.gz	1924587073	ftp.sra.ebi.ac.uk/vol1/err/ERR424/003/ERR4245123
PRJEB31111	SAMEA5329289	ERX4203918	ERR4245124	410658	soil metagenome	1189349406;1285045481	ftp.sra.ebi.ac.uk/vol1/fastq/ERR424/004/ERR4245124/ERR4245124_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR424/004/ERR4245124/ERR4245124_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR424/ERR4245124/BS-2-3_TTAGGC_L002_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR424/ERR4245124/BS-2-3_TTAGGC_L002_R2_001.fastq.gz	1934282348	ftp.sra.ebi.ac.uk/vol1/err/ERR424/004/ERR4245124
PRJEB31111	SAMEA5329290	ERX4203919	ERR4245125	410658	soil metagenome	1163198461;1252047353	ftp.sra.ebi.ac.uk/vol1/fastq/ERR424/005/ERR4245125/ERR4245125_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR424/005/ERR4245125/ERR4245125_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR424/ERR4245125/BS-3-3_GATCAG_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR424/ERR4245125/BS-3-3_GATCAG_L001_R2_001.fastq.gz	1873645900	ftp.sra.ebi.ac.uk/vol1/err/ERR424/005/ERR4245125
PRJEB31111	SAMEA5329290	ERX4203920	ERR4245126	410658	soil metagenome	1172080879;1266570330	ftp.sra.ebi.ac.uk/vol1/fastq/ERR424/006/ERR4245126/ERR4245126_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR424/006/ERR4245126/ERR4245126_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR424/ERR4245126/BS-3-3_GATCAG_L002_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR424/ERR4245126/BS-3-3_GATCAG_L002_R2_001.fastq.gz	1893686248	ftp.sra.ebi.ac.uk/vol1/err/ERR424/006/ERR4245126
