study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_bytes	fastq_ftp	submitted_ftp	sra_bytes	sra_ftp
PRJNA823845	SAMN27362034	SRX14795241	SRR18694233	410658	soil metagenome	4710513260;4797912763	ftp.sra.ebi.ac.uk/vol1/fastq/SRR186/033/SRR18694233/SRR18694233_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR186/033/SRR18694233/SRR18694233_2.fastq.gz		6623011868	ftp.sra.ebi.ac.uk/vol1/srr/SRR186/033/SRR18694233
PRJNA823845	SAMN27362033	SRX14795240	SRR18694234	410658	soil metagenome	4758131926;4800774133	ftp.sra.ebi.ac.uk/vol1/fastq/SRR186/034/SRR18694234/SRR18694234_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR186/034/SRR18694234/SRR18694234_2.fastq.gz		6648136189	ftp.sra.ebi.ac.uk/vol1/srr/SRR186/034/SRR18694234
PRJNA823845	SAMN27362032	SRX14795239	SRR18694235	410658	soil metagenome	5310477274;5361616168	ftp.sra.ebi.ac.uk/vol1/fastq/SRR186/035/SRR18694235/SRR18694235_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR186/035/SRR18694235/SRR18694235_2.fastq.gz		7405097315	ftp.sra.ebi.ac.uk/vol1/srr/SRR186/035/SRR18694235
PRJNA823845	SAMN27362031	SRX14795238	SRR18694236	410658	soil metagenome	5496769703;5562996884	ftp.sra.ebi.ac.uk/vol1/fastq/SRR186/036/SRR18694236/SRR18694236_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR186/036/SRR18694236/SRR18694236_2.fastq.gz		7666800151	ftp.sra.ebi.ac.uk/vol1/srr/SRR186/036/SRR18694236
PRJNA823845	SAMN27362030	SRX14795237	SRR18694237	410658	soil metagenome	5086183064;5138650334	ftp.sra.ebi.ac.uk/vol1/fastq/SRR186/037/SRR18694237/SRR18694237_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR186/037/SRR18694237/SRR18694237_2.fastq.gz		7089585705	ftp.sra.ebi.ac.uk/vol1/srr/SRR186/037/SRR18694237
PRJNA823845	SAMN27362029	SRX14795236	SRR18694238	410658	soil metagenome	5895926494;6027730638	ftp.sra.ebi.ac.uk/vol1/fastq/SRR186/038/SRR18694238/SRR18694238_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR186/038/SRR18694238/SRR18694238_2.fastq.gz		8264668340	ftp.sra.ebi.ac.uk/vol1/srr/SRR186/038/SRR18694238
PRJNA823845	SAMN27362028	SRX14795235	SRR18694239	410658	soil metagenome	5614166426;5698176630	ftp.sra.ebi.ac.uk/vol1/fastq/SRR186/039/SRR18694239/SRR18694239_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR186/039/SRR18694239/SRR18694239_2.fastq.gz		7844517545	ftp.sra.ebi.ac.uk/vol1/srr/SRR186/039/SRR18694239
PRJNA823845	SAMN27362027	SRX14795234	SRR18694240	410658	soil metagenome	5504480422;5645142989	ftp.sra.ebi.ac.uk/vol1/fastq/SRR186/040/SRR18694240/SRR18694240_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR186/040/SRR18694240/SRR18694240_2.fastq.gz		7737386303	ftp.sra.ebi.ac.uk/vol1/srr/SRR186/040/SRR18694240
PRJNA823845	SAMN27362042	SRX14795233	SRR18694241	410658	soil metagenome	5173290075;5261578140	ftp.sra.ebi.ac.uk/vol1/fastq/SRR186/041/SRR18694241/SRR18694241_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR186/041/SRR18694241/SRR18694241_2.fastq.gz		7248831037	ftp.sra.ebi.ac.uk/vol1/srr/SRR186/041/SRR18694241
PRJNA823845	SAMN27362041	SRX14795232	SRR18694242	410658	soil metagenome	5534736490;5634009100	ftp.sra.ebi.ac.uk/vol1/fastq/SRR186/042/SRR18694242/SRR18694242_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR186/042/SRR18694242/SRR18694242_2.fastq.gz		7738202627	ftp.sra.ebi.ac.uk/vol1/srr/SRR186/042/SRR18694242
PRJNA823845	SAMN27362040	SRX14795231	SRR18694243	410658	soil metagenome	5498808604;5532389571	ftp.sra.ebi.ac.uk/vol1/fastq/SRR186/043/SRR18694243/SRR18694243_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR186/043/SRR18694243/SRR18694243_2.fastq.gz		7679934062	ftp.sra.ebi.ac.uk/vol1/srr/SRR186/043/SRR18694243
PRJNA823845	SAMN27362039	SRX14795230	SRR18694244	410658	soil metagenome	5158692175;5177935615	ftp.sra.ebi.ac.uk/vol1/fastq/SRR186/044/SRR18694244/SRR18694244_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR186/044/SRR18694244/SRR18694244_2.fastq.gz		7163830378	ftp.sra.ebi.ac.uk/vol1/srr/SRR186/044/SRR18694244
PRJNA823845	SAMN27362038	SRX14795229	SRR18694245	410658	soil metagenome	5245020078;5383671166	ftp.sra.ebi.ac.uk/vol1/fastq/SRR186/045/SRR18694245/SRR18694245_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR186/045/SRR18694245/SRR18694245_2.fastq.gz		7396839420	ftp.sra.ebi.ac.uk/vol1/srr/SRR186/045/SRR18694245
PRJNA823845	SAMN27362037	SRX14795228	SRR18694246	410658	soil metagenome	5210694768;5271722791	ftp.sra.ebi.ac.uk/vol1/fastq/SRR186/046/SRR18694246/SRR18694246_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR186/046/SRR18694246/SRR18694246_2.fastq.gz		7278777559	ftp.sra.ebi.ac.uk/vol1/srr/SRR186/046/SRR18694246
PRJNA823845	SAMN27362036	SRX14795227	SRR18694247	410658	soil metagenome	4861235678;4903560575	ftp.sra.ebi.ac.uk/vol1/fastq/SRR186/047/SRR18694247/SRR18694247_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR186/047/SRR18694247/SRR18694247_2.fastq.gz		6779790635	ftp.sra.ebi.ac.uk/vol1/srr/SRR186/047/SRR18694247
PRJNA823845	SAMN27362035	SRX14795226	SRR18694248	410658	soil metagenome	4780543066;4895807456	ftp.sra.ebi.ac.uk/vol1/fastq/SRR186/048/SRR18694248/SRR18694248_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR186/048/SRR18694248/SRR18694248_2.fastq.gz		6737784810	ftp.sra.ebi.ac.uk/vol1/srr/SRR186/048/SRR18694248
PRJNA823845	SAMN27362026	SRX14795225	SRR18694249	410658	soil metagenome	5418921714;5543515629	ftp.sra.ebi.ac.uk/vol1/fastq/SRR186/049/SRR18694249/SRR18694249_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR186/049/SRR18694249/SRR18694249_2.fastq.gz		7611564220	ftp.sra.ebi.ac.uk/vol1/srr/SRR186/049/SRR18694249
PRJNA823845	SAMN27362025	SRX14795224	SRR18694250	410658	soil metagenome	5618283855;5713766334	ftp.sra.ebi.ac.uk/vol1/fastq/SRR186/050/SRR18694250/SRR18694250_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR186/050/SRR18694250/SRR18694250_2.fastq.gz		7874588286	ftp.sra.ebi.ac.uk/vol1/srr/SRR186/050/SRR18694250
