study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_bytes	fastq_ftp	submitted_ftp	sra_bytes	sra_ftp
PRJEB41174	SAMEA7573916	ERX4706860	ERR4837082	452919	ice metagenome	2537381296;2130403531	ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/002/ERR4837082/ERR4837082_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/002/ERR4837082/ERR4837082_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR483/ERR4837082/G1_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR483/ERR4837082/G1_R2.fastq.gz		
PRJEB41174	SAMEA7573917	ERX4706861	ERR4837083	452919	ice metagenome	2562126957;2187954605	ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/003/ERR4837083/ERR4837083_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/003/ERR4837083/ERR4837083_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR483/ERR4837083/G2_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR483/ERR4837083/G2_R2.fastq.gz		
PRJEB41174	SAMEA7573919	ERX4706862	ERR4837084	452919	ice metagenome	2305417911;1935201463	ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/004/ERR4837084/ERR4837084_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/004/ERR4837084/ERR4837084_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR483/ERR4837084/G3_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR483/ERR4837084/G3_R2.fastq.gz		
PRJEB41174	SAMEA7573920	ERX4706863	ERR4837085	410658	soil metagenome	2359153365;2055930992	ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/005/ERR4837085/ERR4837085_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/005/ERR4837085/ERR4837085_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR483/ERR4837085/G4_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR483/ERR4837085/G4_R2.fastq.gz		
PRJEB41174	SAMEA7573921	ERX4706864	ERR4837086	410658	soil metagenome	2700125401;2349337460	ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/006/ERR4837086/ERR4837086_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/006/ERR4837086/ERR4837086_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR483/ERR4837086/G5_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR483/ERR4837086/G5_R2.fastq.gz		
PRJEB41174	SAMEA7573922	ERX4706865	ERR4837087	410658	soil metagenome	2018967411;1709604313	ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/007/ERR4837087/ERR4837087_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/007/ERR4837087/ERR4837087_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR483/ERR4837087/G6_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR483/ERR4837087/G6_R2.fastq.gz		
PRJEB41174	SAMEA7573923	ERX4706866	ERR4837088	410658	soil metagenome	2606341446;2257796492	ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/008/ERR4837088/ERR4837088_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/008/ERR4837088/ERR4837088_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR483/ERR4837088/G7_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR483/ERR4837088/G7_R2.fastq.gz		
PRJEB41174	SAMEA7573924	ERX4706867	ERR4837089	410658	soil metagenome	3267910330;2902131219	ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/009/ERR4837089/ERR4837089_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/009/ERR4837089/ERR4837089_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR483/ERR4837089/G8_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR483/ERR4837089/G8_R2.fastq.gz		
PRJEB41174	SAMEA7573925	ERX4706868	ERR4837090	410658	soil metagenome	2692412095;2350488174	ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/000/ERR4837090/ERR4837090_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/000/ERR4837090/ERR4837090_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR483/ERR4837090/G9_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR483/ERR4837090/G9_R2.fastq.gz		
PRJEB41174	SAMEA7573926	ERX4706869	ERR4837091	410658	soil metagenome	4841634722;4168182990	ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/001/ERR4837091/ERR4837091_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR483/001/ERR4837091/ERR4837091_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR483/ERR4837091/G10_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR483/ERR4837091/G10_R2.fastq.gz		
