study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_bytes	fastq_ftp	submitted_ftp	sra_bytes	sra_ftp
PRJNA630300	SAMN14832377	SRX8380149	SRR11829603	410658	soil metagenome	9613144429	ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/003/SRR11829603/SRR11829603.fastq.gz		6961246937	ftp.sra.ebi.ac.uk/vol1/srr/SRR118/003/SRR11829603
PRJNA630300	SAMN14832376	SRX8380148	SRR11829604	410658	soil metagenome	5248903432;5812415739	ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/004/SRR11829604/SRR11829604_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/004/SRR11829604/SRR11829604_2.fastq.gz		8041445485	ftp.sra.ebi.ac.uk/vol1/srr/SRR118/004/SRR11829604
PRJNA630300	SAMN14832375	SRX8380147	SRR11829605	410658	soil metagenome	4532166509;5050596939	ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/005/SRR11829605/SRR11829605_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/005/SRR11829605/SRR11829605_2.fastq.gz		6968720230	ftp.sra.ebi.ac.uk/vol1/srr/SRR118/005/SRR11829605
PRJNA630300	SAMN14832374	SRX8380146	SRR11829606	410658	soil metagenome	4793462105;5352820467	ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/006/SRR11829606/SRR11829606_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/006/SRR11829606/SRR11829606_2.fastq.gz		7324495124	ftp.sra.ebi.ac.uk/vol1/srr/SRR118/006/SRR11829606
PRJNA630300	SAMN14832373	SRX8380145	SRR11829607	410658	soil metagenome	7147923216;8059692223	ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/007/SRR11829607/SRR11829607_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/007/SRR11829607/SRR11829607_2.fastq.gz		10992506830	ftp.sra.ebi.ac.uk/vol1/srr/SRR118/007/SRR11829607
PRJNA630300	SAMN14832372	SRX8380144	SRR11829608	410658	soil metagenome	4509440475;4891720734	ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/008/SRR11829608/SRR11829608_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/008/SRR11829608/SRR11829608_2.fastq.gz		6768581206	ftp.sra.ebi.ac.uk/vol1/srr/SRR118/008/SRR11829608
PRJNA630300	SAMN14832371	SRX8380143	SRR11829609	410658	soil metagenome	5149201588;5535265771	ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/009/SRR11829609/SRR11829609_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/009/SRR11829609/SRR11829609_2.fastq.gz		7680720809	ftp.sra.ebi.ac.uk/vol1/srr/SRR118/009/SRR11829609
PRJNA630300	SAMN14832370	SRX8380142	SRR11829610	410658	soil metagenome	5217134092;5603009090	ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/010/SRR11829610/SRR11829610_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/010/SRR11829610/SRR11829610_2.fastq.gz		7770349326	ftp.sra.ebi.ac.uk/vol1/srr/SRR118/010/SRR11829610
PRJNA630300	SAMN14832369	SRX8380141	SRR11829611	410658	soil metagenome	4031358780;4338532438	ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/011/SRR11829611/SRR11829611_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/011/SRR11829611/SRR11829611_2.fastq.gz		6009777291	ftp.sra.ebi.ac.uk/vol1/srr/SRR118/011/SRR11829611
PRJNA630300	SAMN14832368	SRX8380140	SRR11829612	410658	soil metagenome	5591620750;5996834752	ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/012/SRR11829612/SRR11829612_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/012/SRR11829612/SRR11829612_2.fastq.gz		8325838577	ftp.sra.ebi.ac.uk/vol1/srr/SRR118/012/SRR11829612
