,,,,,,,,,,,,,,
Library Name ,Substrate,Ecozone,Soil Layer,Enrichment,Library Type,StudyAccession,SampleAccession,Experiment Accession,Run Accession,ScaffoldAccession,# contigs (>= 1000 bp),Total length (>= 1000 bp),N50,Largest contig
BP515,Cellulose,BritishColumbia_IDF,Organic,C13,Metagenome Assembly,PRJEB12502,ERS1101932,NA,NA,FTIC01000001-FTIC01274702,307,530374,1606,11607
DC575,Cellulose,BritishColumbia_IDF,Organic,C13,Metagenome Assembly,PRJEB12502,ERS1101936,NA,NA,FTKR01000001-FTKR01820576,11612,26670579,2536,62194
DC575_12C,Cellulose,BritishColumbia_IDF,Organic,C12,Metagenome Assembly,PRJEB12502,ERS1101937,NA,NA,FTKA01000001-FTKA01246212,910,1782229,2049,15761
OC455,Cellulose,BritishColumbia_IDF,Organic,C13,Metagenome Assembly,PRJEB12502,ERS1101952,NA,NA,FTJC01000001-FTJC01875660,7472,13666684,1800,22210
BP518,Cellulose,BritishColumbia_IDF,Mineral,C13,Metagenome Assembly,PRJEB12502,ERS1101933,NA,NA,FTIG01000001-FTIG01337790,2568,4146999,1555,36540
DC578_12C,Cellulose,BritishColumbia_IDF,Mineral,C12,Metagenome Assembly,PRJEB12502,ERS1101939,NA,NA,FTHZ01000001-FTHZ01195850,318,429131,1313,3044
OC458,Cellulose,BritishColumbia_IDF,Mineral,C13,Metagenome Assembly,PRJEB12502,ERS1101953,NA,NA,FTJN01000001-FTJN01929946,11319,42990450,7013,212112
BL043,Cellulose,California_PP,Organic,C13,Metagenome Assembly,PRJEB12502,ERS1101930,NA,NA,FTJH01000001-FTJH01773856,4413,10414880,2626,39157
BR067,Cellulose,California_PP,Organic,C13,Metagenome Assembly,PRJEB12502,ERS1101934,NA,NA,FTKF01000001-FTKF01416481,12818,26788350,2184,52378
LH019,Cellulose,California_PP,Organic,C13,Metagenome Assembly,PRJEB12502,ERS1101948,NA,NA,FTKK01000001-FTKK01741980,2806,5160004,1845,20365
LH019_12C,Cellulose,California_PP,Organic,C12,Metagenome Assembly,PRJEB12502,ERS1101949,NA,NA,FTIB01000001-FTIB01151159,24,32043,1232,2350
BL044,Cellulose,California_PP,Mineral,C13,Metagenome Assembly,PRJEB12502,ERS1101931,NA,NA,FTIW01000001-FTIW01578012,6288,9582393,1500,12324
BR068,Cellulose,California_PP,Mineral,C13,Metagenome Assembly,PRJEB12502,ERS1101935,NA,NA,FTIJ01000001-FTIJ01330850,8969,20494305,2555,22017
LH020,Cellulose,California_PP,Mineral,C13,Metagenome Assembly,PRJEB12502,ERS1101950,NA,NA,FTKL01000001-FTKL01582707,4395,19059184,11632,77825
LH020_12C,Cellulose,California_PP,Mineral,C12,Metagenome Assembly,PRJEB12502,ERS1101951,NA,NA,FTHV01000001-FTHV01127356,2545,7540250,3689,32919
A8055_12C,Cellulose,Ontario_BS,Organic,C12,Metagenome Assembly,PRJEB12502,ERS1101926,NA,NA,FTKS01000001-FTKS01436938,5956,9864496,1636,22444
