sample	SGB	bin_name	real_tax	reconstructed_tax	abundance_real	abundance_reconstructed	real_org_id
profile.n.150.size.7.5.k.100.sigma.1.0.up.0.75.mut_rate.0.0_sample_0	sgb_251	NA	2|200795	NA	0.2064	NA	BIN_UNKNOWN_452_Chloroflexota
profile.n.150.size.7.5.k.100.sigma.1.0.up.0.75.mut_rate.0.0_sample_0	sgb_392	NA	2|1239|186801	NA	0.5065	NA	BIN_UNKNOWN_358_Clostridia
profile.n.150.size.7.5.k.100.sigma.1.0.up.0.75.mut_rate.0.0_sample_0	sgb_618	NA	2157|651137|1643678|1033996|1033997	NA	0.8505	NA	BIN_UNKNOWN_275_Nitrososphaeraceae
profile.n.150.size.7.5.k.100.sigma.1.0.up.0.75.mut_rate.0.0_sample_0	sgb_511	NA	2|200795	NA	0.1682	NA	BIN_UNKNOWN_232_Chloroflexota
profile.n.150.size.7.5.k.100.sigma.1.0.up.0.75.mut_rate.0.0_sample_0	sgb_118	profile.n.150.size.7.5.k.100.sigma.1.0.up.0.75.mut_rate.0.0_sample_0.bin.72	2|1224|1236|1775403|2689614	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Steroidobacterales|f__Steroidobacteraceae|g__13-2-20CM-66-19|s__	1.4912	1.77701742617467	BIN_UNKNOWN_173_Steroidobacteraceae
profile.n.150.size.7.5.k.100.sigma.1.0.up.0.75.mut_rate.0.0_sample_0	sgb_439	NA	2157|651137|1643678|1033996|1033997	NA	0.7074	NA	BIN_UNKNOWN_87_Nitrososphaeraceae
profile.n.150.size.7.5.k.100.sigma.1.0.up.0.75.mut_rate.0.0_sample_0	sgb_451	NA	2157|651137|1643678|1033996|1033997	NA	0.2108	NA	BIN_UNKNOWN_213_Nitrososphaeraceae
profile.n.150.size.7.5.k.100.sigma.1.0.up.0.75.mut_rate.0.0_sample_0	sgb_154	profile.n.150.size.7.5.k.100.sigma.1.0.up.0.75.mut_rate.0.0_sample_0.bin.8	2|57723|1813735|2910145	k__Bacteria|p__Acidobacteriota|c__Vicinamibacteria|o__Vicinamibacterales|f__UBA2999|g__2-02-FULL-65-29|s__	2.7045	3.18172011404418	BIN_UNKNOWN_268_Vicinamibacterales
profile.n.150.size.7.5.k.100.sigma.1.0.up.0.75.mut_rate.0.0_sample_0	sgb_482	profile.n.150.size.7.5.k.100.sigma.1.0.up.0.75.mut_rate.0.0_sample_0.bin.70	2|1224|28211|204457|41297	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__CAHJWT01|s__	0.8044	0.929081037909229	BIN_UNKNOWN_196_Sphingomonadaceae
profile.n.150.size.7.5.k.100.sigma.1.0.up.0.75.mut_rate.0.0_sample_0	sgb_414	profile.n.150.size.7.5.k.100.sigma.1.0.up.0.75.mut_rate.0.0_sample_0.bin.18	2	k__Bacteria|p__WOR-3|c__WOR-3|o__UBA2258|f__UBA2258|g__|s__	0.5712	0.668531578848788	BIN_UNKNOWN_58
profile.n.150.size.7.5.k.100.sigma.1.0.up.0.75.mut_rate.0.0_sample_0	sgb_639	profile.n.150.size.7.5.k.100.sigma.1.0.up.0.75.mut_rate.0.0_sample_0.bin.9	2|201174|1497346|588673	k__Bacteria|p__Actinobacteriota|c__Thermoleophilia|o__Solirubrobacterales|f__70-9|g__VAYN01|s__	1.8268	2.09593404395422	BIN_UNKNOWN_96_Solirubrobacterales
profile.n.150.size.7.5.k.100.sigma.1.0.up.0.75.mut_rate.0.0_sample_0	sgb_375	NA	2|976|200643|171549	NA	0.2263	NA	BIN_UNKNOWN_350_Bacteroidales
profile.n.150.size.7.5.k.100.sigma.1.0.up.0.75.mut_rate.0.0_sample_0	sgb_562	NA	2|142182|219685|219686	NA	0.1947	NA	BIN_UNKNOWN_566_Gemmatimonadales
