bin_id	completeness	contamination	strain_heterogeneity	quality	keep	n50
profile.n.40.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0_sample_2.bin.1	37.93	5.17	33.33	low_quality	reject	58723
profile.n.40.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0_sample_2.bin.10	94.02	3.93	28.57	high_quality	keep	20865
profile.n.40.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0_sample_2.bin.11	7.76	1.72	0.0	low_quality	reject	1966
profile.n.40.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0_sample_2.bin.12	92.9	7.44	0.0	medium_quality	keep	21539
profile.n.40.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0_sample_2.bin.13	87.62	2.99	14.29	medium_quality	keep	11075
profile.n.40.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0_sample_2.bin.14	76.21	5.17	0.0	medium_quality	keep	5101
profile.n.40.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0_sample_2.bin.15	92.0	1.36	0.0	high_quality	keep	30470
profile.n.40.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0_sample_2.bin.16	99.63	0.58	12.5	high_quality	keep	188322
profile.n.40.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0_sample_2.bin.17	58.97	1.72	0.0	medium_quality	keep	7579
profile.n.40.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0_sample_2.bin.18	23.98	0.93	100.0	low_quality	reject	2342
profile.n.40.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0_sample_2.bin.19	46.38	3.45	0.0	low_quality	reject	3226
profile.n.40.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0_sample_2.bin.2	65.07	0.0	0.0	medium_quality	keep	3874
profile.n.40.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0_sample_2.bin.20	18.42	3.61	0.0	low_quality	reject	1942
profile.n.40.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0_sample_2.bin.21	42.55	12.74	0.0	low_quality	reject	15040
profile.n.40.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0_sample_2.bin.22	95.26	1.72	0.0	high_quality	keep	214248
profile.n.40.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0_sample_2.bin.23	99.51	0.0	0.0	high_quality	keep	79630
profile.n.40.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0_sample_2.bin.24	97.86	1.02	50.0	high_quality	keep	26593
profile.n.40.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0_sample_2.bin.25	87.93	57.96	30.12	low_quality	reject	23628
profile.n.40.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0_sample_2.bin.26	61.33	8.09	13.33	medium_quality	keep	4247
profile.n.40.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0_sample_2.bin.27	98.46	6.8	0.0	medium_quality	keep	381106
profile.n.40.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0_sample_2.bin.28	8.33	0.0	0.0	low_quality	reject	1867
profile.n.40.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0_sample_2.bin.29	22.71	3.67	0.0	low_quality	reject	2095
profile.n.40.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0_sample_2.bin.3	7.08	0.93	0.0	low_quality	reject	12815
profile.n.40.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0_sample_2.bin.30	97.89	2.03	9.09	high_quality	keep	206144
profile.n.40.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0_sample_2.bin.31	52.59	0.0	0.0	medium_quality	keep	3498
profile.n.40.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0_sample_2.bin.32	93.38	0.15	0.0	high_quality	keep	14174
profile.n.40.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0_sample_2.bin.4	73.09	6.05	14.29	medium_quality	keep	3055
profile.n.40.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0_sample_2.bin.5	20.71	1.72	0.0	low_quality	reject	1918
profile.n.40.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0_sample_2.bin.6	88.55	1.5	0.0	medium_quality	keep	10302
profile.n.40.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0_sample_2.bin.7	52.93	0.0	0.0	medium_quality	keep	4234
profile.n.40.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0_sample_2.bin.8	92.23	2.69	100.0	high_quality	keep	30443
profile.n.40.size.7.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0_sample_2.bin.9	0.0	0.0	0.0	low_quality	reject	1814
profile.n.80.size.1.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0_sample_1.bin.1	79.27	1.75	100.0	medium_quality	keep	13164
profile.n.80.size.1.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0_sample_1.bin.10	24.34	0.6	33.33	low_quality	reject	2021
profile.n.80.size.1.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0_sample_1.bin.11	0.0	0.0	0.0	low_quality	reject	2246
profile.n.80.size.1.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0_sample_1.bin.12	18.42	0.0	0.0	low_quality	reject	1966
profile.n.80.size.1.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0_sample_1.bin.13	5.17	0.0	0.0	low_quality	reject	1794
profile.n.80.size.1.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0_sample_1.bin.14	46.24	0.86	0.0	low_quality	reject	2516
profile.n.80.size.1.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0_sample_1.bin.2	35.47	9.73	0.0	low_quality	reject	1851
profile.n.80.size.1.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0_sample_1.bin.3	34.81	1.0	0.0	low_quality	reject	2217
profile.n.80.size.1.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0_sample_1.bin.4	26.91	3.09	0.0	low_quality	reject	2444
profile.n.80.size.1.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0_sample_1.bin.5	11.03	0.0	0.0	low_quality	reject	1802
profile.n.80.size.1.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0_sample_1.bin.6	63.71	29.39	1.18	low_quality	reject	2530
profile.n.80.size.1.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0_sample_1.bin.7	15.85	0.0	0.0	low_quality	reject	1917
profile.n.80.size.1.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0_sample_1.bin.8	71.2	6.93	0.0	medium_quality	keep	5103
profile.n.80.size.1.5.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0_sample_1.bin.9	81.8	2.2	50.0	medium_quality	keep	4089
profile.n.80.size.45.0.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.0_sample_2.bin.38	70.69	0.0	0.0	medium_quality	keep	17767
profile.n.80.size.45.0.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.0_sample_2.bin.43	95.73	7.83	0.0	medium_quality	keep	417511
profile.n.80.size.45.0.gc.unrestricted.k.100.sigma.1.0.up.0.4.mut_rate.0.0_sample_2.bin.52	89.49	2.74	0.0	medium_quality	keep	9752
