name	length	genome_ID
sgb_114	3671594	BIN_UNKNOWN_225_Asticcacaulis
sgb_254	1889458	BIN_UNKNOWN_306_Coriobacteriia
sgb_348	1582119	BIN_UNKNOWN_661_Smithellaceae
sgb_509	4390914	BIN_UNKNOWN_66_Thermoanaerobaculia
sgb_314	3486080	BIN_UNKNOWN_274_Casimicrobiaceae
sgb_004	6142127	BIN_UNKNOWN_564_Pararobbsia
sgb_308	3743512	BIN_UNKNOWN_420_Pseudomonadaceae
sgb_022	6116074	BIN_UNKNOWN_126_Duganella
sgb_379	3303042	BIN_UNKNOWN_176_Galbitalea
sgb_251	1908292	BIN_UNKNOWN_452_Chloroflexota
sgb_311	2537465	BIN_UNKNOWN_646_Geothrix
sgb_404	2085870	BIN_UNKNOWN_204
sgb_392	1903204	BIN_UNKNOWN_358_Clostridia
sgb_110	1153719	BIN_UNKNOWN_391_Alphaproteobacteria
sgb_365	2232054	BIN_UNKNOWN_368_Bacteroidota
sgb_618	1665489	BIN_UNKNOWN_275_Nitrososphaeraceae
sgb_511	2375193	BIN_UNKNOWN_232_Chloroflexota
sgb_402	2674251	BIN_UNKNOWN_100_Bacteroidales
sgb_118	4048104	BIN_UNKNOWN_173_Steroidobacteraceae
sgb_644	4429401	BIN_UNKNOWN_246_Asticcacaulis
sgb_573	5244941	BIN_UNKNOWN_495_Methylomirabilota
sgb_642	2565819	
sgb_127	3615006	BIN_UNKNOWN_605_Ramlibacter
sgb_449	2418254	BIN_UNKNOWN_660_Steroidobacteraceae
sgb_186	3266422	BIN_UNKNOWN_242_Coleofasciculaceae
sgb_215	4429198	BIN_UNKNOWN_191_Belnapia
sgb_472	7216553	BIN_UNKNOWN_429_Reyranella
sgb_440	892184	BIN_UNKNOWN_514_Nitrososphaeraceae
sgb_457	4776531	BIN_UNKNOWN_171_Caulobacteraceae
sgb_635	5347436	BIN_UNKNOWN_267_Janthinobacterium
sgb_586	3249310	BIN_UNKNOWN_529_Vicinamibacteria
sgb_374	3996297	BIN_UNKNOWN_498_Bacteroidales
sgb_439	1569731	BIN_UNKNOWN_87_Nitrososphaeraceae
