name	length	genome_ID
sgb_114	1280930	BIN_UNKNOWN_20_Planktophila
sgb_254	1491263	BIN_UNKNOWN_4_Gammaproteobacteria
sgb_348	901792	BIN_UNKNOWN_379_Poseidoniia
sgb_314	1639126	BIN_UNKNOWN_308_Tepidiformaceae
sgb_004	1472342	BIN_UNKNOWN_227
sgb_308	1154079	BIN_UNKNOWN_354_Flavobacteriaceae
sgb_022	1778478	BIN_UNKNOWN_141_Poseidoniaceae
sgb_379	1908485	BIN_UNKNOWN_229_Polaribacter
sgb_251	733814	BIN_UNKNOWN_294_Methylophilaceae
sgb_311	2203997	BIN_UNKNOWN_463_Acidimicrobiales
sgb_404	1353470	BIN_UNKNOWN_334_Thalassarchaeaceae
sgb_392	2176876	BIN_UNKNOWN_19_Porticoccaceae
sgb_110	2302618	BIN_UNKNOWN_73_Porticoccaceae
sgb_365	2972508	BIN_UNKNOWN_52_Alteromonadaceae
sgb_402	1140343	BIN_UNKNOWN_320_Flavobacteriales
sgb_118	2471691	BIN_UNKNOWN_442_Luminiphilus
sgb_127	2239999	BIN_UNKNOWN_429_Gammaproteobacteria
sgb_449	1590277	BIN_UNKNOWN_317_Legionellaceae
sgb_186	2165032	BIN_UNKNOWN_36_Acidimicrobiales
sgb_215	2786860	BIN_Pseudoalteromonas carrageenovora
sgb_472	1455685	BIN_UNKNOWN_185_Gammaproteobacteria
sgb_440	1172986	BIN_UNKNOWN_412_Gammaproteobacteria
sgb_457	2369247	BIN_UNKNOWN_356_Alteromonadaceae
sgb_374	3169449	BIN_UNKNOWN_172_Opitutaceae
sgb_439	2169536	BIN_UNKNOWN_156_Phycisphaerales
sgb_115	1349530	BIN_UNKNOWN_44_Porticoccus
sgb_011	2376999	BIN_UNKNOWN_277_Arenicellales
sgb_383	1707710	BIN_UNKNOWN_287
sgb_048	3479329	BIN_UNKNOWN_321_Crocinitomix
sgb_148	3314040	BIN_UNKNOWN_443_Pseudomonadales
sgb_468	2180375	BIN_UNKNOWN_363_Paraglaciecola
sgb_451	2198384	BIN_UNKNOWN_106_Bacteroidia
sgb_226	1834713	BIN_UNKNOWN_406_Porticoccaceae
sgb_154	1892844	BIN_UNKNOWN_162_Planktomarina
sgb_084	1915553	BIN_UNKNOWN_18_Nanopelagicales
sgb_066	1946088	BIN_UNKNOWN_303_Dehalococcoidia
sgb_445	1784308	BIN_UNKNOWN_459_Polaribacter
sgb_229	1293135	BIN_UNKNOWN_28_Pontimonas
sgb_492	1782602	BIN_UNKNOWN_131_Poseidoniaceae
sgb_408	1023991	BIN_UNKNOWN_381_Cyanobiaceae
sgb_324	2731012	BIN_UNKNOWN_187_Colwellia
sgb_482	2056016	BIN_UNKNOWN_349_Alphaproteobacteria
sgb_425	1301980	BIN_UNKNOWN_401_Flavobacteriaceae
sgb_475	2115908	BIN_UNKNOWN_34_Amylibacter
sgb_428	1238601	BIN_UNKNOWN_173_Porticoccus
sgb_014	1438911	BIN_UNKNOWN_391_Acidimicrobiales
sgb_352	2545629	BIN_UNKNOWN_366_Blastomonas
sgb_279	1355672	BIN_UNKNOWN_480_Gammaproteobacteria
sgb_414	1591548	BIN_UNKNOWN_224_Poseidoniaceae
sgb_276	1953227	BIN_UNKNOWN_347_Pseudomonadales
sgb_192	2449488	BIN_UNKNOWN_11_Pseudomonadales
sgb_456	3813425	BIN_UNKNOWN_6_Oceanicoccus
sgb_083	2406072	BIN_UNKNOWN_215_Luminiphilus
sgb_044	1789040	BIN_UNKNOWN_92_Poseidoniaceae
sgb_375	1753907	BIN_UNKNOWN_460_Acidimicrobiales
sgb_010	2249720	BIN_UNKNOWN_432_Longimicrobiales
sgb_281	1730993	BIN_UNKNOWN_319_Planktomarina
sgb_335	1512122	BIN_UNKNOWN_161_Opitutales
sgb_077	1101257	BIN_UNKNOWN_184_Nanopelagicaceae
sgb_196	1575059	BIN_UNKNOWN_393
sgb_065	1031765	BIN_UNKNOWN_214_Thalassarchaeaceae
sgb_193	2426792	BIN_UNKNOWN_1_Pseudomonadales
sgb_195	1241372	BIN_UNKNOWN_305_Alphaproteobacteria
sgb_419	1824332	BIN_UNKNOWN_360_Rhodobacteraceae
sgb_172	3568243	BIN_UNKNOWN_27_Pseudomonadales
sgb_316	2750635	BIN_UNKNOWN_371_Vicinamibacterales
sgb_338	1014164	BIN_UNKNOWN_471_Gammaproteobacteria
sgb_102	975882	BIN_UNKNOWN_179_Methylophilaceae
sgb_336	2911847	BIN_UNKNOWN_359_Verrucomicrobiales
sgb_465	2288726	BIN_UNKNOWN_134_Phycisphaerales
sgb_045	2025193	BIN_UNKNOWN_102_Pseudomonadales
